id,set,human_score,char_10
17834,7,15,0
17836,7,13,0
17837,7,15,2
17838,7,17,2
17839,7,13,1
17840,7,23,8
17841,7,16,0
17842,7,18,3
17843,7,12,0
17844,7,10,0
17845,7,16,0
17846,7,19,3
17847,7,17,0
17849,7,14,1
17850,7,12,1
17851,7,16,1
17852,7,17,2
17853,7,16,2
17854,7,21,1
17856,7,14,0
17857,7,18,2
17858,7,24,2
17859,7,17,1
17860,7,16,2
17861,7,16,0
17862,7,9,0
17863,7,6,1
17864,7,10,0
17865,7,17,2
17867,7,16,1
17868,7,15,1
17869,7,11,2
17870,7,19,1
17871,7,24,4
17872,7,18,2
17873,7,16,3
17874,7,20,0
17875,7,12,0
17876,7,19,10
17878,7,10,1
17879,7,7,0
17880,7,16,2
17881,7,12,1
17882,7,12,0
17883,7,20,0
17884,7,24,1
17885,7,9,1
17886,7,9,2
17887,7,20,0
17888,7,16,1
17889,7,8,0
17890,7,15,0
17891,7,20,0
17892,7,17,0
17893,7,18,1
17894,7,13,0
17896,7,12,4
17897,7,20,0
17898,7,16,0
17899,7,24,14
17900,7,16,0
17901,7,10,0
17902,7,17,0
17903,7,12,0
17904,7,17,0
17905,7,8,0
17906,7,22,3
17908,7,24,1
17909,7,21,0
17910,7,19,0
17911,7,19,1
17912,7,12,4
17913,7,16,0
17914,7,12,2
17915,7,15,1
17916,7,9,0
17917,7,8,0
17918,7,14,0
17919,7,23,0
17920,7,14,0
17921,7,10,0
17922,7,17,0
17923,7,21,2
17924,7,24,4
17926,7,21,2
17927,7,6,0
17928,7,12,2
17930,7,21,1
17931,7,24,1
17932,7,24,5
17933,7,15,1
17935,7,14,0
17936,7,9,0
17937,7,9,1
17938,7,9,0
17939,7,22,4
17940,7,8,0
17941,7,15,1
17942,7,20,6
17943,7,10,0
17944,7,18,0
17945,7,18,1
17946,7,14,1
17947,7,23,1
17949,7,6,0
17950,7,11,0
17951,7,9,0
17952,7,21,4
17953,7,16,0
17954,7,11,0
17955,7,20,4
17957,7,8,0
17959,7,7,0
17961,7,17,0
17962,7,14,1
17963,7,22,0
17964,7,21,2
17965,7,12,0
17966,7,18,0
17967,7,12,13
17968,7,19,2
17969,7,16,0
17970,7,11,2
17971,7,18,14
17973,7,15,0
17974,7,17,1
17975,7,16,5
17976,7,9,5
17977,7,16,1
17978,7,9,0
17979,7,17,0
17980,7,24,3
17981,7,11,0
17982,7,9,0
17983,7,18,1
17984,7,18,1
17985,7,14,0
17986,7,17,2
17987,7,18,0
17988,7,15,0
17989,7,13,0
17990,7,11,0
17991,7,24,1
17992,7,7,0
17993,7,17,1
17996,7,11,0
17997,7,16,1
17998,7,17,1
18000,7,22,0
18001,7,12,0
18002,7,12,0
18004,7,16,0
18005,7,20,0
18006,7,16,1
18008,7,15,0
18011,7,8,0
18012,7,17,10
18013,7,13,2
18014,7,20,4
18015,7,14,2
18016,7,24,6
18017,7,17,0
18018,7,12,0
18019,7,20,2
18020,7,13,0
18021,7,16,0
18022,7,18,2
18023,7,12,0
18025,7,21,1
18026,7,19,1
18028,7,23,1
18029,7,17,0
18030,7,21,2
18031,7,9,0
18032,7,15,0
18033,7,12,0
18034,7,24,1
18035,7,16,0
18036,7,8,0
18037,7,13,1
18038,7,21,0
18039,7,16,1
18040,7,9,0
18041,7,17,1
18042,7,16,1
18043,7,7,1
18044,7,16,3
18045,7,19,2
18046,7,8,1
18047,7,22,0
18048,7,18,3
18049,7,18,0
18050,7,8,0
18051,7,18,6
18052,7,17,1
18053,7,24,0
18054,7,12,0
18055,7,16,4
18056,7,22,3
18057,7,14,1
18058,7,18,0
18060,7,8,0
18061,7,15,0
18062,7,17,3
18064,7,17,0
18065,7,14,0
18066,7,23,6
18067,7,17,2
18068,7,24,3
18070,7,20,0
18071,7,16,2
18072,7,15,0
18073,7,18,5
18074,7,17,0
18075,7,16,9
18076,7,13,1
18077,7,18,1
18078,7,19,3
18079,7,22,12
18080,7,8,0
