id,set,human_score,mean_char
14834,6,2,4.59836065574
14835,6,3,4.73333333333
14836,6,4,4.57228915663
14837,6,1,4.55440414508
14838,6,3,4.65432098765
14839,6,4,5.05357142857
14840,6,3,4.79054054054
14841,6,3,5.1328125
14842,6,3,4.74561403509
14843,6,3,4.66923076923
14844,6,3,4.81115879828
14845,6,4,4.84294871795
14846,6,4,4.64319248826
14847,6,3,4.71282051282
14848,6,2,4.47407407407
14849,6,3,4.86184210526
14850,6,1,4.59574468085
14851,6,3,4.59523809524
14852,6,3,4.65517241379
14853,6,2,4.98863636364
14854,6,3,4.93859649123
14855,6,4,4.63524590164
14856,6,2,4.32203389831
14857,6,4,4.9356223176
14858,6,3,4.51724137931
14859,6,2,4.55688622754
14860,6,3,4.80952380952
14861,6,3,4.64646464646
14862,6,3,4.46540880503
14863,6,3,4.71559633028
14864,6,4,4.81656804734
14865,6,3,4.77142857143
14866,6,2,4.49206349206
14867,6,2,4.66666666667
14868,6,3,4.69117647059
14869,6,2,4.54794520548
14870,6,2,4.5
14871,6,3,5.00746268657
14872,6,3,4.86805555556
14873,6,2,4.54464285714
14874,6,1,3.86607142857
14875,6,3,4.37623762376
14876,6,3,4.90355329949
14877,6,2,4.1
14878,6,2,4.66666666667
14879,6,3,4.82945736434
14880,6,3,4.49367088608
14881,6,4,4.93298969072
14882,6,4,4.77678571429
14883,6,3,4.96363636364
14884,6,3,4.56375838926
14885,6,2,4.25945945946
14886,6,3,4.85975609756
14887,6,3,4.82122905028
14888,6,2,4.37356321839
14889,6,3,4.82840236686
14890,6,3,4.50602409639
14891,6,1,4.32307692308
14892,6,3,4.995
14893,6,2,4.72619047619
14894,6,4,4.58064516129
14895,6,2,4.52173913043
14896,6,4,4.79230769231
14897,6,3,5.05649717514
14898,6,4,4.68062827225
14899,6,1,4.54807692308
14900,6,3,4.86764705882
14901,6,1,5.0625
14902,6,4,4.60377358491
14903,6,3,5.03067484663
14904,6,3,4.82233502538
14905,6,1,4.48648648649
14906,6,3,4.67857142857
14907,6,3,4.86206896552
14908,6,2,4.80821917808
14909,6,3,4.67605633803
14910,6,3,5.0
14911,6,1,4.67692307692
14912,6,3,4.75
14913,6,3,4.86842105263
14914,6,3,4.79096045198
14915,6,3,4.65765765766
14916,6,3,4.77160493827
14917,6,3,4.59756097561
14918,6,3,4.75
14919,6,2,4.7
14920,6,3,5.02824858757
14921,6,3,4.5988700565
14922,6,3,5.00505050505
14923,6,3,4.66071428571
14924,6,3,4.96153846154
14925,6,3,4.57638888889
14926,6,3,4.81300813008
14927,6,2,5.025
14928,6,2,4.36813186813
14929,6,2,4.1862745098
14930,6,4,4.74675324675
14931,6,2,4.58823529412
14932,6,3,4.70621468927
14933,6,4,4.45294117647
14934,6,4,4.81395348837
14935,6,3,4.83486238532
14936,6,3,4.98290598291
14937,6,1,4.62142857143
14938,6,3,4.62711864407
14939,6,0,4.25454545455
14940,6,3,4.50802139037
14941,6,3,4.37037037037
14942,6,3,4.78365384615
14943,6,3,4.79411764706
14944,6,4,4.53431372549
14945,6,2,4.90666666667
14946,6,3,4.77777777778
14947,6,3,4.7488372093
14948,6,2,4.59124087591
14949,6,1,4.52380952381
14950,6,3,4.48
14951,6,0,4.58955223881
14952,6,2,4.55223880597
14953,6,3,4.61290322581
14954,6,2,5.05172413793
14955,6,3,4.72881355932
14956,6,4,5.15286624204
14957,6,0,3.81578947368
14958,6,2,4.96923076923
14959,6,3,4.84713375796
14960,6,3,4.38823529412
14961,6,3,4.6170212766
14962,6,2,4.61046511628
14963,6,4,4.80225988701
14964,6,2,4.69696969697
14965,6,2,4.7032967033
14966,6,3,4.53548387097
14967,6,4,4.59459459459
14968,6,3,4.58928571429
14969,6,2,4.55294117647
14970,6,3,4.84516129032
14971,6,3,4.53672316384
14972,6,4,4.54228855721
14973,6,1,4.87735849057
14974,6,3,4.8347826087
14975,6,3,5.07692307692
14976,6,3,4.8431372549
14977,6,3,4.79194630872
14978,6,4,4.55844155844
14979,6,1,4.57894736842
14980,6,3,4.54198473282
14981,6,3,4.45833333333
14982,6,4,5.02666666667
14983,6,2,4.85057471264
14984,6,3,4.66115702479
14985,6,0,4.42045454545
14986,6,3,4.89361702128
14987,6,4,4.85929648241
14988,6,3,4.52261306533
14989,6,3,4.71317829457
14990,6,4,4.76767676768
14991,6,3,4.37853107345
14992,6,3,4.70526315789
14993,6,2,4.91588785047
14994,6,3,4.83520599251
14995,6,4,4.47035573123
14996,6,2,4.73983739837
14997,6,1,4.23376623377
14998,6,3,5.09756097561
14999,6,4,4.92934782609
15000,6,4,4.73863636364
15001,6,3,4.82285714286
15002,6,3,4.37984496124
15003,6,1,4.52100840336
15004,6,4,4.62313432836
15005,6,3,4.67226890756
15006,6,3,4.24571428571
15007,6,3,4.58522727273
15008,6,3,4.69430051813
15009,6,4,4.79324894515
15010,6,1,5.63333333333
15011,6,3,4.61395348837
15012,6,3,4.73913043478
15013,6,2,4.31481481481
15014,6,2,4.75892857143
15015,6,3,4.83870967742
15016,6,2,4.4
15017,6,0,4.5
15018,6,2,4.57777777778
15019,6,3,4.83870967742
15020,6,2,4.82795698925
15021,6,3,4.84659090909
15022,6,3,4.74331550802
15023,6,3,5.10317460317
15024,6,3,4.53658536585
15025,6,1,4.42307692308
15026,6,3,4.55319148936
15027,6,3,4.9219858156
15028,6,2,4.56179775281
15029,6,4,4.77948717949
15030,6,4,4.59770114943
15031,6,3,4.58108108108
15032,6,4,4.69642857143
15033,6,4,4.81182795699
15034,6,4,4.6062992126
15035,6,2,4.39072847682
15036,6,3,4.50920245399
15037,6,2,4.67213114754
15038,6,3,4.71641791045
15039,6,2,4.52112676056
15040,6,2,4.36942675159
15041,6,2,4.41836734694
15042,6,4,4.67400881057
15043,6,3,5.08955223881
15044,6,3,4.8625
15045,6,3,4.78448275862
15046,6,4,4.82710280374
15047,6,3,4.51612903226
15048,6,2,4.78832116788
15049,6,3,4.70857142857
15050,6,3,4.29946524064
15051,6,3,4.58666666667
15052,6,3,4.78804347826
