id,set,human_score,mean_word
17834,7,15,7.5
17836,7,13,23.5
17837,7,15,38.75
17838,7,17,13.6875
17839,7,13,11.6153846154
17840,7,23,9.62857142857
17841,7,16,14.1666666667
17842,7,18,15.75
17843,7,12,15.6086956522
17844,7,10,9.77777777778
17845,7,16,19.5555555556
17846,7,19,11.7
17847,7,17,15.5833333333
17849,7,14,15.0
17850,7,12,33.0
17851,7,16,11.2666666667
17852,7,17,13.2941176471
17853,7,16,13.1428571429
17854,7,21,15.1666666667
17856,7,14,10.6923076923
17857,7,18,17.0
17858,7,24,12.25
17859,7,17,14.2307692308
17860,7,16,23.5
17861,7,16,23.3333333333
17862,7,9,10.3
17863,7,6,17.0
17864,7,10,17.6666666667
17865,7,17,19.2142857143
17867,7,16,15.9090909091
17868,7,15,15.9047619048
17869,7,11,11.2
17870,7,19,32.75
17871,7,24,11.0285714286
17872,7,18,11.2142857143
17873,7,16,11.8235294118
17874,7,20,18.7777777778
17875,7,12,22.25
17876,7,19,17.0769230769
17878,7,10,10.1666666667
17879,7,7,11.0
17880,7,16,13.75
17881,7,12,20.5555555556
17882,7,12,24.3333333333
17883,7,20,14.4
17884,7,24,10.5714285714
17885,7,9,26.4
17886,7,9,9.42857142857
17887,7,20,13.9444444444
17888,7,16,13.9285714286
17889,7,8,14.4444444444
17890,7,15,15.625
17891,7,20,10.6666666667
17892,7,17,16.8
17893,7,18,13.0
17894,7,13,8.8
17896,7,12,23.5384615385
17897,7,20,16.0
17898,7,16,13.8571428571
17899,7,24,11.2452830189
17900,7,16,22.4285714286
17901,7,10,6.06666666667
17902,7,17,15.8
17903,7,12,13.8333333333
17904,7,17,28.0
17905,7,8,38.5
17906,7,22,12.6923076923
17908,7,24,16.0
17909,7,21,15.3846153846
17910,7,19,12.0526315789
17911,7,19,9.05
17912,7,12,9.21052631579
17913,7,16,16.0
17914,7,12,56.0
17915,7,15,19.5
17916,7,9,17.4
17917,7,8,35.0
17918,7,14,16.75
17919,7,23,15.0588235294
17920,7,14,12.6
17921,7,10,30.4285714286
17922,7,17,10.6666666667
17923,7,21,11.2777777778
17924,7,24,11.3461538462
17926,7,21,20.7857142857
17927,7,6,13.2222222222
17928,7,12,34.4
17930,7,21,16.0
17931,7,24,12.2666666667
17932,7,24,16.5789473684
17933,7,15,10.5555555556
17935,7,14,20.6666666667
17936,7,9,9.6
17937,7,9,10.8333333333
17938,7,9,17.3333333333
