id,set,human_score,std_word
14834,6,2,8.15662995635
14835,6,3,7.23878442834
14836,6,4,10.3613717572
14837,6,1,12.3067307317
14838,6,3,7.53284817668
14839,6,4,6.25359400797
14840,6,3,10.6560321137
14841,6,3,12.7104506433
14842,6,3,6.87313611098
14843,6,3,4.01732359773
14844,6,3,6.7728202213
14845,6,4,10.7669855503
14846,6,4,12.7059041394
14847,6,3,8.89995413884
14848,6,2,16.9356525275
14849,6,3,9.39414711403
14850,6,1,9.76387901058
14851,6,3,4.76313972081
14852,6,3,13.827056809
14853,6,2,9.93176721435
14854,6,3,5.64269439187
14855,6,4,9.94428926012
14856,6,2,6.45145733731
14857,6,4,8.32476877444
14858,6,3,10.9264703863
14859,6,2,7.74013709324
14860,6,3,8.76412673091
14861,6,3,7.66985440974
14862,6,3,9.48683298051
14863,6,3,10.9911580625
14864,6,4,14.7572957475
14865,6,3,3.82622529394
14866,6,2,6.8
14867,6,2,7.06664701255
14868,6,3,13.0384048104
14869,6,2,8.85649479196
14870,6,2,6.74073438136
14871,6,3,7.30900045172
14872,6,3,11.8638105177
14873,6,2,8.45154254729
14874,6,1,24.5812937007
14875,6,3,10.9911580625
14876,6,3,9.75613766929
14877,6,2,8.33999733546
14878,6,2,9.73364277405
14879,6,3,6.75347817466
14880,6,3,11.1691539518
14881,6,4,6.74567507603
14882,6,4,11.3683771929
14883,6,3,9.38412107739
14884,6,3,9.934352421
14885,6,2,6.31491221978
14886,6,3,10.1378257138
14887,6,3,12.844624362
14888,6,2,19.0410083767
14889,6,3,10.8253175473
14890,6,3,7.70281333886
14891,6,1,10.1885011437
14892,6,3,7.00042264151
14893,6,2,9.78570385818
14894,6,4,10.1105005921
14895,6,2,7.7952185408
14896,6,4,18.1107702763
14897,6,3,8.2316462509
14898,6,4,13.7661241037
14899,6,1,12.3243210316
14900,6,3,8.53190415029
14901,6,1,5.47722557505
14902,6,4,8.82546819658
14903,6,3,8.12042843849
14904,6,3,11.2498888883
14905,6,1,9.9075728612
14906,6,3,9.21179368294
14907,6,3,8.25219761228
14908,6,2,7.32491098838
14909,6,3,15.350330715
14910,6,3,7.04893608994
14911,6,1,8.53085635819
14912,6,3,13.4074606097
14913,6,3,9.36238863686
14914,6,3,6.96033627002
14915,6,3,5.99724454635
14916,6,3,10.3154332563
14917,6,3,17.8387842137
14918,6,3,6.81246814468
14919,6,2,10.8420948349
14920,6,3,8.36660026534
14921,6,3,7.26480170067
14922,6,3,10.5746259831
14923,6,3,7.73067355471
14924,6,3,8.89746764847
14925,6,3,11.689311357
14926,6,3,13.2470515587
14927,6,2,8.60232526704
14928,6,2,8.29491142542
14929,6,2,6.43333157097
14930,6,4,7.17216843082
14931,6,2,5.89015089374
14932,6,3,7.03710404452
14933,6,4,13.4762556912
14934,6,4,8.72289452469
14935,6,3,7.90763000177
14936,6,3,6.48074069841
14937,6,1,9.38935567544
14938,6,3,6.58130758037
14939,6,0,4.5
14940,6,3,9.26066952223
14941,6,3,9.62676249904
14942,6,3,10.6639114899
14943,6,3,9.56229574945
14944,6,4,12.3249878476
14945,6,2,10.8332820512
14946,6,3,10.2834819006
14947,6,3,7.82224392358
14948,6,2,8.62726793754
14949,6,1,12.6959639256
14950,6,3,9.80554742636
14951,6,0,11.9137525574
14952,6,2,16.213848676
14953,6,3,16.8652749755
14954,6,2,13.9797031
14955,6,3,15.3342391037
14956,6,4,11.730531612
14957,6,0,19.0
14958,6,2,10.9361784916
14959,6,3,7.90667790893
14960,6,3,7.52936637604
14961,6,3,8.45484328654
14962,6,2,8.05969463975
14963,6,4,8.61452262171
14964,6,2,7.24568837309
14965,6,2,8.15304987242
14966,6,3,9.5426269127
14967,6,4,9.99112031792
14968,6,3,15.0665191733
14969,6,2,6.93703459553
14970,6,3,8.60676413578
14971,6,3,9.36098815156
14972,6,4,13.6238531627
14973,6,1,5.74919598186
14974,6,3,5.34951249654
14975,6,3,11.9727581941
14976,6,3,8.65717884545
14977,6,3,10.7466273779
14978,6,4,8.18936773778
14979,6,1,5.88557558782
14980,6,3,9.13289232512
14981,6,3,7.67390962215
14982,6,4,11.1622148932
14983,6,2,10.1508620324
14984,6,3,8.80284045067
14985,6,0,11.1764744104
14986,6,3,9.73315853154
14987,6,4,7.89078340914
14988,6,3,6.57950916318
14989,6,3,7.45676241979
14990,6,4,8.46325390536
14991,6,3,11.6428327977
14992,6,3,8.85061203157
14993,6,2,36.6090456339
14994,6,3,6.7368985794
14995,6,4,9.14201229976
14996,6,2,6.77796639136
14997,6,1,14.566657132
14998,6,3,8.12780563804
14999,6,4,10.8
15000,6,4,14.3468928111
15001,6,3,7.78781098898
15002,6,3,11.6344047978
15003,6,1,9.58152156787
15004,6,4,11.606990231
15005,6,3,6.27162924074
15006,6,3,12.7985338667
15007,6,3,8.06789372085
15008,6,3,11.805057179
15009,6,4,8.25486869325
15010,6,1,15.0
15011,6,3,8.95801840532
15012,6,3,8.41189633793
15013,6,2,7.79422863406
15014,6,2,9.12414379545
15015,6,3,7.98435971134
15016,6,2,22.5
15017,6,0,3.0
15018,6,2,8.56348838578
15019,6,3,11.9361728465
15020,6,2,6.66966078598
15021,6,3,9.38523545939
15022,6,3,10.1587400794
15023,6,3,7.0256227482
15024,6,3,7.95200446428
15025,6,1,9.52190457139
15026,6,3,8.76412673091
15027,6,3,9.81876587282
15028,6,2,9.92331709774
15029,6,4,7.46008663234
15030,6,4,7.00545422431
15031,6,3,15.1877143332
15032,6,4,9.2056396656
15033,6,4,9.9518842437
15034,6,4,8.60943952761
15035,6,2,8.57959060795
15036,6,3,20.6100827316
15037,6,2,16.4688257694
15038,6,3,8.66826908263
15039,6,2,13.1582251421
15040,6,2,11.2866184086
15041,6,2,8.40068024457
15042,6,4,5.07231653801
15043,6,3,8.7481776528
15044,6,3,9.66379267622
15045,6,3,7.98435971134
15046,6,4,7.18478209482
15047,6,3,9.70681318571
15048,6,2,5.58659108939
15049,6,3,5.93072961102
15050,6,3,11.012899283
15051,6,3,8.05838073064
15052,6,3,8.17818152533
15053,6,3,7.89726939551
15054,6,2,7.6248861558
15055,6,3,10.8730042869
15056,6,2,9.73527144994
15057,6,1,6.88186021363
15058,6,4,10.2513413756
15059,6,3,8.67409937688
15060,6,3,9.93428407083
15061,6,3,7.59831395771
15062,6,4,9.9121138008
15063,6,4,7.65142984665
15064,6,2,9.16515138991
15065,6,3,7.92839044195
15066,6,3,8.33291665625
15067,6,2,4.73372615022
15068,6,4,8.62288621441
15069,6,4,7.30217770997
15070,6,3,7.27820185363
15071,6,3,9.33066045303
15072,6,3,6.54522726878
15073,6,4,6.70952691919
15074,6,3,8.94519585731
15075,6,1,9.53502316026
15076,6,3,7.05336798983
15077,6,2,7.30475016684
15078,6,2,7.78203058334
15079,6,3,8.6281194037
15080,6,3,7.69839633446
15081,6,4,9.24774747348
15082,6,1,12.6650056006
15083,6,3,7.49753411139
15084,6,2,8.7496031656
15085,6,4,11.7238598119
15086,6,2,9.5
15087,6,3,11.4864050077
15088,6,3,8.79867414254
15089,6,4,7.16417781654
15090,6,2,10.8620612685
15091,6,2,8.47748598318
15092,6,3,11.5134703717
15093,6,3,5.85175662135
15094,6,4,6.79135104229
15095,6,0,8.10863737011
15096,6,1,6.01996677732
15097,6,4,9.33609285289
15098,6,2,7.92309978506
15099,6,3,9.67368838208
15100,6,3,10.027123709
15101,6,4,12.8804241174
15102,6,3,12.9529061518
15103,6,4,7.98811617342
15104,6,3,8.82251294665
15105,6,3,5.65369664152
15106,6,1,12.4415991106
15107,6,3,8.04673846972
15108,6,3,13.9204086785
15109,6,2,10.7256701422
15110,6,2,5.11468474102
15111,6,3,9.41483155741
15112,6,1,6.76798016808
15113,6,0,9.5
15114,6,2,17.4122801494
15115,6,3,6.75277720645
15116,6,3,8.15412753876
15117,6,1,8.84433277428
15118,6,1,6.2499382713
15119,6,2,10.7043604822
15120,6,2,7.91794654889
15121,6,4,17.4718432377
15122,6,3,7.06529315364
15123,6,3,14.8996644258
15124,6,3,8.37745893346
15125,6,3,9.66985898757
15126,6,1,5.3091901454
15127,6,4,8.808951875
15128,6,3,7.85875308176
15129,6,2,16.9988234887
15130,6,3,9.79543859579
15131,6,2,10.0529211919
15132,6,3,6.26941429127
15133,6,2,10.4758319744
15134,6,2,10.3198837203
15135,6,3,8.95111439875
15136,6,3,9.21086315174
15137,6,2,10.9665539766
15138,6,3,12.4040064092
15139,6,4,25.7940561629
15140,6,2,8.87693640847
15141,6,1,0.0
15142,6,2,11.6661375541
15143,6,2,13.0838641081
15144,6,3,6.66033032214
15145,6,3,7.13857014209
15146,6,3,8.23103881658
15147,6,3,8.58451382147
15148,6,2,9.46622284758
15149,6,2,10.975983884
15150,6,3,10.7814655776
15151,6,4,11.7431893891
15152,6,2,10.1481217474
15153,6,2,4.68078222333
15154,6,2,7.36498849663
15155,6,4,8.15603048874
15156,6,3,14.8492424049
15157,6,3,11.4273064776
15158,6,4,8.58405209754
15159,6,3,7.21817434095
15160,6,3,21.7006144306
15161,6,4,13.0705587552
15162,6,2,11.9189857883
15163,6,3,6.39444203108
15164,6,3,5.53524063514
15165,6,3,5.32290647422
15166,6,4,10.9755941898
15167,6,3,12.274635093
15168,6,4,9.97434350445
15169,6,4,8.55569985448
15170,6,3,10.3843493173
15171,6,2,9.68968523741
15172,6,2,10.0867762717
15173,6,4,8.89583062278
15174,6,3,5.07692307692
15175,6,2,9.04709898255
15176,6,4,12.4588210607
15177,6,1,8.02784410609
15178,6,2,10.5527247666
15179,6,4,9.25845604107
15180,6,4,9.56084317528
15181,6,4,15.2570265617
15182,6,4,7.76566517148
15183,6,2,7.52139804634
15184,6,3,8.11418511004
15185,6,1,7.71722460186
15186,6,4,6.95201974338
15187,6,3,10.3363436475
15188,6,1,35.5
15189,6,4,8.52773253698
15190,6,4,8.06174519178
15191,6,3,14.7016627933
15192,6,2,10.0467656487
15193,6,1,8.61684396981
15194,6,2,10.8332820512
15195,6,1,10.354816378
15196,6,3,7.61504561166
15197,6,3,12.7807252836
15198,6,3,16.7502665224
15199,6,3,8.1727222166
15200,6,4,10.8749465658
15201,6,3,7.4087035903
15202,6,3,5.61109392187
15203,6,4,8.73999427917
15204,6,2,8.43220260764
15205,6,3,10.7273912522
15206,6,2,4.49691252108
15207,6,2,16.4560019446
15208,6,3,8.7040220588
15209,6,3,9.72396809721
15210,6,3,7.15093018209
15211,6,2,8.88200427831
15212,6,2,6.34428877022
15213,6,3,23.7305475893
15214,6,1,7.90763000177
15215,6,4,8.48685257717
15216,6,3,14.8781719307
15217,6,2,7.12741187248
15218,6,2,9.63327566303
15219,6,3,9.76524449259
15220,6,3,9.38490217791
