id,set,human_score,sentence_count
20716,8,34,40
20717,8,46,30
20718,8,40,40
20719,8,30,23
20721,8,26,28
20722,8,40,56
20723,8,40,84
20724,8,34,19
20725,8,41,47
20726,8,40,35
20727,8,31,19
20728,8,44,33
20732,8,31,17
20733,8,36,31
20734,8,43,46
20735,8,20,11
20736,8,45,37
20737,8,40,31
20739,8,30,56
20741,8,35,30
20742,8,40,28
20743,8,42,38
20745,8,34,30
20746,8,33,35
20747,8,38,23
20748,8,36,39
20751,8,45,42
20754,8,31,41
20755,8,30,14
20756,8,34,20
20757,8,33,37
20758,8,40,61
20759,8,47,59
20760,8,30,53
20761,8,40,60
20762,8,32,21
20763,8,40,52
20764,8,30,8
20766,8,45,55
20767,8,45,61
20768,8,45,51
20769,8,50,81
20770,8,39,32
20771,8,33,28
20772,8,33,25
20773,8,34,45
20774,8,40,31
20775,8,33,13
20776,8,33,31
20777,8,40,37
20778,8,36,28
20779,8,37,34
20781,8,40,47
20783,8,33,44
20784,8,37,39
20785,8,42,30
20787,8,40,28
20790,8,40,32
20791,8,38,23
20792,8,31,30
20793,8,42,57
20794,8,40,33
20795,8,35,38
20796,8,35,71
20797,8,33,14
20800,8,33,54
20802,8,30,30
20803,8,37,19
20804,8,40,19
20805,8,40,42
20806,8,35,34
20807,8,35,32
20808,8,31,46
20809,8,40,58
20812,8,40,67
20813,8,36,25
20814,8,32,76
20815,8,31,33
20817,8,30,19
20818,8,32,24
20819,8,30,19
20821,8,55,62
20822,8,45,47
20823,8,41,43
20824,8,45,48
20825,8,33,32
20826,8,60,81
20827,8,45,48
20828,8,28,13
20829,8,49,44
20830,8,33,38
20831,8,29,10
20832,8,36,43
20833,8,40,47
20835,8,40,35
20836,8,40,32
20838,8,27,20
20839,8,24,3
20840,8,32,23
20841,8,33,35
20842,8,40,41
20844,8,30,46
20846,8,34,37
20847,8,35,36
20848,8,30,48
20849,8,44,31
20850,8,31,15
20851,8,32,30
20852,8,40,36
20853,8,32,25
20856,8,40,25
20857,8,36,33
20859,8,43,58
20860,8,36,27
20861,8,40,33
20862,8,45,60
20863,8,36,35
20865,8,38,54
20866,8,37,57
20869,8,36,68
20870,8,31,19
20871,8,20,5
20872,8,38,46
20874,8,32,11
20876,8,37,33
20877,8,40,37
20878,8,35,22
20879,8,40,24
20881,8,28,35
20882,8,38,53
20883,8,36,32
20884,8,43,37
20885,8,34,15
20887,8,32,20
20888,8,50,45
20889,8,40,29
20892,8,40,20
20893,8,37,29
20894,8,36,44
20895,8,40,34
20896,8,30,19
20897,8,32,24
20898,8,44,49
20899,8,37,51
20900,8,42,29
20901,8,40,53
20902,8,40,35
20904,8,30,29
20905,8,34,47
20906,8,44,30
20907,8,36,50
20908,8,35,28
20909,8,34,44
20910,8,32,23
20911,8,40,33
20913,8,34,22
20914,8,40,41
20915,8,40,59
20916,8,37,33
20917,8,38,41
20918,8,29,19
20919,8,34,20
20920,8,32,18
20921,8,43,40
20922,8,37,16
20923,8,34,27
20924,8,29,13
20925,8,30,22
20926,8,47,50
20927,8,36,32
20928,8,40,27
20929,8,29,12
20930,8,40,50
20931,8,41,61
20932,8,40,34
20933,8,32,19
20935,8,40,36
20936,8,44,35
20938,8,34,56
20939,8,31,19
20940,8,40,21
20942,8,40,42
20943,8,40,89
20944,8,31,67
20945,8,29,2
20946,8,43,59
20947,8,40,43
20948,8,40,68
20949,8,36,45
20953,8,31,34
20954,8,15,28
20955,8,40,35
20956,8,36,32
20957,8,45,42
20958,8,35,33
20959,8,45,52
20962,8,40,34
20963,8,40,36
20964,8,36,46
20965,8,28,8
20966,8,40,27
20967,8,20,4
20968,8,36,48
20971,8,46,38
20972,8,32,27
20973,8,41,30
20974,8,44,47
20975,8,36,29
20976,8,42,67
20977,8,42,57
20979,8,31,15
20981,8,40,15
20982,8,32,23
20983,8,43,26
20984,8,31,27
20985,8,36,26
20987,8,35,34
20988,8,36,50
20992,8,40,39
20993,8,45,43
20994,8,40,37
20996,8,38,15
20998,8,36,40
20999,8,37,33
21000,8,30,14
21001,8,41,60
21002,8,40,36
21003,8,36,31
21004,8,29,12
21005,8,32,34
21006,8,36,37
21007,8,40,31
21008,8,40,33
21009,8,33,38
21010,8,40,36
21012,8,30,24
21013,8,24,9
21014,8,33,24
21015,8,40,38
21016,8,31,19
21017,8,27,11
21020,8,33,8
21021,8,40,30
21022,8,37,52
21023,8,34,30
21024,8,33,17
21025,8,40,37
21026,8,32,34
21028,8,32,51
21029,8,30,9
21030,8,44,31
21031,8,25,29
21032,8,40,47
21033,8,27,25
21034,8,36,8
21035,8,45,37
21036,8,41,33
21037,8,50,55
21038,8,42,12
21039,8,36,17
21042,8,36,46
21043,8,40,32
21044,8,36,45
21045,8,37,31
21049,8,40,38
21051,8,42,58
21052,8,32,24
21053,8,30,27
21054,8,43,36
21055,8,35,18
21056,8,48,32
21057,8,40,75
21058,8,40,78
21059,8,45,27
21060,8,45,74
21061,8,30,28
21063,8,37,39
21064,8,38,29
21065,8,47,35
21067,8,41,53
21068,8,36,29
21069,8,42,33
21070,8,40,53
21071,8,30,42
21072,8,35,20
21073,8,40,33
21074,8,37,53
21075,8,35,26
21076,8,40,46
21077,8,40,36
21078,8,35,21
21079,8,34,20
21081,8,36,48
21083,8,41,21
21085,8,37,42
21086,8,30,17
21087,8,34,21
21089,8,36,34
21090,8,37,32
21091,8,34,25
21092,8,43,35
21093,8,42,66
21094,8,40,50
21095,8,35,44
21096,8,37,31
21097,8,46,46
21098,8,43,52
21099,8,40,50
21101,8,40,36
21102,8,31,18
21103,8,32,16
21105,8,40,42
21106,8,40,32
21107,8,40,28
21109,8,40,44
21110,8,45,46
21111,8,36,45
21112,8,35,35
21113,8,36,30
21114,8,40,27
21115,8,32,25
21116,8,37,48
21118,8,48,34
21119,8,33,33
21120,8,50,54
21122,8,46,50
21123,8,43,31
21126,8,27,31
21127,8,35,57
21129,8,36,40
21130,8,45,59
21131,8,35,38
21132,8,40,30
21133,8,35,50
21134,8,34,32
21135,8,40,41
21136,8,33,52
21137,8,39,51
21138,8,33,32
21140,8,24,13
21141,8,31,13
21142,8,36,27
21143,8,40,46
21144,8,40,29
21145,8,32,36
21146,8,47,36
21147,8,40,32
21148,8,35,20
21149,8,36,39
21150,8,28,7
21151,8,35,46
21153,8,33,20
21154,8,34,34
21155,8,36,38
21156,8,40,49
21157,8,40,70
21158,8,35,82
21159,8,46,37
21160,8,34,34
21161,8,40,55
21163,8,40,41
21164,8,45,27
21166,8,31,36
21167,8,40,44
21168,8,40,54
21170,8,39,41
21171,8,35,23
21174,8,42,42
21175,8,38,71
21176,8,34,23
21177,8,26,11
21178,8,31,23
21179,8,31,23
21180,8,40,42
21181,8,40,46
21182,8,31,34
21183,8,36,50
21185,8,42,54
21186,8,39,51
21188,8,37,9
21189,8,37,36
21190,8,36,44
21191,8,34,8
21192,8,35,44
21193,8,40,42
21194,8,42,36
21195,8,36,29
21198,8,34,52
21199,8,35,31
21200,8,40,62
21202,8,45,31
21203,8,40,52
21204,8,31,21
21205,8,31,13
21206,8,34,20
21207,8,44,33
21208,8,38,50
21209,8,42,52
21210,8,35,36
21211,8,33,29
21213,8,40,27
21214,8,40,17
21215,8,41,40
21217,8,30,12
21218,8,42,45
21219,8,40,73
21220,8,30,24
21221,8,31,24
21222,8,27,13
21223,8,36,36
21224,8,43,46
21225,8,50,39
21227,8,40,42
21229,8,40,43
21230,8,36,49
21233,8,40,52
21235,8,28,8
21236,8,40,33
21237,8,40,41
21238,8,37,27
21240,8,26,4
21241,8,30,33
21244,8,30,18
21245,8,40,43
21246,8,37,34
21247,8,34,41
21248,8,28,34
21249,8,42,26
21250,8,44,42
21251,8,40,45
21253,8,40,25
21255,8,41,20
21256,8,33,20
21257,8,30,23
21258,8,40,17
21259,8,43,34
21261,8,36,46
21262,8,36,43
21263,8,32,74
21264,8,36,26
21265,8,35,12
21266,8,38,34
21268,8,38,36
21269,8,40,20
21271,8,30,17
21272,8,40,37
21273,8,34,19
21274,8,40,34
21275,8,40,61
21276,8,34,41
21277,8,30,18
21279,8,33,23
21280,8,40,34
21281,8,40,27
21284,8,38,40
21285,8,37,58
21286,8,36,51
21287,8,40,60
21288,8,46,46
21289,8,49,47
21290,8,37,34
21291,8,30,46
21292,8,50,24
21293,8,33,18
21294,8,34,12
21295,8,45,36
21296,8,40,46
21297,8,32,23
21298,8,30,19
21299,8,41,46
