id,set,human_score,word_count
2978,2,4,476
2979,2,1,168
2980,2,2,220
2981,2,4,466
2982,2,4,422
2983,2,4,322
2984,2,5,520
2985,2,2,784
2986,2,4,331
2987,2,4,378
2988,2,3,333
2989,2,3,315
2990,2,5,485
2991,2,3,331
2992,2,3,93
2993,2,3,355
2994,2,4,655
2995,2,3,329
2996,2,1,148
2997,2,3,333
2998,2,3,319
2999,2,3,289
3000,2,3,196
3001,2,4,516
3002,2,3,494
3003,2,4,393
3004,2,4,198
3005,2,2,83
3006,2,3,277
3007,2,3,284
3008,2,4,425
3009,2,3,347
3010,2,3,172
3011,2,4,397
3012,2,3,296
3013,2,4,434
3014,2,4,374
3015,2,3,372
3016,2,3,312
3017,2,4,438
3018,2,3,448
3019,2,4,305
3020,2,4,729
3021,2,4,520
3022,2,4,321
3023,2,4,274
3024,2,4,668
3025,2,3,293
3026,2,4,373
3027,2,3,338
3028,2,5,502
3029,2,3,285
3030,2,4,381
3031,2,3,234
3032,2,4,479
3033,2,4,621
3034,2,4,737
3035,2,2,138
3036,2,3,264
3037,2,4,466
3038,2,2,92
3039,2,3,232
3040,2,3,397
3041,2,4,533
3042,2,4,295
3043,2,3,274
3044,2,3,248
3045,2,4,357
3046,2,3,233
3047,2,3,290
3048,2,3,530
3049,2,4,308
3050,2,2,323
3051,2,4,419
3052,2,4,393
3053,2,3,367
3054,2,3,423
3055,2,3,310
3056,2,3,321
3057,2,3,118
3058,2,3,369
3059,2,3,352
3060,2,4,368
3061,2,3,309
3062,2,3,319
3063,2,4,353
3064,2,3,338
3065,2,3,131
3066,2,1,71
3067,2,4,423
3068,2,2,240
3069,2,4,624
3070,2,3,281
3071,2,4,292
3072,2,4,699
3073,2,4,1066
3074,2,4,593
3075,2,4,623
3076,2,3,336
3077,2,5,600
3078,2,3,450
3079,2,3,424
3080,2,4,455
3081,2,4,324
3082,2,3,239
3083,2,3,313
3084,2,3,472
3085,2,3,182
3086,2,2,119
3087,2,2,153
3088,2,3,335
3089,2,3,306
3090,2,3,363
3091,2,2,175
3092,2,3,178
3093,2,3,248
3094,2,4,349
3095,2,2,151
3096,2,1,140
3097,2,3,445
3098,2,3,201
3099,2,4,596
3100,2,3,359
3101,2,3,194
3102,2,3,255
3103,2,3,299
3104,2,5,639
3105,2,3,206
3106,2,4,585
3107,2,3,443
3108,2,3,267
3109,2,3,424
3110,2,3,213
3111,2,3,320
3112,2,3,235
3113,2,3,266
3114,2,4,512
3115,2,4,395
3116,2,3,252
3117,2,3,310
3118,2,2,145
3119,2,4,506
3120,2,3,406
3121,2,4,405
3122,2,4,408
3123,2,4,269
3124,2,4,350
3125,2,4,649
3126,2,4,483
3127,2,3,408
3128,2,4,391
3129,2,4,914
3130,2,4,454
3131,2,4,287
3132,2,3,377
3133,2,4,441
3134,2,4,468
3135,2,3,291
3136,2,4,419
3137,2,3,320
3138,2,4,329
3139,2,3,356
3140,2,4,408
3141,2,3,441
3142,2,4,464
3143,2,3,341
3144,2,4,290
3145,2,4,539
3146,2,3,210
3147,2,2,95
3148,2,3,193
3149,2,3,419
3150,2,4,571
3151,2,3,371
3152,2,4,316
3153,2,4,724
3154,2,3,188
3155,2,3,195
3156,2,4,299
3157,2,4,473
3158,2,2,181
3159,2,1,178
3160,2,3,423
3161,2,3,380
3162,2,4,434
3163,2,5,357
3164,2,3,287
3165,2,4,270
3166,2,4,487
3167,2,3,234
3168,2,4,301
3169,2,3,366
3170,2,3,351
3171,2,5,544
3172,2,4,565
3173,2,3,488
3174,2,3,275
3175,2,4,597
3176,2,4,526
3177,2,1,173
3178,2,4,324
3179,2,4,384
3180,2,3,660
3181,2,4,594
3182,2,2,170
3183,2,3,326
3184,2,3,377
3185,2,4,353
3186,2,2,300
3187,2,3,284
3188,2,3,403
3189,2,4,531
3190,2,4,366
3191,2,4,593
3192,2,3,191
3193,2,3,380
3194,2,3,433
3195,2,4,307
3196,2,4,564
3197,2,3,229
3198,2,2,238
3199,2,4,348
3200,2,4,583
3201,2,4,331
3202,2,5,557
3203,2,4,366
3204,2,3,344
3205,2,3,312
3206,2,4,948
3207,2,3,285
3208,2,4,387
3209,2,3,226
3210,2,4,431
3211,2,3,297
3212,2,4,667
3213,2,4,467
3214,2,4,656
3215,2,3,183
3216,2,4,522
3217,2,4,629
3218,2,3,313
3219,2,4,679
3220,2,3,464
3221,2,3,638
3222,2,3,162
3223,2,3,320
3224,2,3,439
3225,2,4,241
3226,2,4,340
3227,2,3,451
3228,2,4,684
3229,2,4,410
3230,2,2,118
3231,2,4,753
3232,2,3,193
3233,2,3,351
3234,2,3,318
3235,2,4,644
3236,2,4,516
3237,2,2,93
3238,2,2,248
3239,2,4,505
3240,2,2,255
3241,2,1,40
3242,2,4,387
3243,2,4,641
3244,2,2,136
3245,2,2,67
3246,2,3,270
3247,2,4,540
3248,2,4,392
3249,2,3,653
3250,2,2,113
3251,2,3,284
3252,2,4,393
3253,2,4,463
3254,2,5,508
3255,2,3,510
3256,2,3,247
3257,2,1,94
3258,2,4,621
3259,2,2,111
3260,2,4,481
3261,2,4,573
3262,2,4,325
3263,2,4,568
3264,2,2,160
3265,2,4,535
3266,2,4,734
3267,2,3,335
3268,2,3,423
3269,2,4,482
3270,2,3,454
3271,2,4,645
3272,2,2,144
3273,2,4,676
3274,2,4,384
3275,2,3,305
3276,2,3,481
3277,2,5,724
3278,2,4,601
3279,2,4,477
3280,2,3,148
3281,2,4,661
3282,2,4,564
3283,2,3,478
3284,2,4,253
3285,2,4,331
3286,2,3,585
3287,2,3,397
3288,2,4,452
3289,2,3,279
3290,2,4,446
3291,2,5,704
3292,2,4,654
3293,2,4,365
3294,2,4,387
3295,2,3,296
3296,2,4,416
3297,2,3,270
3298,2,4,598
3299,2,4,556
3300,2,4,461
3301,2,3,296
3302,2,4,457
3303,2,3,301
3304,2,3,292
3305,2,3,336
3306,2,5,495
3307,2,3,524
3308,2,4,414
3309,2,4,439
3310,2,6,767
3311,2,4,579
3312,2,4,515
3313,2,3,312
3314,2,3,389
3315,2,4,470
3316,2,3,612
3317,2,3,432
3318,2,3,294
3319,2,3,258
3320,2,4,389
3321,2,4,504
3322,2,3,259
3323,2,4,488
3324,2,3,186
3325,2,4,537
3326,2,3,319
3327,2,3,386
3328,2,3,330
3329,2,3,179
3330,2,3,279
3331,2,4,677
3332,2,3,222
3333,2,3,204
3334,2,4,494
3335,2,4,290
3336,2,3,203
3337,2,4,443
3338,2,3,299
3339,2,4,460
3340,2,4,593
3341,2,3,410
3342,2,4,486
3343,2,5,982
3344,2,3,535
3345,2,3,287
3346,2,2,149
3347,2,4,431
3348,2,4,321
3349,2,3,287
3350,2,3,291
3351,2,4,375
3352,2,2,139
3353,2,2,376
3354,2,3,196
3355,2,3,348
3356,2,3,363
3357,2,3,430
3358,2,3,391
3359,2,2,201
3360,2,4,267
3361,2,4,437
3362,2,4,320
3363,2,2,279
3364,2,4,347
3365,2,3,343
