id,set,human_score,beauty_score
20716,8,34,15.8915078385
20717,8,46,21.385109812
20718,8,40,25.286139923
20719,8,30,19.8220596497
20721,8,26,22.5732963578
20722,8,40,16.8930796851
20723,8,40,23.2013312664
20724,8,34,5.34135825397
20725,8,41,17.0232859343
20726,8,40,10.8910073347
20727,8,31,10.2320691088
20728,8,44,18.8161393194
20732,8,31,24.0229388165
20733,8,36,13.0919938069
20734,8,43,13.2927356094
20735,8,20,2.39333896581
20736,8,45,18.5055524206
20737,8,40,13.086091149
20739,8,30,19.1577739203
20741,8,35,7.34655904783
20742,8,40,14.6483319346
20743,8,42,21.7045792184
20745,8,34,13.4798877015
20746,8,33,32.7873161773
20747,8,38,9.45314909919
20748,8,36,19.2595945113
20751,8,45,16.938773053
20754,8,31,20.1857417907
20755,8,30,4.2304649711
20756,8,34,18.0792523393
20757,8,33,10.8082240489
20758,8,40,25.5879484869
20759,8,47,22.7349008409
20760,8,30,21.8651365323
20761,8,40,19.1292653149
20762,8,32,12.1661254821
20763,8,40,27.1585018172
20764,8,30,12.1163876008
20766,8,45,15.0432289724
20767,8,45,15.255818602
20768,8,45,21.7952931792
20769,8,50,18.1926488095
20770,8,39,10.6356021117
20771,8,33,10.5028251066
20772,8,33,13.9083469852
20773,8,34,9.80223897284
20774,8,40,15.0947139392
20775,8,33,6.921967027
20776,8,33,25.6577995324
20777,8,40,13.0946156769
20778,8,36,17.0778585177
20779,8,37,17.8839596287
20781,8,40,18.5136881165
20783,8,33,12.8219060243
20784,8,37,18.0273584532
20785,8,42,10.0601531588
20787,8,40,10.2374780945
20790,8,40,13.7781213099
20791,8,38,8.15893238226
20792,8,31,10.0029480439
20793,8,42,32.4755958193
20794,8,40,15.9423364062
20795,8,35,15.0453844225
20796,8,35,18.7866396463
20797,8,33,4.86506323436
20800,8,33,9.2844756769
20802,8,30,22.0861264307
20803,8,37,11.0573116141
20804,8,40,14.6525710683
20805,8,40,19.2575728518
20806,8,35,14.6792146258
20807,8,35,12.9484953092
20808,8,31,16.5071411103
20809,8,40,26.9685954873
20812,8,40,20.4987768521
20813,8,36,10.7558156972
20814,8,32,20.4808221376
20815,8,31,14.092847521
20817,8,30,6.42558175337
20818,8,32,21.839387796
20819,8,30,10.3101581115
20821,8,55,15.649584303
20822,8,45,17.1940411904
20823,8,41,14.7739790635
20824,8,45,10.103925365
20825,8,33,12.4568531944
20826,8,60,64.0758569096
20827,8,45,17.0914331104
20828,8,28,10.4561352179
20829,8,49,12.0159613132
20830,8,33,14.4769126862
20831,8,29,6.26997880626
20832,8,36,22.7258441169
20833,8,40,19.4531623745
20835,8,40,15.4413132242
20836,8,40,10.5117266516
20838,8,27,8.33125877695
20839,8,24,4.28776290339
20840,8,32,7.25499345702
20841,8,33,16.6164265855
20842,8,40,24.4094222276
20844,8,30,15.3689176045
20846,8,34,14.0133406059
20847,8,35,15.3477653721
20848,8,30,24.871037888
20849,8,44,19.5577515757
20850,8,31,5.73127961019
20851,8,32,12.0131070665
20852,8,40,13.1535048066
20853,8,32,13.7620214756
20856,8,40,7.78764956937
20857,8,36,12.2852827677
20859,8,43,27.8643314321
20860,8,36,12.6444684915
20861,8,40,10.8486370131
20862,8,45,13.685807488
20863,8,36,10.6749280324
20865,8,38,23.2206841742
20866,8,37,22.7667869876
20869,8,36,19.0965709461
20870,8,31,5.86521808252
20871,8,20,1.03901405512
20872,8,38,14.7172023886
20874,8,32,11.5533585293
20876,8,37,17.4991969486
20877,8,40,13.5074120637
20878,8,35,20.8420042266
20879,8,40,14.4861378569
20881,8,28,19.1768800253
20882,8,38,31.8404764738
20883,8,36,11.1471151706
20884,8,43,12.0823475635
20885,8,34,9.97051442892
20887,8,32,13.2423190233
20888,8,50,12.6323964142
20889,8,40,13.7249048099
20892,8,40,14.8237027651
20893,8,37,9.33478631814
20894,8,36,15.2217674448
20895,8,40,12.3852522308
20896,8,30,4.56874792681
20897,8,32,6.43875010647
20898,8,44,16.1776148833
20899,8,37,18.4894194338
20900,8,42,11.7327772485
20901,8,40,15.6761783369
20902,8,40,17.3657629685
20904,8,30,15.7571076984
20905,8,34,22.6737850717
20906,8,44,7.9401576024
20907,8,36,16.7849693031
20908,8,35,13.2531104395
20909,8,34,15.662874214
20910,8,32,8.75573176764
20911,8,40,10.343547009
20913,8,34,14.5050743023
20914,8,40,18.1186612108
20915,8,40,20.4875716363
20916,8,37,16.2442660324
20917,8,38,13.9501078954
20918,8,29,8.95865920705
20919,8,34,6.44184679372
20920,8,32,18.5492669293
20921,8,43,68.1207016168
20922,8,37,6.94404792602
20923,8,34,13.166592195
20924,8,29,5.82240876393
20925,8,30,12.5598175328
20926,8,47,23.2421696629
20927,8,36,20.3036958547
20928,8,40,9.88957275705
20929,8,29,3.8861030058
20930,8,40,23.5106337704
20931,8,41,23.2121635248
20932,8,40,16.6826977287
20933,8,32,13.8245788889
20935,8,40,14.925328407
20936,8,44,14.4201034235
20938,8,34,19.2425689549
20939,8,31,8.98251182867
20940,8,40,10.6590064161
20942,8,40,14.7192081788
20943,8,40,28.8578866758
20944,8,31,19.6310013742
20945,8,29,12.0557636737
20946,8,43,18.2286843843
20947,8,40,16.5537911888
20948,8,40,23.4879827095
20949,8,36,13.248316623
20953,8,31,11.3889396567
20954,8,15,6.03326612857
20955,8,40,22.2720485704
20956,8,36,10.7554209827
20957,8,45,17.95557639
20958,8,35,13.6273514684
20959,8,45,19.2839596794
20962,8,40,20.9594585411
20963,8,40,15.5520523211
