id,set,human_score,vocabulory_score
17834,7,15,30
17836,7,13,35
17837,7,15,48
17838,7,17,82
17839,7,13,60
17840,7,23,139
17841,7,16,55
17842,7,18,43
17843,7,12,119
17844,7,10,24
17845,7,16,50
17846,7,19,35
17847,7,17,61
17849,7,14,58
17850,7,12,58
17851,7,16,52
17852,7,17,66
17853,7,16,28
17854,7,21,44
17856,7,14,35
17857,7,18,45
17858,7,24,81
17859,7,17,67
17860,7,16,60
17861,7,16,42
17862,7,9,35
17863,7,6,24
17864,7,10,34
17865,7,17,75
17867,7,16,63
17868,7,15,108
17869,7,11,41
17870,7,19,41
17871,7,24,135
17872,7,18,59
17873,7,16,71
17874,7,20,48
17875,7,12,67
17876,7,19,77
17878,7,10,43
17879,7,7,8
17880,7,16,44
17881,7,12,69
17882,7,12,25
17883,7,20,59
17884,7,24,80
17885,7,9,42
17886,7,9,17
17887,7,20,74
17888,7,16,66
17889,7,8,35
17890,7,15,45
17891,7,20,16
17892,7,17,58
17893,7,18,21
17894,7,13,18
17896,7,12,97
17897,7,20,62
17898,7,16,71
17899,7,24,204
17900,7,16,56
17901,7,10,27
17902,7,17,79
17903,7,12,22
17904,7,17,36
17905,7,8,12
17906,7,22,41
17908,7,24,62
17909,7,21,54
17910,7,19,74
17911,7,19,60
17912,7,12,55
17913,7,16,30
17914,7,12,45
17915,7,15,42
17916,7,9,31
17917,7,8,28
17918,7,14,49
17919,7,23,95
17920,7,14,16
17921,7,10,55
17922,7,17,49
17923,7,21,70
17924,7,24,114
17926,7,21,99
17927,7,6,25
17928,7,12,64
17930,7,21,65
17931,7,24,55
17932,7,24,104
17933,7,15,29
17935,7,14,40
17936,7,9,14
17937,7,9,20
17938,7,9,109
17939,7,22,94
17940,7,8,19
17941,7,15,49
17942,7,20,53
17943,7,10,51
17944,7,18,40
17945,7,18,50
17946,7,14,26
17947,7,23,99
17949,7,6,27
17950,7,11,16
17951,7,9,23
17952,7,21,66
17953,7,16,51
17954,7,11,64
17955,7,20,53
17957,7,8,22
17959,7,7,39
17961,7,17,50
