id,set,human_score,maturity_score
17834,7,15,4.62466666667
17836,7,13,4.92714285714
17837,7,15,4.94520833333
17838,7,17,5.15585365854
17839,7,13,5.33933333333
17840,7,23,5.01230215827
17841,7,16,5.25945454545
17842,7,18,5.14465116279
17843,7,12,5.16915966387
17844,7,10,5.38041666667
17845,7,16,5.1196
17846,7,19,4.63085714286
17847,7,17,5.02672131148
17849,7,14,5.2074137931
17850,7,12,5.1325862069
17851,7,16,5.04057692308
17852,7,17,5.21181818182
17853,7,16,5.37392857143
17854,7,21,4.80545454545
17856,7,14,5.19314285714
17857,7,18,5.53244444444
17858,7,24,5.44567901235
17859,7,17,5.17298507463
17860,7,16,5.79666666667
17861,7,16,5.22904761905
17862,7,9,5.48714285714
17863,7,6,4.87708333333
17864,7,10,5.27617647059
17865,7,17,4.74813333333
17867,7,16,4.96682539683
17868,7,15,4.94888888889
17869,7,11,5.40731707317
17870,7,19,4.73926829268
17871,7,24,5.6917037037
17872,7,18,5.05050847458
17873,7,16,5.26211267606
17874,7,20,5.12
17875,7,12,4.85955223881
17876,7,19,4.82519480519
17878,7,10,5.66511627907
17879,7,7,4.885
17880,7,16,5.22886363636
17881,7,12,5.02898550725
17882,7,12,5.2436
17883,7,20,5.0493220339
17884,7,24,5.102125
17885,7,9,5.12119047619
17886,7,9,5.29235294118
17887,7,20,5.2322972973
17888,7,16,5.10287878788
17889,7,8,4.40942857143
17890,7,15,5.17755555556
17891,7,20,5.193125
17892,7,17,4.90844827586
17893,7,18,5.1019047619
17894,7,13,4.81444444444
17896,7,12,4.91474226804
17897,7,20,4.44612903226
17898,7,16,5.39225352113
17899,7,24,5.3
17900,7,16,5.19821428571
17901,7,10,4.34074074074
17902,7,17,5.03164556962
17903,7,12,4.95227272727
17904,7,17,4.855
17905,7,8,4.70583333333
17906,7,22,4.71268292683
17908,7,24,5.03451612903
17909,7,21,4.75259259259
17910,7,19,5.06175675676
17911,7,19,5.01233333333
17912,7,12,4.94709090909
17913,7,16,4.927
17914,7,12,5.21266666667
17915,7,15,4.72571428571
17916,7,9,5.33258064516
17917,7,8,5.105
17918,7,14,4.8612244898
17919,7,23,4.89042105263
17920,7,14,5.50875
17921,7,10,5.12145454545
17922,7,17,5.07
17923,7,21,5.40414285714
17924,7,24,5.65894736842
17926,7,21,4.97181818182
17927,7,6,4.7196
17928,7,12,5.05484375
17930,7,21,4.83
17931,7,24,5.11618181818
17932,7,24,5.25375
17933,7,15,4.91551724138
17935,7,14,4.94975
