id,set,human_score,bag_of_words_score
2,1,9,13.6558932333
3,1,7,11.0763075068
4,1,10,14.6636193697
5,1,8,12.6804722881
6,1,8,4.87710472617
7,1,10,16.582156069
8,1,10,12.1780558854
9,1,9,9.75420945235
10,1,9,10.7296303976
11,1,8,5.85252567141
12,1,8,15.6067351238
13,1,7,7.80336756188
14,1,6,11.7050513428
15,1,6,6.41955245633
16,1,12,15.2306461546
17,1,8,12.6804722881
18,1,8,11.7050513428
19,1,4,0
20,1,6,8.68476626482
21,1,8,12.2720781277
22,1,3,2.61189091768
23,1,10,9.75420945235
24,1,11,11.6433342917
25,1,8,12.6804722881
26,1,9,10.1008865615
27,1,4,2.9262628357
28,1,9,6.82794661664
29,1,9,1.54244773015
30,1,8,5.85252567141
31,1,10,0
32,1,10,13.4678487487
33,1,6,0
34,1,8,6.82794661664
35,1,9,13.8145258579
36,1,10,0
37,1,12,10.227213995
38,1,8,9.75420945235
39,1,10,8.77878850711
40,1,7,6.73392437435
41,1,2,4.34238313241
42,1,8,11.2966571825
43,1,6,3.90168378094
44,1,8,20.4838398499
45,1,8,10.7296303976
46,1,8,8.77878850711
47,1,8,9.75420945235
48,1,11,9.75420945235
49,1,6,12.1780558854
50,1,5,2.9262628357
51,1,9,0
52,1,7,8.77878850711
53,1,8,17.5898822054
54,1,10,8.77878850711
55,1,8,6.82794661664
56,1,10,11.7050513428
57,1,9,7.92969499533
58,1,7,12.051728452
59,1,8,12.0840336432
60,1,4,5.53815375338
61,1,8,11.8313787763
62,1,8,16.3941115844
63,1,8,7.80336756188
64,1,7,9.75420945235
65,1,9,9.75420945235
66,1,9,1.76279740589
67,1,8,10.7296303976
68,1,9,8.59074402253
69,1,7,1.10174837868
70,1,12,7.80336756188
71,1,10,16.7407886936
72,1,10,12.6804722881
73,1,8,11.7050513428
74,1,7,10.541585913
75,1,8,2.20349675736
76,1,8,8.59074402253
77,1,10,17.5575770142
78,1,10,14.6313141785
79,1,10,17.3695325296
80,1,8,10.541585913
81,1,8,0
82,1,8,10.7296303976
83,1,7,4.87710472617
84,1,6,7.80336756188
85,1,10,22.4346817404
86,1,8,18.6916305841
87,1,10,0
88,1,9,9.75420945235
89,1,6,11.0763075068
90,1,7,15.1983409634
91,1,8,0
92,1,11,16.5204390179
93,1,11,12.6804722881
94,1,8,11.7050513428
95,1,10,9.75420945235
96,1,7,6.82794661664
97,1,8,8.77878850711
98,1,11,2.20349675736
99,1,8,0
100,1,7,7.80336756188
101,1,10,9.56616496777
102,1,8,13.1534768307
103,1,9,8.77878850711
104,1,10,11.9577062097
105,1,9,14.6313141785
106,1,11,15.7330625572
107,1,10,12.6804722881
108,1,8,8.81109369827
109,1,8,12.4924278035
110,1,6,4.87710472617
111,1,11,14.6636193697
112,1,9,12.6804722881
113,1,8,6.82794661664
114,1,8,11.2966571825
115,1,9,0
116,1,4,2.83224059341
117,1,8,10.7296303976
118,1,12,9.75420945235
119,1,10,0
120,1,8,10.7296303976
121,1,8,0
122,1,9,19.5407240959
123,1,10,12.6804722881
124,1,7,0
125,1,5,8.77878850711
126,1,8,10.7296303976
127,1,9,6.82794661664
128,1,9,8.77878850711
129,1,10,12.6804722881
130,1,10,19.887401205
131,1,10,14.8839690454
132,1,11,10.7296303976
133,1,10,8.59074402253
134,1,10,12.6804722881
135,1,7,6.82794661664
136,1,9,9.75420945235
137,1,7,0
138,1,10,16.3000893421
139,1,7,9.75420945235
140,1,9,0
141,1,10,11.7050513428
142,1,10,0
143,1,7,1.32209805442
144,1,9,8.77878850711
145,1,10,10.7296303976
146,1,6,3.90168378094
147,1,12,7.80336756188
148,1,9,10.7296303976
149,1,8,19.5084189047
150,1,8,0
151,1,8,9.34581529203
152,1,6,7.52130083501
153,1,9,9.75420945235
154,1,12,0
155,1,10,20.4838398499
156,1,8,8.77878850711
157,1,9,10.7296303976
158,1,9,16.9288331782
159,1,10,14.6313141785
160,1,8,8.59074402253
161,1,10,10.3212362373
162,1,12,16.582156069
163,1,8,10.7296303976
164,1,8,14.8839690454
165,1,9,11.7050513428
166,1,10,11.7050513428
167,1,8,5.85252567141
168,1,9,12.8391049127
169,1,6,5.53815375338
170,1,8,11.7050513428
171,1,8,13.6558932333
172,1,8,0
173,1,8,8.27637210451
174,1,8,1.10174837868
175,1,8,8.77878850711
176,1,10,13.6558932333
177,1,8,10.7296303976
178,1,8,6.1051805383
179,1,8,7.80336756188
180,1,10,9.75420945235
181,1,10,17.5575770142
182,1,8,11.7050513428
183,1,8,13.6558932333
184,1,8,9.75420945235
185,1,8,20.8628221503
186,1,8,10.7296303976
187,1,5,4.87710472617
188,1,9,8.77878850711
189,1,6,0
190,1,10,11.0763075068
191,1,8,9.75420945235
192,1,11,17.6544925877
193,1,8,15.6067351238
194,1,10,7.80336756188
195,1,5,0
196,1,8,13.6558932333
197,1,10,8.77878850711
198,1,10,8.77878850711
199,1,11,23.4101026856
200,1,8,11.7050513428
201,1,9,5.85252567141
202,1,8,1.98314708163
203,1,10,0
204,1,10,18.6916305841
205,1,10,7.80336756188
206,1,10,1.32209805442
207,1,8,9.56616496777
208,1,6,11.9577062097
209,1,6,8.77878850711
210,1,9,15.1983409634
211,1,6,6.82794661664
212,1,7,3.30524513604
213,1,8,6.82794661664
214,1,8,9.75420945235
215,1,10,13.1534768307
216,1,8,10.541585913
217,1,10,0
218,1,8,0
219,1,9,0
220,1,10,6.82794661664
221,1,6,0
222,1,9,0
223,1,8,18.5653031506
224,1,8,2.4238464331
225,1,12,10.7296303976
226,1,8,11.0763075068
227,1,9,12.6804722881
228,1,8,1.98314708163
229,1,8,0
230,1,9,15.6067351238
231,1,8,12.8067997215
232,1,12,14.6313141785
233,1,7,6.82794661664
234,1,8,16.582156069
235,1,7,11.7050513428
236,1,6,0
237,1,8,15.4186906392
238,1,9,11.5170068582
239,1,9,19.2263521778
240,1,8,10.7296303976
241,1,9,1.10174837868
242,1,9,0
243,1,11,19.4467018536
244,1,7,0
245,1,7,3.90168378094
246,1,11,11.7050513428
247,1,8,6.82794661664
248,1,9,12.6804722881
249,1,9,10.7296303976
250,1,10,6.82794661664
251,1,9,7.80336756188
252,1,9,21.6178934198
253,1,6,13.6558932333
254,1,10,16.582156069
255,1,8,0
256,1,8,0
257,1,8,12.6804722881
258,1,11,18.5329979595
259,1,9,12.6804722881
260,1,7,12.4924278035
261,1,9,0
262,1,8,7.80336756188
263,1,10,11.9577062097
264,1,8,8.77878850711
265,1,11,0
266,1,11,19.3203744201
267,1,10,9.75420945235
268,1,8,10.7296303976
269,1,9,11.7050513428
270,1,8,10.4475636707
271,1,8,8.77878850711
272,1,10,10.7296303976
273,1,8,11.0763075068
274,1,9,9.75420945235
275,1,11,12.6804722881
276,1,8,6.82794661664
277,1,9,14.2229200182
278,1,8,8.77878850711
279,1,10,9.75420945235
280,1,10,10.4475636707
281,1,7,15.9534122329
282,1,8,15.3246683969
283,1,6,8.77878850711
284,1,8,0
285,1,11,11.7050513428
286,1,4,2.61189091768
287,1,12,14.6313141785
288,1,8,1.54244773015
289,1,10,17.0551606116
290,1,11,8.77878850711
291,1,11,11.5170068582
292,1,11,8.77878850711
293,1,8,2.20349675736
294,1,10,14.6313141785
295,1,10,12.2720781277
296,1,10,10.7296303976
297,1,9,11.7050513428
298,1,8,12.9331271549
299,1,8,12.4924278035
300,1,8,11.7050513428
301,1,9,7.80336756188
302,1,10,16.582156069
303,1,10,11.2026349402
304,1,9,14.6313141785
305,1,10,12.6804722881
306,1,8,12.4924278035
307,1,9,7.80336756188
308,1,6,0
309,1,9,13.6881984244
310,1,10,0
311,1,9,9.75420945235
312,1,7,0
314,1,9,10.7296303976
315,1,10,11.2966571825
316,1,9,14.7899468031
317,1,10,25.3609445761
318,1,8,11.7050513428
319,1,9,7.80336756188
320,1,8,7.39497340156
321,1,12,11.7050513428
322,1,8,8.77878850711
323,1,10,14.5695971274
324,1,8,11.7050513428
325,1,9,11.7050513428
326,1,10,10.7296303976
327,1,6,2.20349675736
328,1,8,8.77878850711
329,1,8,12.6804722881
330,1,11,26.3363655213
331,1,10,13.6558932333
332,1,8,6.82794661664
333,1,9,6.82794661664
334,1,10,26.3363655213
335,1,9,7.80336756188
336,1,11,10.7296303976
337,1,10,0
338,1,8,8.77878850711
339,1,11,21.7119156621
340,1,9,11.7050513428
341,1,8,8.77878850711
342,1,9,18.6916305841
343,1,9,12.6804722881
345,1,10,0
346,1,12,14.6313141785
347,1,7,0
348,1,8,0
349,1,8,1.32209805442
350,1,8,15.6067351238
351,1,9,10.541585913
352,1,7,7.39497340156
353,1,5,5.75850342912
354,1,8,10.7296303976
355,1,6,13.6558932333
356,1,8,7.80336756188
357,1,8,7.92969499533
358,1,7,9.88053688579
359,1,2,0
360,1,6,0
361,1,10,0
362,1,10,0
363,1,8,8.77878850711
364,1,11,19.5084189047
365,1,9,12.6804722881
366,1,8,0
367,1,8,1.32209805442
368,1,9,8.77878850711
369,1,8,9.75420945235
370,1,10,0
371,1,8,6.82794661664
372,1,10,12.0840336432
373,1,8,7.92969499533
374,1,7,10.7296303976
375,1,4,3.90168378094
376,1,8,19.1323299355
377,1,10,13.6558932333
378,1,11,14.6313141785
379,1,9,10.7296303976
380,1,10,4.87710472617
381,1,10,15.6067351238
382,1,7,5.85252567141
383,1,11,11.7050513428
384,1,8,0
385,1,11,14.3492474517
386,1,10,1.98314708163
387,1,8,5.85252567141
388,1,7,14.9779912877
389,1,8,4.87710472617
390,1,10,14.6313141785
391,1,12,16.582156069
392,1,8,21.1771940683
393,1,8,9.34581529203
394,1,7,0
395,1,6,5.85252567141
396,1,7,10.1331917527
397,1,10,0
398,1,10,1.76279740589
399,1,8,15.8593899907
400,1,8,11.5170068582
401,1,6,4.87710472617
402,1,8,8.3703943468
403,1,8,20.2340783142
404,1,8,5.85252567141
405,1,9,23.4129960168
406,1,8,16.582156069
407,1,8,15.6390403149
408,1,8,13.6558932333
409,1,8,13.7205036156
410,1,8,11.5170068582
411,1,12,11.5170068582
412,1,10,9.75420945235
413,1,9,11.7050513428
414,1,8,13.6881984244
415,1,7,11.7050513428
416,1,6,5.85252567141
417,1,8,5.85252567141
418,1,12,21.083171826
419,1,6,2.64419610883
420,1,8,0
421,1,6,11.2966571825
422,1,7,1.32209805442
423,1,9,15.8593899907
424,1,9,9.75420945235
425,1,10,0
426,1,9,10.9822852645
427,1,11,16.582156069
428,1,8,0
429,1,9,0
430,1,8,10.7296303976
431,1,11,18.0305815569
432,1,8,10.1008865615
433,1,11,1.76279740589
434,1,7,0
435,1,11,0
436,1,8,13.4678487487
437,1,8,16.582156069
438,1,8,8.77878850711
439,1,10,14.6313141785
440,1,8,12.6804722881
441,1,8,26.0542987945
442,1,10,19.5084189047
443,1,8,13.247499073
444,1,8,10.3212362373
445,1,8,9.75420945235
446,1,10,14.7899468031
447,1,11,20.4838398499
448,1,9,1.76279740589
449,1,2,0.220349675736
450,1,7,8.77878850711
451,1,8,7.80336756188
452,1,7,14.757641612
453,1,9,20.768799908
454,1,8,11.7050513428
455,1,4,0
456,1,7,13.1534768307
457,1,10,15.6067351238
458,1,9,0
459,1,8,0
460,1,8,14.6313141785
461,1,8,10.7296303976
462,1,8,6.82794661664
463,1,8,0
464,1,7,16.3000893421
465,1,8,11.0763075068
466,1,9,0
467,1,8,13.6558932333
468,1,8,7.80336756188
469,1,9,7.6153230773
470,1,8,12.6804722881
471,1,8,0
472,1,12,14.6313141785
473,1,7,2.20349675736
474,1,6,5.85252567141
475,1,9,7.80336756188
476,1,8,19.5084189047
477,1,6,6.41955245633
478,1,8,7.80336756188
479,1,10,7.80336756188
480,1,8,16.0797396664
481,1,10,15.6067351238
482,1,9,12.6804722881
483,1,9,14.6313141785
484,1,7,0
485,1,10,11.7050513428
486,1,9,10.7619355887
487,1,8,12.2720781277
488,1,8,10.7296303976
489,1,9,11.7050513428
490,1,8,9.75420945235
491,1,8,12.6804722881
492,1,7,8.77878850711
493,1,8,9.75420945235
494,1,9,11.5170068582
495,1,8,11.4229846159
496,1,9,11.7050513428
497,1,9,15.6067351238
498,1,12,9.75420945235
499,1,9,8.77878850711
500,1,10,14.3492474517
501,1,8,11.7050513428
502,1,7,9.56616496777
503,1,8,9.75420945235
504,1,10,11.7050513428
505,1,10,11.7050513428
506,1,7,6.82794661664
507,1,10,27.1560471732
508,1,9,7.70934531959
509,1,11,12.6804722881
510,1,7,9.75420945235
511,1,8,6.82794661664
512,1,8,0
513,1,8,11.7050513428
514,1,8,1.32209805442
515,1,8,4.87710472617
516,1,8,12.6804722881
517,1,8,0
518,1,8,15.1043187212
519,1,12,15.6067351238
520,1,6,0
521,1,7,14.7899468031
522,1,9,14.1288977759
523,1,10,12.2720781277
524,1,8,0
525,1,9,8.77878850711
526,1,7,14.6313141785
527,1,8,1.32209805442
528,1,6,5.85252567141
529,1,7,2.4238464331
530,1,10,9.75420945235
531,1,10,11.7050513428
532,1,8,21.7119156621
533,1,8,12.6804722881
534,1,11,24.3855236309
535,1,8,8.77878850711
536,1,8,19.6670515293
537,1,8,10.7296303976
538,1,8,13.6558932333
539,1,9,19.3526796113
540,1,8,1.76279740589
541,1,8,9.75420945235
542,1,10,1.76279740589
543,1,8,5.85252567141
544,1,8,12.2720781277
545,1,2,0.975420945235
546,1,6,9.43983753432
547,1,8,12.6804722881
548,1,8,13.6558932333
549,1,8,6.82794661664
550,1,10,8.77878850711
551,1,8,29.1068890636
552,1,6,1.32209805442
553,1,8,12.4924278035
554,1,8,16.582156069
555,1,11,1.98314708163
556,1,10,11.7050513428
557,1,10,20.6424724745
558,1,10,11.9577062097
559,1,12,10.7619355887
560,1,8,0
561,1,8,8.77878850711
562,1,10,13.6558932333
563,1,7,0
564,1,8,19.7933789627
565,1,9,12.6804722881
566,1,8,11.7050513428
567,1,8,10.7296303976
568,1,8,14.2229200182
569,1,8,9.75420945235
570,1,8,8.77878850711
571,1,9,16.3000893421
572,1,11,18.5329979595
573,1,10,16.5204390179
574,1,8,5.85252567141
575,1,10,8.15004467106
576,1,8,10.7296303976
577,1,6,6.51357469862
578,1,9,1.76279740589
579,1,8,0
580,1,8,0
581,1,8,10.7296303976
582,1,11,7.80336756188
