id,set,human_score,avg_word_length
2,1,9,43.5322195704
3,1,7,44.0501792115
4,1,10,48.6832061069
5,1,8,44.0860215054
6,1,8,40.6910569106
7,1,10,44.6492985972
8,1,10,44.7095435685
9,1,9,42.7601809955
10,1,9,41.1752988048
11,1,8,49.012345679
12,1,8,44.693877551
13,1,7,39.068627451
14,1,6,41.8892508143
15,1,6,45.1136363636
16,1,12,48.5416666667
17,1,8,42.3880597015
18,1,8,42.0980926431
19,1,4,44.0909090909
20,1,6,44.1025641026
21,1,8,44.795640327
22,1,3,46.25
23,1,10,43.877159309
24,1,11,45.313059034
25,1,8,45.9726962457
26,1,9,43.75
27,1,4,42.5833333333
28,1,9,45.5277777778
29,1,9,43.7634408602
30,1,8,44.1634241245
31,1,10,43.0296610169
32,1,10,44.3089430894
33,1,6,43.5329341317
34,1,8,40.4143646409
35,1,9,43.7046004843
36,1,10,43.8745387454
37,1,12,43.0327868852
38,1,8,42.3011363636
39,1,10,42.8764044944
40,1,7,42.4210526316
41,1,2,43.1707317073
42,1,8,41.8085106383
43,1,6,44.4285714286
44,1,8,40.8626198083
45,1,8,41.6149068323
46,1,8,43.6912751678
47,1,8,41.4331210191
48,1,11,40.9007352941
49,1,6,46.126984127
50,1,5,46.5060240964
51,1,9,38.3187390543
52,1,7,44.0248962656
53,1,8,40.7547169811
54,1,10,43.5903614458
55,1,8,46.5400843882
56,1,10,50.5543710021
57,1,9,47.8006872852
58,1,7,43.1979695431
59,1,8,44.7963800905
60,1,4,48.6764705882
61,1,8,44.6843853821
62,1,8,41.9787985866
63,1,8,43.7586206897
64,1,7,40.6451612903
65,1,9,44.4202898551
66,1,9,45.8221024259
67,1,8,44.3686006826
68,1,9,45.1025641026
69,1,7,40.4979253112
70,1,12,47.9857819905
71,1,10,43.1151241535
72,1,10,49.5445920304
73,1,8,43.9378238342
74,1,7,43.67003367
75,1,8,47.7011494253
76,1,8,47.4832214765
77,1,10,45.9770114943
78,1,10,44.119047619
79,1,10,41.9160104987
80,1,8,45.8333333333
81,1,8,41.6804407713
82,1,8,47.615658363
83,1,7,41.5865384615
84,1,6,38.7128712871
85,1,10,44.3278084715
86,1,8,48.9021479714
87,1,10,44.2512077295
88,1,9,39.9546485261
89,1,6,43.1034482759
90,1,7,42.6200873362
91,1,8,44.1379310345
92,1,11,41.7511520737
93,1,11,48.4357541899
94,1,8,42.3003194888
95,1,10,41.7532467532
96,1,7,44.2173913043
97,1,8,45.6462585034
98,1,11,45.7177615572
99,1,8,43.1123919308
100,1,7,38.9787234043
101,1,10,44.7639484979
102,1,8,43.0909090909
103,1,9,42.5510204082
104,1,10,44.7880299252
105,1,9,41.4338919926
106,1,11,46.7590027701
107,1,10,46.5768621236
108,1,8,42.3224043716
109,1,8,40.7471264368
110,1,6,42.5
111,1,11,46.7213114754
112,1,9,43.8630806846
113,1,8,44.3902439024
114,1,8,45.773955774
115,1,9,38.6417322835
116,1,4,49.0566037736
117,1,8,43.3855799373
118,1,12,48.129330254
119,1,10,41.0103092784
120,1,8,40.7219251337
121,1,8,39.8913043478
122,1,9,44.765478424
123,1,10,44.0145985401
124,1,7,39.1575091575
125,1,5,40.5681818182
126,1,8,43.1071428571
127,1,9,44.6517412935
128,1,9,44.6305418719
129,1,10,40.5288461538
130,1,10,47.1209540034
131,1,10,45.6904761905
132,1,11,49.4823529412
133,1,10,41.8145956607
134,1,10,44.05
135,1,7,44.2528735632
136,1,9,41.3812154696
137,1,7,42.5102880658
138,1,10,46.5336658354
139,1,7,41.3888888889
140,1,9,45.2777777778
141,1,10,43.5130434783
142,1,10,48.530183727
143,1,7,40.9900990099
144,1,9,42.0408163265
145,1,10,51.6066481994
146,1,6,41.6216216216
147,1,12,46.2016806723
148,1,9,42.9738562092
149,1,8,42.5
150,1,8,42.5742574257
151,1,8,41.3469387755
152,1,6,48.7209302326
153,1,9,42.2085889571
154,1,12,45.7446808511
155,1,10,44.6910755149
156,1,8,41.3513513514
157,1,9,45.1785714286
158,1,9,48.6363636364
159,1,10,45.670995671
160,1,8,44.4117647059
161,1,10,44.4364508393
162,1,12,46.0486891386
163,1,8,48.4482758621
164,1,8,48.4897959184
165,1,9,46.3611859838
166,1,10,45.6610800745
167,1,8,40.3625377644
168,1,9,47.1428571429
169,1,6,50.4666666667
170,1,8,42.5671641791
171,1,8,40.0931677019
172,1,8,42.2352941176
173,1,8,43.28125
174,1,8,42.1776504298
175,1,8,45.3333333333
176,1,10,44.5669291339
177,1,8,38.282208589
178,1,8,48.0223880597
179,1,8,47.3090909091
180,1,10,41.4187643021
181,1,10,48.8009049774
182,1,8,42.7645051195
183,1,8,45.903307888
184,1,8,39.2248062016
185,1,8,41.5021459227
186,1,8,44.1791044776
187,1,5,42.1621621622
188,1,9,42.5790754258
189,1,6,48.253968254
190,1,10,46.5830721003
191,1,8,45.7786885246
192,1,11,45.3783231084
193,1,8,44.0350877193
194,1,10,44.7600767754
195,1,5,44.2276422764
196,1,8,39.2408376963
197,1,10,40.3646833013
198,1,10,46.7933491686
199,1,11,45.2303523035
200,1,8,45.0415512465
201,1,9,45.7215189873
202,1,8,44.7606382979
203,1,10,40.6841046278
204,1,10,44.7282608696
205,1,10,45.0535714286
206,1,10,46.6115702479
207,1,8,45.1785714286
208,1,6,49.6
209,1,6,41.5243902439
210,1,9,46.8169761273
211,1,6,40.0
212,1,7,39.4795539033
213,1,8,37.5555555556
214,1,8,46.9836065574
215,1,10,49.4936708861
216,1,8,41.8
217,1,10,42.6959847036
218,1,8,41.0914454277
219,1,9,43.8759689922
220,1,10,47.5406032483
221,1,6,45.0485436893
222,1,9,47.8260869565
223,1,8,42.3294117647
224,1,8,44.2228739003
225,1,12,42.8625235405
226,1,8,45.5241935484
227,1,9,45.138121547
228,1,8,45.2739726027
229,1,8,41.2363636364
230,1,9,42.7152317881
231,1,8,45.0
232,1,12,46.2900188324
233,1,7,48.6528497409
234,1,8,43.5135135135
235,1,7,41.9463087248
236,1,6,38.407960199
237,1,8,44.8101265823
238,1,9,42.6791277259
239,1,9,45.0228310502
240,1,8,44.5669291339
241,1,9,45.0406504065
242,1,9,43.5034802784
243,1,11,38.7183544304
244,1,7,39.5702005731
245,1,7,41.6766467066
246,1,11,44.3653250774
247,1,8,43.5820895522
248,1,9,40.7438016529
249,1,9,46.1607142857
250,1,10,45.145631068
251,1,9,42.1402877698
252,1,9,43.6117936118
253,1,6,42.9090909091
254,1,10,40.7142857143
255,1,8,41.3803680982
256,1,8,43.1802120141
257,1,8,41.8604651163
258,1,11,45.1526717557
259,1,9,43.7906976744
260,1,7,42.7974276527
261,1,9,43.9414414414
262,1,8,39.795221843
263,1,10,45.9160305344
264,1,8,45.6097560976
265,1,11,43.7343358396
266,1,11,47.8787878788
267,1,10,48.2222222222
268,1,8,45.5513307985
269,1,9,42.8894472362
270,1,8,40.7179487179
271,1,8,41.28125
272,1,10,44.1130604288
273,1,8,44.0338983051
274,1,9,44.4415584416
275,1,11,48.0102040816
276,1,8,43.5606060606
277,1,9,43.5406698565
278,1,8,46.7441860465
279,1,10,46.8045977011
280,1,10,44.0954773869
281,1,7,44.2342342342
282,1,8,46.7412140575
283,1,6,39.1031390135
284,1,8,41.7320261438
285,1,11,41.9818181818
286,1,4,43.064516129
287,1,12,45.6545454545
288,1,8,43.2653061224
289,1,10,44.525
290,1,11,46.7039106145
291,1,11,47.0709382151
292,1,11,45.4702495202
293,1,8,44.4933920705
294,1,10,41.9913419913
295,1,10,46.5507246377
296,1,10,41.130952381
297,1,9,46.0300429185
298,1,8,43.7135278515
299,1,8,42.3333333333
300,1,8,44.3298969072
301,1,9,44.6197183099
302,1,10,47.9930191972
303,1,10,43.4389140271
304,1,9,43.572778828
305,1,10,41.7634854772
306,1,8,43.4
307,1,9,44.776119403
308,1,6,38.5039370079
309,1,9,43.7185929648
310,1,10,49.1780821918
311,1,9,41.7847025496
312,1,7,40.9012875536
314,1,9,44.8888888889
315,1,10,47.3684210526
316,1,9,46.8901303538
317,1,10,47.4390243902
318,1,8,44.2317380353
319,1,9,46.89373297
320,1,8,42.4767801858
321,1,12,44.765478424
322,1,8,43.4890965732
323,1,10,42.2276029056
324,1,8,44.7112462006
325,1,9,41.9338422392
326,1,10,48.726993865
327,1,6,39.225
328,1,8,42.4489795918
329,1,8,39.6541786744
330,1,11,46.5940902022
331,1,10,43.8972162741
332,1,8,43.8111888112
333,1,9,44.6031746032
334,1,10,41.7280453258
335,1,9,42.4709302326
336,1,11,45.5198487713
337,1,10,49.9288256228
338,1,8,41.214953271
339,1,11,45.4752851711
340,1,9,47.9827089337
341,1,8,43.1768953069
342,1,9,45.4824561404
343,1,9,45.0277777778
345,1,10,42.6291079812
346,1,12,44.5575221239
347,1,7,39.8455598456
348,1,8,41.0280373832
349,1,8,41.2030075188
350,1,8,41.9059405941
351,1,9,46.0169491525
352,1,7,45.1583710407
353,1,5,40.157480315
354,1,8,46.6535433071
355,1,6,38.2568807339
356,1,8,44.6494464945
357,1,8,45.8431372549
358,1,7,46.4615384615
359,1,2,47.5
360,1,6,43.8888888889
361,1,10,44.1589648799
362,1,10,45.3829787234
363,1,8,43.1679389313
364,1,11,48.8682432432
365,1,9,46.1826697892
366,1,8,42.1487603306
367,1,8,44.8538011696
368,1,9,47.0684039088
369,1,8,45.6355932203
370,1,10,46.0626029654
371,1,8,43.2288401254
372,1,10,46.4317180617
373,1,8,46.7896678967
374,1,7,42.2222222222
375,1,4,35.8490566038
376,1,8,44.1814159292
377,1,10,46.6666666667
378,1,11,42.1413276231
379,1,9,41.8924731183
380,1,10,45.3745928339
381,1,10,43.4893617021
382,1,7,44.2857142857
383,1,11,44.8466257669
384,1,8,43.0769230769
385,1,11,48.7196110211
386,1,10,40.0680272109
387,1,8,46.8571428571
388,1,7,42.4175824176
389,1,8,45.6953642384
390,1,10,42.380952381
391,1,12,43.1203007519
392,1,8,44.3569553806
393,1,8,45.0326797386
394,1,7,40.4268292683
395,1,6,39.6449704142
396,1,7,42.1246458924
397,1,10,44.2
398,1,10,46.0576923077
399,1,8,43.7054631829
400,1,8,45.8045977011
401,1,6,42.7848101266
402,1,8,45.7785467128
403,1,8,43.1950207469
404,1,8,41.6180371353
405,1,9,46.1142857143
406,1,8,46.1358313817
407,1,8,42.1333333333
408,1,8,47.5409836066
409,1,8,46.3953488372
410,1,8,41.5501519757
411,1,12,48.8152610442
412,1,10,45.6950672646
413,1,9,43.2397959184
414,1,8,41.4409221902
415,1,7,41.8823529412
416,1,6,41.265060241
417,1,8,41.71875
418,1,12,50.1342281879
419,1,6,42.3394495413
420,1,8,44.8062015504
421,1,6,42.1226415094
422,1,7,39.5180722892
423,1,9,43.4387351779
424,1,9,46.400862069
425,1,10,41.8884120172
426,1,9,44.555808656
427,1,11,46.1829025845
428,1,8,45.1070336391
429,1,9,43.5917312661
430,1,8,40.8098591549
431,1,11,46.7427385892
432,1,8,45.6338028169
433,1,11,44.641350211
434,1,7,39.6802325581
435,1,11,41.2924071082
436,1,8,46.0459183673
437,1,8,44.5671641791
438,1,8,45.6393442623
439,1,10,43.6281179138
440,1,8,41.2621359223
441,1,8,46.4661654135
442,1,10,46.0049019608
443,1,8,43.6140350877
444,1,8,49.2814371257
445,1,8,40.8438818565
446,1,10,49.010989011
447,1,11,46.2256809339
448,1,9,45.8472553699
449,1,2,43.4782608696
450,1,7,41.6549295775
451,1,8,41.9241192412
452,1,7,43.8916256158
453,1,9,46.4648910412
454,1,8,40.8620689655
455,1,4,41.6666666667
456,1,7,43.0057803468
457,1,10,46.5235173824
458,1,9,45.6
459,1,8,41.5172413793
460,1,8,44.3991416309
461,1,8,42.1387283237
462,1,8,42.6330532213
463,1,8,44.8372093023
464,1,7,41.7293233083
465,1,8,44.8013245033
466,1,9,43.9221556886
467,1,8,48.625
468,1,8,44.8128342246
469,1,9,47.4262734584
470,1,8,45.4277286136
471,1,8,45.6370656371
472,1,12,45.137254902
473,1,7,38.9568345324
474,1,6,39.609375
475,1,9,44.7505422993
476,1,8,41.2154696133
477,1,6,47.0555555556
478,1,8,45.4545454545
479,1,10,45.0108932462
480,1,8,43.3440514469
481,1,10,48.800856531
482,1,9,45.7179487179
483,1,9,41.4888337469
484,1,7,46.7632850242
485,1,10,42.5567010309
486,1,9,44.8088531187
487,1,8,42.071197411
488,1,8,42.3456790123
489,1,9,45.0574712644
490,1,8,41.9397363465
491,1,8,39.2915531335
492,1,7,43.0293159609
493,1,8,43.4782608696
494,1,9,46.392251816
495,1,8,45.0819672131
496,1,9,43.7974683544
497,1,9,43.5239567233
498,1,12,47.0168855535
499,1,9,41.5763546798
500,1,10,47.5308641975
501,1,8,43.3806818182
502,1,7,45.0387596899
503,1,8,44.9361702128
504,1,10,46.883910387
505,1,10,41.2098765432
506,1,7,40.2517985612
507,1,10,45.7580645161
508,1,9,48.9473684211
509,1,11,46.6831683168
510,1,7,45.859375
511,1,8,40.7722007722
512,1,8,39.6026490066
513,1,8,43.9230769231
514,1,8,45.4298642534
515,1,8,40.0986842105
516,1,8,45.5630630631
517,1,8,39.8445595855
518,1,8,46.2264150943
519,1,12,45.8974358974
520,1,6,41.9413919414
521,1,7,43.8493723849
522,1,9,46.4018691589
523,1,10,44.2203742204
524,1,8,41.0732984293
525,1,9,41.7151162791
526,1,7,41.0839160839
527,1,8,45.1851851852
528,1,6,41.6145833333
529,1,7,45.4148471616
530,1,10,45.4901960784
531,1,10,42.7611940299
532,1,8,43.3591731266
533,1,8,43.3936651584
534,1,11,50.0541271989
535,1,8,41.4325842697
536,1,8,47.0694864048
537,1,8,42.416918429
538,1,8,39.0853658537
539,1,9,42.4468085106
540,1,8,42.939481268
541,1,8,41.726618705
542,1,10,45.0
543,1,8,43.1333333333
544,1,8,49.0236686391
545,1,2,44.375
546,1,6,42.0253164557
547,1,8,45.0537634409
548,1,8,45.0520833333
549,1,8,49.9399399399
550,1,10,45.0505050505
551,1,8,45.4617414248
552,1,6,44.35
553,1,8,43.3980582524
554,1,8,43.9036144578
555,1,11,45.4182509506
556,1,10,41.6635160681
557,1,10,42.6459854015
558,1,10,47.1734475375
559,1,12,47.7777777778
560,1,8,42.6016260163
561,1,8,42.1987951807
562,1,10,43.7238493724
563,1,7,45.7923497268
564,1,8,47.0574162679
565,1,9,43.2618025751
566,1,8,46.2264150943
567,1,8,42.1960784314
568,1,8,43.4047619048
569,1,8,41.6981132075
570,1,8,40.6995884774
571,1,9,47.4794520548
572,1,11,47.5
573,1,10,46.1367521368
574,1,8,41.796875
575,1,10,47.3671497585
576,1,8,44.3324250681
577,1,6,41.2162162162
578,1,9,43.7692307692
579,1,8,42.8205128205
580,1,8,40.0419287212
581,1,8,44.4591029024
582,1,11,47.5710594315
583,1,9,38.4317718941
584,1,9,40.2272727273
585,1,11,47.0541401274
586,1,8,42.4579124579
587,1,9,40.2487562189
588,1,10,44.2175572519
589,1,5,42.9702970297
590,1,6,40.3378378378
591,1,8,41.75066313
592,1,8,46.8936170213
593,1,10,42.0108695652
594,1,7,45.9183673469
595,1,8,53.2592592593
596,1,6,43.9411764706
597,1,8,44.3073593074
598,1,8,39.4202898551
599,1,8,45.4196642686
600,1,6,37.8873239437
601,1,8,44.3661971831
602,1,8,47.520661157
603,1,11,45.0143678161
604,1,9,48.9508196721
605,1,6,40.5154639175
606,1,8,42.652173913
607,1,9,43.3105022831
608,1,7,44.3967828418
609,1,7,41.3846153846
610,1,7,41.1969111969
611,1,9,42.3383084577
612,1,10,45.4233409611
613,1,8,43.2463768116
614,1,6,42.4626865672
615,1,9,45.1551312649
616,1,8,42.8875379939
617,1,9,45.1740139211
618,1,8,43.4474885845
619,1,11,47.4422735346
620,1,7,41.4659685864
