id,set,human_score,misspell_words
8863,4,0,3
8864,4,0,9
8865,4,3,5
8866,4,2,2
8867,4,2,9
8868,4,1,3
8869,4,0,4
8870,4,2,0
8871,4,1,0
8872,4,2,4
8873,4,2,4
8874,4,0,0
8875,4,1,1
8876,4,2,13
8877,4,0,3
8878,4,1,0
8879,4,2,4
8880,4,1,4
8881,4,3,17
8882,4,1,0
8883,4,1,3
8884,4,1,4
8885,4,3,11
8886,4,1,2
8887,4,2,6
8888,4,2,16
8889,4,1,3
8890,4,2,7
8891,4,3,10
8892,4,1,4
8893,4,2,0
8894,4,1,5
8895,4,3,6
8896,4,2,6
8897,4,1,6
8898,4,2,2
8899,4,0,3
8900,4,2,5
8901,4,0,1
8902,4,3,7
8903,4,3,3
8904,4,2,14
8905,4,2,11
8906,4,2,3
8907,4,0,0
8908,4,1,5
8909,4,2,2
8910,4,1,1
8911,4,3,6
8912,4,1,3
8913,4,1,4
8914,4,2,19
8915,4,2,7
8916,4,0,6
8917,4,0,3
8918,4,1,7
8919,4,3,6
8920,4,0,1
8921,4,2,8
8922,4,2,7
8923,4,3,15
8924,4,2,5
8925,4,1,3
8926,4,1,5
8927,4,0,2
8928,4,1,4
8929,4,1,0
8930,4,0,7
8931,4,3,3
8932,4,1,0
8933,4,2,7
8934,4,1,2
8935,4,2,15
8936,4,1,2
8937,4,1,6
8938,4,1,0
8939,4,3,10
8940,4,2,7
8941,4,3,21
8942,4,1,1
8943,4,1,2
8944,4,1,2
8945,4,2,2
8946,4,3,2
8947,4,0,2
8948,4,3,9
8949,4,0,3
8950,4,1,7
8951,4,2,4
8952,4,1,3
8953,4,1,2
8954,4,3,9
8955,4,3,10
8956,4,1,0
8957,4,2,3
8958,4,0,3
8959,4,3,7
8960,4,1,4
8961,4,1,6
8962,4,2,3
8963,4,1,3
8964,4,0,1
8965,4,2,11
8966,4,1,2
8967,4,2,1
8968,4,2,1
8969,4,2,9
8970,4,1,4
8971,4,1,3
8972,4,2,7
8973,4,3,10
8974,4,3,4
8975,4,0,1
8976,4,0,2
8977,4,2,11
8978,4,0,8
8979,4,3,18
8980,4,1,2
8981,4,3,2
8982,4,1,1
8983,4,2,5
8984,4,1,2
8985,4,1,5
8986,4,2,5
8987,4,2,1
8988,4,2,10
8989,4,1,1
8990,4,3,18
8991,4,0,0
8992,4,0,5
8993,4,0,3
8994,4,0,0
8995,4,2,6
8996,4,2,15
8997,4,1,2
8998,4,3,8
8999,4,1,2
9000,4,1,0
9001,4,2,20
9002,4,2,3
9003,4,2,12
9004,4,3,12
9005,4,3,0
9006,4,3,1
9007,4,2,11
9008,4,2,5
9009,4,2,9
9010,4,1,2
9011,4,2,11
9012,4,1,4
9013,4,1,4
9014,4,2,8
9015,4,1,4
9016,4,3,6
9017,4,2,0
9018,4,2,3
9019,4,3,13
9020,4,0,0
9021,4,2,1
9022,4,2,5
9023,4,1,3
9024,4,1,1
9025,4,1,2
9026,4,2,5
9027,4,3,17
9028,4,1,1
9029,4,2,16
9030,4,0,0
9031,4,1,1
9032,4,1,2
9033,4,1,18
9034,4,2,3
9035,4,3,13
9036,4,0,2
9037,4,3,12
9038,4,1,3
9039,4,2,7
9040,4,3,12
9041,4,0,1
9042,4,2,11
9043,4,2,2
9044,4,1,17
9045,4,0,6
9046,4,1,3
9047,4,1,5
9048,4,0,1
9049,4,2,10
9050,4,1,3
9051,4,2,9
9052,4,3,8
9053,4,2,6
9054,4,1,11
9055,4,1,5
9056,4,0,7
9057,4,2,2
9058,4,3,8
9059,4,0,0
9060,4,3,12
9061,4,3,14
9062,4,0,1
9063,4,1,3
9064,4,1,4
9065,4,1,0
9066,4,1,7
9067,4,1,2
9068,4,1,1
9069,4,3,8
9070,4,1,3
9071,4,2,5
9072,4,0,5
9073,4,1,5
9074,4,3,10
9075,4,3,13
9076,4,0,0
9077,4,1,4
9078,4,1,1
9079,4,2,5
9080,4,1,3
9081,4,2,5
9082,4,2,3
9083,4,2,11
