id,set,human_score,char_4
2,1,9,138
3,1,7,102
4,1,10,238
5,1,8,171
6,1,8,68
7,1,10,210
8,1,10,188
9,1,9,140
10,1,9,153
11,1,8,167
12,1,8,140
13,1,7,62
14,1,6,106
15,1,6,74
16,1,12,252
17,1,8,107
18,1,8,129
19,1,4,23
20,1,6,61
21,1,8,127
22,1,3,28
23,1,10,207
24,1,11,227
25,1,8,131
26,1,9,142
27,1,4,40
28,1,9,143
29,1,9,146
30,1,8,88
31,1,10,153
32,1,10,188
33,1,6,64
34,1,8,108
35,1,9,164
36,1,10,200
37,1,12,188
38,1,8,109
39,1,10,162
40,1,7,64
41,1,2,14
42,1,8,96
43,1,6,51
44,1,8,104
45,1,8,108
46,1,8,115
47,1,8,105
48,1,11,193
49,1,6,120
50,1,5,35
51,1,9,140
52,1,7,96
53,1,8,122
54,1,10,155
55,1,8,98
56,1,10,214
57,1,9,132
58,1,7,67
59,1,8,181
60,1,4,32
61,1,8,115
62,1,8,97
63,1,8,97
64,1,7,64
65,1,9,136
66,1,9,152
67,1,8,112
68,1,9,154
69,1,7,74
70,1,12,192
71,1,10,176
72,1,10,245
73,1,8,151
74,1,7,112
75,1,8,153
76,1,8,138
77,1,10,191
78,1,10,160
79,1,10,128
80,1,8,167
81,1,8,120
82,1,8,118
83,1,7,66
84,1,6,57
85,1,10,208
86,1,8,195
87,1,10,164
88,1,9,139
89,1,6,83
90,1,7,75
91,1,8,86
92,1,11,224
93,1,11,250
94,1,8,96
95,1,10,159
96,1,7,89
97,1,8,125
98,1,11,166
99,1,8,121
100,1,7,67
101,1,10,184
102,1,8,129
103,1,9,140
104,1,10,146
105,1,9,170
106,1,11,150
107,1,10,255
108,1,8,111
109,1,8,103
110,1,6,77
111,1,11,237
112,1,9,149
113,1,8,131
114,1,8,171
115,1,9,158
116,1,4,24
117,1,8,124
118,1,12,218
119,1,10,168
120,1,8,123
121,1,8,123
122,1,9,216
123,1,10,148
124,1,7,83
125,1,5,60
126,1,8,94
127,1,9,153
128,1,9,150
129,1,10,120
130,1,10,260
131,1,10,174
132,1,11,201
133,1,10,171
134,1,10,143
135,1,7,93
136,1,9,181
137,1,7,89
138,1,10,174
139,1,7,63
140,1,9,150
141,1,10,207
142,1,10,170
143,1,7,94
144,1,9,141
145,1,10,178
146,1,6,66
147,1,12,254
148,1,9,114
149,1,8,150
150,1,8,104
151,1,8,82
152,1,6,95
153,1,9,175
154,1,12,176
155,1,10,167
156,1,8,115
157,1,9,183
158,1,9,159
159,1,10,186
160,1,8,112
161,1,10,162
162,1,12,217
163,1,8,106
164,1,8,115
165,1,9,163
166,1,10,220
167,1,8,104
168,1,9,185
169,1,6,79
170,1,8,113
171,1,8,99
172,1,8,82
173,1,8,91
174,1,8,124
175,1,8,143
176,1,10,149
177,1,8,97
178,1,8,134
179,1,8,118
180,1,10,140
181,1,10,194
182,1,8,114
183,1,8,181
184,1,8,108
185,1,8,146
186,1,8,126
187,1,5,36
188,1,9,136
189,1,6,52
190,1,10,141
191,1,8,93
192,1,11,206
193,1,8,157
194,1,10,202
195,1,5,50
196,1,8,116
197,1,10,139
198,1,10,181
199,1,11,282
200,1,8,153
201,1,9,147
202,1,8,150
203,1,10,149
204,1,10,149
205,1,10,233
206,1,10,152
207,1,8,113
208,1,6,75
209,1,6,52
210,1,9,169
211,1,6,44
212,1,7,83
213,1,8,82
214,1,8,126
215,1,10,252
216,1,8,141
217,1,10,179
218,1,8,114
219,1,9,143
220,1,10,183
221,1,6,84
222,1,9,205
223,1,8,154
224,1,8,144
225,1,12,177
226,1,8,102
227,1,9,164
228,1,8,128
229,1,8,89
230,1,9,172
231,1,8,108
232,1,12,221
233,1,7,85
234,1,8,157
235,1,7,95
236,1,6,51
237,1,8,127
238,1,9,116
239,1,9,175
240,1,8,95
241,1,9,100
242,1,9,152
243,1,11,189
244,1,7,104
245,1,7,54
246,1,11,250
247,1,8,156
248,1,9,154
249,1,9,134
250,1,10,140
251,1,9,195
252,1,9,155
253,1,6,82
254,1,10,190
255,1,8,97
256,1,8,100
257,1,8,151
258,1,11,190
259,1,9,154
260,1,7,106
261,1,9,174
262,1,8,76
263,1,10,236
264,1,8,128
265,1,11,154
266,1,11,162
267,1,10,199
268,1,8,98
269,1,9,143
270,1,8,116
271,1,8,104
272,1,10,205
273,1,8,126
274,1,9,133
275,1,11,167
276,1,8,87
277,1,9,152
278,1,8,120
279,1,10,190
280,1,10,154
281,1,7,87
282,1,8,130
283,1,6,62
284,1,8,108
285,1,11,197
286,1,4,28
287,1,12,227
288,1,8,125
289,1,10,151
290,1,11,227
291,1,11,191
292,1,11,204
293,1,8,93
294,1,10,162
295,1,10,137
296,1,10,168
297,1,9,209
298,1,8,133
299,1,8,118
300,1,8,186
301,1,9,141
302,1,10,248
303,1,10,164
304,1,9,211
305,1,10,158
306,1,8,161
307,1,9,128
308,1,6,35
309,1,9,161
310,1,10,159
311,1,9,118
312,1,7,75
314,1,9,143
315,1,10,174
316,1,9,228
317,1,10,208
318,1,8,141
319,1,9,158
320,1,8,120
321,1,12,210
322,1,8,121
323,1,10,145
324,1,8,137
325,1,9,120
326,1,10,303
327,1,6,117
328,1,8,123
329,1,8,109
330,1,11,267
331,1,10,172
332,1,8,111
333,1,9,152
334,1,10,244
335,1,9,126
336,1,11,217
337,1,10,129
338,1,8,70
339,1,11,204
340,1,9,141
341,1,8,100
342,1,9,192
343,1,9,148
345,1,10,154
346,1,12,258
347,1,7,76
348,1,8,106
349,1,8,80
350,1,8,153
351,1,9,149
352,1,7,93
353,1,5,30
354,1,8,115
355,1,6,48
356,1,8,108
357,1,8,106
358,1,7,80
359,1,2,4
360,1,6,56
361,1,10,200
362,1,10,173
363,1,8,102
364,1,11,260
365,1,9,176
366,1,8,119
367,1,8,143
368,1,9,130
369,1,8,91
370,1,10,248
371,1,8,123
372,1,10,194
373,1,8,119
374,1,7,144
375,1,4,41
376,1,8,182
377,1,10,191
378,1,11,171
379,1,9,153
380,1,10,117
381,1,10,182
382,1,7,95
383,1,11,193
384,1,8,84
385,1,11,288
386,1,10,132
387,1,8,141
388,1,7,96
389,1,8,112
390,1,10,138
391,1,12,189
392,1,8,144
393,1,8,118
394,1,7,52
395,1,6,48
396,1,7,119
397,1,10,207
398,1,10,168
399,1,8,161
400,1,8,148
401,1,6,59
402,1,8,122
403,1,8,176
404,1,8,135
405,1,9,303
406,1,8,184
407,1,8,131
408,1,8,146
409,1,8,170
410,1,8,109
411,1,12,226
412,1,10,189
413,1,9,144
414,1,8,108
415,1,7,104
416,1,6,57
417,1,8,75
418,1,12,275
419,1,6,81
420,1,8,100
421,1,6,67
422,1,7,90
423,1,9,189
424,1,9,207
425,1,10,149
426,1,9,178
427,1,11,204
428,1,8,119
429,1,9,144
430,1,8,188
431,1,11,218
432,1,8,125
433,1,11,192
434,1,7,100
435,1,11,190
436,1,8,176
437,1,8,132
438,1,8,130
439,1,10,161
440,1,8,110
441,1,8,166
442,1,10,167
443,1,8,116
444,1,8,174
445,1,8,75
446,1,10,204
447,1,11,217
448,1,9,179
449,1,2,8
450,1,7,93
451,1,8,106
452,1,7,75
453,1,9,180
454,1,8,148
455,1,4,34
456,1,7,124
457,1,10,195
458,1,9,104
459,1,8,94
460,1,8,169
461,1,8,103
462,1,8,125
463,1,8,162
464,1,7,99
465,1,8,109
466,1,9,126
467,1,8,137
468,1,8,76
469,1,9,170
470,1,8,142
471,1,8,104
472,1,12,217
473,1,7,83
474,1,6,32
475,1,9,195
476,1,8,115
477,1,6,81
478,1,8,157
479,1,10,185
480,1,8,131
481,1,10,201
482,1,9,145
483,1,9,139
484,1,7,95
485,1,10,178
486,1,9,190
487,1,8,102
488,1,8,116
489,1,9,214
490,1,8,204
491,1,8,111
492,1,7,108
493,1,8,94
494,1,9,163
495,1,8,125
496,1,9,115
497,1,9,220
498,1,12,240
499,1,9,135
500,1,10,163
501,1,8,121
502,1,7,53
503,1,8,92
504,1,10,194
