id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18,pos_4,pos_2,pos_15,char_8,sentence_count,word_18
20716,8,34,204,664,80,221,29,130,53,47,43,17,40,14
20717,8,46,242,780,93,348,29,97,77,67,41,21,30,24
20718,8,40,291,848,110,322,34,121,96,86,50,28,40,21
20719,8,30,214,705,61,265,17,106,81,82,36,4,23,12
20721,8,26,130,646,24,248,22,111,51,38,49,1,28,18
20722,8,40,315,695,92,205,31,105,64,54,68,20,56,10
20723,8,40,308,825,96,304,44,121,80,67,62,21,84,3
20724,8,34,84,291,21,117,14,44,30,24,21,5,19,6
20725,8,41,273,733,124,305,35,107,97,66,61,38,47,18
20726,8,40,226,537,87,219,23,70,63,40,43,18,35,10
20727,8,31,143,439,52,169,17,73,54,52,22,8,19,11
20728,8,44,321,816,164,286,30,118,92,83,70,71,33,26
20732,8,31,182,818,53,318,17,137,61,48,58,10,17,16
20733,8,36,183,559,71,227,27,79,57,36,45,30,31,14
20734,8,43,317,763,135,284,37,97,86,60,74,55,46,15
20735,8,20,43,131,19,57,6,22,18,9,8,12,11,2
20736,8,45,256,711,101,292,30,92,79,47,64,29,37,19
20737,8,40,168,528,70,228,23,59,55,35,33,11,31,10
20739,8,30,209,735,55,270,36,93,72,53,44,23,56,12
20741,8,35,116,280,37,112,9,50,23,22,20,5,30,1
20742,8,40,198,630,88,221,26,93,72,69,34,20,28,19
20743,8,42,312,848,122,320,33,142,111,79,58,42,38,20
20745,8,34,201,478,88,154,16,85,62,38,51,36,30,12
20746,8,33,253,844,67,294,27,86,90,47,54,15,35,21
20747,8,38,125,356,53,136,18,48,48,30,15,11,23,6
20748,8,36,220,688,78,264,33,98,67,57,43,19,39,16
20751,8,45,198,614,70,228,31,70,73,37,32,14,42,11
20754,8,31,260,829,101,308,35,111,100,59,49,31,41,20
20755,8,30,78,226,33,101,9,36,24,22,11,9,14,5
20756,8,34,220,737,89,302,19,101,72,67,54,25,20,17
20757,8,33,230,727,98,319,26,71,98,74,51,23,37,16
20758,8,40,293,849,116,307,39,71,92,52,56,35,61,12
20759,8,47,251,734,109,252,31,97,76,52,56,20,59,12
20760,8,30,326,835,131,321,42,112,103,61,60,32,53,14
20761,8,40,295,847,109,343,38,108,84,80,56,29,60,15
20762,8,32,141,455,61,159,16,73,42,39,33,20,21,10
20763,8,40,273,844,90,299,32,126,104,72,54,28,52,19
20764,8,30,85,305,31,101,7,49,29,30,17,10,8,6
20766,8,45,336,832,145,322,39,97,99,67,74,52,55,14
20767,8,45,252,653,80,265,35,101,77,42,38,14,61,5
20768,8,45,339,844,104,338,38,122,115,67,42,31,51,16
20769,8,50,322,832,146,323,28,109,78,70,75,38,81,11
20770,8,39,156,442,60,168,17,61,57,40,21,24,32,8
20771,8,33,130,359,65,133,19,43,38,26,28,13,28,5
20772,8,33,197,545,65,184,20,91,55,34,55,12,25,13
20773,8,34,158,477,44,185,21,65,62,34,21,6,45,6
20774,8,40,131,550,54,186,25,67,64,58,23,6,31,12
20775,8,33,97,319,42,119,12,49,46,25,19,15,13,9
20776,8,33,210,657,77,216,27,71,79,47,47,23,31,16
20777,8,40,199,487,77,189,24,70,43,37,44,11,37,5
20778,8,36,214,601,81,247,24,88,50,66,41,17,28,13
20779,8,37,199,650,74,262,32,85,76,56,54,18,34,19
20781,8,40,234,751,98,257,32,113,94,59,53,29,47,14
20783,8,33,215,579,90,231,32,93,72,67,37,21,44,6
20784,8,37,192,622,67,265,28,78,76,58,41,18,39,12
20785,8,42,162,491,52,197,24,81,49,45,42,14,30,12
20787,8,40,146,368,55,152,18,43,40,21,39,7,28,6
20790,8,40,207,565,85,206,29,69,52,36,56,26,32,11
20791,8,38,116,325,55,131,13,57,41,35,16,20,23,5
20792,8,31,105,285,38,113,11,60,29,19,14,10,30,1
20793,8,42,280,792,111,328,38,118,79,53,40,39,57,13
20794,8,40,211,637,81,284,26,73,76,49,45,18,33,14
20795,8,35,203,607,89,231,32,70,61,32,39,16,38,13
20796,8,35,345,846,110,303,36,139,80,72,77,26,71,9
20797,8,33,86,234,47,86,12,29,31,22,10,9,14,7
20800,8,33,247,564,132,206,23,74,68,40,60,28,54,7
20802,8,30,233,830,86,310,27,97,101,51,33,22,30,25
20803,8,37,141,405,49,150,15,50,46,28,38,10,19,8
20804,8,40,125,424,71,156,18,69,45,21,22,17,19,7
20805,8,40,309,844,113,310,38,76,78,64,70,21,42,20
20806,8,35,199,573,95,229,27,80,63,43,52,20,34,12
20807,8,35,155,466,68,154,19,74,54,32,19,17,32,11
20808,8,31,185,589,66,247,22,73,59,40,24,19,46,12
20809,8,40,266,836,99,320,42,128,89,62,62,21,58,16
20812,8,40,298,848,106,296,45,97,91,74,62,36,67,10
20813,8,36,170,460,61,185,23,52,62,31,33,19,25,12
20814,8,32,331,835,125,311,35,120,90,60,59,33,76,8
20815,8,31,273,752,112,303,29,85,81,59,49,33,33,20
20817,8,30,80,259,21,92,11,26,23,21,18,1,19,4
20818,8,32,272,840,115,370,21,142,100,99,52,31,24,18
20819,8,30,104,333,39,124,14,39,25,18,21,8,19,5
20821,8,55,375,833,167,343,44,151,99,79,70,55,62,12
20822,8,45,251,742,103,283,37,82,77,53,44,34,47,17
20823,8,41,320,772,160,307,31,128,82,70,60,50,43,21
20824,8,45,243,543,141,228,27,77,49,46,41,43,48,2
20825,8,33,145,513,44,213,23,68,59,37,31,21,32,8
20826,8,60,250,658,117,254,28,105,74,54,44,33,81,7
20827,8,45,222,605,66,223,22,102,55,47,44,14,48,10
20828,8,28,66,250,23,93,11,48,29,21,14,5,13,7
20829,8,49,272,582,117,211,26,84,55,48,69,36,44,9
20830,8,33,203,622,80,227,28,82,72,43,27,12,38,14
20831,8,29,74,294,27,104,9,31,44,18,11,1,10,8
20832,8,36,252,779,94,275,29,107,78,47,47,21,43,16
20833,8,40,241,641,90,244,33,81,51,62,30,21,47,8
20835,8,40,220,638,81,246,27,83,84,65,36,27,35,15
20836,8,40,192,519,90,175,30,64,57,43,46,24,32,8
20838,8,27,87,279,23,131,12,50,30,18,9,4,20,5
20839,8,24,35,175,10,61,2,32,19,17,6,0,3,2
20840,8,32,108,317,49,135,14,53,41,29,10,10,23,7
20841,8,33,194,658,79,256,30,93,87,59,39,17,35,18
20842,8,40,337,849,113,343,34,122,96,66,75,26,41,21
20844,8,30,323,828,90,288,33,101,68,56,67,26,46,21
20846,8,34,198,559,80,224,28,62,52,32,47,16,37,11
20847,8,35,187,538,77,180,28,68,62,50,44,9,36,9
20848,8,30,266,848,107,322,41,119,78,60,47,32,48,20
20849,8,44,276,848,112,336,28,78,104,65,75,30,31,25
20850,8,31,84,236,33,98,9,48,26,28,16,7,15,5
20851,8,32,145,451,53,190,21,42,64,45,29,13,30,9
20852,8,40,188,526,95,215,27,74,55,47,40,27,36,8
20853,8,32,156,518,62,170,21,62,53,49,38,14,25,10
20856,8,40,159,380,70,129,22,54,38,36,28,25,25,6
