id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18,pos_4,pos_2,pos_15,char_8,sentence_count,word_18,pos_24,pos_19
2,1,9,138,419,82,156,13,56,58,35,19,29,19,7,17,41
3,1,7,102,279,53,97,10,39,32,27,15,19,15,5,12,35
4,1,10,238,524,132,195,20,74,64,43,42,56,25,8,26,53
5,1,8,171,465,88,170,24,66,44,54,22,37,31,7,34,41
6,1,8,68,246,36,83,11,38,28,23,12,13,15,6,15,8
7,1,10,210,499,90,198,20,94,65,43,27,23,27,13,40,30
8,1,10,188,482,85,178,24,62,56,39,41,35,36,6,29,34
9,1,9,140,442,69,153,19,80,40,57,28,20,29,8,31,23
10,1,9,153,502,62,182,21,67,51,54,38,20,25,10,35,33
11,1,8,167,324,76,121,14,46,29,28,27,28,21,6,20,29
12,1,8,140,392,81,143,20,57,44,45,30,30,26,8,32,29
13,1,7,62,204,20,70,6,30,20,19,17,6,7,5,5,10
14,1,6,106,307,48,93,14,50,33,20,34,10,26,1,10,30
15,1,6,74,176,34,66,8,25,22,10,15,10,14,3,8,27
16,1,12,252,528,111,218,27,98,60,42,37,51,35,7,17,52
17,1,8,107,335,45,128,16,50,41,28,13,14,18,7,27,13
18,1,8,129,367,48,142,12,45,30,26,22,12,16,9,40,21
19,1,4,23,66,11,5,4,20,5,8,5,9,7,0,1,2
20,1,6,61,156,30,53,6,20,15,9,17,15,11,3,6,25
21,1,8,127,367,74,137,18,55,42,28,21,32,20,8,35,23
22,1,3,28,56,7,27,2,11,8,7,2,2,3,2,0,6
23,1,10,207,521,99,202,21,61,78,44,20,19,29,8,20,47
24,1,11,227,559,110,216,21,76,71,42,49,34,30,14,34,44
25,1,8,131,293,64,116,16,50,29,28,20,13,17,8,10,21
26,1,9,142,360,66,129,10,48,41,21,19,11,14,7,13,36
27,1,4,40,120,17,36,6,11,13,7,10,8,8,1,6,17
28,1,9,143,360,71,151,16,47,51,20,27,25,28,5,22,37
29,1,9,146,372,62,136,15,43,50,26,32,23,21,7,21,37
30,1,8,88,257,47,117,13,27,22,10,12,19,16,6,14,28
31,1,10,153,472,84,186,21,69,49,32,32,31,28,13,38,29
32,1,10,188,492,89,184,22,63,45,30,39,33,30,8,33,43
33,1,6,64,167,26,67,6,23,20,14,14,8,13,3,6,21
34,1,8,108,362,58,145,17,61,34,42,19,13,26,8,22,32
35,1,9,164,413,65,175,16,48,40,36,31,25,30,8,21,34
36,1,10,200,542,85,193,17,53,80,36,42,35,17,13,32,45
37,1,12,188,488,83,186,24,66,53,39,44,25,28,10,26,38
38,1,8,109,352,67,116,16,54,46,33,19,21,18,13,17,20
39,1,10,162,445,67,168,13,80,51,39,28,17,22,7,24,28
40,1,7,64,190,33,62,8,38,21,20,12,14,17,1,0,10
41,1,2,14,41,7,15,2,4,5,4,2,4,4,0,1,8
42,1,8,96,282,37,107,12,28,41,21,19,7,15,8,17,28
43,1,6,51,140,29,49,7,22,16,13,5,10,9,3,6,12
44,1,8,104,313,39,102,14,56,45,29,23,4,29,1,17,32
45,1,8,108,322,44,114,16,59,47,25,20,8,18,8,25,22
46,1,8,115,298,53,119,10,55,33,16,16,19,12,6,6,6
