id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18,pos_4,pos_2,pos_15,char_8,sentence_count,word_18,pos_24,pos_19,pos_1,pos_6,pos_29,char_10,pos_31
14834,6,2,48,122,25,46,6,17,18,17,11,12,7,4,6,12,3,2,2,1,2
14835,6,3,81,180,38,80,9,28,25,28,15,18,10,6,9,15,5,3,3,2,2
14836,6,4,70,166,34,69,8,31,16,24,10,13,9,3,9,13,2,10,2,2,1
14837,6,1,89,193,35,70,7,22,28,24,5,12,13,5,3,10,4,5,6,1,2
14838,6,3,74,162,37,67,7,23,20,23,18,14,11,3,5,12,0,8,5,0,0
14839,6,4,88,168,45,65,9,39,22,28,15,20,11,4,8,8,3,5,5,5,2
14840,6,3,67,148,34,65,6,29,20,25,7,16,7,5,4,7,5,5,4,3,3
14841,6,3,62,128,36,58,5,21,16,17,9,16,6,4,9,10,4,4,2,4,0
14842,6,3,51,114,24,56,5,18,13,16,5,10,10,2,2,8,1,1,4,0,1
14843,6,3,54,130,27,59,4,20,11,19,13,10,12,0,10,10,2,7,1,0,1
14844,6,3,100,233,60,95,13,36,16,29,19,29,16,3,21,7,9,12,10,9,2
14845,6,4,137,312,74,135,13,39,37,40,28,35,19,8,22,24,4,13,7,7,4
14846,6,4,88,213,44,76,9,32,22,33,14,19,10,5,10,12,7,16,4,6,1
14847,6,3,88,195,46,81,9,38,23,27,7,14,14,3,7,14,3,8,3,2,1
14848,6,2,55,135,29,51,4,25,20,22,5,14,7,4,3,9,7,7,0,1,0
14849,6,3,72,152,39,66,7,26,14,25,10,11,8,4,7,12,5,4,3,2,2
14850,6,1,54,141,34,42,7,23,13,21,8,13,9,3,4,13,5,8,4,2,1
14851,6,3,52,126,26,56,7,18,13,22,15,10,8,2,13,8,2,3,0,2,0
14852,6,3,36,87,17,42,3,18,14,13,11,6,4,3,4,5,1,2,1,1,3
14853,6,2,42,88,22,36,4,16,8,13,3,14,5,3,2,6,2,9,4,4,0
14854,6,3,53,114,33,46,5,14,12,18,7,14,10,1,2,11,1,7,3,3,0
14855,6,4,103,244,51,96,11,34,23,39,17,19,12,5,8,15,6,14,4,3,5
14856,6,2,65,177,28,74,8,22,21,26,8,8,13,4,15,5,0,7,3,1,3
14857,6,4,108,233,57,103,10,38,23,40,23,26,13,5,10,19,5,8,6,6,1
14858,6,3,49,116,23,55,5,12,17,20,7,7,7,3,9,12,2,5,1,0,2
14859,6,2,59,167,33,63,8,25,16,21,17,14,12,4,12,11,4,7,2,4,1
14860,6,3,97,210,52,88,10,28,26,30,21,15,11,6,9,15,5,11,3,2,1
14861,6,3,83,198,42,83,10,34,25,27,18,14,15,3,10,14,2,7,4,1,4
