id,set,human_score,char_4,word_count
5978,3,1,15,51
5979,3,2,65,176
5980,3,1,33,95
5981,3,1,23,86
5982,3,2,56,133
5983,3,1,26,70
5984,3,1,12,43
5985,3,0,36,111
5986,3,2,40,92
5987,3,3,75,149
5988,3,3,69,175
5989,3,1,28,95
5990,3,3,63,137
5991,3,2,30,84
5992,3,1,30,69
5993,3,2,50,126
5994,3,2,47,105
5995,3,2,43,105
5996,3,1,37,91
5997,3,2,43,90
5998,3,2,19,52
5999,3,1,10,34
6000,3,2,61,126
6001,3,1,19,62
6002,3,2,33,115
6003,3,3,74,184
6004,3,1,10,40
6005,3,3,69,170
6006,3,2,35,89
6007,3,3,57,138
6008,3,1,56,139
6010,3,1,32,96
6011,3,1,10,19
6012,3,0,27,83
6013,3,1,16,44
6014,3,3,66,157
6015,3,2,50,125
6016,3,3,78,209
6017,3,1,23,74
6018,3,2,36,83
6019,3,1,23,72
6020,3,2,48,132
6021,3,2,23,60
6022,3,2,49,122
6023,3,2,62,155
6024,3,1,30,69
6025,3,1,15,52
6026,3,3,70,205
6027,3,3,84,239
6028,3,2,36,75
6029,3,1,43,104
6030,3,3,78,181
6031,3,3,71,174
6032,3,2,27,71
6033,3,3,80,190
6034,3,2,58,136
6035,3,1,30,90
6036,3,2,58,158
6037,3,2,28,79
6038,3,2,51,142
6039,3,1,45,119
6040,3,1,32,85
6041,3,2,15,46
6042,3,2,47,107
6043,3,1,18,61
6044,3,2,6,16
6045,3,2,38,107
6046,3,1,44,105
6047,3,1,22,68
6048,3,1,41,130
6049,3,1,29,57
6050,3,3,136,336
6051,3,1,54,147
6052,3,2,58,141
6053,3,1,23,58
6054,3,1,31,76
6055,3,2,39,131
6056,3,1,44,102
6057,3,3,59,145
6058,3,2,46,132
6059,3,1,21,42
6060,3,1,15,57
6061,3,3,96,251
6062,3,1,32,84
6063,3,2,46,111
6064,3,2,36,90
6065,3,2,40,110
6066,3,1,23,71
6067,3,1,19,66
6068,3,2,19,70
6069,3,2,43,127
6070,3,2,40,93
6071,3,2,46,101
6072,3,2,41,91
6073,3,2,65,167
6074,3,2,19,69
6075,3,3,116,239
6076,3,2,77,198
6077,3,1,37,95
6078,3,2,24,78
6079,3,3,56,127
