id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18,pos_4,pos_2,pos_15,char_8,sentence_count,word_18,pos_24,pos_19,pos_1,pos_6,pos_29,char_10,pos_31,pos_28,misspell_words,pos_22,pos_27
2,1,9,138,419,82,156,13,56,58,35,19,29,19,7,17,41,18,8,5,9,6,20,31,34,8
3,1,7,102,279,53,97,10,39,32,27,15,19,15,5,12,35,16,8,0,4,6,9,11,14,1
4,1,10,238,524,132,195,20,74,64,43,42,56,25,8,26,53,17,15,8,13,12,5,72,16,17
5,1,8,171,465,88,170,24,66,44,54,22,37,31,7,34,41,15,21,2,6,16,6,23,24,2
6,1,8,68,246,36,83,11,38,28,23,12,13,15,6,15,8,9,10,5,2,5,4,20,21,6
7,1,10,210,499,90,198,20,94,65,43,27,23,27,13,40,30,16,13,3,7,16,12,18,31,7
8,1,10,188,482,85,178,24,62,56,39,41,35,36,6,29,34,20,24,6,16,15,10,28,42,7
9,1,9,140,442,69,153,19,80,40,57,28,20,29,8,31,23,22,14,3,12,19,7,18,24,1
10,1,9,153,502,62,182,21,67,51,54,38,20,25,10,35,33,26,27,7,8,23,8,30,34,7
11,1,8,167,324,76,121,14,46,29,28,27,28,21,6,20,29,11,14,8,4,9,10,21,18,3
12,1,8,140,392,81,143,20,57,44,45,30,30,26,8,32,29,13,5,2,1,15,11,46,20,2
13,1,7,62,204,20,70,6,30,20,19,17,6,7,5,5,10,12,1,2,0,5,4,25,28,5
14,1,6,106,307,48,93,14,50,33,20,34,10,26,1,10,30,18,14,5,0,6,3,35,13,1
15,1,6,74,176,34,66,8,25,22,10,15,10,14,3,8,27,8,8,0,1,3,2,9,10,0
16,1,12,252,528,111,218,27,98,60,42,37,51,35,7,17,52,20,25,7,19,10,6,40,22,9
17,1,8,107,335,45,128,16,50,41,28,13,14,18,7,27,13,14,6,3,1,8,9,17,32,1
18,1,8,129,367,48,142,12,45,30,26,22,12,16,9,40,21,24,8,3,0,8,14,17,33,1
19,1,4,23,66,11,5,4,20,5,8,5,9,7,0,1,2,1,3,1,4,3,1,35,3,1
20,1,6,61,156,30,53,6,20,15,9,17,15,11,3,6,25,8,4,0,4,5,0,12,12,0
21,1,8,127,367,74,137,18,55,42,28,21,32,20,8,35,23,11,15,10,2,3,10,21,26,1
22,1,3,28,56,7,27,2,11,8,7,2,2,3,2,0,6,3,2,1,0,0,1,2,0,0
23,1,10,207,521,99,202,21,61,78,44,20,19,29,8,20,47,30,18,5,0,11,10,36,46,3
24,1,11,227,559,110,216,21,76,71,42,49,34,30,14,34,44,18,20,5,13,16,13,47,43,6
25,1,8,131,293,64,116,16,50,29,28,20,13,17,8,10,21,14,15,4,6,10,5,10,14,2
26,1,9,142,360,66,129,10,48,41,21,19,11,14,7,13,36,22,11,4,5,14,6,26,31,7
27,1,4,40,120,17,36,6,11,13,7,10,8,8,1,6,17,6,2,1,3,6,0,13,10,0
28,1,9,143,360,71,151,16,47,51,20,27,25,28,5,22,37,15,9,7,4,4,15,16,25,3
29,1,9,146,372,62,136,15,43,50,26,32,23,21,7,21,37,15,16,2,5,11,9,27,32,0
30,1,8,88,257,47,117,13,27,22,10,12,19,16,6,14,28,11,17,4,2,6,8,5,21,0
31,1,10,153,472,84,186,21,69,49,32,32,31,28,13,38,29,21,8,2,10,18,11,30,50,8
32,1,10,188,492,89,184,22,63,45,30,39,33,30,8,33,43,25,19,2,9,9,19,33,42,8
33,1,6,64,167,26,67,6,23,20,14,14,8,13,3,6,21,7,5,2,3,4,4,11,7,1
34,1,8,108,362,58,145,17,61,34,42,19,13,26,8,22,32,16,10,3,2,13,4,22,27,1
35,1,9,164,413,65,175,16,48,40,36,31,25,30,8,21,34,9,17,3,8,7,2,13,45,2
36,1,10,200,542,85,193,17,53,80,36,42,35,17,13,32,45,17,14,2,12,15,24,34,44,5
37,1,12,188,488,83,186,24,66,53,39,44,25,28,10,26,38,18,16,6,8,12,15,33,34,5
38,1,8,109,352,67,116,16,54,46,33,19,21,18,13,17,20,8,17,3,7,11,9,12,27,1
39,1,10,162,445,67,168,13,80,51,39,28,17,22,7,24,28,28,15,1,6,13,19,19,26,2
40,1,7,64,190,33,62,8,38,21,20,12,14,17,1,0,10,5,11,2,3,5,2,10,16,2
41,1,2,14,41,7,15,2,4,5,4,2,4,4,0,1,8,1,4,0,0,1,0,0,2,0
42,1,8,96,282,37,107,12,28,41,21,19,7,15,8,17,28,13,6,1,1,4,3,20,23,0
43,1,6,51,140,29,49,7,22,16,13,5,10,9,3,6,12,6,5,0,2,5,6,6,11,0
44,1,8,104,313,39,102,14,56,45,29,23,4,29,1,17,32,4,14,5,0,1,7,14,13,9
45,1,8,108,322,44,114,16,59,47,25,20,8,18,8,25,22,22,1,2,1,2,8,23,23,0
46,1,8,115,298,53,119,10,55,33,16,16,19,12,6,6,6,9,11,11,9,27,2,10,45,1
47,1,8,105,314,51,115,13,61,42,30,16,14,17,8,21,24,13,11,3,1,9,5,21,15,1
48,1,11,193,544,65,205,20,92,76,52,29,16,29,15,45,23,16,19,3,4,6,17,27,41,5
49,1,6,120,315,61,126,17,27,47,18,21,33,26,2,19,49,7,13,3,10,6,2,6,28,1
50,1,5,35,83,18,36,3,13,11,6,5,5,4,2,8,9,3,3,0,2,1,0,6,3,0
51,1,9,140,571,56,211,12,58,63,45,26,14,15,11,43,21,39,19,4,2,18,9,25,80,11
52,1,7,96,241,43,90,12,34,19,21,16,18,16,6,13,25,6,12,1,4,8,4,17,19,1
53,1,8,122,424,61,158,24,48,58,38,10,15,28,6,34,33,12,14,8,5,11,7,15,44,5
54,1,10,155,415,81,144,19,81,44,40,23,19,33,6,34,26,16,2,3,4,16,13,27,33,7
55,1,8,98,237,52,99,9,26,38,12,15,16,11,6,25,23,8,4,1,5,6,0,11,17,0
56,1,10,214,469,143,171,19,75,60,48,34,70,23,11,22,51,21,20,14,22,11,17,14,16,3
57,1,9,132,291,80,113,13,40,33,28,28,27,23,3,9,34,13,10,10,1,13,8,16,3,2
58,1,7,67,197,36,62,9,24,22,11,5,13,15,3,12,15,9,10,0,0,5,6,10,20,2
59,1,8,181,442,83,172,17,60,65,42,38,22,23,10,20,37,16,18,0,5,7,10,31,32,4
60,1,4,32,68,16,28,3,10,9,4,8,6,7,0,1,9,3,0,0,3,2,0,4,6,0
61,1,8,115,301,62,125,15,43,35,18,18,13,23,7,19,24,13,13,1,1,7,16,5,11,1
62,1,8,97,283,41,89,14,35,16,25,23,22,15,9,6,30,16,10,2,2,7,6,17,27,8
63,1,8,97,290,47,126,13,32,30,25,17,25,18,6,10,25,11,8,2,9,5,0,11,33,1
64,1,7,64,217,32,79,6,26,21,17,8,13,7,3,11,19,18,7,0,0,8,7,11,21,1
65,1,9,136,414,77,170,20,48,51,36,23,27,25,9,33,28,17,13,4,7,11,19,29,43,4
66,1,9,152,371,77,137,19,41,37,22,22,33,23,7,29,39,22,18,2,9,14,17,13,31,5
67,1,8,112,293,57,118,10,61,33,18,19,18,19,6,21,18,8,13,0,11,13,4,12,28,3
