id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18,pos_4,pos_2,pos_15,char_8,sentence_count,word_18,pos_24,pos_19,pos_1,pos_6,pos_29,char_10,pos_31,pos_28,misspell_words,pos_22,pos_27,pos_23,pos_20
8863,4,0,20,57,10,21,3,9,8,7,3,3,4,1,3,2,0,2,1,1,2,0,3,7,2,0,0
8864,4,0,14,39,6,10,2,6,8,5,1,1,2,1,1,1,2,0,1,0,7,1,9,3,0,0,1
8865,4,3,61,136,32,43,5,37,19,22,8,12,6,4,4,2,8,4,2,3,8,2,5,3,3,5,5
8866,4,2,28,65,14,26,3,13,8,9,4,8,7,0,3,2,2,3,0,0,7,5,2,1,1,0,0
8867,4,2,50,128,20,55,6,17,17,16,11,6,10,3,8,4,2,5,0,3,3,3,9,4,7,8,7
8868,4,1,29,71,9,29,4,19,7,18,1,5,6,1,2,1,3,2,1,0,4,0,3,0,4,0,0
8869,4,0,36,92,11,39,3,19,12,15,3,3,4,3,6,1,3,2,3,0,5,5,4,5,3,0,3
8870,4,2,35,82,15,30,4,14,8,13,5,7,5,3,3,1,4,4,4,1,5,3,0,7,0,3,0
8871,4,1,11,32,3,13,2,4,4,4,0,1,3,1,1,0,2,1,0,0,2,0,0,7,1,0,0
8872,4,2,33,115,16,37,7,16,15,12,6,1,9,1,4,1,5,4,4,0,9,3,4,13,8,3,7
8873,4,2,55,179,24,62,7,26,12,21,8,7,9,5,8,3,11,9,1,1,8,6,4,20,17,9,1
8874,4,0,14,42,2,20,1,7,3,5,1,2,2,1,6,1,2,0,0,0,0,0,0,6,2,0,0
8875,4,1,13,31,5,14,2,8,3,9,0,4,2,1,0,0,0,0,0,0,4,1,1,1,0,0,0
8876,4,2,75,175,31,67,7,31,25,20,10,13,8,6,7,7,3,7,5,6,15,5,13,7,4,8,8
8877,4,0,26,71,14,27,2,11,10,12,5,6,4,2,0,10,5,0,0,2,6,0,3,2,1,2,1
8878,4,1,14,48,4,16,2,7,9,5,2,2,3,2,0,1,2,1,0,0,6,0,0,7,0,2,0
8879,4,2,31,87,16,35,6,18,9,12,0,3,7,1,2,0,2,2,2,0,6,1,4,11,6,2,2
8880,4,1,14,34,7,10,2,7,3,4,1,2,3,1,3,0,2,1,0,0,2,1,4,1,3,0,1
8881,4,3,72,164,32,53,7,36,11,27,11,7,10,6,7,2,8,11,2,1,15,3,17,6,4,5,7
8882,4,1,15,50,8,20,3,9,6,8,1,2,3,1,2,1,2,1,1,0,3,3,0,4,0,1,0
8883,4,1,28,81,8,35,2,16,12,12,4,3,3,1,2,1,1,2,1,0,3,1,3,6,5,2,3
8884,4,1,18,40,5,14,1,6,5,3,1,0,3,1,1,1,1,2,0,0,0,1,4,4,1,1,5
8885,4,3,54,136,25,50,5,29,13,17,10,10,6,4,9,2,2,9,2,2,8,2,11,5,3,4,7
8886,4,1,13,46,8,18,2,6,5,6,1,5,3,2,2,0,1,3,2,1,1,0,2,5,2,0,1
8887,4,2,27,88,10,28,4,15,11,18,3,2,5,2,2,4,2,6,1,0,5,1,6,3,1,1,3
8888,4,2,69,176,34,70,9,38,12,30,13,21,14,3,10,4,4,5,2,5,8,1,16,9,4,1,5
8889,4,1,32,115,9,47,5,15,12,15,2,2,6,4,10,3,5,3,3,0,5,3,3,15,2,2,0
8890,4,2,43,105,25,38,5,13,10,9,3,7,7,2,5,3,3,9,1,0,9,8,7,3,0,5,4
8891,4,3,54,133,23,50,6,30,17,24,7,7,7,3,4,1,6,4,0,4,12,15,10,1,0,1,1
8892,4,1,35,79,13,44,3,10,6,10,4,5,6,2,4,2,1,0,0,2,7,3,4,10,5,0,3
8893,4,2,12,54,8,23,1,10,6,5,5,3,6,1,1,1,1,3,1,0,1,1,0,6,4,4,0
8894,4,1,14,55,8,23,2,14,5,8,1,5,8,0,1,0,1,0,0,0,1,2,5,5,3,3,2
8895,4,3,62,175,28,65,9,42,19,24,7,13,10,4,7,2,7,9,1,2,9,11,6,8,4,6,3
8896,4,2,44,89,26,30,4,19,15,11,4,8,7,1,3,2,4,2,0,0,10,0,6,5,1,3,4
8897,4,1,42,92,12,46,3,19,11,10,7,3,4,2,4,6,2,5,0,0,4,1,6,3,4,3,0
8898,4,2,35,140,7,58,5,19,8,15,5,2,7,5,9,3,9,5,2,0,6,4,2,19,5,0,0
8899,4,0,15,34,8,11,2,5,3,7,5,1,3,0,4,0,2,1,0,0,1,2,3,0,1,0,0
8900,4,2,38,149,18,64,7,28,15,16,5,4,9,3,10,0,4,1,1,2,6,6,5,22,1,2,1
8901,4,0,14,36,3,18,2,6,3,4,2,1,4,1,3,2,1,2,0,0,2,2,1,3,2,0,1
8902,4,3,59,155,26,55,6,26,25,19,6,9,7,5,12,3,1,5,2,2,17,5,7,12,3,1,2
8903,4,3,57,177,22,69,8,30,24,17,11,5,9,6,18,2,11,3,3,2,14,7,3,15,3,7,1
8904,4,2,50,109,21,41,4,18,11,11,8,10,5,4,4,3,4,3,3,3,13,0,14,7,2,4,15
8905,4,2,50,139,26,54,7,20,18,15,2,10,11,3,10,3,4,8,1,1,9,7,11,9,1,5,0
8906,4,2,43,111,19,40,6,17,12,16,8,6,10,1,4,4,3,4,4,2,6,2,3,10,8,2,2
8907,4,0,16,40,6,14,1,7,5,7,1,3,2,1,1,3,4,1,0,0,1,0,0,4,4,1,0
8908,4,1,35,101,22,38,6,22,9,15,3,7,9,1,3,2,2,4,0,0,6,0,5,8,1,6,1
8909,4,2,38,117,13,50,4,19,22,16,6,4,8,2,1,1,2,3,3,0,12,1,2,17,4,0,1
8910,4,1,23,68,10,29,2,12,7,8,2,3,5,2,4,0,1,2,1,0,8,4,1,8,1,2,0
