id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18,pos_4,pos_2,pos_15,char_8,sentence_count,word_18,pos_24,pos_19,pos_1,pos_6,pos_29,char_10,pos_31,pos_28,misspell_words,pos_22,pos_27,pos_23,pos_20,beauty_score
17834,7,15,30,90,22,30,2,13,11,5,3,1,12,0,4,8,2,1,1,0,2,4,5,9,3,3,0,2.51187866989
17836,7,13,29,94,16,35,3,17,10,6,3,0,4,3,7,4,5,3,0,0,0,4,10,7,7,2,3,3.78978747167
17837,7,15,53,154,19,48,3,30,11,14,10,5,4,3,6,6,10,2,2,2,2,3,16,18,16,2,5,5.44767366863
17838,7,17,72,217,33,82,7,39,30,20,6,5,16,5,12,7,6,5,2,2,4,10,13,25,21,6,4,5.42577417831
17839,7,13,53,151,34,60,7,15,16,8,9,5,13,2,23,8,2,9,1,1,0,4,6,16,6,4,2,2.40767945572
17840,7,23,144,336,52,139,12,65,25,22,26,16,35,2,27,4,19,0,9,8,3,5,53,23,43,17,59,4.18059147722
17841,7,16,51,170,15,55,7,23,10,11,11,2,12,3,18,1,8,8,3,0,10,4,10,22,0,3,9,4.42405254865
17842,7,18,43,126,21,43,4,15,11,13,3,8,8,4,6,6,3,1,1,3,6,2,16,17,12,3,17,3.35509476772
17843,7,12,101,359,54,119,19,61,26,24,22,6,23,7,21,7,17,13,1,0,2,6,13,51,21,10,5,11.5782041479
17844,7,10,29,88,14,24,3,11,10,6,13,2,9,0,4,4,3,3,0,0,6,3,4,10,0,0,1,2.70084722087
17845,7,16,45,176,24,50,5,12,13,9,8,3,9,3,14,4,8,14,0,0,2,5,14,27,21,2,5,5.46554002644
17846,7,19,38,116,18,35,7,18,14,11,14,5,10,1,3,5,4,4,3,3,2,6,12,8,11,3,11,3.08884936676
17847,7,17,54,187,22,61,8,24,25,21,11,3,12,7,7,9,9,5,2,0,2,3,21,19,19,4,13,4.64072838446
17849,7,14,41,165,12,58,9,26,19,20,8,2,11,3,8,3,9,2,4,1,0,3,9,15,23,7,10,5.20790676226
17850,7,12,52,165,25,58,4,25,17,17,14,6,5,4,12,7,16,2,0,1,6,5,15,12,9,3,10,3.67822264629
17851,7,16,51,168,16,52,6,32,14,13,11,2,15,3,7,5,12,5,1,1,2,3,24,18,21,6,19,5.14670281959
17852,7,17,68,226,31,66,11,43,22,22,11,9,17,4,11,3,14,9,2,2,9,5,28,19,16,5,24,3.77430563857
17853,7,16,40,92,22,28,4,15,11,10,10,9,7,2,4,5,5,2,3,2,0,2,19,4,9,0,10,1.52313446922
