id,set,human_score,char_4,word_count,char_6
2,1,9,138,419,82
3,1,7,102,279,53
4,1,10,238,524,132
5,1,8,171,465,88
6,1,8,68,246,36
7,1,10,210,499,90
8,1,10,188,482,85
9,1,9,140,442,69
10,1,9,153,502,62
11,1,8,167,324,76
12,1,8,140,392,81
13,1,7,62,204,20
14,1,6,106,307,48
15,1,6,74,176,34
16,1,12,252,528,111
17,1,8,107,335,45
18,1,8,129,367,48
19,1,4,23,66,11
20,1,6,61,156,30
21,1,8,127,367,74
22,1,3,28,56,7
23,1,10,207,521,99
24,1,11,227,559,110
25,1,8,131,293,64
26,1,9,142,360,66
27,1,4,40,120,17
28,1,9,143,360,71
29,1,9,146,372,62
30,1,8,88,257,47
31,1,10,153,472,84
32,1,10,188,492,89
33,1,6,64,167,26
34,1,8,108,362,58
35,1,9,164,413,65
36,1,10,200,542,85
37,1,12,188,488,83
38,1,8,109,352,67
39,1,10,162,445,67
40,1,7,64,190,33
41,1,2,14,41,7
42,1,8,96,282,37
43,1,6,51,140,29
44,1,8,104,313,39
45,1,8,108,322,44
46,1,8,115,298,53
47,1,8,105,314,51
48,1,11,193,544,65
49,1,6,120,315,61
50,1,5,35,83,18
51,1,9,140,571,56
52,1,7,96,241,43
53,1,8,122,424,61
54,1,10,155,415,81
55,1,8,98,237,52
56,1,10,214,469,143
57,1,9,132,291,80
58,1,7,67,197,36
59,1,8,181,442,83
60,1,4,32,68,16
61,1,8,115,301,62
62,1,8,97,283,41
63,1,8,97,290,47
64,1,7,64,217,32
65,1,9,136,414,77
66,1,9,152,371,77
67,1,8,112,293,57
68,1,9,154,390,76
69,1,7,74,241,31
70,1,12,192,422,107
71,1,10,176,443,65
72,1,10,245,527,150
73,1,8,151,386,67
74,1,7,112,297,38
75,1,8,153,348,78
76,1,8,138,298,66
77,1,10,191,522,102
78,1,10,160,420,76
79,1,10,128,381,61
80,1,8,167,408,89
81,1,8,120,363,58
82,1,8,118,281,77
83,1,7,66,208,34
84,1,6,57,202,17
85,1,10,208,543,102
86,1,8,195,419,102
87,1,10,164,414,65
88,1,9,139,441,59
89,1,6,83,232,44
90,1,7,75,229,42
91,1,8,86,232,41
92,1,11,224,651,105
93,1,11,250,537,144
94,1,8,96,313,44
95,1,10,159,462,72
96,1,7,89,230,50
97,1,8,125,294,62
98,1,11,166,411,79
99,1,8,121,347,57
100,1,7,67,235,33
101,1,10,184,466,83
102,1,8,129,330,53
103,1,9,140,392,67
104,1,10,146,401,81
105,1,9,170,537,63
106,1,11,150,361,92
107,1,10,255,631,136
108,1,8,111,366,48
109,1,8,103,348,43
110,1,6,77,236,36
111,1,11,237,549,123
112,1,9,149,409,75
113,1,8,131,328,53
114,1,8,171,407,81
115,1,9,158,508,49
116,1,4,24,53,11
117,1,8,124,319,50
118,1,12,218,433,96
119,1,10,168,485,60
120,1,8,123,374,62
121,1,8,123,368,29
122,1,9,216,533,99
123,1,10,148,411,76
124,1,7,83,273,41
125,1,5,60,176,27
126,1,8,94,280,45
127,1,9,153,402,73
128,1,9,150,406,82
129,1,10,120,416,51
130,1,10,260,587,152
131,1,10,174,420,79
132,1,11,201,425,111
133,1,10,171,507,73
134,1,10,143,400,80
135,1,7,93,261,43
136,1,9,181,543,70
137,1,7,89,243,31
138,1,10,174,401,75
139,1,7,63,180,29
140,1,9,150,360,75
141,1,10,207,575,101
142,1,10,170,381,95
143,1,7,94,303,39
144,1,9,141,441,72
145,1,10,178,361,114
146,1,6,66,185,15
147,1,12,254,595,133
148,1,9,114,306,55
149,1,8,150,436,68
150,1,8,104,303,45
151,1,8,82,245,32
152,1,6,95,172,33
153,1,9,175,489,66
154,1,12,176,423,99
155,1,10,167,437,88
156,1,8,115,333,48
157,1,9,183,448,92
158,1,9,159,352,92
159,1,10,186,462,102
160,1,8,112,272,36
161,1,10,162,417,73
162,1,12,217,534,117
163,1,8,106,232,59
164,1,8,115,245,60
165,1,9,163,371,76
166,1,10,220,537,95
167,1,8,104,331,40
168,1,9,185,448,82
169,1,6,79,150,45
170,1,8,113,335,44
171,1,8,99,322,47
172,1,8,82,255,46
173,1,8,91,256,39
174,1,8,124,349,58
175,1,8,143,330,66
176,1,10,149,381,68
177,1,8,97,326,45
178,1,8,134,268,47
179,1,8,118,275,70
180,1,10,140,437,61
181,1,10,194,442,128
182,1,8,114,293,43
183,1,8,181,393,83
184,1,8,108,387,38
185,1,8,146,466,67
186,1,8,126,335,65
187,1,5,36,111,13
188,1,9,136,411,59
189,1,6,52,126,27
190,1,10,141,319,67
191,1,8,93,244,48
192,1,11,206,489,85
193,1,8,157,399,82
194,1,10,202,521,99
195,1,5,50,123,20
196,1,8,116,382,50
197,1,10,139,521,61
198,1,10,181,421,97
199,1,11,282,738,119
200,1,8,153,361,66
201,1,9,147,395,77
202,1,8,150,376,55
203,1,10,149,497,57
204,1,10,149,368,65
