id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18,pos_4,pos_2,pos_15,char_8,sentence_count,word_18,pos_24,pos_19,pos_1,pos_6,pos_29,char_10,pos_31,pos_28,misspell_words,pos_22,pos_27,pos_23,pos_20,beauty_score,word_25,pos_30,pos_5,char_12,std_char
8863,4,0,20,57,10,21,3,9,8,7,3,3,4,1,3,2,0,2,1,1,2,0,3,7,2,0,0,0.803355331221,0,2,2,0,2.32710410894
8864,4,0,14,39,6,10,2,6,8,5,1,1,2,1,1,1,2,0,1,0,7,1,9,3,0,0,1,0.501249903766,0,0,0,0,1.93239308888
8865,4,3,61,136,32,43,5,37,19,22,8,12,6,4,4,2,8,4,2,3,8,2,5,3,3,5,5,1.69966070868,2,0,1,1,2.52532920264
8866,4,2,28,65,14,26,3,13,8,9,4,8,7,0,3,2,2,3,0,0,7,5,2,1,1,0,0,1.10629650669,0,0,1,0,2.42701145761
8867,4,2,50,128,20,55,6,17,17,16,11,6,10,3,8,4,2,5,0,3,3,3,9,4,7,8,7,1.57383096844,0,0,7,1,2.22282362816
8868,4,1,29,71,9,29,4,19,7,18,1,5,6,1,2,1,3,2,1,0,4,0,3,0,4,0,0,0.456113284195,1,1,1,0,1.97723461947
8869,4,0,36,92,11,39,3,19,12,15,3,3,4,3,6,1,3,2,3,0,5,5,4,5,3,0,3,1.28247629014,2,1,1,0,1.78970886229
8870,4,2,35,82,15,30,4,14,8,13,5,7,5,3,3,1,4,4,4,1,5,3,0,7,0,3,0,1.45729560254,0,1,4,0,2.23966729796
8871,4,1,11,32,3,13,2,4,4,4,0,1,3,1,1,0,2,1,0,0,2,0,0,7,1,0,0,0.263036707654,0,0,2,0,1.82030438787
8872,4,2,33,115,16,37,7,16,15,12,6,1,9,1,4,1,5,4,4,0,9,3,4,13,8,3,7,2.04201798946,0,0,0,0,1.86611357176
8873,4,2,55,179,24,62,7,26,12,21,8,7,9,5,8,3,11,9,1,1,8,6,4,20,17,9,1,3.39544581163,2,1,1,1,1.99443705659
