id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18,pos_4,pos_2,pos_15,char_8,sentence_count,word_18,pos_24,pos_19,pos_1,pos_6,pos_29,char_10,pos_31,pos_28,misspell_words,pos_22,pos_27,pos_23,pos_20,beauty_score,word_25,pos_30,pos_5,char_12,std_char,mean_char,avg_word_length,pos_32
2978,2,4,190,476,59,203,20,59,49,40,29,25,22,12,36,48,25,15,9,2,10,10,28,28,7,4,24,6.1949564687,6,23,13,0,1.97400174359,4.36974789916,43.6974789916,2
2979,2,1,52,168,22,64,4,25,17,15,16,8,4,3,6,8,2,8,1,0,5,1,11,7,0,5,4,4.98294311676,3,23,2,0,2.18164799336,3.8869047619,38.869047619,2
2980,2,2,71,220,24,84,9,29,18,23,17,10,11,5,16,17,6,4,5,0,5,1,16,25,3,5,11,5.49442327776,3,18,3,0,1.9571743256,4.02272727273,40.2272727273,2
2981,2,4,213,466,99,172,23,66,37,44,23,38,32,7,30,32,16,21,19,2,27,14,6,26,4,8,2,7.31787351347,1,20,19,0,2.29972599981,4.55150214592,45.5150214592,4
2982,2,4,150,422,61,173,20,56,36,41,23,21,34,2,25,43,20,11,7,4,14,4,20,34,5,8,7,6.64554725134,0,26,13,3,2.07053301795,4.32701421801,43.2701421801,2
2983,2,4,130,322,48,140,15,42,33,32,25,12,25,3,13,29,13,10,6,0,5,3,21,22,2,10,22,7.7344613218,0,19,15,0,2.06430924318,4.22360248447,42.2360248447,2
2984,2,5,228,520,119,184,20,81,58,61,42,53,20,15,25,37,18,21,16,14,17,8,28,16,11,5,36,9.97363961393,9,19,9,4,2.59691003924,4.66346153846,46.6346153846,5
2985,2,2,244,784,83,351,33,112,106,106,37,21,35,21,64,31,16,16,22,3,17,13,22,65,27,8,1,18.7005337293,13,31,21,0,1.82153276083,4.00510204082,40.0510204082,10
2986,2,4,138,331,86,118,17,44,42,36,31,35,19,7,22,26,8,16,7,8,12,3,6,15,9,2,8,5.76357542547,3,13,7,1,2.60944277845,4.63141993958,46.3141993958,0
2987,2,4,133,378,54,160,17,54,48,52,15,16,20,9,34,14,13,12,4,1,21,4,7,29,4,8,0,5.32248042858,3,16,13,0,2.00087170315,4.2037037037,42.037037037,4
2988,2,3,102,333,35,133,14,28,41,42,17,14,16,8,23,30,16,9,9,2,9,3,15,27,1,2,4,6.01902865506,4,24,11,0,1.91534069444,3.98798798799,39.8798798799,7
2989,2,3,115,315,55,124,11,40,35,27,12,20,19,7,20,26,13,16,6,1,12,10,6,24,4,1,0,6.99921978727,3,21,8,1,2.29558265524,4.24761904762,42.4761904762,2
2990,2,5,200,485,93,185,19,49,62,50,30,31,28,12,32,36,13,16,10,6,12,9,22,38,18,2,34,8.68721657845,5,17,15,0,2.29332744523,4.41237113402,44.1237113402,2
2991,2,3,109,331,39,145,10,37,43,32,20,15,13,9,19,35,14,16,10,1,9,3,11,26,3,7,6,6.72719701569,5,11,9,0,1.97995077511,4.06344410876,40.6344410876,1
