id,set,human_score,char_4,word_count,char_6,vocabulory_score
11827,5,2,48,132,24,57
11828,5,2,65,167,29,65
11829,5,3,47,109,26,43
11830,5,1,35,71,9,30
11831,5,3,45,127,24,46
11832,5,3,55,150,28,55
11833,5,3,66,170,36,72
11834,5,4,92,212,37,98
11835,5,3,66,158,32,49
11836,5,3,48,146,19,56
11837,5,1,11,38,3,8
11838,5,1,74,199,23,96
11839,5,1,27,79,9,28
11840,5,1,25,92,13,34
11841,5,2,45,103,17,46
11842,5,2,43,143,17,54
11843,5,4,65,156,23,61
11844,5,3,65,158,21,77
11845,5,2,48,131,24,46
11846,5,2,42,113,16,41
11847,5,4,73,186,31,76
11848,5,2,58,177,24,71
11849,5,2,45,130,24,42
11850,5,4,76,190,37,69
11851,5,2,34,106,14,42
11852,5,2,50,122,21,57
11853,5,2,40,84,23,33
11854,5,1,16,49,9,15
11855,5,3,56,149,25,54
11856,5,4,68,162,33,50
11857,5,4,90,230,47,97
11858,5,3,37,91,12,35
11859,5,2,40,118,16,48
11860,5,3,52,143,26,58
11861,5,3,48,147,17,61
11862,5,3,39,100,17,28
11863,5,3,47,143,22,49
11864,5,2,40,120,20,52
11865,5,3,67,145,25,61
11866,5,4,123,250,60,110
11867,5,2,36,94,18,41
11868,5,3,42,101,24,37
11869,5,3,42,114,14,45
11870,5,2,35,97,11,34
11871,5,1,14,51,5,19
11872,5,3,58,148,24,51
11873,5,3,61,158,32,63
11874,5,3,57,138,34,53
11875,5,3,43,141,19,70
11876,5,2,29,81,16,33
11877,5,2,23,51,12,8
11878,5,3,75,213,27,76
11879,5,2,22,66,7,28
11880,5,1,11,39,5,18
11881,5,3,39,118,10,48
11882,5,3,56,128,15,46
11883,5,3,69,179,24,72
11884,5,4,124,284,68,120
11885,5,2,36,98,6,24
11886,5,3,60,176,33,72
11887,5,2,29,72,13,28
11888,5,1,16,58,6,26
11889,5,2,38,85,15,29
11890,5,2,35,79,19,22
11891,5,3,66,148,38,48
11892,5,2,31,96,15,37
11893,5,3,50,151,24,61
11894,5,2,38,106,15,46
11895,5,3,40,124,24,50
11896,5,3,61,143,27,56
11897,5,3,44,109,21,35
11898,5,3,68,148,32,57
11899,5,3,48,141,22,55
11900,5,3,86,194,36,70
11901,5,3,71,166,24,64
11902,5,1,14,54,3,22
11903,5,1,12,30,5,14
11904,5,3,66,152,15,70
11905,5,3,52,118,21,48
11906,5,4,74,191,36,67
11907,5,2,21,71,13,23
11908,5,3,40,97,19,51
11909,5,2,35,74,14,29
11910,5,1,23,67,10,27
11911,5,3,52,131,22,45
11912,5,2,18,50,9,12
11913,5,2,37,109,16,43
11914,5,1,24,64,11,16
11915,5,2,36,101,15,37
11916,5,3,69,161,28,70
11917,5,2,43,126,17,53
11918,5,2,20,55,15,21
11919,5,1,24,68,10,24
11920,5,3,54,128,27,46
11921,5,3,33,107,15,45
11922,5,2,32,93,8,35
11923,5,2,60,139,27,42
11924,5,2,44,104,22,43
11925,5,2,37,101,16,42
11926,5,1,38,94,20,36
11927,5,2,21,62,5,20
11928,5,3,71,170,40,62
11929,5,2,54,129,31,43
11930,5,2,29,67,16,26
11931,5,3,36,106,18,32
11932,5,4,103,280,44,111
11933,5,3,60,147,29,60
11934,5,3,45,139,17,41
11935,5,1,11,21,4,7
11936,5,2,60,143,32,55
11937,5,4,120,307,61,115
11938,5,3,66,156,31,68
11939,5,3,61,159,20,69
11940,5,2,47,108,10,47
11941,5,3,52,130,12,65
11942,5,3,67,156,30,66
11943,5,3,57,120,24,50
11944,5,2,22,65,11,26
11945,5,4,96,214,49,74
11946,5,3,60,151,37,51
11947,5,2,44,120,21,41
11948,5,2,27,72,15,29
11949,5,3,58,132,28,61
11950,5,1,20,45,6,12
11951,5,3,54,142,25,46
11952,5,1,16,46,9,19
11953,5,1,16,54,3,15
11954,5,4,102,286,47,112
11955,5,1,9,33,4,17
11956,5,2,54,130,21,58
