id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18,pos_4,pos_2,pos_15,char_8,sentence_count,word_18,pos_24,pos_19,pos_1,pos_6,pos_29,char_10,pos_31,pos_28,misspell_words,pos_22,pos_27,pos_23,pos_20,beauty_score,word_25,pos_30,pos_5,char_12,std_char,mean_char,avg_word_length,pos_32,pos_35,maturity_score,pos_11,pos_33,pos_9,pos_16,pos_13,pos_25,pos_3
5978,3,1,15,51,10,15,3,11,9,10,1,2,4,1,0,4,2,2,0,1,1,0,1,1,4,1,0,0.835526862301,0,2,0,0,2.27380651737,4.09803921569,40.9803921569,1,0,6.49333333333,0,0,0,0,0,0,0
5979,3,2,65,176,38,51,9,32,27,27,11,20,13,4,6,7,6,2,1,9,1,6,22,12,16,0,18,3.56454580286,0,2,2,3,2.82134144202,4.63068181818,46.3068181818,1,0,5.90843137255,1,0,0,0,1,0,1
5980,3,1,33,95,16,34,5,12,7,10,7,9,8,2,7,10,2,4,3,0,0,1,4,7,4,2,1,1.50774122724,0,7,1,0,2.26804077533,4.34736842105,43.4736842105,1,1,5.755,0,1,0,1,2,0,0
5981,3,1,23,86,12,21,2,13,10,10,10,5,3,2,3,5,3,4,2,2,2,1,9,9,4,3,0,1.30928225335,1,2,1,1,2.32113939661,3.97674418605,39.7674418605,0,0,5.77523809524,0,1,0,0,0,0,0
5982,3,2,56,133,28,38,4,27,15,22,17,4,5,2,7,5,5,0,2,1,6,2,16,5,4,0,3,1.99494858044,1,4,3,1,2.15089250631,4.36090225564,43.6090225564,3,1,5.61157894737,0,0,0,0,0,1,1
5983,3,1,26,70,15,24,4,11,6,13,6,1,6,1,4,5,2,0,3,0,1,0,3,4,8,1,0,1.04021060298,0,1,0,0,2.09707476435,4.32857142857,43.2857142857,2,0,6.57833333333,0,0,0,0,0,0,1
5984,3,1,12,43,5,16,2,8,5,7,3,2,5,0,0,2,2,1,1,0,1,1,0,4,6,0,0,0.771516947633,0,0,0,0,2.11072250702,3.79069767442,37.9069767442,0,1,5.888125,0,0,0,0,0,0,0
5985,3,0,36,111,14,32,6,14,14,11,2,0,9,1,6,6,2,3,1,0,8,3,8,19,3,0,4,2.49751352887,0,7,0,0,1.79835214407,3.82882882883,38.2882882883,0,0,5.6790625,1,1,0,0,2,0,0
5986,3,2,40,92,24,30,6,16,8,11,8,8,8,0,10,3,0,1,1,1,8,2,10,6,2,3,7,1.14933960956,0,1,1,0,2.35853959689,4.72826086957,47.2826086957,1,1,5.75466666667,0,0,0,0,0,0,0
5987,3,3,75,149,38,56,8,28,11,15,12,18,10,3,13,4,1,4,1,3,5,3,15,3,11,1,22,2.10781258753,1,2,3,1,2.54936745924,4.97315436242,49.7315436242,2,2,6.14017857143,0,0,0,0,2,0,0
5988,3,3,69,175,41,60,8,31,17,15,9,13,13,3,11,8,4,8,5,3,10,2,20,13,15,6,8,5.66270857838,1,4,0,0,2.39939784455,4.49142857143,44.9142857143,0,3,5.669,1,1,0,0,2,0,0
