id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18,pos_4,pos_2,pos_15,char_8,sentence_count,word_18,pos_24,pos_19,pos_1,pos_6,pos_29,char_10,pos_31,pos_28,misspell_words,pos_22,pos_27,pos_23,pos_20,beauty_score,word_25,pos_30,pos_5,char_12,std_char,mean_char,avg_word_length,pos_32,pos_35,maturity_score,pos_11,pos_33,pos_9,pos_16,pos_13,pos_25,pos_3,pos_26,pos_8,bag_of_words_score,mean_word,pos_7,pos_10,std_word
14834,6,2,48,122,25,46,6,17,18,17,11,12,7,4,6,12,3,2,2,1,2,2,3,4,7,0,6,1.43215102121,1,1,3,0,2.29861559509,4.59836065574,45.9836065574,0,0,5.6652173913,0,0,1,0,3,0,1,0,0,4.47213052449,17.4285714286,0,0,8.15662995635
14835,6,3,81,180,38,80,9,28,25,28,15,18,10,6,9,15,5,3,3,2,2,4,4,4,10,0,9,1.9016266063,1,1,6,0,2.34842155476,4.73333333333,47.3333333333,1,1,6.157375,1,0,0,0,2,0,1,0,0,3.58049216331,18.0,0,0,7.23878442834
14836,6,4,70,166,34,69,8,31,16,24,10,13,9,3,9,13,2,10,2,2,1,3,1,1,10,0,5,2.5970044576,2,0,5,1,2.36724175273,4.57228915663,45.7228915663,3,0,6.17260869565,3,0,3,0,3,0,2,0,0,6.25540724684,18.4444444444,0,0,10.3613717572
14837,6,1,89,193,35,70,7,22,28,24,5,12,13,5,3,10,4,5,6,1,2,3,17,4,16,1,38,6.84845358609,2,0,3,0,2.23802223477,4.55440414508,45.5440414508,2,2,5.794,5,2,1,1,1,0,2,0,0,6.70122642742,15.0769230769,0,0,12.3067307317
14838,6,3,74,162,37,67,7,23,20,23,18,14,11,3,5,12,0,8,5,0,0,5,1,4,10,0,10,2.60463735574,0,0,4,0,2.38869227367,4.65432098765,46.5432098765,1,0,6.22298507463,0,0,0,0,1,0,3,0,0,8.04913800814,14.7272727273,0,0,7.53284817668
14839,6,4,88,168,45,65,9,39,22,28,15,20,11,4,8,8,3,5,5,5,2,4,4,3,10,0,8,2.74590414805,0,0,2,2,2.64746840679,5.05357142857,50.5357142857,0,0,7.73938461538,1,0,2,2,0,1,0,0,0,2.67491508353,15.2727272727,0,0,6.25359400797
14840,6,3,67,148,34,65,6,29,20,25,7,16,7,5,4,7,5,5,4,3,3,5,5,5,5,1,10,1.33638286326,2,1,3,1,2.53211583269,4.79054054054,47.9054054054,2,0,6.39138461538,0,0,1,0,1,0,1,0,0,0.0,21.1428571429,0,0,10.6560321137
14841,6,3,62,128,36,58,5,21,16,17,9,16,6,4,9,10,4,4,2,4,0,4,10,1,9,1,14,1.76685759915,1,0,2,3,2.69257098036,5.1328125,51.328125,0,0,6.96086206897,2,0,0,0,0,0,0,0,0,3.57700748366,21.3333333333,0,0,12.7104506433
14842,6,3,51,114,24,56,5,18,13,16,5,10,10,2,2,8,1,1,4,0,1,3,5,5,12,0,6,2.41287507287,0,2,4,0,2.18932002823,4.74561403509,47.4561403509,2,2,6.04625,1,0,0,1,0,0,1,0,1,1.33745754176,11.4,0,0,6.87313611098
14843,6,3,54,130,27,59,4,20,11,19,13,10,12,0,10,10,2,7,1,0,1,1,1,2,7,1,5,1.65508106422,0,2,4,0,2.2495079963,4.66923076923,46.6923076923,0,0,6.14084745763,1,0,0,0,1,0,1,0,0,4.02282666425,10.8333333333,0,0,4.01732359773
