id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10
2978,2,4,190,476,59,203,20
2979,2,1,52,168,22,64,4
2980,2,2,71,220,24,84,9
2981,2,4,213,466,99,172,23
2982,2,4,150,422,61,173,20
2983,2,4,130,322,48,140,15
2984,2,5,228,520,119,184,20
2985,2,2,244,784,83,351,33
2986,2,4,138,331,86,118,17
2987,2,4,133,378,54,160,17
2988,2,3,102,333,35,133,14
2989,2,3,115,315,55,124,11
2990,2,5,200,485,93,185,19
2991,2,3,109,331,39,145,10
2992,2,3,46,93,25,30,4
2993,2,3,137,355,57,153,13
2994,2,4,236,655,81,281,31
2995,2,3,144,329,60,135,11
2996,2,1,71,148,31,48,5
2997,2,3,112,333,34,143,18
2998,2,3,85,319,24,116,11
2999,2,3,93,289,33,133,14
3000,2,3,76,196,33,69,9
3001,2,4,178,516,68,215,17
3002,2,3,193,494,63,224,16
3003,2,4,160,393,77,141,18
3004,2,4,96,198,47,80,8
3005,2,2,34,83,15,35,4
3006,2,3,102,277,44,112,12
3007,2,3,105,284,50,110,15
3008,2,4,136,425,52,165,18
3009,2,3,157,347,84,156,13
3010,2,3,72,172,17,88,8
3011,2,4,121,397,37,193,17
3012,2,3,85,296,44,104,9
3013,2,4,198,434,84,182,22
3014,2,4,132,374,48,160,16
3015,2,3,161,372,75,159,15
3016,2,3,129,312,56,131,16
3017,2,4,187,438,101,187,19
3018,2,3,161,448,65,185,19
3019,2,4,131,305,80,137,19
3020,2,4,259,729,104,299,34
3021,2,4,180,520,63,222,19
3022,2,4,140,321,55,137,13
3023,2,4,105,274,29,108,13
3024,2,4,264,668,107,275,27
3025,2,3,122,293,66,98,9
3026,2,4,123,373,48,155,13
3027,2,3,128,338,73,140,17
3028,2,5,207,502,102,195,18
3029,2,3,74,285,23,101,13
3030,2,4,148,381,46,173,17
3031,2,3,102,234,42,124,11
3032,2,4,224,479,96,182,19
3033,2,4,188,621,72,236,30
3034,2,4,313,737,143,317,30
3035,2,2,52,138,27,52,6
3036,2,3,106,264,52,107,10
3037,2,4,207,466,89,227,23
3038,2,2,30,92,13,34,3
3039,2,3,108,232,43,106,8
3040,2,3,134,397,64,161,14
3041,2,4,214,533,92,235,26
3042,2,4,120,295,47,108,13
3043,2,3,109,274,46,112,13
3044,2,3,79,248,32,109,10
3045,2,4,120,357,43,136,18
3046,2,3,89,233,36,100,10
3047,2,3,124,290,58,121,14
3048,2,3,165,530,58,211,26
3049,2,4,120,308,66,120,15
3050,2,2,111,323,40,89,14
3051,2,4,185,419,99,165,19
3052,2,4,131,393,64,162,18
3053,2,3,113,367,49,132,15
3054,2,3,170,423,70,161,13
3055,2,3,112,310,44,109,14
3056,2,3,144,321,72,124,15
3057,2,3,45,118,20,40,6
3058,2,3,138,369,72,133,16
3059,2,3,128,352,49,142,16
3060,2,4,159,368,70,132,17
3061,2,3,126,309,58,124,13
3062,2,3,150,319,74,139,16
3063,2,4,157,353,78,149,12
3064,2,3,113,338,41,122,15
3065,2,3,61,131,37,48,6
3066,2,1,25,71,13,28,2
3067,2,4,169,423,84,152,19
3068,2,2,89,240,33,102,12
3069,2,4,195,624,75,239,30
3070,2,3,107,281,62,90,11
3071,2,4,133,292,67,111,15
3072,2,4,235,699,79,258,26
3073,2,4,444,1066,231,446,48
3074,2,4,245,593,122,230,23
3075,2,4,272,623,119,299,24
3076,2,3,116,336,56,111,17
3077,2,5,249,600,127,226,21
3078,2,3,122,450,48,185,13
3079,2,3,127,424,38,169,16
3080,2,4,197,455,82,196,20
3081,2,4,125,324,44,138,15
3082,2,3,105,239,47,96,12
3083,2,3,122,313,57,136,14
3084,2,3,162,472,79,199,24
3085,2,3,65,182,27,75,9
3086,2,2,51,119,8,63,9
3087,2,2,68,153,33,54,4
3088,2,3,140,335,57,132,19
3089,2,3,134,306,66,127,11
3090,2,3,128,363,43,158,20
3091,2,2,52,175,26,89,6
3092,2,3,44,178,8,82,8
3093,2,3,100,248,35,99,11
3094,2,4,97,349,37,135,12
3095,2,2,50,151,15,53,6
3096,2,1,43,140,8,66,6
3097,2,3,164,445,42,179,20
3098,2,3,83,201,32,65,10
3099,2,4,228,596,115,271,22
3100,2,3,115,359,55,120,13
3101,2,3,89,194,37,95,9
3102,2,3,113,255,53,126,12
3103,2,3,97,299,46,128,17
3104,2,5,254,639,119,287,32
3105,2,3,77,206,38,73,6
3106,2,4,280,585,127,243,26
3107,2,3,188,443,88,177,14
3108,2,3,112,267,61,105,9
3109,2,3,150,424,64,161,17
3110,2,3,96,213,52,82,8
3111,2,3,125,320,43,135,15
3112,2,3,110,235,61,101,12
3113,2,3,107,266,46,125,15
3114,2,4,187,512,70,214,23
