id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18
11827,5,2,48,132,24,57,6,17
11828,5,2,65,167,29,65,7,15
11829,5,3,47,109,26,43,5,22
11830,5,1,35,71,9,30,2,9
11831,5,3,45,127,24,46,7,16
11832,5,3,55,150,28,55,6,24
11833,5,3,66,170,36,72,9,29
11834,5,4,92,212,37,98,9,44
11835,5,3,66,158,32,49,8,27
11836,5,3,48,146,19,56,6,26
11837,5,1,11,38,3,8,1,5
11838,5,1,74,199,23,96,8,26
11839,5,1,27,79,9,28,4,14
11840,5,1,25,92,13,34,3,19
11841,5,2,45,103,17,46,6,21
11842,5,2,43,143,17,54,3,21
11843,5,4,65,156,23,61,7,29
11844,5,3,65,158,21,77,4,29
11845,5,2,48,131,24,46,6,15
11846,5,2,42,113,16,41,5,25
11847,5,4,73,186,31,76,9,33
11848,5,2,58,177,24,71,7,24
11849,5,2,45,130,24,42,7,32
11850,5,4,76,190,37,69,9,32
11851,5,2,34,106,14,42,5,16
11852,5,2,50,122,21,57,7,17
11853,5,2,40,84,23,33,5,18
11854,5,1,16,49,9,15,2,10
11855,5,3,56,149,25,54,7,24
11856,5,4,68,162,33,50,6,32
11857,5,4,90,230,47,97,11,48
11858,5,3,37,91,12,35,3,11
11859,5,2,40,118,16,48,6,16
11860,5,3,52,143,26,58,6,21
11861,5,3,48,147,17,61,5,32
11862,5,3,39,100,17,28,6,14
11863,5,3,47,143,22,49,7,15
11864,5,2,40,120,20,52,6,27
11865,5,3,67,145,25,61,8,32
11866,5,4,123,250,60,110,11,30
11867,5,2,36,94,18,41,4,14
11868,5,3,42,101,24,37,4,18
11869,5,3,42,114,14,45,7,20
11870,5,2,35,97,11,34,4,12
11871,5,1,14,51,5,19,2,9
11872,5,3,58,148,24,51,4,30
11873,5,3,61,158,32,63,7,34
11874,5,3,57,138,34,53,7,22
11875,5,3,43,141,19,70,7,16
11876,5,2,29,81,16,33,3,13
11877,5,2,23,51,12,8,2,11
11878,5,3,75,213,27,76,9,32
11879,5,2,22,66,7,28,4,13
11880,5,1,11,39,5,18,2,6
11881,5,3,39,118,10,48,6,24
11882,5,3,56,128,15,46,7,16
11883,5,3,69,179,24,72,8,33
11884,5,4,124,284,68,120,12,46
11885,5,2,36,98,6,24,3,9
11886,5,3,60,176,33,72,10,31
11887,5,2,29,72,13,28,4,15
11888,5,1,16,58,6,26,2,11
11889,5,2,38,85,15,29,5,19
11890,5,2,35,79,19,22,4,16
11891,5,3,66,148,38,48,8,28
11892,5,2,31,96,15,37,5,17
11893,5,3,50,151,24,61,7,18
11894,5,2,38,106,15,46,6,15
11895,5,3,40,124,24,50,7,22
11896,5,3,61,143,27,56,7,21
11897,5,3,44,109,21,35,5,25
11898,5,3,68,148,32,57,5,25
11899,5,3,48,141,22,55,6,21
11900,5,3,86,194,36,70,10,40
11901,5,3,71,166,24,64,7,33
11902,5,1,14,54,3,22,4,13
11903,5,1,12,30,5,14,1,5
11904,5,3,66,152,15,70,7,22
11905,5,3,52,118,21,48,5,27
11906,5,4,74,191,36,67,7,28
11907,5,2,21,71,13,23,3,6
11908,5,3,40,97,19,51,3,13
11909,5,2,35,74,14,29,4,16
11910,5,1,23,67,10,27,3,14
11911,5,3,52,131,22,45,8,15
11912,5,2,18,50,9,12,3,11
11913,5,2,37,109,16,43,6,12
11914,5,1,24,64,11,16,4,8
11915,5,2,36,101,15,37,4,20
11916,5,3,69,161,28,70,6,29
11917,5,2,43,126,17,53,5,17
11918,5,2,20,55,15,21,3,12
11919,5,1,24,68,10,24,3,9
11920,5,3,54,128,27,46,7,26
11921,5,3,33,107,15,45,5,11
11922,5,2,32,93,8,35,5,20
11923,5,2,60,139,27,42,6,26
11924,5,2,44,104,22,43,4,19
11925,5,2,37,101,16,42,4,19
11926,5,1,38,94,20,36,4,16
11927,5,2,21,62,5,20,4,15
11928,5,3,71,170,40,62,8,35
11929,5,2,54,129,31,43,6,22
11930,5,2,29,67,16,26,3,15
11931,5,3,36,106,18,32,5,18
11932,5,4,103,280,44,111,13,55
11933,5,3,60,147,29,60,7,22
11934,5,3,45,139,17,41,7,14
11935,5,1,11,21,4,7,1,4
11936,5,2,60,143,32,55,7,30
11937,5,4,120,307,61,115,10,51
11938,5,3,66,156,31,68,5,21
11939,5,3,61,159,20,69,9,33
11940,5,2,47,108,10,47,5,25
11941,5,3,52,130,12,65,6,23
11942,5,3,67,156,30,66,5,29
11943,5,3,57,120,24,50,7,26
11944,5,2,22,65,11,26,2,10
11945,5,4,96,214,49,74,9,39
11946,5,3,60,151,37,51,4,32
11947,5,2,44,120,21,41,7,22
11948,5,2,27,72,15,29,3,8
11949,5,3,58,132,28,61,6,14
11950,5,1,20,45,6,12,3,8
11951,5,3,54,142,25,46,7,23
11952,5,1,16,46,9,19,2,7
11953,5,1,16,54,3,15,2,7
11954,5,4,102,286,47,112,12,41
11955,5,1,9,33,4,17,2,3
11956,5,2,54,130,21,58,6,20
11957,5,4,59,146,30,61,7,27
11958,5,2,24,50,11,25,3,5
