id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18,pos_4
8863,4,0,20,57,10,21,3,9,8
8864,4,0,14,39,6,10,2,6,8
8865,4,3,61,136,32,43,5,37,19
8866,4,2,28,65,14,26,3,13,8
8867,4,2,50,128,20,55,6,17,17
8868,4,1,29,71,9,29,4,19,7
8869,4,0,36,92,11,39,3,19,12
8870,4,2,35,82,15,30,4,14,8
8871,4,1,11,32,3,13,2,4,4
8872,4,2,33,115,16,37,7,16,15
8873,4,2,55,179,24,62,7,26,12
8874,4,0,14,42,2,20,1,7,3
8875,4,1,13,31,5,14,2,8,3
8876,4,2,75,175,31,67,7,31,25
8877,4,0,26,71,14,27,2,11,10
8878,4,1,14,48,4,16,2,7,9
8879,4,2,31,87,16,35,6,18,9
8880,4,1,14,34,7,10,2,7,3
8881,4,3,72,164,32,53,7,36,11
8882,4,1,15,50,8,20,3,9,6
8883,4,1,28,81,8,35,2,16,12
8884,4,1,18,40,5,14,1,6,5
8885,4,3,54,136,25,50,5,29,13
8886,4,1,13,46,8,18,2,6,5
8887,4,2,27,88,10,28,4,15,11
8888,4,2,69,176,34,70,9,38,12
8889,4,1,32,115,9,47,5,15,12
8890,4,2,43,105,25,38,5,13,10
8891,4,3,54,133,23,50,6,30,17
8892,4,1,35,79,13,44,3,10,6
8893,4,2,12,54,8,23,1,10,6
8894,4,1,14,55,8,23,2,14,5
8895,4,3,62,175,28,65,9,42,19
8896,4,2,44,89,26,30,4,19,15
8897,4,1,42,92,12,46,3,19,11
8898,4,2,35,140,7,58,5,19,8
8899,4,0,15,34,8,11,2,5,3
8900,4,2,38,149,18,64,7,28,15
8901,4,0,14,36,3,18,2,6,3
8902,4,3,59,155,26,55,6,26,25
8903,4,3,57,177,22,69,8,30,24
8904,4,2,50,109,21,41,4,18,11
8905,4,2,50,139,26,54,7,20,18
8906,4,2,43,111,19,40,6,17,12
8907,4,0,16,40,6,14,1,7,5
8908,4,1,35,101,22,38,6,22,9
8909,4,2,38,117,13,50,4,19,22
8910,4,1,23,68,10,29,2,12,7
8911,4,3,76,180,31,73,8,26,24
8912,4,1,24,66,6,30,4,14,7
8913,4,1,24,74,8,28,2,15,12
8914,4,2,71,191,32,61,9,37,23
8915,4,2,26,68,9,27,4,11,10
8916,4,0,36,107,15,35,6,16,18
8917,4,0,26,66,12,25,2,9,6
8918,4,1,43,125,9,59,6,22,20
8919,4,3,39,90,20,34,4,23,13
8920,4,0,13,43,6,20,2,5,2
8921,4,2,50,159,28,65,5,23,17
8922,4,2,40,141,20,47,5,19,20
8923,4,3,69,173,41,58,8,29,18
8924,4,2,30,88,10,34,4,17,11
8925,4,1,26,81,9,33,4,19,10
8926,4,1,18,50,4,18,2,7,3
8927,4,0,20,57,5,21,3,8,9
8928,4,1,30,91,13,35,5,15,10
8929,4,1,25,67,9,27,3,11,6
8930,4,0,33,84,14,29,3,16,14
8931,4,3,18,55,11,21,3,7,9
8932,4,1,6,19,2,7,1,3,3
8933,4,2,44,126,24,58,2,25,13
8934,4,1,10,55,5,19,3,7,9
8935,4,2,70,186,27,80,5,27,26
8936,4,1,14,49,3,17,3,7,5
8937,4,1,35,104,11,54,4,26,12
8938,4,1,18,53,7,22,1,7,8
8939,4,3,59,132,25,51,6,29,12
8940,4,2,46,132,21,55,5,17,15
8941,4,3,87,225,39,85,8,48,17
8942,4,1,14,62,3,28,4,9,6
8943,4,1,19,61,5,21,4,11,4
8944,4,1,32,95,14,47,6,17,13
8945,4,2,36,107,11,40,2,27,13
8946,4,3,44,106,17,46,4,27,11
8947,4,0,33,85,9,36,4,13,11
8948,4,3,65,166,21,64,9,36,19
8949,4,0,15,46,3,22,1,6,3
8950,4,1,44,112,19,36,5,19,14
8951,4,2,30,96,16,36,4,18,11
8952,4,1,25,76,10,27,3,9,7
8953,4,1,11,69,5,25,2,13,5
8954,4,3,51,133,24,39,6,27,12
8955,4,3,54,131,22,42,6,25,15
8956,4,1,14,49,5,22,2,10,4
8957,4,2,44,114,13,42,6,26,7
8958,4,0,12,34,5,13,1,5,5
8959,4,3,55,148,25,52,7,20,16
8960,4,1,35,98,13,38,4,20,6
8961,4,1,30,73,16,22,3,9,10
8962,4,2,36,97,16,32,4,17,15
8963,4,1,22,78,7,17,3,10,10
8964,4,0,13,34,4,13,1,4,5
8965,4,2,33,93,19,34,2,20,10
8966,4,1,15,55,4,22,2,8,8
8967,4,2,26,98,9,39,4,12,10
8968,4,2,21,50,12,19,3,13,4
8969,4,2,62,172,26,72,10,31,12
8970,4,1,17,52,8,17,2,9,9
8971,4,1,32,95,14,46,4,17,10
8972,4,2,43,114,17,36,5,19,10
8973,4,3,68,168,47,51,7,29,20
8974,4,3,42,144,29,40,6,30,17
8975,4,0,12,26,3,12,1,2,2
8976,4,0,20,61,6,27,2,10,6
8977,4,2,43,120,11,47,5,15,11
8978,4,0,19,54,9,18,1,8,5
8979,4,3,84,211,40,81,8,44,20
8980,4,1,19,58,10,24,3,8,7
8981,4,3,102,248,38,101,11,53,29
8982,4,1,17,43,8,18,1,7,9
8983,4,2,44,119,18,44,4,25,9
8984,4,1,9,25,5,8,1,6,3
8985,4,1,35,82,11,33,3,16,6
8986,4,2,36,124,21,42,2,20,18
8987,4,2,28,78,16,34,5,22,7
8988,4,2,61,148,31,43,7,39,22
8989,4,1,6,24,2,8,2,1,4
8990,4,3,84,225,28,90,10,47,22
8991,4,0,15,40,4,18,1,6,3
8992,4,0,17,46,6,19,2,5,6
8993,4,0,21,47,6,20,2,8,5
8994,4,0,8,23,4,10,1,3,4
8995,4,2,34,96,19,37,5,12,9
8996,4,2,66,171,27,77,5,24,14
8997,4,1,14,38,6,15,2,11,7
8998,4,3,46,134,16,49,6,24,20
8999,4,1,22,62,6,28,3,7,5
9000,4,1,18,51,2,21,3,7,5
9001,4,2,73,217,27,84,7,32,15
