id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18,pos_4,pos_2
2978,2,4,190,476,59,203,20,59,49,40
2979,2,1,52,168,22,64,4,25,17,15
2980,2,2,71,220,24,84,9,29,18,23
2981,2,4,213,466,99,172,23,66,37,44
2982,2,4,150,422,61,173,20,56,36,41
2983,2,4,130,322,48,140,15,42,33,32
2984,2,5,228,520,119,184,20,81,58,61
2985,2,2,244,784,83,351,33,112,106,106
2986,2,4,138,331,86,118,17,44,42,36
2987,2,4,133,378,54,160,17,54,48,52
2988,2,3,102,333,35,133,14,28,41,42
2989,2,3,115,315,55,124,11,40,35,27
2990,2,5,200,485,93,185,19,49,62,50
2991,2,3,109,331,39,145,10,37,43,32
2992,2,3,46,93,25,30,4,10,12,11
2993,2,3,137,355,57,153,13,37,47,38
2994,2,4,236,655,81,281,31,82,76,59
2995,2,3,144,329,60,135,11,36,42,21
2996,2,1,71,148,31,48,5,12,20,18
2997,2,3,112,333,34,143,18,32,37,23
2998,2,3,85,319,24,116,11,42,40,25
2999,2,3,93,289,33,133,14,21,38,25
3000,2,3,76,196,33,69,9,24,20,17
3001,2,4,178,516,68,215,17,49,66,40
3002,2,3,193,494,63,224,16,55,50,41
3003,2,4,160,393,77,141,18,55,57,46
3004,2,4,96,198,47,80,8,24,21,10
3005,2,2,34,83,15,35,4,7,11,5
3006,2,3,102,277,44,112,12,30,34,19
3007,2,3,105,284,50,110,15,31,33,18
3008,2,4,136,425,52,165,18,50,39,40
3009,2,3,157,347,84,156,13,44,46,27
3010,2,3,72,172,17,88,8,21,20,27
3011,2,4,121,397,37,193,17,41,40,29
3012,2,3,85,296,44,104,9,30,29,24
3013,2,4,198,434,84,182,22,52,57,43
3014,2,4,132,374,48,160,16,35,39,32
3015,2,3,161,372,75,159,15,44,40,40
3016,2,3,129,312,56,131,16,49,38,43
3017,2,4,187,438,101,187,19,56,58,53
3018,2,3,161,448,65,185,19,47,48,50
3019,2,4,131,305,80,137,19,35,41,30
3020,2,4,259,729,104,299,34,73,71,53
3021,2,4,180,520,63,222,19,71,53,51
3022,2,4,140,321,55,137,13,54,33,36
3023,2,4,105,274,29,108,13,20,29,16
3024,2,4,264,668,107,275,27,69,84,47
3025,2,3,122,293,66,98,9,40,39,19
3026,2,4,123,373,48,155,13,50,46,44
3027,2,3,128,338,73,140,17,57,31,34
3028,2,5,207,502,102,195,18,70,51,43
3029,2,3,74,285,23,101,13,48,28,22
3030,2,4,148,381,46,173,17,45,42,41
3031,2,3,102,234,42,124,11,38,36,27
3032,2,4,224,479,96,182,19,54,65,42
3033,2,4,188,621,72,236,30,54,59,45
3034,2,4,313,737,143,317,30,82,95,59
3035,2,2,52,138,27,52,6,22,17,14
