id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18,pos_4,pos_2,pos_15
14834,6,2,48,122,25,46,6,17,18,17,11
14835,6,3,81,180,38,80,9,28,25,28,15
14836,6,4,70,166,34,69,8,31,16,24,10
14837,6,1,89,193,35,70,7,22,28,24,5
14838,6,3,74,162,37,67,7,23,20,23,18
14839,6,4,88,168,45,65,9,39,22,28,15
14840,6,3,67,148,34,65,6,29,20,25,7
14841,6,3,62,128,36,58,5,21,16,17,9
14842,6,3,51,114,24,56,5,18,13,16,5
14843,6,3,54,130,27,59,4,20,11,19,13
14844,6,3,100,233,60,95,13,36,16,29,19
14845,6,4,137,312,74,135,13,39,37,40,28
14846,6,4,88,213,44,76,9,32,22,33,14
14847,6,3,88,195,46,81,9,38,23,27,7
14848,6,2,55,135,29,51,4,25,20,22,5
14849,6,3,72,152,39,66,7,26,14,25,10
14850,6,1,54,141,34,42,7,23,13,21,8
14851,6,3,52,126,26,56,7,18,13,22,15
14852,6,3,36,87,17,42,3,18,14,13,11
14853,6,2,42,88,22,36,4,16,8,13,3
14854,6,3,53,114,33,46,5,14,12,18,7
14855,6,4,103,244,51,96,11,34,23,39,17
14856,6,2,65,177,28,74,8,22,21,26,8
14857,6,4,108,233,57,103,10,38,23,40,23
14858,6,3,49,116,23,55,5,12,17,20,7
14859,6,2,59,167,33,63,8,25,16,21,17
14860,6,3,97,210,52,88,10,28,26,30,21
14861,6,3,83,198,42,83,10,34,25,27,18
14862,6,3,64,159,29,67,6,11,17,23,11
14863,6,3,46,109,28,46,5,15,14,14,7
14864,6,4,70,169,44,71,6,22,29,23,15
14865,6,3,80,175,37,82,10,27,15,21,15
14866,6,2,25,63,13,28,4,12,6,11,6
14867,6,2,40,102,22,45,4,14,13,13,5
14868,6,3,86,204,53,74,8,25,27,26,15
14869,6,2,68,146,24,68,7,23,19,24,5
14870,6,2,59,130,26,54,7,19,19,25,9
14871,6,3,65,134,38,53,6,22,13,21,9
14872,6,3,65,144,40,60,5,21,17,19,13
14873,6,2,47,112,25,43,6,13,12,20,10
14874,6,1,26,112,12,53,2,21,14,20,3
14875,6,3,47,101,16,38,5,15,8,13,2
14876,6,3,98,197,46,82,9,27,27,22,14
14877,6,2,29,100,15,40,5,15,11,19,8
14878,6,2,57,135,33,52,6,18,15,20,12
14879,6,3,55,129,33,61,8,24,17,18,6
14880,6,3,69,158,29,60,6,26,30,26,8
14881,6,4,82,194,54,70,10,27,24,31,14
14882,6,4,103,224,59,86,8,23,31,29,20
14883,6,3,109,220,55,90,11,28,21,33,12
14884,6,3,56,149,32,70,7,20,23,24,11
14885,6,2,71,185,25,87,9,24,15,24,16
14886,6,3,78,164,40,71,8,25,25,22,9
14887,6,3,82,179,44,76,7,36,25,28,11
14888,6,2,61,174,34,71,4,29,24,26,10
14889,6,3,71,169,43,71,7,27,25,25,4
14890,6,3,62,166,29,70,8,20,14,24,10
14891,6,1,42,130,25,53,5,23,16,20,7
14892,6,3,100,200,52,85,10,37,25,32,14
14893,6,2,34,84,20,33,4,14,13,14,7
14894,6,4,74,186,37,85,8,17,24,26,15
14895,6,2,67,161,29,66,8,36,19,28,12
14896,6,4,119,260,60,106,7,36,39,40,16
14897,6,3,80,177,50,81,9,21,31,22,8
14898,6,4,87,191,45,76,7,21,30,27,10
14899,6,1,43,104,19,45,4,21,12,13,11
14900,6,3,63,136,35,53,7,18,22,20,10
14901,6,1,15,32,11,14,2,6,1,4,6
14902,6,4,92,212,46,81,9,27,27,35,17
14903,6,3,79,163,51,67,9,27,18,25,12
14904,6,3,92,197,48,71,9,34,24,25,19
14905,6,1,29,74,13,34,3,12,8,10,3
14906,6,3,46,112,22,48,6,12,12,13,12
14907,6,3,54,116,27,51,5,19,13,13,10
14908,6,2,67,146,36,63,6,27,17,22,14
14909,6,3,60,142,36,65,5,27,19,25,9
14910,6,3,45,86,22,32,3,15,6,12,10
14911,6,1,26,65,16,24,3,6,11,10,4
14912,6,3,43,104,24,51,4,14,15,8,8
14913,6,3,68,152,42,58,7,18,20,20,12
14914,6,3,77,177,41,66,8,26,16,25,20
14915,6,3,44,111,22,51,5,12,14,13,9
14916,6,3,73,162,42,68,6,17,21,19,12
14917,6,3,68,164,35,64,5,29,22,28,14
14918,6,3,74,168,41,77,9,30,22,26,9
14919,6,2,56,120,21,51,6,20,13,15,9
14920,6,3,84,177,50,71,8,35,22,24,11
14921,6,3,77,177,40,72,6,28,18,28,10
14922,6,3,100,198,54,86,10,32,28,30,16
14923,6,3,72,168,35,67,6,27,17,27,13
14924,6,3,75,156,41,59,7,28,22,25,12
14925,6,3,60,144,31,52,6,26,19,20,10
14926,6,3,111,246,63,105,10,29,38,41,17
14927,6,2,40,80,21,28,4,15,9,13,9
14928,6,2,74,182,36,75,7,17,19,34,6
14929,6,2,36,102,17,32,6,14,13,18,7
