id,set,human_score,char_10
14834,6,2,1
14835,6,3,2
14836,6,4,2
14837,6,1,1
14838,6,3,0
14839,6,4,5
14840,6,3,3
14841,6,3,4
14842,6,3,0
14843,6,3,0
14844,6,3,9
14845,6,4,7
14846,6,4,6
14847,6,3,2
14848,6,2,1
14849,6,3,2
14850,6,1,2
14851,6,3,2
14852,6,3,1
14853,6,2,4
14854,6,3,3
14855,6,4,3
14856,6,2,1
14857,6,4,6
14858,6,3,0
14859,6,2,4
14860,6,3,2
14861,6,3,1
14862,6,3,0
14863,6,3,3
14864,6,4,4
14865,6,3,2
14866,6,2,0
14867,6,2,0
14868,6,3,2
14869,6,2,1
14870,6,2,1
14871,6,3,5
14872,6,3,2
14873,6,2,0
14874,6,1,0
14875,6,3,0
14876,6,3,1
14877,6,2,1
14878,6,2,0
14879,6,3,0
14880,6,3,1
14881,6,4,7
14882,6,4,2
14883,6,3,3
14884,6,3,1
14885,6,2,0
14886,6,3,3
14887,6,3,2
14888,6,2,4
14889,6,3,3
14890,6,3,1
14891,6,1,1
14892,6,3,4
14893,6,2,1
14894,6,4,1
14895,6,2,4
14896,6,4,7
14897,6,3,5
14898,6,4,0
14899,6,1,1
14900,6,3,0
14901,6,1,0
14902,6,4,2
14903,6,3,2
14904,6,3,1
14905,6,1,0
14906,6,3,2
14907,6,3,2
14908,6,2,3
14909,6,3,0
14910,6,3,4
14911,6,1,0
14912,6,3,1
14913,6,3,3
14914,6,3,6
14915,6,3,0
14916,6,3,4
14917,6,3,2
14918,6,3,2
14919,6,2,2
14920,6,3,2
14921,6,3,1
14922,6,3,4
14923,6,3,2
14924,6,3,2
14925,6,3,1
14926,6,3,4
14927,6,2,0
14928,6,2,0
14929,6,2,0
14930,6,4,0
14931,6,2,0
14932,6,3,4
14933,6,4,1
14934,6,4,3
14935,6,3,1
14936,6,3,2
14937,6,1,4
14938,6,3,3
14939,6,0,1
14940,6,3,2
14941,6,3,0
14942,6,3,9
14943,6,3,1
14944,6,4,1
14945,6,2,1
14946,6,3,3
14947,6,3,3
14948,6,2,1
14949,6,1,2
14950,6,3,1
14951,6,0,1
14952,6,2,2
14953,6,3,3
14954,6,2,1
14955,6,3,0
14956,6,4,8
14957,6,0,0
14958,6,2,1
14959,6,3,1
14960,6,3,3
14961,6,3,0
14962,6,2,2
14963,6,4,2
14964,6,2,2
14965,6,2,1
14966,6,3,0
14967,6,4,2
14968,6,3,1
14969,6,2,1
14970,6,3,1
14971,6,3,1
14972,6,4,0
14973,6,1,3
14974,6,3,0
14975,6,3,4
14976,6,3,3
14977,6,3,2
14978,6,4,5
14979,6,1,0
14980,6,3,1
14981,6,3,1
14982,6,4,6
14983,6,2,6
14984,6,3,1
14985,6,0,2
14986,6,3,5
14987,6,4,2
14988,6,3,0
14989,6,3,1
14990,6,4,3
14991,6,3,2
14992,6,3,1
14993,6,2,2
14994,6,3,6
14995,6,4,3
14996,6,2,2
14997,6,1,0
14998,6,3,3
14999,6,4,3
15000,6,4,4
15001,6,3,4
15002,6,3,1
15003,6,1,0
15004,6,4,2
15005,6,3,0
15006,6,3,1
15007,6,3,1
15008,6,3,1
15009,6,4,3
15010,6,1,0
15011,6,3,1
15012,6,3,2
15013,6,2,1
15014,6,2,4
15015,6,3,3
15016,6,2,1
15017,6,0,0
15018,6,2,1
15019,6,3,4
15020,6,2,0
15021,6,3,4
15022,6,3,3
15023,6,3,1
15024,6,3,0
15025,6,1,2
15026,6,3,2
15027,6,3,5
15028,6,2,1
15029,6,4,3
15030,6,4,2
15031,6,3,4
15032,6,4,1
15033,6,4,2
15034,6,4,3
15035,6,2,0
15036,6,3,0
15037,6,2,2
15038,6,3,1
15039,6,2,2
15040,6,2,2
15041,6,2,0
15042,6,4,6
15043,6,3,4
15044,6,3,6
15045,6,3,0
15046,6,4,0
15047,6,3,1
15048,6,2,0
15049,6,3,4
15050,6,3,1
15051,6,3,2
15052,6,3,4
15053,6,3,3
15054,6,2,1
15055,6,3,1
15056,6,2,0
15057,6,1,1
15058,6,4,0
15059,6,3,4
15060,6,3,1
15061,6,3,2
15062,6,4,3
15063,6,4,5
15064,6,2,0
15065,6,3,0
15066,6,3,1
15067,6,2,0
15068,6,4,1
15069,6,4,7
15070,6,3,1
15071,6,3,0
15072,6,3,0
15073,6,4,3
15074,6,3,1
15075,6,1,0
15076,6,3,3
15077,6,2,1
15078,6,2,1
15079,6,3,0
15080,6,3,0
15081,6,4,2
15082,6,1,6
15083,6,3,3
15084,6,2,3
15085,6,4,2
15086,6,2,0
15087,6,3,0
15088,6,3,0
15089,6,4,1
15090,6,2,1
15091,6,2,6
15092,6,3,2
15093,6,3,4
15094,6,4,2
15095,6,0,1
15096,6,1,0
15097,6,4,0
15098,6,2,3
15099,6,3,1
15100,6,3,0
15101,6,4,1
15102,6,3,0
15103,6,4,1
15104,6,3,3
15105,6,3,1
15106,6,1,3
15107,6,3,0
15108,6,3,1
15109,6,2,1
15110,6,2,1
15111,6,3,2
15112,6,1,0
15113,6,0,0
15114,6,2,2
15115,6,3,2
15116,6,3,7
15117,6,1,1
15118,6,1,3
15119,6,2,1
15120,6,2,0
15121,6,4,3
15122,6,3,4
15123,6,3,0
15124,6,3,1
15125,6,3,3
15126,6,1,0
15127,6,4,3
15128,6,3,0
15129,6,2,1
15130,6,3,1
15131,6,2,4
15132,6,3,0
15133,6,2,5
15134,6,2,0
15135,6,3,1
15136,6,3,1
15137,6,2,5
15138,6,3,3
