id,set,human_score,mean_char
20716,8,34,3.91265060241
20717,8,46,3.97051282051
20718,8,40,4.04009433962
20719,8,30,3.7304964539
20721,8,26,3.45820433437
20722,8,40,4.31654676259
20723,8,40,4.08
20724,8,34,3.87628865979
20725,8,41,4.28785811733
20726,8,40,4.35009310987
20727,8,31,3.99316628702
20728,8,44,4.63235294118
20732,8,31,3.6271393643
20733,8,36,4.1717352415
20734,8,43,4.54652686763
20735,8,20,4.46564885496
20736,8,45,4.17580872011
20737,8,40,3.98106060606
20739,8,30,3.80816326531
20741,8,35,4.22857142857
20742,8,40,3.96984126984
20743,8,42,4.22405660377
20745,8,34,4.45606694561
20746,8,33,3.75118483412
20747,8,38,4.1095505618
20748,8,36,3.92877906977
20751,8,45,3.87459283388
20754,8,31,3.94813027744
20755,8,30,4.25221238938
20756,8,34,3.95115332429
20757,8,33,4.19257221458
20758,8,40,4.0023557126
20759,8,47,4.00817438692
20760,8,30,4.20718562874
20761,8,40,4.09445100354
20762,8,32,4.01538461538
20763,8,40,3.96090047393
20764,8,30,3.72459016393
20766,8,45,4.42427884615
20767,8,45,4.15007656968
20768,8,45,4.23104265403
20769,8,50,4.38461538462
20770,8,39,4.11538461538
20771,8,33,4.19777158774
20772,8,33,4.08623853211
20773,8,34,3.87421383648
20774,8,40,3.63818181818
20775,8,33,4.09404388715
20776,8,33,3.98934550989
20777,8,40,4.18480492813
20778,8,36,4.08485856905
20779,8,37,3.90615384615
20781,8,40,3.99600532623
20783,8,33,4.16407599309
20784,8,37,3.90514469453
20785,8,42,4.08757637475
20787,8,40,4.16304347826
20790,8,40,4.18053097345
20791,8,38,4.30769230769
20792,8,31,4.02105263158
20793,8,42,4.13131313131
20794,8,40,4.08791208791
20795,8,35,4.0313014827
20796,8,35,4.26359338061
20797,8,33,4.26923076923
20800,8,33,4.54964539007
20802,8,30,3.8686746988
20803,8,37,4.04197530864
20804,8,40,3.95518867925
20805,8,40,4.10545023697
20806,8,35,4.15881326353
20807,8,35,4.00429184549
20808,8,31,3.95755517827
20809,8,40,3.89234449761
20812,8,40,4.08254716981
20813,8,36,4.19130434783
20814,8,32,4.23473053892
20815,8,31,4.29255319149
20817,8,30,3.70656370656
20818,8,32,4.12023809524
20819,8,30,3.77177177177
20821,8,55,4.51980792317
20822,8,45,4.10916442049
20823,8,41,4.50388601036
20824,8,45,4.74033149171
20825,8,33,3.86159844055
20826,8,60,4.31914893617
20827,8,45,4.04297520661
20828,8,28,3.692
20829,8,49,4.61683848797
20830,8,33,3.90996784566
20831,8,29,3.75510204082
20832,8,36,3.96020539153
20833,8,40,4.08736349454
20835,8,40,4.08934169279
20836,8,40,4.29672447013
20838,8,27,3.87096774194
20839,8,24,3.46285714286
20840,8,32,4.14826498423
20841,8,33,3.88905775076
20842,8,40,4.18963486455
20844,8,30,4.21739130435
20846,8,34,4.11270125224
20847,8,35,3.98141263941
20848,8,30,3.9445754717
20849,8,44,4.0070754717
20850,8,31,4.08050847458
20851,8,32,4.06651884701
20852,8,40,4.26996197719
20853,8,32,3.88803088803
20856,8,40,4.43947368421
20857,8,36,4.14211438475
20859,8,43,3.89846517119
20860,8,36,4.44444444444
20861,8,40,4.2734375
20862,8,45,4.35667107001
20863,8,36,4.04651162791
20865,8,38,3.82246376812
20866,8,37,3.82767624021
20869,8,36,3.97800776197
20870,8,31,4.23875432526
20871,8,20,4.35384615385
20872,8,38,4.24958949097
20874,8,32,4.18540433925
20876,8,37,4.02106741573
20877,8,40,4.05220228385
20878,8,35,3.94273127753
20879,8,40,4.22222222222
20881,8,28,4.20628930818
20882,8,38,4.0339869281
20883,8,36,4.04201680672
20884,8,43,4.27525622255
20885,8,34,3.87352941176
20887,8,32,3.8900203666
20888,8,50,4.4
20889,8,40,4.12830188679
20892,8,40,4.13733075435
20893,8,37,3.99273607748
20894,8,36,4.07065217391
20895,8,40,4.27290076336
