id,set,human_score,std_char
17834,7,15,2.20610887187
17836,7,13,2.02647767304
17837,7,15,2.18871370952
17838,7,17,2.02492364141
17839,7,13,2.106921213
17840,7,23,2.01349171798
17841,7,16,1.86098866269
17842,7,18,2.5429516658
17843,7,12,2.10410493801
17844,7,10,2.15949097102
17845,7,16,1.97986618989
17846,7,19,2.44648877911
17847,7,17,1.86438618019
17849,7,14,1.74253767425
17850,7,12,2.05356935129
17851,7,16,1.85155357513
17852,7,17,1.99777654184
17853,7,16,2.4594902342
17854,7,21,2.01837229612
17856,7,14,1.83039024061
17857,7,18,2.23296979621
17858,7,24,1.91225631863
17859,7,17,2.0338643011
17860,7,16,2.29229938651
17861,7,16,1.889278453
17862,7,9,2.1644286938
17863,7,6,2.23466451401
17864,7,10,1.59996565897
17865,7,17,1.98676472935
17867,7,16,2.12812891445
17868,7,15,1.83440124366
17869,7,11,2.4880020981
17870,7,19,2.1055881545
17871,7,24,2.17105244321
17872,7,18,2.11211943451
17873,7,16,2.12751460817
17874,7,20,1.82899920592
17875,7,12,1.66430238057
17876,7,19,2.71144655861
17878,7,10,2.50029127148
17879,7,7,1.72823218039
17880,7,16,2.37122027052
17881,7,12,1.9305966151
17882,7,12,1.93019348247
17883,7,20,1.86508215326
17884,7,24,1.94515837586
17885,7,9,1.9990745025
17886,7,9,2.39346429442
17887,7,20,2.09236132243
17888,7,16,2.02184736625
17889,7,8,1.56605692343
17890,7,15,1.9261192808
17891,7,20,1.76207568347
17892,7,17,2.09813979051
17893,7,18,2.0667730092
17894,7,13,1.95239322972
17896,7,12,1.98363604463
17897,7,20,1.86460337101
17898,7,16,2.04696212718
17899,7,24,2.47775810448
17900,7,16,1.78976256549
17901,7,10,1.52367910089
17902,7,17,1.95539547909
17903,7,12,1.36397114298
17904,7,17,1.94649720045
17905,7,8,1.77752737091
17906,7,22,2.07952042722
17908,7,24,2.3247604776
17909,7,21,2.21619779427
17910,7,19,1.68657004049
17911,7,19,1.8737203488
17912,7,12,2.21409747676
17913,7,16,1.78646059051
17914,7,12,2.21028877025
17915,7,15,1.87011964326
17916,7,9,1.81155812755
17917,7,8,1.27471895919
17918,7,14,2.07780423737
17919,7,23,1.71855056775
17920,7,14,1.99076207533
17921,7,10,1.86518565573
17922,7,17,1.83463774879
17923,7,21,2.11636553382
17924,7,24,2.25824392592
17926,7,21,2.13804322187
