id,set,human_score,word_25
5978,3,1,0
5979,3,2,0
5980,3,1,0
5981,3,1,1
5982,3,2,1
5983,3,1,0
5984,3,1,0
5985,3,0,0
5986,3,2,0
5987,3,3,1
5988,3,3,1
5989,3,1,1
5990,3,3,1
5991,3,2,0
5992,3,1,1
5993,3,2,1
5994,3,2,0
5995,3,2,0
5996,3,1,1
5997,3,2,0
5998,3,2,1
5999,3,1,1
6000,3,2,1
6001,3,1,0
6002,3,2,0
6003,3,3,3
6004,3,1,1
6005,3,3,1
6006,3,2,1
6007,3,3,0
6008,3,1,1
6010,3,1,1
6011,3,1,0
6012,3,0,1
6013,3,1,1
6014,3,3,2
6015,3,2,2
6016,3,3,2
6017,3,1,0
6018,3,2,1
6019,3,1,0
6020,3,2,1
6021,3,2,0
6022,3,2,1
6023,3,2,2
6024,3,1,0
6025,3,1,1
6026,3,3,2
6027,3,3,5
6028,3,2,0
6029,3,1,0
6030,3,3,0
6031,3,3,2
6032,3,2,0
6033,3,3,3
6034,3,2,3
6035,3,1,2
6036,3,2,3
6037,3,2,0
6038,3,2,3
6039,3,1,0
6040,3,1,0
6041,3,2,0
6042,3,2,1
6043,3,1,0
6044,3,2,0
6045,3,2,0
6046,3,1,1
6047,3,1,0
6048,3,1,0
6049,3,1,0
6050,3,3,4
6051,3,1,0
6052,3,2,2
6053,3,1,1
6054,3,1,2
6055,3,2,0
6056,3,1,1
6057,3,3,1
6058,3,2,1
6059,3,1,1
6060,3,1,1
6061,3,3,6
6062,3,1,0
6063,3,2,0
6064,3,2,0
6065,3,2,0
6066,3,1,1
6067,3,1,0
6068,3,2,0
6069,3,2,2
6070,3,2,1
6071,3,2,0
6072,3,2,0
6073,3,2,1
6074,3,2,0
6075,3,3,6
6076,3,2,2
6077,3,1,0
6078,3,2,0
6079,3,3,2
6080,3,2,0
6081,3,2,0
6082,3,1,0
6083,3,1,0
6084,3,3,2
6085,3,3,4
6086,3,1,1
6087,3,2,0
6088,3,2,0
6089,3,3,3
6090,3,1,2
6091,3,3,1
6092,3,1,0
6093,3,1,1
6094,3,1,0
6095,3,3,3
6096,3,2,0
6097,3,1,1
6098,3,3,1
6099,3,1,1
6100,3,2,4
6101,3,2,2
6102,3,2,1
6103,3,2,1
6104,3,1,0
6105,3,3,0
6106,3,1,0
6107,3,2,2
6108,3,1,1
6109,3,2,1
6110,3,2,0
6111,3,2,0
6112,3,1,1
6113,3,3,1
6114,3,1,0
6115,3,2,1
6116,3,2,2
6117,3,1,0
6118,3,3,0
6119,3,1,1
6120,3,2,0
6121,3,3,0
6122,3,2,2
6123,3,3,1
6124,3,3,2
6125,3,2,0
6126,3,1,0
6127,3,3,1
6128,3,3,4
6129,3,2,0
6130,3,1,1
6131,3,1,0
6132,3,3,1
6133,3,1,0
6134,3,2,0
6135,3,2,1
6136,3,1,0
6137,3,2,2
6138,3,2,1
6139,3,2,0
6140,3,1,1
6141,3,2,0
6142,3,2,3
6143,3,3,1
6144,3,3,2
6145,3,3,2
6146,3,2,2
6147,3,2,0
6148,3,2,0
6149,3,2,0
6150,3,2,0
6151,3,2,1
6152,3,2,0
6153,3,2,0
6154,3,1,0
6155,3,1,1
6156,3,2,2
6157,3,3,2
6158,3,3,0
6159,3,2,2
6160,3,2,0
6161,3,2,1
6162,3,2,1
6163,3,1,0
6164,3,2,1
6165,3,3,4
6166,3,1,0
6167,3,3,1
6168,3,2,2
6169,3,2,2
6170,3,1,1
6171,3,3,2
6172,3,2,1
6173,3,1,0
6174,3,2,1
6175,3,1,1
6176,3,1,1
6177,3,2,3
6178,3,3,0
6179,3,2,0
6180,3,3,1
6181,3,3,1
6182,3,3,1
6183,3,3,0
6184,3,1,0
6185,3,2,0
6186,3,2,0
6187,3,1,0
6188,3,0,0
6189,3,1,0
6190,3,2,1
6191,3,2,1
6192,3,3,2
6193,3,1,0
6194,3,3,0
6195,3,3,0
6196,3,1,2
6197,3,2,1
6198,3,3,1
6199,3,2,0
6200,3,0,2
6201,3,2,0
6202,3,1,0
6203,3,3,0
6204,3,1,2
6205,3,2,1
6206,3,0,1
6207,3,0,0
6208,3,3,3
6209,3,2,1
6210,3,2,1
6211,3,1,2
6212,3,2,1
6213,3,1,0
6214,3,1,1
6215,3,1,0
6216,3,2,2
6217,3,1,0
6218,3,2,0
6219,3,2,1
6220,3,2,2
6221,3,2,2
6222,3,2,1
6223,3,3,0
6224,3,2,1
6225,3,3,1
6226,3,3,0
6227,3,1,0
6228,3,3,2
6229,3,1,1
6230,3,1,0
6231,3,2,1
6232,3,1,2
6233,3,2,0
6234,3,1,2
6235,3,1,0
6236,3,2,0
6237,3,2,0
6238,3,0,0
6239,3,2,1
6240,3,3,0
6241,3,1,0
6242,3,1,0
6243,3,2,1
6244,3,1,0
6245,3,3,0
6246,3,1,1
6247,3,3,1
6248,3,1,2
6249,3,3,1
6250,3,3,0
6251,3,1,1
6252,3,1,0
6253,3,3,2
6254,3,3,2
6255,3,1,1
6256,3,1,0
6257,3,1,0
6258,3,1,0
6259,3,3,0
6260,3,2,0
6261,3,1,1
6262,3,3,1
6263,3,3,3
6264,3,3,0
6265,3,2,0
6266,3,1,0
6267,3,3,2
6268,3,3,4
6269,3,1,1
6270,3,3,0
6271,3,2,0
6272,3,2,0
6273,3,1,1
6274,3,1,0
6275,3,1,1
6276,3,3,0
6277,3,1,0
6278,3,1,1
6279,3,2,0
6280,3,3,1
6281,3,1,2
6282,3,3,2
6283,3,1,1
6284,3,3,3
6285,3,2,1
6286,3,3,3
6287,3,3,0
6288,3,2,1
6289,3,2,1
6290,3,1,1
6291,3,2,1
6292,3,3,0
6293,3,2,0
6294,3,1,1
6295,3,2,0
6296,3,0,0
