id,set,human_score,mean_word
5978,3,1,12.75
5979,3,2,13.6153846154
5980,3,1,11.875
5981,3,1,28.6666666667
5982,3,2,26.8
5983,3,1,11.8333333333
5984,3,1,8.6
5985,3,0,12.3333333333
5986,3,2,11.625
5987,3,3,15.0
5988,3,3,13.8461538462
5989,3,1,15.8333333333
5990,3,3,15.3333333333
5991,3,2,14.0
5992,3,1,18.0
5993,3,2,15.75
5994,3,2,17.5
5995,3,2,10.5
5996,3,1,15.1666666667
5997,3,2,11.25
5998,3,2,17.3333333333
5999,3,1,17.0
6000,3,2,15.875
6001,3,1,15.5
6002,3,2,16.4285714286
6003,3,3,20.4444444444
6004,3,1,20.0
6005,3,3,13.1538461538
6006,3,2,14.8333333333
6007,3,3,15.3333333333
6008,3,1,17.375
6010,3,1,16.0
6011,3,1,9.5
6012,3,0,13.8333333333
6013,3,1,14.6666666667
6014,3,3,17.5555555556
6015,3,2,15.625
6016,3,3,17.4166666667
6017,3,1,10.5714285714
6018,3,2,14.0
6019,3,1,18.0
6020,3,2,15.0
6021,3,2,8.57142857143
6022,3,2,13.7777777778
6023,3,2,19.375
6024,3,1,17.25
6025,3,1,26.0
6026,3,3,15.8461538462
6027,3,3,22.0
6028,3,2,7.8
6029,3,1,13.0
6030,3,3,13.0714285714
6031,3,3,14.5
6032,3,2,10.1428571429
6033,3,3,17.4545454545
6034,3,2,17.0
6035,3,1,18.0
6036,3,2,22.5714285714
6037,3,2,15.8
6038,3,2,23.6666666667
6039,3,1,13.2222222222
6040,3,1,14.3333333333
6041,3,2,11.5
6042,3,2,15.2857142857
6043,3,1,10.1666666667
6044,3,2,5.33333333333
6045,3,2,15.2857142857
6046,3,1,15.0
6047,3,1,9.71428571429
6048,3,1,10.0
6049,3,1,14.25
6050,3,3,16.85
6051,3,1,13.3636363636
6052,3,2,20.8571428571
6053,3,1,14.5
6054,3,1,19.0
6055,3,2,13.2
6056,3,1,12.75
6057,3,3,16.2222222222
6058,3,2,14.6666666667
6059,3,1,21.0
6060,3,1,19.0
