id,set,human_score,pos_18
14834,6,2,17
14835,6,3,28
14836,6,4,31
14837,6,1,22
14838,6,3,23
14839,6,4,39
14840,6,3,29
14841,6,3,21
14842,6,3,18
14843,6,3,20
14844,6,3,36
14845,6,4,39
14846,6,4,32
14847,6,3,38
14848,6,2,25
14849,6,3,26
14850,6,1,23
14851,6,3,18
14852,6,3,18
14853,6,2,16
14854,6,3,14
14855,6,4,34
14856,6,2,22
14857,6,4,38
14858,6,3,12
14859,6,2,25
14860,6,3,28
14861,6,3,34
14862,6,3,11
14863,6,3,15
14864,6,4,22
14865,6,3,27
14866,6,2,12
14867,6,2,14
14868,6,3,25
14869,6,2,23
14870,6,2,19
14871,6,3,22
14872,6,3,21
14873,6,2,13
14874,6,1,21
14875,6,3,15
14876,6,3,27
14877,6,2,15
14878,6,2,18
14879,6,3,24
14880,6,3,26
14881,6,4,27
14882,6,4,23
14883,6,3,28
14884,6,3,20
14885,6,2,24
14886,6,3,25
14887,6,3,36
14888,6,2,29
14889,6,3,27
14890,6,3,20
14891,6,1,23
14892,6,3,37
14893,6,2,14
14894,6,4,17
14895,6,2,36
14896,6,4,36
14897,6,3,21
14898,6,4,21
14899,6,1,21
14900,6,3,18
14901,6,1,6
14902,6,4,27
14903,6,3,27
14904,6,3,34
14905,6,1,12
14906,6,3,12
14907,6,3,19
14908,6,2,27
14909,6,3,27
14910,6,3,15
14911,6,1,6
14912,6,3,14
14913,6,3,18
14914,6,3,26
14915,6,3,12
14916,6,3,17
14917,6,3,29
14918,6,3,30
14919,6,2,20
14920,6,3,35
14921,6,3,28
14922,6,3,32
14923,6,3,27
14924,6,3,28
14925,6,3,26
14926,6,3,29
14927,6,2,15
14928,6,2,17
14929,6,2,14
14930,6,4,18
14931,6,2,11
14932,6,3,26
14933,6,4,16
14934,6,4,29
14935,6,3,17
14936,6,3,16
14937,6,1,21
14938,6,3,29
14939,6,0,11
14940,6,3,32
14941,6,3,33
14942,6,3,26
14943,6,3,24
14944,6,4,31
14945,6,2,13
14946,6,3,24
14947,6,3,35
14948,6,2,25
14949,6,1,9
14950,6,3,24
14951,6,0,26
14952,6,2,9
14953,6,3,29
14954,6,2,20
14955,6,3,19
14956,6,4,44
14957,6,0,5
14958,6,2,8
14959,6,3,16
14960,6,3,26
14961,6,3,14
14962,6,2,29
14963,6,4,17
14964,6,2,16
14965,6,2,19
14966,6,3,23
14967,6,4,30
14968,6,3,22
14969,6,2,12
14970,6,3,15
14971,6,3,29
14972,6,4,31
14973,6,1,13
14974,6,3,20
14975,6,3,25
14976,6,3,17
14977,6,3,22
14978,6,4,34
14979,6,1,9
14980,6,3,20
14981,6,3,29
14982,6,4,19
14983,6,2,13
14984,6,3,16
14985,6,0,27
14986,6,3,26
14987,6,4,36
14988,6,3,34
14989,6,3,17
14990,6,4,32
14991,6,3,26
14992,6,3,12
14993,6,2,15
14994,6,3,49
14995,6,4,39
14996,6,2,18
14997,6,1,9
14998,6,3,32
14999,6,4,28
15000,6,4,45
15001,6,3,30
