id,set,human_score,sentence_count
14834,6,2,7
14835,6,3,10
14836,6,4,9
14837,6,1,13
14838,6,3,11
14839,6,4,11
14840,6,3,7
14841,6,3,6
14842,6,3,10
14843,6,3,12
14844,6,3,16
14845,6,4,19
14846,6,4,10
14847,6,3,14
14848,6,2,7
14849,6,3,8
14850,6,1,9
14851,6,3,8
14852,6,3,4
14853,6,2,5
14854,6,3,10
14855,6,4,12
14856,6,2,13
14857,6,4,13
14858,6,3,7
14859,6,2,12
14860,6,3,11
14861,6,3,15
14862,6,3,9
14863,6,3,6
14864,6,4,9
14865,6,3,10
14866,6,2,5
14867,6,2,8
14868,6,3,12
14869,6,2,8
14870,6,2,8
14871,6,3,11
14872,6,3,8
14873,6,2,7
14874,6,1,5
14875,6,3,6
14876,6,3,15
14877,6,2,6
14878,6,2,11
14879,6,3,13
14880,6,3,8
14881,6,4,11
14882,6,4,10
14883,6,3,18
14884,6,3,9
14885,6,2,19
14886,6,3,14
14887,6,3,8
14888,6,2,5
14889,6,3,8
14890,6,3,9
14891,6,1,12
14892,6,3,13
14893,6,2,5
14894,6,4,9
14895,6,2,9
14896,6,4,8
14897,6,3,10
14898,6,4,9
14899,6,1,6
14900,6,3,11
14901,6,1,4
14902,6,4,12
14903,6,3,18
14904,6,3,15
14905,6,1,5
14906,6,3,7
14907,6,3,9
14908,6,2,18
14909,6,3,7
14910,6,3,8
14911,6,1,7
14912,6,3,5
14913,6,3,9
14914,6,3,11
14915,6,3,11
14916,6,3,7
14917,6,3,6
14918,6,3,12
14919,6,2,7
14920,6,3,9
14921,6,3,16
14922,6,3,19
14923,6,3,13
14924,6,3,24
14925,6,3,10
14926,6,3,16
14927,6,2,5
14928,6,2,12
14929,6,2,7
14930,6,4,10
14931,6,2,7
14932,6,3,12
14933,6,4,13
14934,6,4,15
14935,6,3,7
14936,6,3,9
14937,6,1,10
14938,6,3,13
14939,6,0,2
14940,6,3,10
14941,6,3,13
14942,6,3,11
14943,6,3,16
14944,6,4,13
14945,6,2,5
14946,6,3,8
14947,6,3,20
14948,6,2,11
14949,6,1,4
14950,6,3,11
14951,6,0,8
14952,6,2,3
14953,6,3,8
14954,6,2,9
14955,6,3,6
14956,6,4,22
14957,6,0,2
14958,6,2,5
14959,6,3,15
14960,6,3,18
14961,6,3,8
14962,6,2,11
14963,6,4,10
14964,6,2,8
14965,6,2,6
14966,6,3,9
14967,6,4,13
14968,6,3,6
14969,6,2,7
14970,6,3,12
14971,6,3,22
14972,6,4,8
14973,6,1,13
14974,6,3,9
14975,6,3,7
14976,6,3,13
14977,6,3,10
14978,6,4,17
14979,6,1,5
14980,6,3,12
14981,6,3,9
14982,6,4,11
14983,6,2,5
14984,6,3,10
14985,6,0,9
14986,6,3,8
14987,6,4,11
14988,6,3,13
14989,6,3,11
14990,6,4,15
14991,6,3,9
14992,6,3,6
14993,6,2,3
14994,6,3,18
14995,6,4,12
14996,6,2,13
14997,6,1,4
14998,6,3,14
14999,6,4,10
15000,6,4,12
15001,6,3,10
15002,6,3,8
15003,6,1,6
15004,6,4,12
15005,6,3,9
15006,6,3,9
15007,6,3,11
15008,6,3,8
15009,6,4,14
15010,6,1,2
15011,6,3,16
15012,6,3,10
15013,6,2,4
15014,6,2,8
15015,6,3,8
15016,6,2,2
15017,6,0,2
15018,6,2,6
15019,6,3,12
15020,6,2,8
15021,6,3,11
15022,6,3,10
15023,6,3,8
15024,6,3,8
15025,6,1,6
15026,6,3,11
15027,6,3,7
15028,6,2,6
15029,6,4,11
15030,6,4,12
15031,6,3,9
15032,6,4,11
15033,6,4,10
15034,6,4,14
15035,6,2,8
15036,6,3,7
15037,6,2,6
15038,6,3,12
15039,6,2,6
15040,6,2,7
15041,6,2,7
15042,6,4,9
15043,6,3,14
15044,6,3,12
15045,6,3,8
15046,6,4,16
15047,6,3,9
15048,6,2,10
15049,6,3,11
15050,6,3,9
15051,6,3,8
15052,6,3,14
15053,6,3,13
15054,6,2,6
15055,6,3,6
15056,6,2,7
15057,6,1,5
15058,6,4,10
15059,6,3,10
15060,6,3,10
15061,6,3,8
15062,6,4,10
15063,6,4,13
15064,6,2,8
15065,6,3,8
15066,6,3,8
15067,6,2,7
15068,6,4,12
15069,6,4,17
15070,6,3,12
15071,6,3,7
15072,6,3,10
15073,6,4,13
15074,6,3,11
15075,6,1,6
15076,6,3,12
15077,6,2,8
15078,6,2,5
15079,6,3,9
15080,6,3,7
15081,6,4,12
15082,6,1,13
15083,6,3,13
15084,6,2,6
15085,6,4,15
15086,6,2,4
15087,6,3,8
15088,6,3,12
15089,6,4,13
15090,6,2,8
15091,6,2,11
15092,6,3,10
15093,6,3,12
15094,6,4,14
15095,6,0,8
15096,6,1,5
15097,6,4,17
15098,6,2,7
15099,6,3,9
15100,6,3,9
15101,6,4,13
15102,6,3,9
15103,6,4,10
15104,6,3,7
15105,6,3,14
15106,6,1,11
15107,6,3,8
15108,6,3,9
15109,6,2,10
15110,6,2,10
15111,6,3,13
15112,6,1,6
15113,6,0,2
15114,6,2,4
15115,6,3,10
15116,6,3,7
15117,6,1,6
15118,6,1,9
15119,6,2,6
15120,6,2,7
15121,6,4,7
15122,6,3,7
15123,6,3,9
15124,6,3,11
15125,6,3,9
15126,6,1,4
15127,6,4,13
15128,6,3,10
15129,6,2,5
15130,6,3,9
15131,6,2,7
15132,6,3,12
15133,6,2,12
15134,6,2,4
15135,6,3,7
15136,6,3,10
15137,6,2,14
15138,6,3,8
15139,6,4,6
15140,6,2,5
15141,6,1,1
15142,6,2,9
15143,6,2,4
15144,6,3,10
15145,6,3,14
15146,6,3,8
15147,6,3,14
15148,6,2,8
15149,6,2,6
15150,6,3,10
15151,6,4,29
15152,6,2,8
15153,6,2,12
15154,6,2,12
15155,6,4,12
15156,6,3,8
15157,6,3,12
15158,6,4,11
15159,6,3,14
15160,6,3,6
15161,6,4,9
15162,6,2,15
15163,6,3,9
15164,6,3,12
15165,6,3,6
15166,6,4,17
15167,6,3,9
15168,6,4,21
15169,6,4,15
15170,6,3,11
15171,6,2,10
15172,6,2,12
15173,6,4,9
15174,6,3,13
15175,6,2,10
15176,6,4,12
15177,6,1,11
15178,6,2,5
15179,6,4,11
15180,6,4,12
15181,6,4,11
15182,6,4,12
15183,6,2,7
15184,6,3,10
15185,6,1,9
15186,6,4,11
15187,6,3,10
15188,6,1,2
15189,6,4,12
15190,6,4,11
15191,6,3,6
15192,6,2,8
15193,6,1,4
15194,6,2,5
15195,6,1,6
15196,6,3,19
15197,6,3,7
15198,6,3,7
15199,6,3,11
15200,6,4,11
15201,6,3,3
15202,6,3,8
15203,6,4,20
15204,6,2,7
15205,6,3,13
15206,6,2,9
15207,6,2,5
15208,6,3,10
15209,6,3,12
15210,6,3,9
15211,6,2,10
15212,6,2,6
15213,6,3,6
15214,6,1,7
15215,6,4,15
15216,6,3,5
15217,6,2,5
15218,6,2,5
15219,6,3,5
15220,6,3,12
15221,6,2,6
15222,6,4,11
15223,6,3,8
15224,6,2,9
15225,6,4,23
15226,6,4,11
15227,6,3,12
15228,6,4,16
15229,6,2,5
15230,6,4,11
15231,6,4,10
15232,6,1,5
15233,6,3,10
15234,6,4,12
15235,6,2,6
15236,6,3,8
15237,6,2,7
15238,6,1,2
15239,6,4,10
15240,6,1,3
15241,6,3,12
15242,6,4,13
15243,6,3,8
15244,6,3,15
15245,6,1,6
15246,6,4,11
15247,6,3,11
15248,6,3,9
15249,6,3,11
15250,6,3,16
15251,6,3,11
15252,6,2,8
15253,6,3,10
15254,6,2,5
15255,6,2,5
15256,6,2,16
15257,6,3,11
15258,6,1,5
15259,6,2,9
15260,6,2,9
15261,6,3,7
15262,6,1,3
15263,6,3,10
15264,6,4,11
15265,6,3,9
15266,6,3,9
15267,6,4,13
15268,6,0,2
15269,6,2,6
15270,6,2,4
15271,6,2,6
15272,6,3,7
15273,6,4,10
15274,6,3,9
15275,6,2,8
15276,6,3,17
15277,6,4,14
15278,6,2,6
15279,6,2,8
15280,6,2,9
15281,6,3,10
15282,6,4,13
15283,6,2,6
15284,6,3,9
15285,6,3,12
15286,6,3,7
15287,6,3,10
15288,6,1,6
15289,6,4,10
15290,6,2,5
15291,6,3,8
15292,6,1,5
15293,6,2,9
15294,6,3,6
15295,6,3,8
15296,6,3,12
15297,6,2,7
15298,6,2,8
15299,6,1,7
15300,6,4,13
15301,6,4,5
15302,6,4,10
15303,6,4,9
15304,6,1,8
15305,6,3,14
15306,6,3,12
15307,6,3,8
15308,6,3,14
15309,6,4,10
15310,6,3,22
15311,6,3,9
15312,6,3,11
15313,6,4,16
15314,6,3,9
15315,6,4,15
15316,6,3,11
15317,6,1,14
15318,6,4,13
15319,6,1,3
15320,6,4,11
15321,6,4,12
15322,6,2,10
15323,6,3,10
15324,6,2,6
15325,6,2,6
15326,6,3,12
15327,6,4,10
15328,6,2,13
15329,6,4,8
15330,6,4,10
15331,6,4,15
15332,6,3,6
15333,6,3,10
15334,6,3,15
15335,6,4,8
15336,6,4,10
15337,6,3,11
15338,6,2,6
15339,6,3,9
15340,6,3,10
15341,6,4,9
15342,6,3,10
15343,6,1,3
15344,6,3,8
15345,6,3,8
15346,6,3,7
15347,6,2,7
15348,6,3,12
15349,6,3,8
15350,6,3,8
15351,6,3,11
15352,6,3,9
15353,6,3,13
15354,6,4,11
15355,6,3,5
15356,6,3,9
15357,6,2,8
15358,6,4,8
15359,6,2,7
15360,6,3,17
15361,6,3,11
15362,6,2,5
15363,6,0,4
15364,6,3,10
15365,6,3,10
15366,6,2,10
15367,6,3,9
15368,6,2,7
15369,6,3,9
15370,6,3,8
15371,6,2,5
15372,6,4,12
15373,6,4,9
15374,6,1,7
15375,6,4,9
15376,6,4,9
15377,6,2,5
15378,6,2,8
15379,6,3,11
15380,6,3,12
15381,6,0,11
15382,6,4,13
15383,6,3,10
15384,6,3,11
15385,6,3,11
15386,6,1,1
15387,6,3,7
15388,6,3,7
15389,6,4,12
15390,6,2,4
15391,6,2,5
15392,6,3,6
15393,6,3,10
