id,set,human_score,word_count
8863,4,0,57
8864,4,0,39
8865,4,3,136
8866,4,2,65
8867,4,2,128
8868,4,1,71
8869,4,0,92
8870,4,2,82
8871,4,1,32
8872,4,2,115
8873,4,2,179
8874,4,0,42
8875,4,1,31
8876,4,2,175
8877,4,0,71
8878,4,1,48
8879,4,2,87
8880,4,1,34
8881,4,3,164
8882,4,1,50
8883,4,1,81
8884,4,1,40
8885,4,3,136
8886,4,1,46
8887,4,2,88
8888,4,2,176
8889,4,1,115
8890,4,2,105
8891,4,3,133
8892,4,1,79
8893,4,2,54
8894,4,1,55
8895,4,3,175
8896,4,2,89
8897,4,1,92
8898,4,2,140
8899,4,0,34
8900,4,2,149
8901,4,0,36
8902,4,3,155
8903,4,3,177
8904,4,2,109
8905,4,2,139
8906,4,2,111
8907,4,0,40
8908,4,1,101
8909,4,2,117
8910,4,1,68
8911,4,3,180
8912,4,1,66
8913,4,1,74
8914,4,2,191
8915,4,2,68
8916,4,0,107
8917,4,0,66
8918,4,1,125
8919,4,3,90
8920,4,0,43
8921,4,2,159
8922,4,2,141
8923,4,3,173
8924,4,2,88
8925,4,1,81
8926,4,1,50
8927,4,0,57
8928,4,1,91
8929,4,1,67
8930,4,0,84
8931,4,3,55
8932,4,1,19
8933,4,2,126
8934,4,1,55
8935,4,2,186
8936,4,1,49
8937,4,1,104
8938,4,1,53
8939,4,3,132
8940,4,2,132
8941,4,3,225
8942,4,1,62
8943,4,1,61
8944,4,1,95
8945,4,2,107
8946,4,3,106
8947,4,0,85
8948,4,3,166
8949,4,0,46
8950,4,1,112
8951,4,2,96
8952,4,1,76
8953,4,1,69
8954,4,3,133
8955,4,3,131
8956,4,1,49
8957,4,2,114
8958,4,0,34
8959,4,3,148
8960,4,1,98
8961,4,1,73
8962,4,2,97
8963,4,1,78
8964,4,0,34
8965,4,2,93
8966,4,1,55
8967,4,2,98
8968,4,2,50
8969,4,2,172
8970,4,1,52
8971,4,1,95
8972,4,2,114
8973,4,3,168
8974,4,3,144
8975,4,0,26
8976,4,0,61
8977,4,2,120
8978,4,0,54
8979,4,3,211
8980,4,1,58
8981,4,3,248
8982,4,1,43
8983,4,2,119
8984,4,1,25
8985,4,1,82
8986,4,2,124
8987,4,2,78
8988,4,2,148
8989,4,1,24
8990,4,3,225
8991,4,0,40
8992,4,0,46
8993,4,0,47
8994,4,0,23
8995,4,2,96
8996,4,2,171
8997,4,1,38
8998,4,3,134
8999,4,1,62
9000,4,1,51
9001,4,2,217
9002,4,2,67
9003,4,2,178
9004,4,3,168
9005,4,3,120
9006,4,3,103
9007,4,2,137
9008,4,2,116
9009,4,2,95
9010,4,1,60
9011,4,2,141
9012,4,1,99
9013,4,1,55
9014,4,2,182
9015,4,1,93
9016,4,3,159
9017,4,2,92
9018,4,2,88
9019,4,3,180
9020,4,0,23
9021,4,2,92
9022,4,2,99
9023,4,1,52
9024,4,1,59
9025,4,1,27
9026,4,2,95
9027,4,3,231
9028,4,1,41
9029,4,2,154
9030,4,0,64
9031,4,1,84
9032,4,1,22
9033,4,1,131
9034,4,2,147
9035,4,3,230
9036,4,0,72
9037,4,3,131
9038,4,1,36
9039,4,2,134
9040,4,3,145
9041,4,0,49
9042,4,2,143
9043,4,2,101
9044,4,1,255
9045,4,0,58
9046,4,1,92
9047,4,1,35
9048,4,0,29
9049,4,2,97
9050,4,1,63
9051,4,2,119
9052,4,3,109
9053,4,2,84
9054,4,1,78
9055,4,1,88
9056,4,0,77
