id,set,human_score,beauty_score
2978,2,4,6.1949564687
2979,2,1,4.98294311676
2980,2,2,5.49442327776
2981,2,4,7.31787351347
2982,2,4,6.64554725134
2983,2,4,7.7344613218
2984,2,5,9.97363961393
2985,2,2,18.7005337293
2986,2,4,5.76357542547
2987,2,4,5.32248042858
2988,2,3,6.01902865506
2989,2,3,6.99921978727
2990,2,5,8.68721657845
2991,2,3,6.72719701569
2992,2,3,1.42466781955
2993,2,3,6.10085513384
2994,2,4,15.1638732203
2995,2,3,5.58733639043
2996,2,1,2.96903082257
2997,2,3,6.37626731797
2998,2,3,9.80679678686
2999,2,3,4.22716966583
3000,2,3,4.29956693466
3001,2,4,8.64754895074
3002,2,3,7.84906423544
3003,2,4,6.294461641
3004,2,4,2.70685490293
3005,2,2,0.92392471887
3006,2,3,4.74982709109
3007,2,3,4.61979370778
3008,2,4,9.15862817179
3009,2,3,4.0326950078
3010,2,3,1.93214003501
3011,2,4,7.55444209263
3012,2,3,4.09939712715
3013,2,4,8.82557999932
3014,2,4,4.90819827778
3015,2,3,5.06058864867
3016,2,3,4.77113303938
3017,2,4,6.35108329628
3018,2,3,6.10462780486
3019,2,4,2.73450071715
3020,2,4,12.6635342947
3021,2,4,8.51848180326
3022,2,4,7.05311172307
3023,2,4,5.03871431418
3024,2,4,16.0212512454
3025,2,3,5.31964907469
3026,2,4,6.52459787336
3027,2,3,6.19505340914
3028,2,5,7.6109835829
3029,2,3,8.71575065118
3030,2,4,6.38981629245
3031,2,3,3.12309154333
3032,2,4,6.80340237612
3033,2,4,11.4648299566
3034,2,4,11.2164835033
3035,2,2,2.6286002885
3036,2,3,5.16548149808
3037,2,4,8.67354243349
3038,2,2,1.83206311476
3039,2,3,3.68947508579
3040,2,3,8.48963891545
3041,2,4,8.45222417606
3042,2,4,6.87648080283
3043,2,3,6.30277449155
3044,2,3,4.66858971409
3045,2,4,6.1191550132
3046,2,3,2.9964321297
3047,2,3,3.58913990121
3048,2,3,9.09103230417
3049,2,4,4.10830676796
3050,2,2,6.17176879419
3051,2,4,7.6717961447
3052,2,4,10.2995241322
3053,2,3,6.15544863929
3054,2,3,6.09807447407
3055,2,3,5.47186535462
3056,2,3,4.17387277947
3057,2,3,1.91233378778
3058,2,3,7.14964343489
3059,2,3,5.75678934343
3060,2,4,6.55540907765
3061,2,3,5.09506378964
3062,2,3,4.73795394734
3063,2,4,5.23981314048
3064,2,3,5.98843855338
3065,2,3,2.12129983019
3066,2,1,1.3967452175
3067,2,4,5.36426782368
3068,2,2,3.27504039614
3069,2,4,12.1222642361
3070,2,3,5.58990686046
3071,2,4,5.05687161039
3072,2,4,13.8679000776
3073,2,4,17.4745018209
3074,2,4,10.5773934686
3075,2,4,13.1519665112
3076,2,3,5.80929604804
3077,2,5,11.0302379517
3078,2,3,8.61632605691
3079,2,3,7.82627545615
3080,2,4,9.35214711862
3081,2,4,6.98726885837
3082,2,3,5.00441466469
3083,2,3,3.97866950016
3084,2,3,8.58143767025
3085,2,3,4.33973203786
3086,2,2,1.82340634276
3087,2,2,3.17538072787
3088,2,3,6.31207094635
3089,2,3,4.78702485846
3090,2,3,4.82030458431
3091,2,2,2.49505967934
3092,2,3,2.49640145389
3093,2,3,4.24381809291
3094,2,4,6.78818042811
3095,2,2,3.90954893848
3096,2,1,1.84334285884
3097,2,3,9.37514712274
3098,2,3,3.2839140118
3099,2,4,13.0442201735
3100,2,3,9.18277963413
3101,2,3,3.65931017366
3102,2,3,3.61633600958
3103,2,3,4.53076898209
3104,2,5,11.2470809808
3105,2,3,4.00694125745
3106,2,4,11.1052634277
3107,2,3,7.11002281623
3108,2,3,5.12097412916
3109,2,3,7.99765120817
3110,2,3,4.63145594374
3111,2,3,5.72516775264
3112,2,3,4.12653554518
3113,2,3,5.27731251685
3114,2,4,10.0939750308
3115,2,4,8.24593966505
3116,2,3,4.87018473457
3117,2,3,6.26329894179
3118,2,2,3.0555278713
3119,2,4,10.0894865925
3120,2,3,6.77475952072
3121,2,4,8.50095576832
3122,2,4,8.63086927862
3123,2,4,5.3802533106
3124,2,4,6.97607381543
3125,2,4,9.31100383998
3126,2,4,7.65457133592
3127,2,3,9.19878435657
3128,2,4,7.46826018251
3129,2,4,16.6260748526
3130,2,4,7.03243135397
3131,2,4,5.31327601284
3132,2,3,7.70598440465
3133,2,4,7.58371056988
3134,2,4,8.37308526104
3135,2,3,5.73139784422
3136,2,4,7.02653405243
3137,2,3,5.02175256711
3138,2,4,6.10703429758
3139,2,3,8.77982849543
3140,2,4,6.2028564349
3141,2,3,7.33814843139
3142,2,4,7.7512936484
3143,2,3,6.57771356231
3144,2,4,6.057215229
3145,2,4,10.5223858112
3146,2,3,4.88360249467
3147,2,2,1.48909830781
3148,2,3,3.97434671618
3149,2,3,6.63843654575
3150,2,4,7.15454992738
3151,2,3,5.58057563911
3152,2,4,6.79438578591
3153,2,4,13.7502349179
3154,2,3,3.47338064874
3155,2,3,2.3740270463
3156,2,4,12.3567505832
3157,2,4,8.43051280122
3158,2,2,2.78748050029
3159,2,1,4.19486112425
3160,2,3,8.24000186694
3161,2,3,6.19166720278
3162,2,4,7.09041501668
3163,2,5,7.03877812634
3164,2,3,6.05309809248
3165,2,4,5.13470184118
3166,2,4,7.07659565062
3167,2,3,5.80794472942
3168,2,4,6.37158910388
3169,2,3,6.82127907922
3170,2,3,9.15208175767
3171,2,5,12.0927917584
3172,2,4,7.7444173456
3173,2,3,10.8921742594
3174,2,3,4.78499737407
3175,2,4,12.3746543671
3176,2,4,9.76232817781
3177,2,1,4.28161920499
3178,2,4,5.5387850006
3179,2,4,7.7216090007
3180,2,3,14.6507730336
3181,2,4,9.4020506856
3182,2,2,2.27629220243
3183,2,3,4.97306925056
3184,2,3,5.42304838731
3185,2,4,9.84732185056
3186,2,2,5.1547268957
3187,2,3,6.2899022495
3188,2,3,9.05452504633
3189,2,4,11.4131241589
3190,2,4,6.37121786361
3191,2,4,14.1009997155
3192,2,3,3.65473668294
3193,2,3,5.40291305846
3194,2,3,8.12656755043
3195,2,4,5.18661860382
3196,2,4,13.1171641959
3197,2,3,3.0062039742
3198,2,2,4.8437997175
3199,2,4,7.12294674824
3200,2,4,11.0764683179
3201,2,4,4.46105947353
3202,2,5,9.02560686855
3203,2,4,6.74518334148
3204,2,3,6.92291725164
3205,2,3,5.10082438101
3206,2,4,19.5726973302
3207,2,3,5.43752326445
3208,2,4,4.62379383958
3209,2,3,4.40715379793
3210,2,4,7.98220942771
3211,2,3,5.78365026131
3212,2,4,8.21680432589
3213,2,4,6.13698124631
3214,2,4,11.578160548
3215,2,3,3.95940364669
3216,2,4,7.8371627719
3217,2,4,8.99178372007
3218,2,3,5.10689033184
3219,2,4,10.2763924143
3220,2,3,9.6672212739
3221,2,3,14.3446730603
3222,2,3,2.54867028148
3223,2,3,4.64849156584
3224,2,3,9.24216506331
