id,set,human_score,vocabulory_score
20716,8,34,221
20717,8,46,348
20718,8,40,322
20719,8,30,265
20721,8,26,248
20722,8,40,205
20723,8,40,304
20724,8,34,117
20725,8,41,305
20726,8,40,219
20727,8,31,169
20728,8,44,286
20732,8,31,318
20733,8,36,227
20734,8,43,284
20735,8,20,57
20736,8,45,292
20737,8,40,228
20739,8,30,270
20741,8,35,112
20742,8,40,221
20743,8,42,320
20745,8,34,154
20746,8,33,294
20747,8,38,136
20748,8,36,264
20751,8,45,228
20754,8,31,308
20755,8,30,101
20756,8,34,302
20757,8,33,319
20758,8,40,307
20759,8,47,252
20760,8,30,321
20761,8,40,343
20762,8,32,159
20763,8,40,299
20764,8,30,101
20766,8,45,322
20767,8,45,265
20768,8,45,338
20769,8,50,323
20770,8,39,168
20771,8,33,133
20772,8,33,184
20773,8,34,185
20774,8,40,186
20775,8,33,119
20776,8,33,216
20777,8,40,189
20778,8,36,247
20779,8,37,262
20781,8,40,257
20783,8,33,231
20784,8,37,265
20785,8,42,197
20787,8,40,152
20790,8,40,206
20791,8,38,131
20792,8,31,113
20793,8,42,328
20794,8,40,284
20795,8,35,231
20796,8,35,303
20797,8,33,86
20800,8,33,206
20802,8,30,310
20803,8,37,150
20804,8,40,156
20805,8,40,310
20806,8,35,229
20807,8,35,154
20808,8,31,247
20809,8,40,320
20812,8,40,296
20813,8,36,185
20814,8,32,311
20815,8,31,303
20817,8,30,92
20818,8,32,370
20819,8,30,124
20821,8,55,343
20822,8,45,283
20823,8,41,307
20824,8,45,228
20825,8,33,213
20826,8,60,254
20827,8,45,223
20828,8,28,93
20829,8,49,211
20830,8,33,227
20831,8,29,104
20832,8,36,275
20833,8,40,244
20835,8,40,246
20836,8,40,175
20838,8,27,131
20839,8,24,61
20840,8,32,135
20841,8,33,256
20842,8,40,343
20844,8,30,288
20846,8,34,224
20847,8,35,180
20848,8,30,322
20849,8,44,336
20850,8,31,98
20851,8,32,190
20852,8,40,215
20853,8,32,170
20856,8,40,129
20857,8,36,204
20859,8,43,302
20860,8,36,208
20861,8,40,220
20862,8,45,327
20863,8,36,170
20865,8,38,309
20866,8,37,275
20869,8,36,305
20870,8,31,110
20871,8,20,17
20872,8,38,231
20874,8,32,180
20876,8,37,300
20877,8,40,250
20878,8,35,262
20879,8,40,243
20881,8,28,304
20882,8,38,317
20883,8,36,184
20884,8,43,289
20885,8,34,121
20887,8,32,162
20888,8,50,280
20889,8,40,204
20892,8,40,213
20893,8,37,160
20894,8,36,257
20895,8,40,214
20896,8,30,73
20897,8,32,101
20898,8,44,358
20899,8,37,326
20900,8,42,266
20901,8,40,259
20902,8,40,287
20904,8,30,267
20905,8,34,291
20906,8,44,186
20907,8,36,281
20908,8,35,147
20909,8,34,320
20910,8,32,143
20911,8,40,165
20913,8,34,212
20914,8,40,248
20915,8,40,309
20916,8,37,330
20917,8,38,199
20918,8,29,137
20919,8,34,83
20920,8,32,217
20921,8,43,336
20922,8,37,108
20923,8,34,246
20924,8,29,94
20925,8,30,129
20926,8,47,278
20927,8,36,330
20928,8,40,124
20929,8,29,71
20930,8,40,287
20931,8,41,309
20932,8,40,247
20933,8,32,218
20935,8,40,276
