id,set,human_score,maturity_score
5978,3,1,6.49333333333
5979,3,2,5.90843137255
5980,3,1,5.755
5981,3,1,5.77523809524
5982,3,2,5.61157894737
5983,3,1,6.57833333333
5984,3,1,5.888125
5985,3,0,5.6790625
5986,3,2,5.75466666667
5987,3,3,6.14017857143
5988,3,3,5.669
5989,3,1,5.42714285714
5990,3,3,5.33904761905
5991,3,2,6.04518518519
5992,3,1,5.89952380952
5993,3,2,6.12979166667
5994,3,2,6.42347826087
5995,3,2,6.38444444444
5996,3,1,6.14433333333
5997,3,2,6.04935483871
5998,3,2,5.73047619048
5999,3,1,5.33571428571
6000,3,2,5.85153846154
6001,3,1,5.24434782609
6002,3,2,5.2235
6003,3,3,5.51057971014
6004,3,1,5.69714285714
6005,3,3,6.22391304348
6006,3,2,5.8134375
6007,3,3,6.17689655172
6008,3,1,5.70195121951
6010,3,1,6.45862068966
6011,3,1,5.81
6012,3,0,5.16064516129
6013,3,1,5.319375
6014,3,3,6.7025
6015,3,2,5.65690909091
6016,3,3,5.68375
6017,3,1,5.34172413793
6018,3,2,5.70964285714
6019,3,1,6.15666666667
6020,3,2,5.76609756098
6021,3,2,5.89851851852
6022,3,2,5.70105263158
6023,3,2,5.77485294118
6024,3,1,6.265
6025,3,1,5.43454545455
6026,3,3,5.5132
6027,3,3,5.58655555556
6028,3,2,5.50333333333
6029,3,1,6.05886363636
6030,3,3,6.31533333333
6031,3,3,5.85113207547
6032,3,2,5.53464285714
6033,3,3,6.09142857143
6034,3,2,5.82170212766
6035,3,1,5.19764705882
6036,3,2,5.92967213115
6037,3,2,5.95928571429
6038,3,2,5.14368421053
6039,3,1,5.40959183673
6040,3,1,5.99583333333
6041,3,2,6.198
6042,3,2,5.84541666667
6043,3,1,5.52263157895
6044,3,2,6.356
6045,3,2,6.15266666667
6046,3,1,6.03565217391
6047,3,1,5.98230769231
6048,3,1,5.44765957447
6049,3,1,6.28363636364
6050,3,3,6.0814516129
6051,3,1,5.66561403509
6052,3,2,6.02395833333
6053,3,1,5.70684210526
6054,3,1,6.54416666667
6055,3,2,5.446
6056,3,1,5.87236842105
6057,3,3,5.80965517241
6058,3,2,5.41865384615
6059,3,1,6.722
6060,3,1,5.57357142857
6061,3,3,5.88032258065
6062,3,1,5.8547826087
6063,3,2,6.06386363636
6064,3,2,6.22793103448
6065,3,2,6.182
6066,3,1,6.33476190476
6067,3,1,5.49222222222
6068,3,2,5.65818181818
6069,3,2,5.95588235294
6070,3,2,5.98473684211
6071,3,2,6.792
6072,3,2,5.83033333333
6073,3,2,5.94897058824
6074,3,2,5.08666666667
6075,3,3,5.91634146341
6076,3,2,5.81409090909
6077,3,1,5.70885714286
6078,3,2,6.04423076923
6079,3,3,5.9042
6080,3,2,5.09760869565
6081,3,2,7.03571428571
6082,3,1,6.78206896552
6083,3,1,5.48166666667
6084,3,3,5.98045454545
6085,3,3,5.7434939759
6086,3,1,5.3546875
6087,3,2,6.07464285714
6088,3,2,5.5956
6089,3,3,5.76293103448
6090,3,1,5.9253125
6091,3,3,6.176
6092,3,1,5.92647058824
6093,3,1,5.43545454545
6094,3,1,5.25954545455
6095,3,3,5.88924050633
6096,3,2,5.99327272727
6097,3,1,5.78625
6098,3,3,5.70955555556
6099,3,1,5.85416666667
6100,3,2,6.2291025641
6101,3,2,6.46382352941
6102,3,2,5.30796296296
6103,3,2,6.16886792453
6104,3,1,6.255
6105,3,3,5.7237
6106,3,1,5.5028
6107,3,2,5.90457627119
6108,3,1,7.33434782609
6109,3,2,6.20055555556
6110,3,2,6.12844444444
6111,3,2,5.89888888889
6112,3,1,5.51583333333
6113,3,3,6.4575
6114,3,1,5.74
6115,3,2,5.75947368421
6116,3,2,5.92222222222
6117,3,1,5.80795918367
6118,3,3,5.66818181818
6119,3,1,5.7837037037
6120,3,2,5.54957446809
6121,3,3,5.72773584906
6122,3,2,5.49692307692
6123,3,3,5.474
6124,3,3,5.76260869565
6125,3,2,6.3144
6126,3,1,5.60264705882
6127,3,3,5.36938461538
6128,3,3,5.61754716981
6129,3,2,5.93552631579
6130,3,1,6.22470588235
6131,3,1,6.31125
6132,3,3,5.5874
6133,3,1,5.21045454545
6134,3,2,5.43582089552
6135,3,2,6.2088
6136,3,1,5.43272727273
6137,3,2,5.33983050847
6138,3,2,5.88458333333
6139,3,2,5.91545454545
6140,3,1,5.92736842105
6141,3,2,6.35580645161
6142,3,2,5.92183333333
6143,3,3,5.74689655172
6144,3,3,5.76407407407
6145,3,3,5.43298245614
6146,3,2,5.19892307692
6147,3,2,5.57526315789
6148,3,2,6.35363636364
6149,3,2,5.82340909091
6150,3,2,5.88340425532
6151,3,2,5.89945945946
6152,3,2,5.92659574468
6153,3,2,5.551875
6154,3,1,6.84833333333
6155,3,1,5.93178571429
6156,3,2,5.56375
6157,3,3,5.44917647059
6158,3,3,6.14446153846
6159,3,2,5.65850746269
6160,3,2,6.14447368421
6161,3,2,5.41307692308
6162,3,2,5.56723076923
6163,3,1,5.30047619048
6164,3,2,5.87292682927
6165,3,3,5.82136986301
6166,3,1,6.723
6167,3,3,5.885625
6168,3,2,5.1188372093
6169,3,2,5.74116666667
6170,3,1,5.32489361702
6171,3,3,5.64133333333
6172,3,2,6.36693877551
6173,3,1,6.37
6174,3,2,5.79
6175,3,1,5.9640625
6176,3,1,4.9764516129
6177,3,2,5.67102564103
6178,3,3,6.49108108108
6179,3,2,6.11
6180,3,3,6.203375
6181,3,3,5.40636363636
6182,3,3,6.37833333333
6183,3,3,6.146875
6184,3,1,6.76
6185,3,2,5.55558139535
6186,3,2,5.87333333333
6187,3,1,5.51916666667
6188,3,0,9.08
6189,3,1,5.55958333333
6190,3,2,5.45083333333
6191,3,2,5.70214285714
6192,3,3,6.105625
6193,3,1,6.09631578947
6194,3,3,5.8014084507
6195,3,3,6.53739130435
6196,3,1,5.2827027027
6197,3,2,6.18755555556
6198,3,3,5.7198630137
6199,3,2,6.0625
6200,3,0,5.2203125
6201,3,2,6.78625
6202,3,1,5.72375
6203,3,3,6.2393442623
6204,3,1,6.04702702703
6205,3,2,6.680625
6206,3,0,6.18538461538
6207,3,0,6.16083333333
6208,3,3,5.44840909091
6209,3,2,5.25305555556
6210,3,2,5.6941025641
6211,3,1,6.1495
6212,3,2,5.36595238095
6213,3,1,6.50777777778
6214,3,1,5.6832
6215,3,1,6.2885
6216,3,2,6.068
6217,3,1,6.31
6218,3,2,5.5365625
6219,3,2,6.18403846154
6220,3,2,5.795
6221,3,2,5.4620754717
6222,3,2,5.918
6223,3,3,5.43138461538
6224,3,2,5.99846153846
6225,3,3,5.68772727273
6226,3,3,5.50903225806
6227,3,1,7.1319047619
6228,3,3,6.14208333333
6229,3,1,5.43375
6230,3,1,4.98153846154
6231,3,2,5.84314285714
6232,3,1,6.39595744681
6233,3,2,6.83
6234,3,1,4.96407407407
6235,3,1,6.236
6236,3,2,6.00777777778
6237,3,2,5.46545454545
6238,3,0,5.90727272727
6239,3,2,5.98596491228
6240,3,3,6.48673469388
6241,3,1,5.70388888889
6242,3,1,6.14571428571
6243,3,2,5.99259259259
6244,3,1,7.004
6245,3,3,5.49069444444
6246,3,1,5.47
6247,3,3,5.98725490196
6248,3,1,6.11037037037
6249,3,3,5.97735632184
6250,3,3,6.21323076923
6251,3,1,6.17
6252,3,1,5.663125
6253,3,3,5.3368852459
6254,3,3,5.48373134328
6255,3,1,6.101875
6256,3,1,5.54615384615
6257,3,1,5.45285714286
6258,3,1,6.5275
6259,3,3,5.26933333333
6260,3,2,5.75136363636
6261,3,1,6.43538461538
6262,3,3,6.11818181818
6263,3,3,6.15605633803
6264,3,3,7.59365591398
6265,3,2,5.86222222222
6266,3,1,5.5825
6267,3,3,6.38952380952
6268,3,3,6.20961038961
6269,3,1,5.09
6270,3,3,5.66086206897
6271,3,2,6.63695652174
6272,3,2,5.49545454545
6273,3,1,5.59481481481
6274,3,1,5.84071428571
6275,3,1,6.90857142857
6276,3,3,5.65606557377
6277,3,1,6.398
6278,3,1,6.08655172414
6279,3,2,6.355
6280,3,3,6.1075862069
6281,3,1,6.09246575342
6282,3,3,6.116
6283,3,1,5.50043478261
6284,3,3,5.79264705882
6285,3,2,5.75342857143
6286,3,3,5.87507462687
6287,3,3,5.94781818182
6288,3,2,6.09620689655
6289,3,2,5.77571428571
6290,3,1,5.642
6291,3,2,5.6
6292,3,3,6.70959459459
6293,3,2,6.16130434783
6294,3,1,5.91836363636
6295,3,2,5.39285714286
6296,3,0,5.466
6297,3,1,6.4465625
6298,3,1,4.87125
6299,3,2,5.83673913043
6300,3,3,6.12745454545
6301,3,3,5.71425287356
6302,3,2,6.16387096774
6303,3,1,5.779
6304,3,1,6.64047619048
6305,3,3,5.80464285714
6306,3,1,6.38333333333
6307,3,2,5.899
6308,3,3,5.55701492537
6309,3,1,6.0025
6310,3,3,5.90592592593
6311,3,2,5.1512
6312,3,2,5.84615384615
6313,3,3,6.58016666667
6314,3,1,5.6325
6315,3,2,5.61655172414
6316,3,1,5.20063829787
6317,3,2,5.90929577465
6318,3,1,5.90565217391
6319,3,1,5.01813953488
6320,3,1,6.11086956522
6321,3,1,5.07523809524
6322,3,2,6.10173913043
6323,3,1,6.421
