id,set,human_score,bag_of_words_score
5978,3,1,0
5979,3,2,6.62359385167
5980,3,1,0
5981,3,1,0
5982,3,2,0
5983,3,1,1.00815454506
5984,3,1,1.00815454506
5985,3,0,0
5986,3,2,0
5987,3,3,5.47094331868
5988,3,3,2.52038636266
5989,3,1,2.59097567141
5990,3,3,0
5991,3,2,4.31829278569
5992,3,1,1.5122318176
5993,3,2,3.45463422855
5994,3,2,1.00815454506
5995,3,2,0
5996,3,1,2.59097567141
5997,3,2,2.59097567141
5998,3,2,1.72731711428
5999,3,1,0
6000,3,2,2.01630909013
6001,3,1,0
6002,3,2,4.60728476154
6003,3,3,2.59097567141
6004,3,1,0
6005,3,3,5.18195134283
6006,3,2,4.96686604615
6007,3,3,0
6008,3,1,3.45463422855
6010,3,1,3.45463422855
6011,3,1,0
6012,3,0,0
6013,3,1,1.00815454506
6014,3,3,4.31829278569
6015,3,2,7.55784171756
6016,3,3,0
6017,3,1,2.59097567141
6018,3,2,0
6019,3,1,0
6020,3,2,0
6021,3,2,0
6022,3,2,0
6023,3,2,0
6024,3,1,3.59913021648
6025,3,1,0
6026,3,3,5.04077272532
6027,3,3,0
6028,3,2,3.02446363519
6029,3,1,3.45463422855
6030,3,3,6.9092684571
6031,3,3,0
6032,3,2,2.73547165934
6033,3,3,5.18195134283
6034,3,2,4.10320748901
6035,3,1,0
6036,3,2,2.52038636266
6037,3,2,4.60728476154
6038,3,2,0
6039,3,1,0
6040,3,1,2.59097567141
6041,3,2,0
6042,3,2,2.59097567141
6043,3,1,0
6044,3,2,1.36773582967
6045,3,2,2.01630909013
6046,3,1,4.10320748901
6047,3,1,0
6048,3,1,4.10320748901
6049,3,1,2.59097567141
6050,3,3,10.0782280802
6051,3,1,7.34275642088
6052,3,2,4.31829278569
6053,3,1,0
6054,3,1,2.59097567141
6055,3,2,2.01630909013
6056,3,1,1.5122318176
6057,3,3,3.45463422855
6058,3,2,0
6059,3,1,0
6060,3,1,0
6061,3,3,6.9092684571
6062,3,1,0
6063,3,2,4.10320748901
6064,3,2,4.10320748901
6065,3,2,2.01630909013
6066,3,1,3.45463422855
6067,3,1,1.00815454506
6068,3,2,0
6069,3,2,0
6070,3,2,2.59097567141
6071,3,2,1.72731711428
6072,3,2,3.02446363519
6073,3,2,1.5122318176
6074,3,2,0
6075,3,3,5.18195134283
6076,3,2,0
6077,3,1,3.45463422855
6078,3,2,2.59097567141
6079,3,3,4.31829278569
6080,3,2,1.5122318176
6081,3,2,1.72731711428
6082,3,1,4.96686604615
6083,3,1,0
6084,3,3,4.60728476154
6085,3,3,2.01630909013
6086,3,1,0
6087,3,2,2.59097567141
6088,3,2,7.34275642088
6089,3,3,0
6090,3,1,0
6091,3,3,2.59097567141
6092,3,1,1.5122318176
6093,3,1,1.72731711428
6094,3,1,1.5122318176
6095,3,3,6.47909786374
6096,3,2,2.59097567141
6097,3,1,1.5122318176
6098,3,3,0
6099,3,1,0
6100,3,2,3.45463422855
6101,3,2,4.31829278569
6102,3,2,6.47909786374
6103,3,2,3.02446363519
6104,3,1,0
6105,3,3,4.31829278569
6106,3,1,0
6107,3,2,2.59097567141
6108,3,1,3.45463422855
6109,3,2,0
6110,3,2,3.45463422855
6111,3,2,1.5122318176
6112,3,1,3.02446363519
6113,3,3,10.0782280802
6114,3,1,0
6115,3,2,0
6116,3,2,3.02446363519
6117,3,1,3.45463422855
6118,3,3,2.01630909013
6119,3,1,0
6120,3,2,4.96686604615
6121,3,3,6.98317513627
6122,3,2,0
6123,3,3,6.04892727038
6124,3,3,0
6125,3,2,4.96686604615
6126,3,1,1.72731711428
6127,3,3,0
6128,3,3,2.52038636266
6129,3,2,2.59097567141
6130,3,1,5.47094331868
6131,3,1,1.5122318176
6132,3,3,0
6133,3,1,1.00815454506
6134,3,2,2.01630909013
6135,3,2,0
6136,3,1,2.59097567141
6137,3,2,0
6138,3,2,2.52038636266
6139,3,2,0
6140,3,1,6.9092684571
6141,3,2,3.45463422855
6142,3,2,6.83867914835
6143,3,3,1.5122318176
6144,3,3,6.55300454291
6145,3,3,4.10320748901
6146,3,2,2.01630909013
6147,3,2,0
6148,3,2,2.01630909013
6149,3,2,2.52038636266
6150,3,2,2.59097567141
6151,3,2,1.72731711428
6152,3,2,0
6153,3,2,2.01630909013
6154,3,1,0.863658557138
6155,3,1,0
6156,3,2,4.31829278569
6157,3,3,0
6158,3,3,6.04560989996
6159,3,2,5.47094331868
6160,3,2,4.31829278569
6161,3,2,0
6162,3,2,4.03261818025
6163,3,1,0
6164,3,2,7.84683369341
6165,3,3,1.5122318176
6166,3,1,1.5122318176
6167,3,3,1.00815454506
6168,3,2,0
6169,3,2,3.45463422855
6170,3,1,0
6171,3,3,6.04560989996
6172,3,2,3.45463422855
6173,3,1,2.59097567141
6174,3,2,4.60728476154
6175,3,1,2.59097567141
6176,3,1,2.01630909013
6177,3,2,0
6178,3,3,4.31829278569
6179,3,2,0
6180,3,3,4.31829278569
6181,3,3,2.01630909013
6182,3,3,5.6154393066
6183,3,3,4.31829278569
6184,3,1,3.59913021648
6185,3,2,0
6186,3,2,1.5122318176
6187,3,1,1.00815454506
6188,3,0,0.863658557138
6189,3,1,0
6190,3,2,4.53669545279
6191,3,2,0
6192,3,3,0
6193,3,1,1.5122318176
6194,3,3,2.01630909013
6195,3,3,5.47094331868
6196,3,1,1.00815454506
6197,3,2,5.97502059121
6198,3,3,2.52038636266
6199,3,2,3.23954893187
6200,3,0,1.5122318176
6201,3,2,1.5122318176
6202,3,1,1.00815454506
6203,3,3,9.21456952308
6204,3,1,3.02446363519
6205,3,2,0
6206,3,0,0
6207,3,0,0
6208,3,3,7.1276711242
6209,3,2,3.02446363519
6210,3,2,1.00815454506
6211,3,1,0
6212,3,2,0
6213,3,1,3.59913021648
6214,3,1,4.24770347693
6215,3,1,0
6216,3,2,2.01630909013
6217,3,1,0
6218,3,2,4.10320748901
6219,3,2,1.5122318176
6220,3,2,6.98317513627
6221,3,2,4.03261818025
6222,3,2,1.5122318176
6223,3,3,6.69418316042
6224,3,2,3.7436262044
6225,3,3,4.10320748901
6226,3,3,0
6227,3,1,3.59913021648
6228,3,3,3.45463422855
6229,3,1,1.5122318176
6230,3,1,1.00815454506
6231,3,2,0
6232,3,1,0
6233,3,2,1.8718131022
6234,3,1,0
6235,3,1,0
6236,3,2,1.5122318176
6237,3,2,0
6238,3,0,0
6239,3,2,0
6240,3,3,8.06191899009
6241,3,1,1.00815454506
6242,3,1,0
6243,3,2,4.31829278569
6244,3,1,4.31829278569
6245,3,3,0
6246,3,1,2.52038636266
6247,3,3,5.18195134283
6248,3,1,5.83052460328
6249,3,3,3.52854090772
6250,3,3,11.6610492066
6251,3,1,2.59097567141
6252,3,1,0
6253,3,3,1.5122318176
6254,3,3,0
6255,3,1,0
6256,3,1,1.00815454506
6257,3,1,0
6258,3,1,0
6259,3,3,0
6260,3,2,2.59097567141
6261,3,1,0
6262,3,3,7.19826043295
6263,3,3,10.0782280802
6264,3,3,9.50024412851
6265,3,2,6.33460187581
6266,3,1,1.5122318176
6267,3,3,9.71864679561
6268,3,3,4.10320748901
6269,3,1,0
6270,3,3,4.03261818025
6271,3,2,2.59097567141
6272,3,2,5.18195134283
6273,3,1,0
6274,3,1,4.60728476154
6275,3,1,0
6276,3,3,0
6277,3,1,0
6278,3,1,0
6279,3,2,2.59097567141
6280,3,3,0
6281,3,1,2.59097567141
6282,3,3,0
6283,3,1,1.00815454506
6284,3,3,2.52038636266
6285,3,2,2.01630909013
6286,3,3,1.5122318176
6287,3,3,2.01630909013
6288,3,2,2.01630909013
6289,3,2,0
6290,3,1,0
6291,3,2,1.5122318176
6292,3,3,0
6293,3,2,4.31829278569
6294,3,1,5.18195134283
6295,3,2,1.72731711428
6296,3,0,0
6297,3,1,4.10320748901
6298,3,1,1.5122318176
6299,3,2,0
6300,3,3,4.31829278569
6301,3,3,11.2275612428
6302,3,2,1.5122318176
6303,3,1,0
6304,3,1,2.59097567141
6305,3,3,0
6306,3,1,1.5122318176
6307,3,2,3.45463422855
6308,3,3,0
6309,3,1,0
6310,3,3,0
6311,3,2,0
6312,3,2,3.45463422855
6313,3,3,0
6314,3,1,0
6315,3,2,1.72731711428
6316,3,1,0
6317,3,2,5.18195134283
6318,3,1,2.59097567141
6319,3,1,0
6320,3,1,2.73547165934
6321,3,1,0
6322,3,2,2.59097567141
6323,3,1,1.72731711428
6324,3,1,0.863658557138
6325,3,2,2.59097567141
6326,3,1,0
6327,3,2,0
6328,3,2,5.83052460328
6329,3,2,0
6330,3,3,0
6331,3,3,7.55784171756
6332,3,3,1.36773582967
6333,3,3,0
6334,3,2,2.01630909013
6335,3,3,1.5122318176
6336,3,3,2.59097567141
6337,3,2,1.5122318176
6338,3,2,6.04560989996
6339,3,2,1.5122318176
6340,3,3,2.01630909013
6341,3,2,1.5122318176
6342,3,1,2.59097567141
6343,3,1,2.59097567141
6344,3,2,0
6345,3,2,0
6346,3,2,4.96686604615
6347,3,3,4.31829278569
6348,3,1,1.72731711428
6349,3,3,2.01630909013
6350,3,2,2.52038636266
6351,3,3,1.5122318176
6352,3,2,4.31829278569
6353,3,3,2.01630909013
6354,3,1,1.00815454506
6355,3,2,2.01630909013
6356,3,1,0
6357,3,2,0
6358,3,2,3.45463422855
6359,3,1,0
6360,3,2,1.5122318176
6361,3,2,7.1276711242
6362,3,1,0
6363,3,3,3.52854090772
6364,3,3,4.31829278569
6365,3,2,0
6366,3,3,9.35906551101
6367,3,2,0
6368,3,1,2.59097567141
6369,3,1,0
6370,3,0,1.72731711428
6371,3,3,0
6372,3,2,0
6373,3,2,2.59097567141
6374,3,2,0
6375,3,1,3.23954893187
6376,3,2,2.59097567141
6377,3,3,2.01630909013
6378,3,3,0
6379,3,3,3.45463422855
6380,3,1,2.01630909013
6381,3,3,0
6382,3,1,0
6383,3,2,1.00815454506
6384,3,3,3.45463422855
6385,3,2,1.5122318176
6386,3,2,6.04892727038
6387,3,3,3.45463422855
6388,3,3,6.33460187581
6389,3,2,0
6390,3,2,0
6391,3,1,3.59913021648
6392,3,3,8.06191899009
6393,3,1,0
6394,3,1,0
6395,3,2,0
6396,3,3,7.19826043295
6397,3,2,3.45463422855
6398,3,2,0
6399,3,2,1.72731711428
6400,3,2,0
6401,3,2,1.5122318176
6402,3,2,3.7436262044
6403,3,0,0.504077272532
6404,3,1,2.59097567141
6405,3,3,0
6406,3,2,4.96686604615
6407,3,2,3.45463422855
6408,3,3,2.01630909013
6409,3,2,0
6410,3,3,2.01630909013
6411,3,1,0
6412,3,1,3.52854090772
6413,3,2,5.18195134283
6414,3,1,1.00815454506
6415,3,2,2.73547165934
6416,3,1,0
6417,3,3,0
6418,3,2,0
6419,3,3,7.70233770548
6420,3,1,1.5122318176
6421,3,1,0
6422,3,1,1.36773582967
6423,3,3,0
6424,3,2,5.97502059121
6425,3,2,0
6426,3,2,3.52854090772
6427,3,1,0
6428,3,2,0
6429,3,1,0
6430,3,1,2.59097567141
6431,3,1,0
6432,3,3,3.02446363519
6433,3,2,0
6434,3,2,0
6435,3,1,0
6436,3,2,0
6437,3,2,1.00815454506
6438,3,1,0
6439,3,1,0
6440,3,1,2.52038636266
6441,3,3,1.5122318176
6442,3,1,0
6443,3,2,4.31829278569
6444,3,3,2.01630909013
6445,3,3,5.18195134283
6446,3,3,0
6447,3,2,0
6448,3,2,4.96686604615
6449,3,0,0
6450,3,2,1.5122318176
6451,3,1,1.00815454506
6452,3,1,0
6453,3,1,2.01630909013
6454,3,2,0
6455,3,3,3.45463422855
6456,3,1,1.72731711428
6457,3,2,3.45463422855
6458,3,1,1.5122318176
6459,3,2,0
6460,3,2,5.47094331868
6461,3,2,1.5122318176
6462,3,3,3.59913021648
6463,3,3,0
6464,3,1,2.59097567141
6465,3,2,3.45463422855
6466,3,2,0
6467,3,1,1.5122318176
6468,3,2,0
6469,3,1,0
6470,3,2,2.59097567141
