id,set,human_score,avg_word_length
14834,6,2,45.9836065574
14835,6,3,47.3333333333
14836,6,4,45.7228915663
14837,6,1,45.5440414508
14838,6,3,46.5432098765
14839,6,4,50.5357142857
14840,6,3,47.9054054054
14841,6,3,51.328125
14842,6,3,47.4561403509
14843,6,3,46.6923076923
14844,6,3,48.1115879828
14845,6,4,48.4294871795
14846,6,4,46.4319248826
14847,6,3,47.1282051282
14848,6,2,44.7407407407
14849,6,3,48.6184210526
14850,6,1,45.9574468085
14851,6,3,45.9523809524
14852,6,3,46.5517241379
14853,6,2,49.8863636364
14854,6,3,49.3859649123
14855,6,4,46.3524590164
14856,6,2,43.2203389831
14857,6,4,49.356223176
14858,6,3,45.1724137931
14859,6,2,45.5688622754
14860,6,3,48.0952380952
14861,6,3,46.4646464646
14862,6,3,44.6540880503
14863,6,3,47.1559633028
14864,6,4,48.1656804734
14865,6,3,47.7142857143
14866,6,2,44.9206349206
14867,6,2,46.6666666667
14868,6,3,46.9117647059
14869,6,2,45.4794520548
14870,6,2,45.0
14871,6,3,50.0746268657
14872,6,3,48.6805555556
14873,6,2,45.4464285714
14874,6,1,38.6607142857
14875,6,3,43.7623762376
14876,6,3,49.0355329949
14877,6,2,41.0
14878,6,2,46.6666666667
14879,6,3,48.2945736434
14880,6,3,44.9367088608
14881,6,4,49.3298969072
14882,6,4,47.7678571429
14883,6,3,49.6363636364
14884,6,3,45.6375838926
14885,6,2,42.5945945946
14886,6,3,48.5975609756
14887,6,3,48.2122905028
14888,6,2,43.7356321839
14889,6,3,48.2840236686
14890,6,3,45.0602409639
14891,6,1,43.2307692308
14892,6,3,49.95
14893,6,2,47.2619047619
14894,6,4,45.8064516129
14895,6,2,45.2173913043
14896,6,4,47.9230769231
14897,6,3,50.5649717514
14898,6,4,46.8062827225
14899,6,1,45.4807692308
14900,6,3,48.6764705882
14901,6,1,50.625
14902,6,4,46.0377358491
14903,6,3,50.3067484663
14904,6,3,48.2233502538
14905,6,1,44.8648648649
14906,6,3,46.7857142857
14907,6,3,48.6206896552
14908,6,2,48.0821917808
14909,6,3,46.7605633803
14910,6,3,50.0
14911,6,1,46.7692307692
14912,6,3,47.5
14913,6,3,48.6842105263
14914,6,3,47.9096045198
14915,6,3,46.5765765766
14916,6,3,47.7160493827
14917,6,3,45.9756097561
14918,6,3,47.5
14919,6,2,47.0
14920,6,3,50.2824858757
14921,6,3,45.988700565
14922,6,3,50.0505050505
14923,6,3,46.6071428571
14924,6,3,49.6153846154
14925,6,3,45.7638888889
14926,6,3,48.1300813008
14927,6,2,50.25
14928,6,2,43.6813186813
14929,6,2,41.862745098
14930,6,4,47.4675324675
14931,6,2,45.8823529412
14932,6,3,47.0621468927
14933,6,4,44.5294117647
14934,6,4,48.1395348837
14935,6,3,48.3486238532
14936,6,3,49.8290598291
14937,6,1,46.2142857143
14938,6,3,46.2711864407
14939,6,0,42.5454545455
14940,6,3,45.0802139037
14941,6,3,43.7037037037
14942,6,3,47.8365384615
14943,6,3,47.9411764706
14944,6,4,45.3431372549
14945,6,2,49.0666666667
14946,6,3,47.7777777778
14947,6,3,47.488372093
14948,6,2,45.9124087591
14949,6,1,45.2380952381
14950,6,3,44.8
14951,6,0,45.8955223881
14952,6,2,45.5223880597
14953,6,3,46.1290322581
14954,6,2,50.5172413793
14955,6,3,47.2881355932
14956,6,4,51.5286624204
14957,6,0,38.1578947368
14958,6,2,49.6923076923
14959,6,3,48.4713375796
14960,6,3,43.8823529412
14961,6,3,46.170212766
14962,6,2,46.1046511628
14963,6,4,48.0225988701
14964,6,2,46.9696969697
14965,6,2,47.032967033
14966,6,3,45.3548387097
14967,6,4,45.9459459459
14968,6,3,45.8928571429
14969,6,2,45.5294117647
14970,6,3,48.4516129032
14971,6,3,45.3672316384
14972,6,4,45.4228855721
14973,6,1,48.7735849057
14974,6,3,48.347826087
14975,6,3,50.7692307692
14976,6,3,48.431372549
14977,6,3,47.9194630872
14978,6,4,45.5844155844
14979,6,1,45.7894736842
14980,6,3,45.4198473282
14981,6,3,44.5833333333
14982,6,4,50.2666666667
14983,6,2,48.5057471264
14984,6,3,46.6115702479
14985,6,0,44.2045454545
14986,6,3,48.9361702128
14987,6,4,48.5929648241
14988,6,3,45.2261306533
14989,6,3,47.1317829457
14990,6,4,47.6767676768
14991,6,3,43.7853107345
14992,6,3,47.0526315789
14993,6,2,49.1588785047
14994,6,3,48.3520599251
14995,6,4,44.7035573123
14996,6,2,47.3983739837
14997,6,1,42.3376623377
14998,6,3,50.9756097561
14999,6,4,49.2934782609
15000,6,4,47.3863636364
15001,6,3,48.2285714286
15002,6,3,43.7984496124
15003,6,1,45.2100840336
15004,6,4,46.2313432836
15005,6,3,46.7226890756
15006,6,3,42.4571428571
15007,6,3,45.8522727273
15008,6,3,46.9430051813
15009,6,4,47.9324894515
15010,6,1,56.3333333333
15011,6,3,46.1395348837
15012,6,3,47.3913043478
15013,6,2,43.1481481481
15014,6,2,47.5892857143
15015,6,3,48.3870967742
15016,6,2,44.0
15017,6,0,45.0
15018,6,2,45.7777777778
15019,6,3,48.3870967742
15020,6,2,48.2795698925
15021,6,3,48.4659090909
15022,6,3,47.4331550802
15023,6,3,51.0317460317
15024,6,3,45.3658536585
15025,6,1,44.2307692308
15026,6,3,45.5319148936
15027,6,3,49.219858156
15028,6,2,45.6179775281
15029,6,4,47.7948717949
15030,6,4,45.9770114943
15031,6,3,45.8108108108
15032,6,4,46.9642857143
15033,6,4,48.1182795699
15034,6,4,46.062992126
15035,6,2,43.9072847682
15036,6,3,45.0920245399
15037,6,2,46.7213114754
15038,6,3,47.1641791045
15039,6,2,45.2112676056
15040,6,2,43.6942675159
15041,6,2,44.1836734694
15042,6,4,46.7400881057
15043,6,3,50.8955223881
15044,6,3,48.625
15045,6,3,47.8448275862
15046,6,4,48.2710280374
15047,6,3,45.1612903226
15048,6,2,47.8832116788
15049,6,3,47.0857142857
15050,6,3,42.9946524064
15051,6,3,45.8666666667
15052,6,3,47.8804347826
15053,6,3,46.8396226415
