id,set,human_score,misspell_words
20716,8,34,83
20717,8,46,11
20718,8,40,15
20719,8,30,18
20721,8,26,67
20722,8,40,159
20723,8,40,79
20724,8,34,3
20725,8,41,21
20726,8,40,52
20727,8,31,28
20728,8,44,76
20732,8,31,31
20733,8,36,32
20734,8,43,84
20735,8,20,6
20736,8,45,39
20737,8,40,13
20739,8,30,21
20741,8,35,7
20742,8,40,23
20743,8,42,68
20745,8,34,103
20746,8,33,50
20747,8,38,6
20748,8,36,39
20751,8,45,9
20754,8,31,14
20755,8,30,14
20756,8,34,10
20757,8,33,49
20758,8,40,56
20759,8,47,37
20760,8,30,66
20761,8,40,22
20762,8,32,18
20763,8,40,58
20764,8,30,11
20766,8,45,63
20767,8,45,56
20768,8,45,78
20769,8,50,71
20770,8,39,6
20771,8,33,25
20772,8,33,105
20773,8,34,25
20774,8,40,22
20775,8,33,26
20776,8,33,39
20777,8,40,52
20778,8,36,34
20779,8,37,22
20781,8,40,44
20783,8,33,21
20784,8,37,5
20785,8,42,21
20787,8,40,15
20790,8,40,29
20791,8,38,7
20792,8,31,9
20793,8,42,19
20794,8,40,9
20795,8,35,25
20796,8,35,106
20797,8,33,9
20800,8,33,103
20802,8,30,39
20803,8,37,11
20804,8,40,17
20805,8,40,35
20806,8,35,29
20807,8,35,59
20808,8,31,30
20809,8,40,40
20812,8,40,82
20813,8,36,20
20814,8,32,49
20815,8,31,30
20817,8,30,18
20818,8,32,35
20819,8,30,5
20821,8,55,51
20822,8,45,32
20823,8,41,47
20824,8,45,29
20825,8,33,6
20826,8,60,57
20827,8,45,75
20828,8,28,8
20829,8,49,64
20830,8,33,31
20831,8,29,6
20832,8,36,39
20833,8,40,39
20835,8,40,25
20836,8,40,44
20838,8,27,8
20839,8,24,10
20840,8,32,5
20841,8,33,15
20842,8,40,65
20844,8,30,108
20846,8,34,13
20847,8,35,19
20848,8,30,30
20849,8,44,15
20850,8,31,13
20851,8,32,26
20852,8,40,18
20853,8,32,40
20856,8,40,29
20857,8,36,89
20859,8,43,32
20860,8,36,9
20861,8,40,30
20862,8,45,20
20863,8,36,54
20865,8,38,20
20866,8,37,36
20869,8,36,28
20870,8,31,9
20871,8,20,9
20872,8,38,54
20874,8,32,76
20876,8,37,18
20877,8,40,32
20878,8,35,20
20879,8,40,27
20881,8,28,120
20882,8,38,46
20883,8,36,14
20884,8,43,25
20885,8,34,5
20887,8,32,36
20888,8,50,24
20889,8,40,43
20892,8,40,42
20893,8,37,16
20894,8,36,57
20895,8,40,21
20896,8,30,17
20897,8,32,3
20898,8,44,73
20899,8,37,69
20900,8,42,43
20901,8,40,64
20902,8,40,18
20904,8,30,74
20905,8,34,42
20906,8,44,10
20907,8,36,123
20908,8,35,21
20909,8,34,21
20910,8,32,40
20911,8,40,62
20913,8,34,8
20914,8,40,72
20915,8,40,128
20916,8,37,26
20917,8,38,29
20918,8,29,39
20919,8,34,11
20920,8,32,20
20921,8,43,38
20922,8,37,7
20923,8,34,18
20924,8,29,3
20925,8,30,10
20926,8,47,16
20927,8,36,22
20928,8,40,10
20929,8,29,23
20930,8,40,96
20931,8,41,62
20932,8,40,17
20933,8,32,9
20935,8,40,35
20936,8,44,72
20938,8,34,7
20939,8,31,5
20940,8,40,16
20942,8,40,12
20943,8,40,173
20944,8,31,62
20945,8,29,41
20946,8,43,16
20947,8,40,105
20948,8,40,59
20949,8,36,14
20953,8,31,63
20954,8,15,71
20955,8,40,9
20956,8,36,17
20957,8,45,29
20958,8,35,54
20959,8,45,52
20962,8,40,41
20963,8,40,9
20964,8,36,47
20965,8,28,6
20966,8,40,26
20967,8,20,13
20968,8,36,15
20971,8,46,40
20972,8,32,25
20973,8,41,10
20974,8,44,43
20975,8,36,10
20976,8,42,81
20977,8,42,47
20979,8,31,29
20981,8,40,25
20982,8,32,36
20983,8,43,5
20984,8,31,31
20985,8,36,71
20987,8,35,6
20988,8,36,42
20992,8,40,11
20993,8,45,50
20994,8,40,13
20996,8,38,4
20998,8,36,13
20999,8,37,25
21000,8,30,21
21001,8,41,5
21002,8,40,18
21003,8,36,46
21004,8,29,17
21005,8,32,18
21006,8,36,33
21007,8,40,32
21008,8,40,13
21009,8,33,31
21010,8,40,30
21012,8,30,100
21013,8,24,6
21014,8,33,35
21015,8,40,26
21016,8,31,31
21017,8,27,11
21020,8,33,4
21021,8,40,9
21022,8,37,69
21023,8,34,26
21024,8,33,4
21025,8,40,21
21026,8,32,33
21028,8,32,80
21029,8,30,14
21030,8,44,37
21031,8,25,74
21032,8,40,55
21033,8,27,73
21034,8,36,37
21035,8,45,17
21036,8,41,35
21037,8,50,71
21038,8,42,56
21039,8,36,37
21042,8,36,19
21043,8,40,51
21044,8,36,32
21045,8,37,19
21049,8,40,38
21051,8,42,17
21052,8,32,66
21053,8,30,11
21054,8,43,70
21055,8,35,3
21056,8,48,35
21057,8,40,142
21058,8,40,121
21059,8,45,21
21060,8,45,66
21061,8,30,12
21063,8,37,22
21064,8,38,70
21065,8,47,1
21067,8,41,29
21068,8,36,88
21069,8,42,52
21070,8,40,85
21071,8,30,57
21072,8,35,51
21073,8,40,60
21074,8,37,26
21075,8,35,23
21076,8,40,28
21077,8,40,18
21078,8,35,0
21079,8,34,11
21081,8,36,32
21083,8,41,11
21085,8,37,75
21086,8,30,23
21087,8,34,24
21089,8,36,19
21090,8,37,23
21091,8,34,4
21092,8,43,24
21093,8,42,63
21094,8,40,23
21095,8,35,34
21096,8,37,10
21097,8,46,23
21098,8,43,27
21099,8,40,58
21101,8,40,23
21102,8,31,41
21103,8,32,6
21105,8,40,42
21106,8,40,10
21107,8,40,24
21109,8,40,17
21110,8,45,28
21111,8,36,51
21112,8,35,65
21113,8,36,79
21114,8,40,23
21115,8,32,9
21116,8,37,34
21118,8,48,36
21119,8,33,24
21120,8,50,55
21122,8,46,20
21123,8,43,14
21126,8,27,34
21127,8,35,33
21129,8,36,13
21130,8,45,17
21131,8,35,16
21132,8,40,35
21133,8,35,36
21134,8,34,59
21135,8,40,20
21136,8,33,43
21137,8,39,65
21138,8,33,19
21140,8,24,10
21141,8,31,12
21142,8,36,30
21143,8,40,48
21144,8,40,3
21145,8,32,42
21146,8,47,33
21147,8,40,25
21148,8,35,27
21149,8,36,62
21150,8,28,17
21151,8,35,26
21153,8,33,55
21154,8,34,16
21155,8,36,40
21156,8,40,45
21157,8,40,72
21158,8,35,67
21159,8,46,54
21160,8,34,51
21161,8,40,84
21163,8,40,12
21164,8,45,29
21166,8,31,9
21167,8,40,38
21168,8,40,82
21170,8,39,47
21171,8,35,8
21174,8,42,12
21175,8,38,88
21176,8,34,9
21177,8,26,12
21178,8,31,20
21179,8,31,6
21180,8,40,51
21181,8,40,74
21182,8,31,32
21183,8,36,37
21185,8,42,71
21186,8,39,36
21188,8,37,9
21189,8,37,13
21190,8,36,37
21191,8,34,23
21192,8,35,28
21193,8,40,40
21194,8,42,14
21195,8,36,24
21198,8,34,44
21199,8,35,11
21200,8,40,82
21202,8,45,12
21203,8,40,19
21204,8,31,26
21205,8,31,13
21206,8,34,45
21207,8,44,22
21208,8,38,72
21209,8,42,92
21210,8,35,36
21211,8,33,11
21213,8,40,5
21214,8,40,4
21215,8,41,9
21217,8,30,14
21218,8,42,31
21219,8,40,53
21220,8,30,21
21221,8,31,30
21222,8,27,15
21223,8,36,31
21224,8,43,22
21225,8,50,37
21227,8,40,47
21229,8,40,47
21230,8,36,51
21233,8,40,51
21235,8,28,43
21236,8,40,22
21237,8,40,39
21238,8,37,22
21240,8,26,11
21241,8,30,16
21244,8,30,18
