id,set,human_score,sentence_count,word_count,avg_word_length,misspell_words,char_4,char_6,char_8,char_10,char_12,mean_char,std_char,word_10,word_18,word_25,mean_word,std_word,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18,pos_19,pos_20,pos_21,pos_22,pos_23,beauty_score,vocabulory_score,maturity_score,bag_of_words_score,uniq_score,TTR
2978,2,4,22,476,43.6974789916,28,190,59,25,2,0,4.36974789916,1.97400174359,20,12,6,21.6818181818,13.1231452841,25,40,49,13,15,1,1,29,1,59,48,24,28,4,36,7,10,9,23,10,2,7,16,6.1949564687,203,5.34561576355,0,180,2.64444444444
2979,2,1,4,168,38.869047619,11,52,22,8,0,0,3.8869047619,2.18164799336,4,3,3,42.0,23.8432380351,2,15,17,2,8,0,0,16,0,25,8,4,7,5,6,0,1,1,23,5,2,1,6,4.98294311676,64,5.9265625,0,77,2.18181818182
2980,2,2,11,220,40.2272727273,16,71,24,10,0,0,4.02272727273,1.9571743256,9,5,3,20.0909090909,11.0655447671,6,23,18,3,4,0,2,17,0,29,17,11,25,5,16,3,1,5,18,5,2,2,3,5.49442327776,84,4.90571428571,10.0,109,2.01834862385
2981,2,4,32,466,45.5150214592,6,213,99,38,2,0,4.55150214592,2.29972599981,23,7,1,14.5625,5.78758099295,16,44,37,19,21,4,1,23,1,66,32,2,26,8,30,4,14,19,20,27,4,5,1,7.31787351347,172,5.69430232558,0,160,2.9125
2982,2,4,34,422,43.2701421801,20,150,61,21,4,3,4.32701421801,2.07053301795,20,2,0,12.4117647059,4.08092872258,20,41,36,13,11,0,1,23,5,56,43,7,34,8,25,5,4,7,26,14,2,2,3,6.64554725134,173,5.21549132948,14.0,186,2.2688172043
2983,2,4,25,322,42.2360248447,21,130,48,12,0,0,4.22360248447,2.06430924318,15,3,0,12.88,5.50868405338,13,32,33,15,10,1,1,25,0,42,29,22,22,10,13,2,3,6,19,5,2,2,1,7.7344613218,140,5.69321428571,0,138,2.33333333333
2984,2,5,20,520,46.6346153846,28,228,119,53,14,4,4.66346153846,2.59691003924,20,15,9,26.0,10.2371871137,18,61,58,9,21,1,5,42,0,81,37,36,16,5,25,11,8,16,19,17,5,10,3,9.97363961393,184,5.85684782609,11.0,212,2.45283018868
2985,2,2,35,784,40.0510204082,22,244,83,21,3,0,4.00510204082,1.82153276083,33,21,13,22.4,9.92313314576,16,106,106,21,16,6,19,37,0,112,31,1,65,8,64,27,13,22,31,17,10,5,9,18.7005337293,351,5.26458689459,22.0,217,3.61290322581
2986,2,4,19,331,46.3141993958,6,138,86,35,8,1,4.63141993958,2.60944277845,17,7,3,17.4210526316,7.35788720728,8,36,42,7,16,1,0,31,1,44,26,8,15,2,22,9,3,7,13,12,0,4,0,5.76357542547,118,5.83669491525,0,142,2.33098591549
2987,2,4,20,378,42.037037037,7,133,54,16,1,0,4.2037037037,2.00087170315,17,9,3,18.9,7.41552425658,13,52,48,13,12,1,0,15,0,54,14,0,29,8,34,4,4,4,16,21,4,1,3,5.32248042858,160,5.2869375,7.0,154,2.45454545455
2988,2,3,16,333,39.8798798799,15,102,35,14,2,0,3.98798798799,1.91534069444,14,8,4,20.8125,10.2908864414,16,42,41,11,9,1,3,17,0,28,30,4,27,2,23,1,3,9,24,9,7,3,1,6.01902865506,133,5.07563909774,9.0,119,2.79831932773
2989,2,3,19,315,42.4761904762,6,115,55,20,1,1,4.24761904762,2.29558265524,11,7,3,16.5789473684,9.40501428116,13,27,35,8,16,1,1,12,0,40,26,0,24,1,20,4,10,6,21,12,2,5,1,6.99921978727,124,5.64887096774,0,141,2.23404255319
2990,2,5,28,485,44.1237113402,22,200,93,31,6,0,4.41237113402,2.29332744523,19,12,5,17.3214285714,9.57695735841,13,50,62,15,16,1,3,30,1,49,36,34,38,2,32,18,9,10,17,12,2,4,4,8.68721657845,185,5.62972972973,0,207,2.34299516908
2991,2,3,13,331,40.6344410876,11,109,39,15,1,0,4.06344410876,1.97995077511,10,9,5,25.4615384615,14.5423275283,14,32,43,9,16,0,3,20,0,37,35,6,26,7,19,3,3,10,11,9,1,2,3,6.72719701569,145,5.14,0,155,2.13548387097
2992,2,3,5,93,47.7419354839,5,46,25,10,0,0,4.77419354839,2.35043489157,4,3,0,18.6,5.88557558782,1,11,12,6,2,0,0,6,0,10,10,0,5,2,5,0,4,3,6,3,1,2,1,1.42466781955,30,5.79866666667,0,53,1.75471698113
2993,2,3,18,355,43.4084507042,20,137,57,21,2,1,4.34084507042,2.08150162175,13,8,4,19.8888888889,13.7068064555,11,38,47,11,11,3,2,35,0,37,34,10,19,7,18,6,6,11,14,11,1,6,1,6.10085513384,153,5.29535947712,11.0,168,2.1130952381
2994,2,4,40,655,41.3282442748,27,236,81,25,8,1,4.13282442748,2.07925690782,31,10,5,16.375,7.52558137289,39,59,76,20,16,3,1,37,1,82,46,35,56,15,49,8,22,10,35,17,10,0,0,15.1638732203,281,5.46505338078,17.0,174,3.76436781609
2995,2,3,11,329,44.5592705167,7,144,60,22,1,0,4.45592705167,2.12678256816,11,10,7,29.9090909091,12.0939845713,17,21,42,8,13,2,6,21,0,36,31,0,26,5,21,4,15,7,15,12,3,2,1,5.58733639043,135,5.44881481481,8.0,117,2.81196581197
2996,2,1,6,148,48.2432432432,27,71,31,21,3,2,4.82432432432,2.62047463171,5,5,3,24.6666666667,12.4588210607,5,18,20,3,3,0,0,10,0,12,11,46,8,0,8,1,4,3,9,2,2,0,1,2.96903082257,48,5.47479166667,0,86,1.72093023256
2997,2,3,22,333,41.1411411411,11,112,34,13,2,0,4.11411411411,1.88339579213,18,6,2,15.1363636364,7.33172095973,11,23,37,8,13,1,2,21,2,32,42,0,19,7,23,2,3,3,30,10,7,0,3,6.37626731797,143,5.21202797203,9.0,114,2.92105263158
