id,set,human_score,char_4
2978,2,4,190
2979,2,1,52
2980,2,2,71
2981,2,4,213
2982,2,4,150
2983,2,4,130
2984,2,5,228
2985,2,2,244
2986,2,4,138
2987,2,4,133
2988,2,3,102
2989,2,3,115
2990,2,5,200
2991,2,3,109
2992,2,3,46
2993,2,3,137
2994,2,4,236
2995,2,3,144
2996,2,1,71
2997,2,3,112
2998,2,3,85
2999,2,3,93
3000,2,3,76
3001,2,4,178
3002,2,3,193
3003,2,4,160
3004,2,4,96
3005,2,2,34
3006,2,3,102
3007,2,3,105
3008,2,4,136
3009,2,3,157
3010,2,3,72
3011,2,4,121
3012,2,3,85
3013,2,4,198
3014,2,4,132
3015,2,3,161
3016,2,3,129
3017,2,4,187
3018,2,3,161
3019,2,4,131
3020,2,4,259
3021,2,4,180
3022,2,4,140
3023,2,4,105
3024,2,4,264
3025,2,3,122
3026,2,4,123
3027,2,3,128
3028,2,5,207
3029,2,3,74
3030,2,4,148
3031,2,3,102
3032,2,4,224
3033,2,4,188
3034,2,4,313
3035,2,2,52
3036,2,3,106
3037,2,4,207
3038,2,2,30
3039,2,3,108
3040,2,3,134
3041,2,4,214
3042,2,4,120
3043,2,3,109
3044,2,3,79
3045,2,4,120
3046,2,3,89
3047,2,3,124
3048,2,3,165
3049,2,4,120
3050,2,2,111
3051,2,4,185
3052,2,4,131
3053,2,3,113
3054,2,3,170
3055,2,3,112
3056,2,3,144
3057,2,3,45
3058,2,3,138
3059,2,3,128
3060,2,4,159
3061,2,3,126
3062,2,3,150
3063,2,4,157
3064,2,3,113
3065,2,3,61
3066,2,1,25
3067,2,4,169
3068,2,2,89
3069,2,4,195
3070,2,3,107
3071,2,4,133
3072,2,4,235
3073,2,4,444
3074,2,4,245
3075,2,4,272
3076,2,3,116
3077,2,5,249
3078,2,3,122
3079,2,3,127
3080,2,4,197
3081,2,4,125
3082,2,3,105
3083,2,3,122
3084,2,3,162
3085,2,3,65
3086,2,2,51
3087,2,2,68
3088,2,3,140
3089,2,3,134
3090,2,3,128
3091,2,2,52
3092,2,3,44
3093,2,3,100
3094,2,4,97
3095,2,2,50
3096,2,1,43
3097,2,3,164
3098,2,3,83
3099,2,4,228
3100,2,3,115
3101,2,3,89
3102,2,3,113
3103,2,3,97
3104,2,5,254
3105,2,3,77
3106,2,4,280
3107,2,3,188
3108,2,3,112
3109,2,3,150
3110,2,3,96
3111,2,3,125
3112,2,3,110
3113,2,3,107
3114,2,4,187
3115,2,4,150
3116,2,3,90
3117,2,3,119
3118,2,2,47
3119,2,4,233
3120,2,3,178
3121,2,4,179
3122,2,4,146
3123,2,4,117
3124,2,4,107
3125,2,4,238
3126,2,4,212
3127,2,3,147
3128,2,4,139
3129,2,4,319
3130,2,4,221
3131,2,4,117
3132,2,3,155
3133,2,4,180
3134,2,4,170
3135,2,3,83
3136,2,4,149
3137,2,3,129
3138,2,4,127
3139,2,3,103
3140,2,4,161
3141,2,3,168
3142,2,4,158
3143,2,3,133
3144,2,4,134
3145,2,4,209
3146,2,3,81
3147,2,2,37
3148,2,3,72
3149,2,3,142
3150,2,4,242
3151,2,3,158
3152,2,4,134
3153,2,4,281
3154,2,3,72
3155,2,3,63
3156,2,4,117
3157,2,4,192
3158,2,2,63
3159,2,1,55
3160,2,3,117
3161,2,3,164
3162,2,4,195
3163,2,5,151
3164,2,3,99
3165,2,4,86
3166,2,4,216
3167,2,3,91
3168,2,4,124
3169,2,3,165
3170,2,3,98
3171,2,5,232
3172,2,4,228
3173,2,3,175
3174,2,3,87
3175,2,4,240
3176,2,4,209
3177,2,1,55
3178,2,4,129
3179,2,4,121
3180,2,3,226
3181,2,4,249
3182,2,2,80
3183,2,3,136
3184,2,3,164
3185,2,4,134
3186,2,2,96
3187,2,3,112
3188,2,3,127
3189,2,4,206
3190,2,4,131
3191,2,4,202
3192,2,3,67
3193,2,3,163
3194,2,3,139
3195,2,4,144
3196,2,4,185
3197,2,3,92
3198,2,2,76
3199,2,4,129
3200,2,4,226
3201,2,4,125
3202,2,5,217
3203,2,4,164
3204,2,3,163
3205,2,3,112
3206,2,4,331
3207,2,3,136
3208,2,4,163
3209,2,3,73
3210,2,4,175
3211,2,3,99
3212,2,4,255
3213,2,4,144
3214,2,4,297
3215,2,3,69
3216,2,4,200
3217,2,4,257
3218,2,3,119
3219,2,4,293
3220,2,3,137
3221,2,3,220
3222,2,3,55
3223,2,3,141
3224,2,3,163
3225,2,4,90
3226,2,4,124
3227,2,3,146
3228,2,4,277
3229,2,4,146
3230,2,2,33
3231,2,4,257
3232,2,3,66
3233,2,3,137
3234,2,3,134
3235,2,4,246
3236,2,4,210
3237,2,2,30
3238,2,2,96
3239,2,4,173
3240,2,2,88
3241,2,1,15
3242,2,4,131
3243,2,4,251
3244,2,2,60
3245,2,2,24
3246,2,3,75
3247,2,4,184
3248,2,4,136
3249,2,3,238
3250,2,2,37
3251,2,3,103
3252,2,4,140
3253,2,4,165
3254,2,5,198
3255,2,3,161
3256,2,3,96
3257,2,1,25
3258,2,4,204
3259,2,2,35
3260,2,4,175
3261,2,4,209
3262,2,4,111
3263,2,4,232
3264,2,2,55
3265,2,4,209
3266,2,4,320
3267,2,3,126
3268,2,3,169
3269,2,4,180
3270,2,3,167
3271,2,4,256
3272,2,2,63
3273,2,4,229
3274,2,4,132
3275,2,3,139
3276,2,3,149
3277,2,5,289
3278,2,4,244
3279,2,4,204
3280,2,3,61
3281,2,4,267
3282,2,4,208
3283,2,3,147
3284,2,4,85
3285,2,4,125
3286,2,3,157
3287,2,3,170
3288,2,4,195
3289,2,3,111
3290,2,4,126
3291,2,5,246
3292,2,4,255
3293,2,4,136
3294,2,4,152
3295,2,3,127
3296,2,4,146
3297,2,3,96
3298,2,4,251
3299,2,4,210
3300,2,4,157
3301,2,3,102
3302,2,4,168
3303,2,3,128
3304,2,3,113
3305,2,3,114
3306,2,5,217
3307,2,3,120
3308,2,4,176
3309,2,4,155
3310,2,6,309
3311,2,4,225
3312,2,4,193
