id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18,pos_4,pos_2,pos_15,char_8,sentence_count,word_18,pos_24,pos_19,pos_1
2978,2,4,190,476,59,203,20,59,49,40,29,25,22,12,36,48,25
2979,2,1,52,168,22,64,4,25,17,15,16,8,4,3,6,8,2
2980,2,2,71,220,24,84,9,29,18,23,17,10,11,5,16,17,6
2981,2,4,213,466,99,172,23,66,37,44,23,38,32,7,30,32,16
2982,2,4,150,422,61,173,20,56,36,41,23,21,34,2,25,43,20
2983,2,4,130,322,48,140,15,42,33,32,25,12,25,3,13,29,13
2984,2,5,228,520,119,184,20,81,58,61,42,53,20,15,25,37,18
2985,2,2,244,784,83,351,33,112,106,106,37,21,35,21,64,31,16
2986,2,4,138,331,86,118,17,44,42,36,31,35,19,7,22,26,8
2987,2,4,133,378,54,160,17,54,48,52,15,16,20,9,34,14,13
2988,2,3,102,333,35,133,14,28,41,42,17,14,16,8,23,30,16
2989,2,3,115,315,55,124,11,40,35,27,12,20,19,7,20,26,13
2990,2,5,200,485,93,185,19,49,62,50,30,31,28,12,32,36,13
2991,2,3,109,331,39,145,10,37,43,32,20,15,13,9,19,35,14
2992,2,3,46,93,25,30,4,10,12,11,6,10,5,3,5,10,1
2993,2,3,137,355,57,153,13,37,47,38,35,21,18,8,18,34,11
2994,2,4,236,655,81,281,31,82,76,59,37,25,40,10,49,46,39
2995,2,3,144,329,60,135,11,36,42,21,21,22,11,10,21,31,17
2996,2,1,71,148,31,48,5,12,20,18,10,21,6,5,8,11,5
2997,2,3,112,333,34,143,18,32,37,23,21,13,22,6,23,42,11
2998,2,3,85,319,24,116,11,42,40,25,13,1,12,10,19,15,12
2999,2,3,93,289,33,133,14,21,38,25,15,11,19,6,11,17,13
3000,2,3,76,196,33,69,9,24,20,17,11,13,10,6,14,17,9
3001,2,4,178,516,68,215,17,49,66,40,33,15,19,13,26,46,23
3002,2,3,193,494,63,224,16,55,50,41,28,20,24,10,36,37,14
3003,2,4,160,393,77,141,18,55,57,46,36,29,18,11,16,28,19
3004,2,4,96,198,47,80,8,24,21,10,17,10,11,4,11,19,9
3005,2,2,34,83,15,35,4,7,11,5,7,4,6,1,4,11,3
3006,2,3,102,277,44,112,12,30,34,19,9,10,14,9,13,23,14
3007,2,3,105,284,50,110,15,31,33,18,18,16,20,4,31,15,12
3008,2,4,136,425,52,165,18,50,39,40,28,18,39,4,31,19,9
3009,2,3,157,347,84,156,13,44,46,27,34,39,16,12,25,30,12
3010,2,3,72,172,17,88,8,21,20,27,12,7,8,4,12,17,4
3011,2,4,121,397,37,193,17,41,40,29,24,14,22,9,28,19,10
3012,2,3,85,296,44,104,9,30,29,24,15,22,18,6,16,23,8
3013,2,4,198,434,84,182,22,52,57,43,31,36,26,7,32,33,5
3014,2,4,132,374,48,160,16,35,39,32,23,21,18,10,17,38,17
3015,2,3,161,372,75,159,15,44,40,40,29,28,19,9,21,40,11
3016,2,3,129,312,56,131,16,49,38,43,19,24,18,9,22,27,7
3017,2,4,187,438,101,187,19,56,58,53,23,33,23,10,32,32,21
3018,2,3,161,448,65,185,19,47,48,50,17,23,21,12,37,56,25
3019,2,4,131,305,80,137,19,35,41,30,22,25,21,4,16,39,12
