id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18,pos_4,pos_2,pos_15,char_8,sentence_count,word_18,pos_24,pos_19,pos_1,pos_6,pos_29
5978,3,1,15,51,10,15,3,11,9,10,1,2,4,1,0,4,2,2,0
5979,3,2,65,176,38,51,9,32,27,27,11,20,13,4,6,7,6,2,1
5980,3,1,33,95,16,34,5,12,7,10,7,9,8,2,7,10,2,4,3
5981,3,1,23,86,12,21,2,13,10,10,10,5,3,2,3,5,3,4,2
5982,3,2,56,133,28,38,4,27,15,22,17,4,5,2,7,5,5,0,2
5983,3,1,26,70,15,24,4,11,6,13,6,1,6,1,4,5,2,0,3
5984,3,1,12,43,5,16,2,8,5,7,3,2,5,0,0,2,2,1,1
5985,3,0,36,111,14,32,6,14,14,11,2,0,9,1,6,6,2,3,1
5986,3,2,40,92,24,30,6,16,8,11,8,8,8,0,10,3,0,1,1
5987,3,3,75,149,38,56,8,28,11,15,12,18,10,3,13,4,1,4,1
5988,3,3,69,175,41,60,8,31,17,15,9,13,13,3,11,8,4,8,5
5989,3,1,28,95,14,35,5,10,10,13,9,1,6,3,7,3,3,2,0
5990,3,3,63,137,22,63,7,34,17,11,13,5,9,3,4,3,5,2,0
5991,3,2,30,84,22,27,5,18,11,15,3,3,6,2,8,5,4,0,1
5992,3,1,30,69,22,21,3,9,9,8,8,4,4,2,4,5,3,1,3
5993,3,2,50,126,21,48,6,22,15,22,7,4,8,3,5,7,5,3,4
5994,3,2,47,105,24,46,6,21,13,14,7,5,6,2,5,5,3,1,0
5995,3,2,43,105,21,27,5,15,13,14,11,8,10,2,8,5,4,4,1
5996,3,1,37,91,21,30,5,15,19,13,3,3,6,2,2,5,1,0,1
5997,3,2,43,90,22,31,6,23,6,13,5,2,8,0,4,4,2,4,0
5998,3,2,19,52,11,21,2,14,8,7,2,2,3,2,4,2,2,1,1
5999,3,1,10,34,4,14,1,7,2,6,2,0,2,1,1,1,4,1,0
6000,3,2,61,126,29,52,7,25,11,10,6,12,8,3,6,6,7,5,5
6001,3,1,19,62,10,23,3,15,11,8,1,4,4,2,1,2,2,1,1
6002,3,2,33,115,15,40,6,19,19,16,9,6,7,3,8,5,1,4,0
6003,3,3,74,184,36,69,8,38,16,23,12,12,9,5,13,6,5,7,3
6004,3,1,10,40,4,14,1,3,4,3,3,1,2,1,5,0,4,2,2
6005,3,3,69,170,35,69,8,28,20,27,16,8,13,1,6,10,8,2,2
6006,3,2,35,89,17,32,4,17,7,12,3,6,6,2,7,1,4,6,1
6007,3,3,57,138,34,58,7,18,14,17,8,6,9,5,7,6,2,4,1
6008,3,1,56,139,34,41,6,25,22,16,16,7,8,3,5,5,3,1,2
6010,3,1,32,96,23,29,5,18,14,15,10,4,6,2,1,5,1,1,0
6011,3,1,10,19,2,5,1,4,2,3,2,1,2,1,0,1,0,2,0
6012,3,0,27,83,15,31,3,12,5,10,10,3,6,1,6,2,2,0,1
6013,3,1,16,44,9,16,2,7,6,7,1,4,3,1,1,0,1,1,2
6014,3,3,66,157,39,64,6,31,22,22,13,13,9,4,14,2,6,3,4
6015,3,2,50,125,24,55,6,32,15,23,5,5,8,2,4,5,6,2,2
6016,3,3,78,209,39,80,11,35,27,24,9,14,12,6,14,8,11,4,10
6017,3,1,23,74,10,29,3,15,7,13,4,1,7,1,3,4,2,3,1
6018,3,2,36,83,12,28,1,9,8,12,6,3,6,1,5,6,5,2,0
