id,set,human_score,char_4,word_count
17834,7,15,30,90
17836,7,13,29,94
17837,7,15,53,154
17838,7,17,72,217
17839,7,13,53,151
17840,7,23,144,336
17841,7,16,51,170
17842,7,18,43,126
17843,7,12,101,359
17844,7,10,29,88
17845,7,16,45,176
17846,7,19,38,116
17847,7,17,54,187
17849,7,14,41,165
17850,7,12,52,165
17851,7,16,51,168
17852,7,17,68,226
17853,7,16,40,92
17854,7,21,56,182
17856,7,14,33,139
17857,7,18,48,153
17858,7,24,57,196
17859,7,17,51,185
17860,7,16,64,188
17861,7,16,34,140
17862,7,9,35,103
17863,7,6,14,51
17864,7,10,26,105
17865,7,17,113,269
17867,7,16,48,175
17868,7,15,102,331
17869,7,11,42,112
17870,7,19,54,128
17871,7,24,154,381
17872,7,18,42,157
17873,7,16,61,201
17874,7,20,49,169
17875,7,12,42,177
17876,7,19,77,222
17878,7,10,49,122
17879,7,7,12,44
17880,7,16,36,110
17881,7,12,51,185
17882,7,12,17,73
17883,7,20,73,216
17884,7,24,91,222
17885,7,9,30,132
17886,7,9,14,66
17887,7,20,76,250
17888,7,16,56,195
17889,7,8,20,130
17890,7,15,39,125
17891,7,20,20,64
17892,7,17,50,166
17893,7,18,24,91
17894,7,13,14,44
17896,7,12,108,306
17897,7,20,51,174
17898,7,16,67,194
17899,7,24,227,592
17900,7,16,43,157
17901,7,10,14,90
17902,7,17,55,237
17903,7,12,13,83
17904,7,17,39,112
17905,7,8,9,77
17906,7,22,68,164
17908,7,24,61,190
17909,7,21,53,200
17910,7,19,74,229
17911,7,19,52,179
17912,7,12,62,170
17913,7,16,27,112
17914,7,12,38,112
17915,7,15,30,117
17916,7,9,21,87
17917,7,8,17,105
17918,7,14,38,133
17919,7,23,57,256
17920,7,14,22,63
17921,7,10,59,213
17922,7,17,37,128
17923,7,21,63,203
17924,7,24,136,295
17926,7,21,86,291
17927,7,6,25,119
17928,7,12,34,172
17930,7,21,51,224
17931,7,24,67,184
17932,7,24,96,315
17933,7,15,27,95
17935,7,14,31,124
17936,7,9,11,48
17937,7,9,19,65
17938,7,9,87,312
17939,7,22,91,247
17940,7,8,17,80
17941,7,15,30,137
17942,7,20,45,116
17943,7,10,24,167
17944,7,18,39,150
17945,7,18,47,129
17946,7,14,22,76
17947,7,23,101,328
17949,7,6,21,93
17950,7,11,15,64
17951,7,9,13,65
17952,7,21,57,203
17953,7,16,31,152
17954,7,11,35,160
17955,7,20,52,145
17957,7,8,30,80
17959,7,7,20,84
17961,7,17,43,166
17962,7,14,59,150
17963,7,22,136,465
17964,7,21,66,154
17965,7,12,44,167
17966,7,18,54,188
17967,7,12,107,302
17968,7,19,49,139
17969,7,16,35,121
17970,7,11,25,56
17971,7,18,91,248
17973,7,15,40,142
17974,7,17,69,204
17975,7,16,74,211
17976,7,9,45,115
17977,7,16,19,73
17978,7,9,16,76
17979,7,17,34,135
17980,7,24,66,196
17981,7,11,55,145
17982,7,9,28,91
17983,7,18,38,145
17984,7,18,51,151
17985,7,14,31,109
17986,7,17,81,261
17987,7,18,57,213
17988,7,15,27,109
17989,7,13,25,76
17990,7,11,60,203
17991,7,24,90,331
17992,7,7,10,29
17993,7,17,50,155
17996,7,11,15,86
17997,7,16,48,198
17998,7,17,38,163
18000,7,22,105,295
18001,7,12,8,67
18002,7,12,36,209
18004,7,16,40,179
18005,7,20,77,235
18006,7,16,64,208
18008,7,15,37,134
18011,7,8,26,87
18012,7,17,92,196
18013,7,13,32,161
18014,7,20,56,144
18015,7,14,68,259
18016,7,24,131,271
18017,7,17,69,211
18018,7,12,18,70
18019,7,20,86,280
18020,7,13,31,107
18021,7,16,35,103
18022,7,18,84,296
18023,7,12,37,163
18025,7,21,74,217
18026,7,19,39,129
18028,7,23,55,197
18029,7,17,41,192
18030,7,21,70,272
18031,7,9,26,73
18032,7,15,20,99
18033,7,12,16,85
18034,7,24,137,421
18035,7,16,23,77
18036,7,8,20,51
18037,7,13,27,91
18038,7,21,55,175
18039,7,16,47,130
18040,7,9,12,60
18041,7,17,26,87
18042,7,16,39,126
18043,7,7,26,71
18044,7,16,63,144
18045,7,19,109,295
18046,7,8,21,96
18047,7,22,72,222
18048,7,18,39,108
18049,7,18,71,241
18050,7,8,13,67
18051,7,18,57,173
18052,7,17,72,208
18053,7,24,78,217
18054,7,12,56,156
18055,7,16,46,162
18056,7,22,140,317
18057,7,14,39,126
18058,7,18,56,158
18060,7,8,25,94
18061,7,15,50,217
18062,7,17,54,138
18064,7,17,38,149
18065,7,14,45,190
18066,7,23,64,205
18067,7,17,66,117
18068,7,24,121,305
18070,7,20,42,113
18071,7,16,57,215
18072,7,15,50,154
18073,7,18,56,160
18074,7,17,68,262
18075,7,16,75,158
18076,7,13,56,223
18077,7,18,72,250
18078,7,19,58,145
18079,7,22,100,365
18080,7,8,54,173
18081,7,23,41,173
18082,7,14,22,139
18083,7,14,24,112
18084,7,15,49,143
18086,7,15,31,102
18087,7,19,52,165
18088,7,6,8,26
18089,7,21,73,200
18090,7,16,71,334
18091,7,7,11,47
18092,7,16,22,88
18093,7,14,23,104
18094,7,17,48,150
18095,7,15,53,195
18096,7,16,46,150
18097,7,17,41,123
18098,7,22,60,235
18099,7,17,74,200
18100,7,18,89,292
18102,7,13,13,53
18103,7,11,66,174
18105,7,17,42,159
18106,7,16,61,264
18107,7,13,43,171
18108,7,11,31,104
18109,7,8,7,39
18110,7,20,103,386
18112,7,17,40,92
18114,7,18,52,155
18115,7,15,50,163
18116,7,20,66,184
18117,7,19,37,146
18118,7,10,48,239
18119,7,16,77,295
18120,7,18,42,148
18121,7,14,54,157
18123,7,12,40,103
18124,7,15,63,164
18126,7,6,8,44
18127,7,18,58,275
18128,7,17,31,133
18129,7,13,34,122
18130,7,17,39,124
18131,7,15,35,89
18132,7,18,47,211
18133,7,13,8,27
18134,7,12,40,160
18135,7,12,34,130
18136,7,14,21,58
18137,7,15,31,95
18138,7,12,122,372
18140,7,18,32,134
18141,7,15,61,328
18142,7,21,119,316
18143,7,13,61,166
18144,7,16,23,126
18146,7,21,132,278
18147,7,16,35,121
18148,7,18,68,197
18149,7,10,6,30
18150,7,14,41,123
18151,7,16,51,149
18152,7,6,7,27
18153,7,24,111,302
18154,7,13,16,61
18156,7,18,37,108
18159,7,18,47,138
18160,7,23,60,200
18161,7,4,29,102
18162,7,19,90,277
18163,7,16,34,131
18164,7,19,48,194
18165,7,17,76,272
18166,7,17,62,182
18167,7,7,20,43
18168,7,17,40,133
18169,7,13,88,345
18170,7,14,48,216
18171,7,17,62,127
18172,7,23,85,283
18173,7,14,30,122
18174,7,23,121,292
18175,7,22,153,429
18177,7,13,19,74
18178,7,22,125,366
18179,7,5,10,39
18180,7,17,36,117
18181,7,17,40,161
18182,7,17,53,205
18183,7,16,48,170
18184,7,6,12,43
18185,7,13,36,117
18186,7,14,54,211
18187,7,21,106,304
18189,7,22,65,239
18190,7,14,29,121
18191,7,16,27,101
18192,7,20,59,162
18193,7,15,31,126
18194,7,13,57,184
18195,7,9,71,318
18196,7,8,36,121
18197,7,16,34,124
18198,7,20,75,248
18200,7,19,80,285
18201,7,21,70,179
18202,7,21,56,200
18203,7,7,3,27
18205,7,20,77,256
18206,7,16,37,128
18207,7,12,86,244
18208,7,17,42,122
18209,7,16,32,174
18210,7,18,39,154
18211,7,17,73,222
18212,7,14,40,114
18213,7,22,68,220
18215,7,8,29,117
18217,7,17,57,130
18218,7,16,31,148
18219,7,7,31,165
18220,7,21,52,203
18221,7,8,11,33
18222,7,24,81,238
18223,7,20,46,140
18225,7,19,35,154
18226,7,21,67,237
18227,7,18,43,216
18228,7,12,49,132
18229,7,24,134,293
18230,7,17,74,239
18231,7,23,37,178
18232,7,20,68,201
18233,7,10,32,101
18234,7,21,80,173
18235,7,18,141,360
18236,7,20,50,137
18237,7,18,31,130
18238,7,16,31,101
18239,7,7,18,53
18240,7,16,52,150
18241,7,20,73,203
18242,7,16,22,111
18243,7,24,130,473
18244,7,14,46,191
18245,7,9,39,85
18246,7,17,57,152
18247,7,10,39,194
18248,7,11,36,110
18249,7,13,58,150
18250,7,23,95,296
18251,7,11,26,101
18252,7,14,58,221
18253,7,12,31,75
18254,7,17,29,118
18255,7,20,48,189
18256,7,22,77,253
18257,7,20,63,242
18258,7,9,18,91
18259,7,9,17,87
18260,7,13,50,154
18261,7,20,147,309
18262,7,14,40,156
18263,7,11,17,87
18264,7,16,53,174
18265,7,15,31,103
18266,7,21,95,331
18267,7,11,18,59
18268,7,8,15,44
18269,7,14,30,84
18271,7,20,64,238
18272,7,11,35,169
18273,7,18,49,171
18275,7,20,147,333
18276,7,18,38,144
18277,7,18,45,190
18278,7,13,13,44
18279,7,23,83,282
18280,7,16,27,95
18281,7,24,88,230
18282,7,20,35,179
18283,7,20,77,221
18284,7,11,51,149
18285,7,16,32,93
18286,7,20,57,151
18287,7,18,42,164
18288,7,10,41,164
18289,7,17,46,200
18290,7,10,12,87
18291,7,22,83,192
18292,7,16,32,97
18293,7,11,21,94
18294,7,16,144,333
18295,7,16,22,115
18296,7,8,12,41
18297,7,21,127,397
18298,7,16,24,93
18300,7,13,34,131
18301,7,14,18,97
18302,7,16,115,400
18303,7,18,46,169
18304,7,13,40,152
18305,7,18,39,148
18306,7,10,39,158
18307,7,19,23,110
18308,7,12,112,309
18309,7,17,34,131
18310,7,7,30,148
18311,7,24,116,334
18312,7,21,80,248
18314,7,24,115,259
18317,7,16,33,138
18318,7,14,29,92
18319,7,24,173,419
18320,7,12,31,101
18321,7,14,28,75
18322,7,17,56,169
18324,7,24,83,229
18325,7,13,25,71
18326,7,11,83,279
18327,7,17,52,215
18329,7,14,100,222
18330,7,6,24,57
18331,7,10,17,63
18332,7,22,117,255
18333,7,16,37,134
18334,7,16,107,256
18335,7,16,63,228
18336,7,19,49,131
18337,7,21,46,188
18338,7,20,61,195
18339,7,24,63,291
18340,7,16,84,257
18341,7,22,50,118
18342,7,16,57,153
18343,7,13,52,150
18344,7,16,66,251
18345,7,19,56,172
18346,7,17,59,184
18347,7,14,12,48
18348,7,5,4,11
18349,7,19,51,169
18350,7,12,27,85
18352,7,17,29,84
18353,7,17,56,226
18354,7,11,12,41
18355,7,7,22,92
18356,7,17,37,163
18357,7,16,45,142
