id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18,pos_4,pos_2,pos_15,char_8,sentence_count,word_18,pos_24,pos_19,pos_1,pos_6,pos_29,char_10,pos_31,pos_28,misspell_words
11827,5,2,48,132,24,57,6,17,14,12,4,6,9,4,3,7,7,3,5,2,0,6,13
11828,5,2,65,167,29,65,7,15,18,10,12,10,8,5,11,14,6,8,1,0,6,3,6
11829,5,3,47,109,26,43,5,22,14,18,5,7,7,3,4,7,4,4,2,1,5,1,9
11830,5,1,35,71,9,30,2,9,7,8,4,1,4,1,2,5,7,2,2,0,3,2,12
11831,5,3,45,127,24,46,7,16,16,8,11,7,9,3,7,8,8,5,1,1,7,1,7
11832,5,3,55,150,28,55,6,24,17,20,17,8,7,5,7,10,10,2,0,1,9,2,2
11833,5,3,66,170,36,72,9,29,24,22,5,15,12,5,7,13,9,1,1,5,3,1,13
11834,5,4,92,212,37,98,9,44,27,27,11,15,14,5,14,15,13,2,5,4,3,2,5
11835,5,3,66,158,32,49,8,27,21,13,17,17,11,2,8,9,6,6,3,5,7,4,15
11836,5,3,48,146,19,56,6,26,14,17,4,8,11,5,8,3,7,5,3,0,6,3,6
11837,5,1,11,38,3,8,1,5,3,7,5,0,2,1,1,1,2,0,0,0,4,1,6
11838,5,1,74,199,23,96,8,26,27,24,13,6,12,3,8,14,8,1,2,2,10,4,2
11839,5,1,27,79,9,28,4,14,12,10,4,3,5,2,4,2,5,1,0,0,6,0,5
11840,5,1,25,92,13,34,3,19,11,11,3,3,6,2,2,0,2,2,0,0,2,5,7
11841,5,2,45,103,17,46,6,21,16,9,12,6,8,1,2,3,6,2,1,0,1,1,0
11842,5,2,43,143,17,54,3,21,21,13,10,2,4,3,9,3,9,1,4,1,12,3,5
11843,5,4,65,156,23,61,7,29,12,22,8,9,17,1,7,9,7,5,2,2,14,2,9
11844,5,3,65,158,21,77,4,29,17,26,4,5,7,3,9,11,4,3,4,1,8,1,3
11845,5,2,48,131,24,46,6,15,17,14,11,6,11,4,7,6,3,4,1,1,8,5,12
11846,5,2,42,113,16,41,5,25,14,12,7,6,6,4,2,10,8,3,4,2,8,1,3
11847,5,4,73,186,31,76,9,33,22,26,14,8,10,6,12,8,7,4,2,1,8,4,1
11848,5,2,58,177,24,71,7,24,21,20,14,10,9,5,11,6,11,5,3,0,1,4,5
11849,5,2,45,130,24,42,7,32,16,24,5,9,8,3,5,6,4,3,3,3,8,0,3
11850,5,4,76,190,37,69,9,32,23,25,16,13,14,2,10,12,8,3,1,3,13,2,9
11851,5,2,34,106,14,42,5,16,12,12,9,6,7,4,10,3,5,1,6,1,4,0,3
11852,5,2,50,122,21,57,7,17,14,7,8,4,9,2,8,13,6,5,1,0,0,2,6
11853,5,2,40,84,23,33,5,18,8,13,15,6,6,1,4,2,3,3,1,2,1,0,4
11854,5,1,16,49,9,15,2,10,5,2,6,0,5,1,1,0,3,0,1,0,0,0,6
11855,5,3,56,149,25,54,7,24,22,17,10,15,8,5,4,5,10,2,0,3,1,3,9
11856,5,4,68,162,33,50,6,32,22,21,11,19,8,2,5,7,7,5,1,5,5,7,10
11857,5,4,90,230,47,97,11,48,33,30,26,17,16,8,7,11,8,5,4,11,21,1,13
11858,5,3,37,91,12,35,3,11,4,13,12,4,10,1,9,4,5,2,1,2,6,7,3
11859,5,2,40,118,16,48,6,16,15,13,8,4,7,3,2,3,5,3,3,2,11,2,5
11860,5,3,52,143,26,58,6,21,13,9,8,10,9,4,10,12,8,10,0,2,0,4,9
11861,5,3,48,147,17,61,5,32,20,17,6,6,14,0,5,1,4,3,3,0,4,2,7
11862,5,3,39,100,17,28,6,14,10,10,6,9,7,1,6,3,6,2,0,1,8,0,7
11863,5,3,47,143,22,49,7,15,20,13,9,4,9,3,9,7,5,6,2,1,13,1,9
11864,5,2,40,120,20,52,6,27,19,10,6,13,7,2,7,8,6,2,0,3,6,1,0
11865,5,3,67,145,25,61,8,32,20,23,5,9,12,3,6,8,3,2,3,2,7,1,9
11866,5,4,123,250,60,110,11,30,27,15,19,27,29,2,7,25,12,7,4,5,10,1,24
11867,5,2,36,94,18,41,4,14,13,9,6,5,5,3,3,7,4,2,2,0,3,2,3
11868,5,3,42,101,24,37,4,18,14,7,11,11,7,2,2,5,5,0,3,0,0,2,2
11869,5,3,42,114,14,45,7,20,15,16,8,6,8,1,2,6,4,1,2,1,8,1,4
11870,5,2,35,97,11,34,4,12,11,9,12,3,6,1,2,6,5,2,1,1,2,1,13
11871,5,1,14,51,5,19,2,9,7,8,3,2,4,1,0,1,1,2,2,0,1,0,2
11872,5,3,58,148,24,51,4,30,19,17,9,9,5,4,9,5,4,2,5,2,3,4,12
11873,5,3,61,158,32,63,7,34,14,22,12,13,9,6,7,9,9,2,1,7,14,0,8
11874,5,3,57,138,34,53,7,22,18,13,11,16,9,3,10,6,6,2,4,2,4,0,12
11875,5,3,43,141,19,70,7,16,20,12,7,5,9,4,6,9,9,2,4,1,8,1,4
11876,5,2,29,81,16,33,3,13,14,6,5,5,6,2,3,6,3,2,0,0,4,0,3
11877,5,2,23,51,12,8,2,11,8,6,5,3,4,1,0,0,2,0,2,0,9,0,5
11878,5,3,75,213,27,76,9,32,26,22,17,12,11,6,9,9,7,3,2,4,16,3,13
11879,5,2,22,66,7,28,4,13,3,9,2,4,5,1,2,1,6,0,1,0,0,0,1
11880,5,1,11,39,5,18,2,6,6,6,3,1,4,1,2,0,3,0,1,0,0,0,0
11881,5,3,39,118,10,48,6,24,15,19,4,4,10,3,6,3,1,2,2,3,6,2,10
11882,5,3,56,128,15,46,7,16,12,6,14,1,10,2,7,7,10,3,1,0,5,1,14
11883,5,3,69,179,24,72,8,33,26,25,9,10,12,4,8,10,2,3,0,1,10,4,9
11884,5,4,124,284,68,120,12,46,29,28,13,25,23,4,15,22,11,8,7,6,13,8,24
11885,5,2,36,98,6,24,3,9,13,12,11,4,5,3,6,3,5,3,1,0,8,0,16
11886,5,3,60,176,33,72,10,31,16,24,15,11,11,5,6,6,8,2,0,5,10,7,11
11887,5,2,29,72,13,28,4,15,10,10,2,9,7,1,7,3,3,0,1,2,6,2,3
11888,5,1,16,58,6,26,2,11,8,9,3,1,3,2,3,4,2,1,2,1,2,1,0
11889,5,2,38,85,15,29,5,19,10,13,3,5,7,1,2,1,4,1,0,3,5,1,10
11890,5,2,35,79,19,22,4,16,11,8,7,8,5,1,3,3,6,1,0,2,3,3,14
11891,5,3,66,148,38,48,8,28,24,21,11,16,13,2,5,11,5,2,2,6,11,1,7
11892,5,2,31,96,15,37,5,17,8,8,7,4,6,2,3,2,10,3,0,3,0,1,0
11893,5,3,50,151,24,61,7,18,23,14,7,6,8,4,5,9,6,4,2,2,5,3,5
11894,5,2,38,106,15,46,6,15,14,15,4,4,7,1,4,6,4,4,2,0,6,2,6
11895,5,3,40,124,24,50,7,22,22,7,9,3,8,4,4,5,2,2,1,0,10,0,3
11896,5,3,61,143,27,56,7,21,15,18,8,9,8,4,10,9,8,3,2,2,6,2,10
11897,5,3,44,109,21,35,5,25,16,15,4,9,7,3,5,3,3,4,5,1,4,4,5
11898,5,3,68,148,32,57,5,25,25,17,10,13,13,2,9,10,1,1,5,1,1,0,10
11899,5,3,48,141,22,55,6,21,12,11,7,7,8,4,8,10,11,6,3,2,10,0,4
11900,5,3,86,194,36,70,10,40,20,13,13,14,14,3,15,7,9,4,0,3,9,2,17
11901,5,3,71,166,24,64,7,33,19,16,14,9,9,5,6,6,7,1,4,2,11,4,9
11902,5,1,14,54,3,22,4,13,4,6,1,1,5,1,1,2,5,1,1,1,3,0,0
11903,5,1,12,30,5,14,1,5,6,2,5,0,3,1,0,0,2,0,0,0,2,0,4
11904,5,3,66,152,15,70,7,22,23,17,9,4,8,5,7,7,5,2,3,0,1,4,8
11905,5,3,52,118,21,48,5,27,14,15,10,11,6,3,5,3,2,2,2,2,13,2,9
11906,5,4,74,191,36,67,7,28,21,28,18,10,8,6,7,14,9,6,3,2,4,3,4
11907,5,2,21,71,13,23,3,6,6,4,5,5,5,2,2,4,2,5,1,0,3,1,4
11908,5,3,40,97,19,51,3,13,13,10,8,7,5,2,2,9,4,1,2,2,2,1,2
11909,5,2,35,74,14,29,4,16,13,10,1,3,6,0,5,0,4,0,0,0,4,3,0
11910,5,1,23,67,10,27,3,14,7,9,5,2,6,0,7,0,1,1,0,1,2,2,4
11911,5,3,52,131,22,45,8,15,11,9,10,10,9,3,8,9,5,8,2,2,5,3,10
11912,5,2,18,50,9,12,3,11,8,7,1,4,4,1,1,0,0,0,1,0,3,0,1
11913,5,2,37,109,16,43,6,12,15,15,11,3,7,2,5,8,2,5,1,0,5,2,7
11914,5,1,24,64,11,16,4,8,6,7,7,7,6,1,2,4,4,2,3,0,6,2,5
11915,5,2,36,101,15,37,4,20,15,19,8,7,6,2,3,3,6,0,1,4,9,0,5
11916,5,3,69,161,28,70,6,29,20,23,12,5,7,4,7,7,6,7,0,0,3,2,9
11917,5,2,43,126,17,53,5,17,14,16,10,7,6,4,7,6,8,2,1,1,1,3,6
11918,5,2,20,55,15,21,3,12,10,8,2,4,7,0,2,2,2,1,2,1,2,2,3
11919,5,1,24,68,10,24,3,9,7,8,5,5,4,2,5,2,3,2,0,2,5,0,2
11920,5,3,54,128,27,46,7,26,16,12,8,12,8,3,8,5,7,1,2,4,6,6,9
11921,5,3,33,107,15,45,5,11,12,7,8,1,7,2,11,8,3,6,0,1,1,4,6
11922,5,2,32,93,8,35,5,20,12,8,9,4,7,2,3,3,6,2,0,3,2,0,4
11923,5,2,60,139,27,42,6,26,14,20,12,8,7,2,9,4,4,4,3,1,6,1,11
11924,5,2,44,104,22,43,4,19,16,14,6,6,6,3,3,7,3,2,2,0,0,2,4
11925,5,2,37,101,16,42,4,19,15,15,2,1,7,3,8,4,5,0,0,0,7,5,4
11926,5,1,38,94,20,36,4,16,13,8,5,7,8,1,5,1,2,4,1,1,2,2,12
11927,5,2,21,62,5,20,4,15,6,10,3,2,5,0,1,3,5,0,1,0,4,0,7
11928,5,3,71,170,40,62,8,35,20,19,14,15,11,4,9,13,12,1,1,5,4,2,6
11929,5,2,54,129,31,43,6,22,14,12,9,10,8,4,9,3,4,3,2,5,3,9,10
11930,5,2,29,67,16,26,3,15,12,15,2,7,6,1,4,2,2,0,0,4,3,0,1
11931,5,3,36,106,18,32,5,18,11,9,5,5,7,3,6,3,4,3,1,1,8,0,4
11932,5,4,103,280,44,111,13,55,28,36,23,19,25,8,10,14,16,7,5,7,7,5,3
11933,5,3,60,147,29,60,7,22,18,16,5,17,11,4,10,7,5,7,2,2,0,8,14
11934,5,3,45,139,17,41,7,14,14,8,11,4,10,4,7,5,6,8,4,0,4,2,12
11935,5,1,11,21,4,7,1,4,2,2,1,2,2,1,0,1,0,0,0,2,1,0,6
11936,5,2,60,143,32,55,7,30,19,15,15,17,9,4,4,4,7,5,0,5,4,0,18
11937,5,4,120,307,61,115,10,51,45,41,20,17,12,8,6,16,13,7,8,7,25,5,17
