id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18,pos_4,pos_2,pos_15,char_8,sentence_count,word_18,pos_24,pos_19,pos_1,pos_6,pos_29,char_10,pos_31,pos_28,misspell_words,pos_22,pos_27,pos_23,pos_20
20716,8,34,204,664,80,221,29,130,53,47,43,17,40,14,29,8,61,24,6,8,10,8,83,100,99,25,44
20717,8,46,242,780,93,348,29,97,77,67,41,21,30,24,69,41,32,24,13,8,4,16,11,92,71,25,13
20718,8,40,291,848,110,322,34,121,96,86,50,28,40,21,62,36,33,21,7,12,16,25,15,102,60,17,0
20719,8,30,214,705,61,265,17,106,81,82,36,4,23,12,48,15,10,17,16,1,19,16,18,74,41,23,19
20721,8,26,130,646,24,248,22,111,51,38,49,1,28,18,61,8,30,17,9,0,8,11,67,46,94,14,45
20722,8,40,315,695,92,205,31,105,64,54,68,20,56,10,42,17,7,22,2,2,41,22,159,77,17,10,205
20723,8,40,308,825,96,304,44,121,80,67,62,21,84,3,59,21,33,22,20,3,5,22,79,90,82,34,82
20724,8,34,84,291,21,117,14,44,30,24,21,5,19,6,29,7,18,13,2,4,11,1,3,29,1,7,4
20725,8,41,273,733,124,305,35,107,97,66,61,38,47,18,54,30,32,13,12,5,30,20,21,73,19,16,14
20726,8,40,226,537,87,219,23,70,63,40,43,18,35,10,53,24,19,7,3,4,17,12,52,50,17,6,67
20727,8,31,143,439,52,169,17,73,54,52,22,8,19,11,19,26,16,10,4,4,6,12,28,31,25,20,18
20728,8,44,321,816,164,286,30,118,92,83,70,71,33,26,59,42,6,22,14,53,22,25,76,70,64,22,100
20732,8,31,182,818,53,318,17,137,61,48,58,10,17,16,73,22,26,15,10,1,24,12,31,73,47,70,3
20733,8,36,183,559,71,227,27,79,57,36,45,30,31,14,40,16,18,15,1,16,23,12,32,63,26,30,16
20734,8,43,317,763,135,284,37,97,86,60,74,55,46,15,56,23,31,15,7,19,18,24,84,90,52,14,111
20735,8,20,43,131,19,57,6,22,18,9,8,12,11,2,6,11,5,4,3,7,1,3,6,7,6,2,0
20736,8,45,256,711,101,292,30,92,79,47,64,29,37,19,54,20,28,24,11,8,12,13,39,75,51,27,36
20737,8,40,168,528,70,228,23,59,55,35,33,11,31,10,52,17,18,18,6,2,15,13,13,71,29,15,14
20739,8,30,209,735,55,270,36,93,72,53,44,23,56,12,54,42,45,18,3,9,42,9,21,100,18,29,11
20741,8,35,116,280,37,112,9,50,23,22,20,5,30,1,12,10,13,3,3,1,34,10,7,27,2,8,12
20742,8,40,198,630,88,221,26,93,72,69,34,20,28,19,48,20,31,22,11,2,11,21,23,52,47,15,31
20743,8,42,312,848,122,320,33,142,111,79,58,42,38,20,57,24,30,20,9,21,14,18,68,59,98,20,85
20745,8,34,201,478,88,154,16,85,62,38,51,36,30,12,44,14,5,12,6,13,2,29,103,35,44,14,80
20746,8,33,253,844,67,294,27,86,90,47,54,15,35,21,87,12,42,37,13,4,10,15,50,130,67,27,9
20747,8,38,125,356,53,136,18,48,48,30,15,11,23,6,25,10,8,16,5,1,8,9,6,37,26,16,3
20748,8,36,220,688,78,264,33,98,67,57,43,19,39,16,44,12,39,24,12,5,6,7,39,71,72,23,24
20751,8,45,198,614,70,228,31,70,73,37,32,14,42,11,42,17,22,22,16,5,6,18,9,92,70,33,3
20754,8,31,260,829,101,308,35,111,100,59,49,31,41,20,41,21,27,44,4,6,36,32,14,106,37,29,6
20755,8,30,78,226,33,101,9,36,24,22,11,9,14,5,15,4,9,3,7,5,4,8,14,21,8,4,15
20756,8,34,220,737,89,302,19,101,72,67,54,25,20,17,58,27,46,28,15,6,10,14,10,63,17,29,3
20757,8,33,230,727,98,319,26,71,98,74,51,23,37,16,46,33,33,22,16,13,7,19,49,63,73,15,60
20758,8,40,293,849,116,307,39,71,92,52,56,35,61,12,71,19,28,30,10,14,10,30,56,151,96,22,52
20759,8,47,251,734,109,252,31,97,76,52,56,20,59,12,60,18,33,14,9,6,2,16,37,110,94,36,30
20760,8,30,326,835,131,321,42,112,103,61,60,32,53,14,50,34,10,27,5,3,6,29,66,103,89,27,89
