id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18,pos_4,pos_2,pos_15,char_8,sentence_count,word_18,pos_24,pos_19,pos_1,pos_6,pos_29,char_10,pos_31,pos_28,misspell_words,pos_22,pos_27,pos_23,pos_20,beauty_score,word_25,pos_30
14834,6,2,48,122,25,46,6,17,18,17,11,12,7,4,6,12,3,2,2,1,2,2,3,4,7,0,6,1.43215102121,1,1
14835,6,3,81,180,38,80,9,28,25,28,15,18,10,6,9,15,5,3,3,2,2,4,4,4,10,0,9,1.9016266063,1,1
14836,6,4,70,166,34,69,8,31,16,24,10,13,9,3,9,13,2,10,2,2,1,3,1,1,10,0,5,2.5970044576,2,0
14837,6,1,89,193,35,70,7,22,28,24,5,12,13,5,3,10,4,5,6,1,2,3,17,4,16,1,38,6.84845358609,2,0
14838,6,3,74,162,37,67,7,23,20,23,18,14,11,3,5,12,0,8,5,0,0,5,1,4,10,0,10,2.60463735574,0,0
14839,6,4,88,168,45,65,9,39,22,28,15,20,11,4,8,8,3,5,5,5,2,4,4,3,10,0,8,2.74590414805,0,0
14840,6,3,67,148,34,65,6,29,20,25,7,16,7,5,4,7,5,5,4,3,3,5,5,5,5,1,10,1.33638286326,2,1
14841,6,3,62,128,36,58,5,21,16,17,9,16,6,4,9,10,4,4,2,4,0,4,10,1,9,1,14,1.76685759915,1,0
14842,6,3,51,114,24,56,5,18,13,16,5,10,10,2,2,8,1,1,4,0,1,3,5,5,12,0,6,2.41287507287,0,2
14843,6,3,54,130,27,59,4,20,11,19,13,10,12,0,10,10,2,7,1,0,1,1,1,2,7,1,5,1.65508106422,0,2
14844,6,3,100,233,60,95,13,36,16,29,19,29,16,3,21,7,9,12,10,9,2,5,7,7,22,0,17,2.76048852839,1,0
14845,6,4,137,312,74,135,13,39,37,40,28,35,19,8,22,24,4,13,7,7,4,5,15,9,11,1,28,7.98147804181,2,6
14846,6,4,88,213,44,76,9,32,22,33,14,19,10,5,10,12,7,16,4,6,1,7,3,4,12,0,13,2.34215146242,3,0
14847,6,3,88,195,46,81,9,38,23,27,7,14,14,3,7,14,3,8,3,2,1,6,10,3,13,3,18,2.80930182192,1,0
14848,6,2,55,135,29,51,4,25,20,22,5,14,7,4,3,9,7,7,0,1,0,5,2,2,6,0,11,2.26396927033,3,0
14849,6,3,72,152,39,66,7,26,14,25,10,11,8,4,7,12,5,4,3,2,2,4,9,2,5,1,14,1.6098009612,2,2
14850,6,1,54,141,34,42,7,23,13,21,8,13,9,3,4,13,5,8,4,2,1,2,4,2,9,0,10,3.75652254389,2,0
14851,6,3,52,126,26,56,7,18,13,22,15,10,8,2,13,8,2,3,0,2,0,5,3,2,6,0,3,1.74083058916,1,0
14852,6,3,36,87,17,42,3,18,14,13,11,6,4,3,4,5,1,2,1,1,3,2,3,3,3,0,0,0.82628935829,2,0
14853,6,2,42,88,22,36,4,16,8,13,3,14,5,3,2,6,2,9,4,4,0,1,0,0,3,0,6,0.73112593579,1,1
14854,6,3,53,114,33,46,5,14,12,18,7,14,10,1,2,11,1,7,3,3,0,2,1,2,7,0,12,1.15288981857,0,0
14855,6,4,103,244,51,96,11,34,23,39,17,19,12,5,8,15,6,14,4,3,5,4,8,7,7,1,19,4.96662668858,3,3
14856,6,2,65,177,28,74,8,22,21,26,8,8,13,4,15,5,0,7,3,1,3,6,7,3,10,1,25,3.20713232469,0,1
14857,6,4,108,233,57,103,10,38,23,40,23,26,13,5,10,19,5,8,6,6,1,7,2,1,16,0,18,2.75726945408,3,0
14858,6,3,49,116,23,55,5,12,17,20,7,7,7,3,9,12,2,5,1,0,2,6,3,3,7,0,7,2.18125067864,2,0
14859,6,2,59,167,33,63,8,25,16,21,17,14,12,4,12,11,4,7,2,4,1,4,9,3,13,1,12,4.22184937593,2,1
14860,6,3,97,210,52,88,10,28,26,30,21,15,11,6,9,15,5,11,3,2,1,6,5,3,12,1,20,2.15390640579,2,1
14861,6,3,83,198,42,83,10,34,25,27,18,14,15,3,10,14,2,7,4,1,4,4,4,5,9,1,14,2.38765983627,1,2
14862,6,3,64,159,29,67,6,11,17,23,11,8,9,5,8,15,0,12,1,0,0,5,12,3,16,0,18,1.81800261184,2,0
14863,6,3,46,109,28,46,5,15,14,14,7,11,6,3,2,11,2,8,4,3,0,2,1,1,9,1,4,1.63265942625,1,0
14864,6,4,70,169,44,71,6,22,29,23,15,19,9,4,6,17,2,12,2,4,1,6,3,4,9,0,6,2.41304534633,4,3
14865,6,3,80,175,37,82,10,27,15,21,15,14,10,1,8,14,5,8,4,2,2,4,5,5,10,1,5,1.62817819992,1,1
14866,6,2,25,63,13,28,4,12,6,11,6,3,5,1,2,5,2,2,0,0,3,3,1,0,3,0,0,0.664712197669,0,0
14867,6,2,40,102,22,45,4,14,13,13,5,13,8,2,5,7,0,8,1,0,1,3,2,1,6,0,7,0.897531875872,0,1
14868,6,3,86,204,53,74,8,25,27,26,15,18,12,5,10,14,2,8,5,2,3,3,3,7,13,1,16,3.17321666099,3,0
14869,6,2,68,146,24,68,7,23,19,24,5,8,8,4,4,8,3,3,4,1,0,5,3,5,5,0,7,1.6884899242,2,1
14870,6,2,59,130,26,54,7,19,19,25,9,4,8,3,2,6,0,5,1,1,3,3,8,1,6,1,21,2.21887476781,0,0
14871,6,3,65,134,38,53,6,22,13,21,9,19,11,1,3,13,1,8,7,5,1,3,2,0,9,0,7,1.50510846624,1,0
14872,6,3,65,144,40,60,5,21,17,19,13,17,8,4,6,9,2,9,4,2,0,7,4,2,5,0,8,1.56640949338,4,0
14873,6,2,47,112,25,43,6,13,12,20,10,8,7,1,3,8,1,6,0,0,3,2,0,1,3,0,12,1.30242297588,1,0
14874,6,1,26,112,12,53,2,21,14,20,3,2,5,2,3,3,4,5,5,0,1,0,1,10,5,0,1,2.20620401275,2,2
14875,6,3,47,101,16,38,5,15,8,13,2,3,6,2,3,4,1,5,0,0,3,0,12,5,5,1,31,1.37502186013,1,1
14876,6,3,98,197,46,82,9,27,27,22,14,20,15,4,10,15,3,6,2,1,5,7,6,8,12,2,18,2.31615596162,2,1
14877,6,2,29,100,15,40,5,15,11,19,8,5,6,3,3,3,2,4,2,1,0,1,0,5,11,1,3,1.36299720402,1,0
14878,6,2,57,135,33,52,6,18,15,20,12,14,11,3,4,9,4,8,1,0,1,7,7,7,8,0,5,1.27950535984,1,1
14879,6,3,55,129,33,61,8,24,17,18,6,12,13,2,5,12,2,3,1,0,1,6,6,2,9,0,15,1.49572846627,0,0
14880,6,3,69,158,29,60,6,26,30,26,8,7,8,5,5,5,3,6,2,1,2,3,6,3,9,0,24,2.08625852714,3,1
14881,6,4,82,194,54,70,10,27,24,31,14,26,11,6,5,19,7,10,3,7,1,6,7,2,13,0,17,3.39430497268,0,3
14882,6,4,103,224,59,86,8,23,31,29,20,18,10,6,11,21,5,14,6,2,1,7,7,7,15,0,13,2.61561975137,6,1
14883,6,3,109,220,55,90,11,28,21,33,12,25,18,5,9,18,0,7,8,3,0,5,8,3,15,0,26,3.87552967002,2,1
14884,6,3,56,149,32,70,7,20,23,24,11,8,9,5,6,11,2,6,6,1,2,4,1,5,5,0,10,1.74366892692,2,2
14885,6,2,71,185,25,87,9,24,15,24,16,6,19,1,9,14,7,12,2,0,1,1,11,8,12,1,19,2.05149878378,0,2
14886,6,3,78,164,40,71,8,25,25,22,9,15,14,5,7,15,2,5,3,3,7,6,5,3,7,0,11,1.90512670048,2,1
14887,6,3,82,179,44,76,7,36,25,28,11,15,8,6,10,14,1,15,2,2,0,6,5,1,10,1,3,1.36539673533,3,0
14888,6,2,61,174,34,71,4,29,24,26,10,14,5,4,5,9,1,11,7,4,1,4,8,7,9,0,5,3.38903019796,4,0
14889,6,3,71,169,43,71,7,27,25,25,4,21,8,5,10,13,4,7,4,3,4,2,6,2,6,0,16,2.14049547931,3,5
14890,6,3,62,166,29,70,8,20,14,24,10,14,9,4,10,10,5,14,1,1,1,4,3,6,14,0,3,2.65420186342,2,0
14891,6,1,42,130,25,53,5,23,16,20,7,7,12,3,4,6,4,4,0,1,2,4,5,9,8,1,9,2.1708789533,2,2
14892,6,3,100,200,52,85,10,37,25,32,14,22,13,5,11,11,3,8,6,4,2,4,5,2,9,0,5,2.72108320695,0,1
14893,6,2,34,84,20,33,4,14,13,14,7,11,5,2,2,5,0,3,4,1,0,1,6,3,6,0,6,1.55284893644,1,0
14894,6,4,74,186,37,85,8,17,24,26,15,9,9,6,8,20,5,9,6,1,3,3,2,4,11,0,10,1.86051098397,1,3
14895,6,2,67,161,29,66,8,36,19,28,12,14,9,4,5,7,4,5,4,4,1,3,11,4,11,1,6,2.69811728607,1,0
14896,6,4,119,260,60,106,7,36,39,40,16,25,8,7,11,15,3,15,6,7,0,8,7,7,12,0,24,4.12748114408,5,0
14897,6,3,80,177,50,81,9,21,31,22,8,22,10,6,5,18,2,9,4,5,3,5,4,2,12,0,20,1.84825857988,1,0
14898,6,4,87,191,45,76,7,21,30,27,10,14,9,6,12,19,0,6,6,0,3,4,7,3,15,1,11,2.97772830038,3,0
14899,6,1,43,104,19,45,4,21,12,13,11,5,6,3,6,7,2,8,0,1,2,1,0,2,4,0,1,0.900988542828,1,4
14900,6,3,63,136,35,53,7,18,22,20,10,10,11,2,10,9,0,3,3,0,2,4,5,3,10,0,18,1.6493434072,1,0
14901,6,1,15,32,11,14,2,6,1,4,6,3,4,0,2,1,1,2,0,0,0,1,1,2,3,0,0,0.269728142379,0,0
14902,6,4,92,212,46,81,9,27,27,35,17,16,12,5,10,18,3,8,2,2,6,5,1,5,10,0,3,3.42179911949,2,4
14903,6,3,79,163,51,67,9,27,18,25,12,19,18,3,10,15,2,7,4,2,1,6,4,0,10,1,12,1.90558605508,0,1
14904,6,3,92,197,48,71,9,34,24,25,19,20,15,4,10,11,2,6,6,1,1,2,15,1,6,0,23,3.31641259315,3,1
14905,6,1,29,74,13,34,3,12,8,10,3,4,5,2,4,4,1,5,7,0,0,2,0,2,6,0,0,0.688151698553,1,0
14906,6,3,46,112,22,48,6,12,12,13,12,10,7,1,6,9,1,6,2,2,3,3,9,4,3,0,11,1.40137640208,1,2
14907,6,3,54,116,27,51,5,19,13,13,10,11,9,3,9,6,2,5,4,2,1,4,3,2,6,0,9,1.26474555773,0,0
14908,6,2,67,146,36,63,6,27,17,22,14,17,18,1,3,11,1,7,4,3,5,3,5,4,6,0,8,2.15937626096,0,0
14909,6,3,60,142,36,65,5,27,19,25,9,9,7,2,6,10,4,3,4,0,1,3,2,3,10,0,3,2.0354849239,2,1
14910,6,3,45,86,22,32,3,15,6,12,10,9,8,2,9,8,1,3,4,4,1,3,0,1,6,0,0,1.17196970747,0,0
14911,6,1,26,65,16,24,3,6,11,10,4,8,7,1,2,7,2,1,0,0,4,4,3,1,0,1,3,1.75259761863,0,5
14912,6,3,43,104,24,51,4,14,15,8,8,9,5,2,6,13,0,3,1,1,3,1,4,5,11,0,5,1.24661140988,2,1
14913,6,3,68,152,42,58,7,18,20,20,12,13,9,3,5,21,4,8,5,3,1,5,7,4,7,0,11,1.63739784251,2,2
14914,6,3,77,177,41,66,8,26,16,25,20,14,11,5,8,7,4,11,9,6,3,4,14,4,9,1,20,3.03895713268,0,2
14915,6,3,44,111,22,51,5,12,14,13,9,9,11,1,5,10,1,6,4,0,0,6,1,3,8,0,7,1.16896416076,0,0
14916,6,3,73,162,42,68,6,17,21,19,12,17,7,6,10,12,4,8,2,4,1,6,2,5,10,1,12,2.12131014668,3,0
14917,6,3,68,164,35,64,5,29,22,28,14,15,6,4,5,11,6,8,5,2,0,5,4,2,8,0,7,2.76165475327,4,0
14918,6,3,74,168,41,77,9,30,22,26,9,15,12,4,6,15,2,10,9,2,1,2,5,1,4,1,2,2.2755559871,0,1
14919,6,2,56,120,21,51,6,20,13,15,9,11,7,3,15,7,4,3,3,2,0,3,3,1,5,0,1,1.34144364677,1,0
14920,6,3,84,177,50,71,8,35,22,24,11,22,9,5,8,17,4,13,2,2,0,6,2,1,8,0,7,1.71717246086,2,0
14921,6,3,77,177,40,72,6,28,18,28,10,13,16,2,9,14,3,8,4,1,2,3,8,1,8,0,20,3.24863312804,1,0
14922,6,3,100,198,54,86,10,32,28,30,16,20,19,6,4,14,6,7,7,4,0,6,1,2,9,0,14,2.10861255585,1,0
14923,6,3,72,168,35,67,6,27,17,27,13,17,13,3,4,13,5,12,4,2,2,1,0,2,10,0,6,1.69054376343,1,0
14924,6,3,75,156,41,59,7,28,22,25,12,22,24,4,5,9,2,7,6,2,1,1,7,4,11,0,9,2.37296364177,1,0
14925,6,3,60,144,31,52,6,26,19,20,10,6,10,5,6,12,4,5,0,1,1,5,13,3,7,0,14,2.3366404906,2,3
14926,6,3,111,246,63,105,10,29,38,41,17,27,16,7,4,16,1,9,7,4,3,4,11,5,14,0,34,3.40855515873,4,2
14927,6,2,40,80,21,28,4,15,9,13,9,11,5,2,4,7,3,1,0,0,2,3,3,1,1,0,2,0.803198018442,0,0
14928,6,2,74,182,36,75,7,17,19,34,6,7,12,5,5,8,1,7,4,0,3,1,11,5,15,0,37,3.22021906274,2,1
14929,6,2,36,102,17,32,6,14,13,18,7,7,7,2,4,3,3,3,1,0,2,1,10,3,4,0,14,1.48302360244,0,1
14930,6,4,70,154,37,75,8,18,17,19,11,13,10,4,7,17,2,9,3,0,1,5,2,2,11,0,11,1.71368350599,1,0
14931,6,2,38,85,15,36,4,11,13,11,3,6,7,1,5,4,1,4,2,0,1,3,5,3,7,0,6,3.03863508036,0,0
14932,6,3,76,177,39,77,10,26,22,24,10,21,12,3,10,14,0,8,5,4,2,2,3,4,11,0,10,3.22697875178,0,0
14933,6,4,63,170,35,66,6,16,18,22,20,18,13,5,15,14,2,12,1,1,4,2,3,4,11,0,2,2.57046891365,3,0
14934,6,4,93,215,53,88,11,29,17,36,16,23,15,5,4,19,0,15,5,3,3,1,6,5,18,1,18,2.37138856203,1,0
14935,6,3,54,109,27,49,5,17,12,12,9,7,7,2,6,8,1,5,0,1,1,7,0,7,7,0,3,0.896319351948,0,0
14936,6,3,58,117,30,52,7,16,14,21,12,9,9,1,3,11,1,5,2,2,0,5,1,4,8,0,7,0.849957478035,0,1
14937,6,1,54,140,30,48,8,21,17,19,12,15,10,2,7,8,3,6,0,4,4,7,8,5,7,1,11,5.02136749514,1,3
14938,6,3,72,177,38,69,8,29,23,30,8,15,13,4,6,8,3,7,7,3,3,3,5,7,10,0,10,2.09867913702,0,1
14939,6,0,20,55,11,16,2,11,8,5,2,2,2,2,2,0,1,2,1,1,1,1,9,3,4,2,8,0.863182548499,1,0
14940,6,3,72,187,36,73,8,32,19,35,13,11,10,6,11,8,2,8,1,2,0,7,5,2,15,0,13,4.21375264748,2,1
14941,6,3,95,243,47,100,12,33,37,40,13,10,13,6,10,20,3,8,3,0,3,5,9,8,14,0,19,3.03123579016,2,4
14942,6,3,83,208,47,74,9,26,25,33,21,30,11,5,13,17,4,6,6,9,2,5,10,3,16,2,14,5.59653227499,3,0
14943,6,3,96,204,54,91,10,24,28,29,11,13,16,5,10,20,2,9,4,1,1,10,4,1,12,2,15,2.29638488894,1,1
14944,6,4,80,204,46,90,8,31,21,30,11,16,13,7,12,13,2,14,9,1,0,4,8,4,12,0,15,3.05767162468,3,1
14945,6,2,37,75,17,39,3,13,11,13,3,5,5,2,4,7,1,1,1,1,0,2,2,1,6,0,5,0.55307211066,2,0
14946,6,3,65,144,33,54,6,24,20,21,9,16,8,4,7,10,6,7,4,3,2,6,5,4,7,1,2,1.56080923754,4,1
14947,6,3,103,215,56,87,9,35,31,32,17,15,20,4,11,18,3,6,4,3,3,6,7,5,9,0,13,4.3213678527,1,2
14948,6,2,53,137,32,55,5,25,18,20,11,14,11,4,6,13,1,6,4,1,1,6,3,3,6,0,3,1.72175457539,1,1
14949,6,1,22,63,12,18,2,9,6,15,2,7,4,2,2,3,3,0,1,2,3,0,8,4,5,0,7,1.09484670643,1,3
14950,6,3,85,200,41,89,9,24,29,33,19,12,11,6,8,11,7,7,2,1,4,1,2,9,16,0,14,2.72716359809,2,1
14951,6,0,60,134,27,54,6,26,19,14,7,10,8,3,4,10,5,5,5,1,0,3,4,4,12,1,9,2.0472723863,2,1
14952,6,2,28,67,13,24,2,9,7,9,2,7,3,2,2,4,1,7,2,2,1,1,2,4,3,0,5,0.636794336636,2,1
14953,6,3,71,186,36,75,6,29,33,25,19,17,8,4,9,18,4,8,4,3,1,1,7,4,11,1,10,1.96690869134,3,0
14954,6,2,62,116,37,41,4,20,12,19,6,11,9,3,5,14,4,5,4,1,0,4,5,1,5,1,3,3.12143012475,1,0
14955,6,3,52,118,31,41,5,19,21,20,5,7,6,3,4,9,3,2,1,0,3,2,5,3,8,0,9,2.6199383737,1,2
14956,6,4,155,314,93,134,13,44,36,49,25,47,22,8,16,26,3,14,9,8,1,10,15,3,14,1,35,4.9933370438,6,2
14957,6,0,11,38,5,16,1,5,4,7,3,1,2,1,1,1,4,3,0,0,0,0,0,0,0,0,4,0.760338584496,1,0
14958,6,2,30,65,17,30,3,8,8,9,4,7,5,1,4,7,1,3,1,1,1,2,0,1,4,0,6,0.511699031118,1,0
14959,6,3,78,157,34,67,9,16,19,22,14,12,15,2,5,14,2,6,3,1,12,5,13,7,6,0,15,1.30946035967,0,3
14960,6,3,67,170,26,70,9,26,19,22,8,8,18,2,8,7,3,8,3,3,4,2,10,7,14,1,20,5.7236265879,0,1
14961,6,3,60,141,31,60,7,14,17,20,8,12,8,3,4,12,2,12,1,0,0,1,11,4,11,0,14,2.15154131459,2,3
14962,6,2,74,172,35,68,9,29,18,24,8,13,11,3,8,12,3,10,3,2,5,1,7,3,4,0,14,2.11370672318,1,3
14963,6,4,80,177,45,77,8,17,23,23,13,17,10,4,11,17,2,6,4,2,0,5,3,6,16,0,12,2.13488773907,2,0
14964,6,2,58,132,28,64,7,16,16,16,9,11,8,5,9,7,2,5,3,2,1,6,8,5,10,1,6,1.66458708959,1,2
14965,6,2,41,91,22,35,5,19,12,14,7,9,6,2,1,5,1,4,2,1,0,2,1,2,5,0,5,1.4001406258,1,0
14966,6,3,61,155,33,65,6,23,24,23,8,10,9,4,8,8,2,6,2,0,5,2,9,4,11,0,17,2.23001766039,3,1
14967,6,4,94,222,51,87,10,30,33,26,18,19,13,7,13,13,7,9,6,2,2,5,3,5,13,0,13,4.9288753279,2,1
14968,6,3,65,168,36,58,5,22,21,26,11,13,6,5,10,18,4,6,4,1,2,3,5,2,10,0,16,2.23851082891,5,2
14969,6,2,35,85,18,32,4,12,11,11,6,8,7,2,1,9,2,6,2,1,2,3,1,3,4,0,1,1.39976142754,0,0
14970,6,3,70,155,40,58,8,15,20,15,16,13,12,2,7,13,1,4,2,1,3,6,5,8,12,0,20,1.5638830936,1,0
14971,6,3,73,177,38,72,8,29,26,22,15,10,22,4,9,13,4,5,6,1,1,4,2,2,8,1,10,2.73092583267,1,1
14972,6,4,80,201,40,93,8,31,28,28,17,14,8,5,12,10,4,9,5,0,1,5,3,5,9,1,11,2.38117207075,2,2
14973,6,1,46,106,24,46,7,13,9,14,6,8,13,0,6,11,1,7,2,3,1,5,2,7,10,0,6,1.80170973557,0,0
14974,6,3,57,115,29,52,7,20,12,21,6,9,9,1,7,5,2,4,2,0,2,4,2,3,4,0,6,1.36653832694,0,1
14975,6,3,67,130,35,56,5,25,15,19,6,16,7,3,2,10,2,6,5,4,0,4,16,2,6,1,12,1.59713768326,3,2
14976,6,3,70,153,37,60,7,17,18,17,15,12,13,3,8,14,1,8,2,3,0,8,5,3,14,3,8,1.72324262146,1,0
14977,6,3,66,149,37,60,7,22,17,23,12,12,10,5,2,12,2,7,4,2,1,6,4,3,7,0,14,1.92461958266,2,0
14978,6,4,89,231,51,91,12,34,26,30,17,18,17,5,11,19,3,10,5,5,0,8,15,6,15,0,31,9.90929407698,1,2
14979,6,1,25,57,15,21,4,9,5,11,2,3,5,0,1,3,1,4,0,0,1,3,6,3,2,0,5,0.839964064382,0,0
14980,6,3,55,131,28,50,6,20,19,19,7,7,12,2,2,13,2,5,4,1,3,2,7,2,9,0,12,2.02242743429,1,0
14981,6,3,54,144,31,53,8,29,19,27,9,11,9,3,4,7,2,5,2,1,3,2,5,3,5,0,10,2.31671716763,1,1
14982,6,4,73,150,41,61,7,19,26,17,16,16,11,4,5,18,2,3,5,6,0,1,9,1,9,0,23,2.79859980181,3,1
14983,6,2,35,87,19,46,4,13,9,12,8,10,5,2,8,7,1,2,4,6,1,3,3,3,5,0,1,1.27035213888,2,1
14984,6,3,48,121,29,51,6,16,15,19,12,9,10,3,3,14,1,4,0,1,4,6,5,5,6,0,3,1.43752322949,0,4
14985,6,0,67,176,34,68,8,27,21,26,9,10,9,5,11,11,1,11,4,2,3,1,6,7,8,1,6,2.17999252297,2,7
14986,6,3,66,141,33,60,6,26,14,22,14,15,8,4,4,9,0,10,1,5,0,3,0,4,11,1,3,2.18801253222,2,0
14987,6,4,90,199,52,86,10,36,32,36,7,21,11,5,6,17,3,11,3,2,0,7,2,1,12,0,15,2.38187651617,2,0
14988,6,3,83,199,46,72,10,34,27,33,11,16,13,5,7,13,1,12,2,0,5,4,7,5,8,0,16,2.7556758763,0,2
14989,6,3,59,129,32,48,5,17,12,20,7,12,11,3,8,11,2,8,2,1,1,3,3,4,8,1,8,1.87182887004,1,0
14990,6,4,91,198,45,84,11,32,21,24,15,18,15,6,11,11,3,11,8,3,2,4,9,5,10,0,18,2.45342095388,0,0
14991,6,3,71,177,31,69,7,26,18,27,11,9,9,4,9,11,5,11,6,2,0,3,2,5,15,0,5,2.58941982094,4,1
14992,6,3,45,95,19,39,5,12,9,17,7,9,6,2,9,12,0,4,2,1,1,3,2,1,4,0,0,0.745466446259,1,0
14993,6,2,52,107,29,44,2,15,12,19,2,10,3,2,2,10,1,10,3,2,1,2,2,1,6,0,8,0.844274367979,1,0
14994,6,3,120,267,67,109,16,49,25,43,17,25,18,4,22,21,7,5,4,6,2,7,4,8,21,2,14,3.29670071224,2,2
14995,6,4,93,253,48,111,10,39,28,40,13,16,12,10,17,14,4,13,9,3,1,7,5,4,14,1,20,4.46210092359,2,1
14996,6,2,52,123,24,52,7,18,12,15,6,11,13,1,5,7,2,9,2,2,0,4,1,8,11,0,5,1.69983758245,0,1
14997,6,1,27,77,11,29,3,9,7,8,3,3,4,2,2,6,3,6,4,0,0,3,4,4,6,0,4,1.31235336365,1,0
14998,6,3,82,164,51,71,8,32,20,27,10,22,14,2,8,12,1,10,6,3,1,3,4,0,8,0,9,2.35917259199,1,1
14999,6,4,85,184,50,69,7,28,25,29,16,25,10,5,8,18,3,8,3,3,0,3,3,2,11,0,17,2.73606121594,3,1
15000,6,4,127,264,60,105,9,45,39,41,21,23,12,7,9,15,4,9,9,4,2,9,7,4,10,1,21,4.66956017707,5,3
15001,6,3,74,175,48,61,8,30,26,29,14,24,10,4,4,12,4,9,10,4,0,4,3,2,9,1,11,2.26988095937,1,0
15002,6,3,49,129,22,48,6,22,15,22,4,10,8,3,10,7,3,7,4,1,1,2,3,5,7,0,3,1.31665763898,2,0
15003,6,1,45,119,25,47,5,15,16,18,8,5,6,5,3,10,2,5,1,0,1,1,4,4,6,2,11,2.16876599666,3,1
15004,6,4,116,268,58,126,11,42,28,39,17,25,12,7,13,16,5,12,2,2,1,8,16,14,13,0,16,3.89425791525,6,6
15005,6,3,54,119,28,52,6,22,16,18,7,9,9,2,6,8,0,6,2,0,1,5,3,1,8,1,4,1.67108121461,0,1
15006,6,3,70,175,30,73,7,29,19,21,11,6,9,4,11,6,3,8,5,1,4,8,7,11,10,1,8,3.01072537947,2,3
15007,6,3,80,176,39,65,7,27,18,25,10,15,11,5,4,11,6,10,5,1,1,3,6,4,7,0,11,3.05905916288,2,1
15008,6,3,89,193,41,85,7,27,26,29,17,15,8,5,8,14,6,4,3,1,3,4,5,7,12,0,20,2.52268813434,4,0
15009,6,4,102,237,61,104,12,38,34,35,13,20,14,6,12,15,4,7,3,3,4,6,9,4,14,1,22,3.09852582197,2,2
15010,6,1,18,30,12,15,1,1,3,3,2,6,2,1,2,6,0,2,0,0,0,2,0,0,2,0,3,0.14541799333,1,0
15011,6,3,94,215,46,82,12,38,22,28,20,18,16,4,13,11,3,8,3,1,5,6,16,4,9,0,15,3.71666707864,2,2
15012,6,3,62,138,31,60,6,17,17,23,9,15,10,3,5,14,2,9,3,2,2,3,3,1,8,0,12,1.97539233764,1,0
15013,6,2,19,54,10,21,3,10,7,11,2,4,4,0,2,6,1,2,1,1,0,0,2,2,4,0,0,0.658779732887,0,0
15014,6,2,45,112,27,46,5,20,14,19,4,12,8,3,4,6,5,1,4,4,0,2,5,1,6,0,17,1.33751657095,1,0
15015,6,3,53,124,29,54,6,26,15,19,7,12,8,4,6,7,4,5,4,3,1,3,0,1,3,0,9,1.16855249861,0,0
15016,6,2,18,45,7,16,1,4,6,12,3,4,2,1,2,8,1,2,0,1,0,0,1,0,3,0,2,0.474809104618,1,0
15017,6,0,2,6,2,2,0,1,0,1,2,0,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0.112407868193,0,0
15018,6,2,34,90,20,34,4,15,12,15,10,10,6,2,3,3,4,2,2,1,3,0,1,3,2,0,2,1.28570030592,1,0
15019,6,3,118,248,67,100,9,31,38,36,19,22,12,6,9,19,3,8,9,4,1,6,15,5,13,0,34,3.66975717012,4,1
15020,6,2,42,93,19,43,5,14,9,9,10,9,8,1,2,6,1,3,2,0,2,2,8,1,6,2,10,2.93432209459,0,0
15021,6,3,70,176,44,68,9,24,27,30,14,20,11,4,6,20,3,9,5,4,0,4,6,3,11,0,12,2.82523636104,2,0
15022,6,3,84,187,39,84,8,25,25,24,14,17,10,5,15,17,5,5,8,3,2,3,13,5,12,0,9,3.52398950096,2,4
15023,6,3,66,126,35,51,6,21,14,18,17,14,8,5,7,9,3,4,2,1,1,4,5,1,8,0,9,1.17148202071,0,0
15024,6,3,49,123,28,54,6,22,12,17,8,9,8,2,7,8,4,6,2,0,0,4,3,5,11,1,3,1.69263817541,1,0
15025,6,1,28,78,14,34,2,16,6,12,3,7,6,2,2,4,2,5,2,2,2,2,2,3,0,0,2,1.08272542717,1,0
15026,6,3,78,188,33,74,8,23,18,29,17,16,11,5,12,11,5,8,5,2,2,5,5,10,12,0,4,3.76032004745,2,0
15027,6,3,64,141,34,61,6,27,18,23,9,16,7,4,8,10,3,6,6,5,1,3,2,0,10,1,7,2.14274029837,2,0
15028,6,2,34,89,18,40,4,9,12,10,5,7,6,2,5,5,3,3,1,1,1,1,2,7,11,0,7,1.72818392874,1,0
15029,6,4,86,195,44,81,9,37,17,31,15,23,11,6,6,12,1,16,4,3,0,3,2,5,12,0,6,1.92385299762,1,0
15030,6,4,71,174,36,78,10,18,22,22,14,15,12,2,11,13,3,6,8,2,1,5,9,9,13,0,3,2.14676017179,1,0
15031,6,3,94,222,48,94,8,36,26,35,6,19,9,7,5,14,2,22,9,4,0,5,4,3,17,1,13,3.00741797362,3,0
15032,6,4,84,168,37,72,6,31,21,28,10,11,11,4,11,11,1,7,4,1,2,6,5,3,10,0,13,2.88581710868,1,0
15033,6,4,87,186,48,80,7,36,23,30,17,16,10,6,5,18,0,8,3,2,3,6,2,1,8,0,6,2.0135456023,3,0
15034,6,4,106,254,54,100,12,35,34,30,21,23,14,7,18,17,6,12,2,3,4,7,5,9,13,1,22,4.04359227029,2,1
