id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18,pos_4,pos_2,pos_15,char_8,sentence_count,word_18,pos_24,pos_19,pos_1,pos_6,pos_29,char_10,pos_31,pos_28,misspell_words,pos_22,pos_27,pos_23,pos_20,beauty_score,word_25,pos_30,pos_5
11827,5,2,48,132,24,57,6,17,14,12,4,6,9,4,3,7,7,3,5,2,0,6,13,11,13,9,13,4.38720062504,2,0,2
11828,5,2,65,167,29,65,7,15,18,10,12,10,8,5,11,14,6,8,1,0,6,3,6,13,8,11,8,2.93197178002,3,1,2
11829,5,3,47,109,26,43,5,22,14,18,5,7,7,3,4,7,4,4,2,1,5,1,9,2,6,2,10,1.46296429624,1,1,0
11830,5,1,35,71,9,30,2,9,7,8,4,1,4,1,2,5,7,2,2,0,3,2,12,1,2,3,3,1.01878949287,1,2,2
11831,5,3,45,127,24,46,7,16,16,8,11,7,9,3,7,8,8,5,1,1,7,1,7,9,10,9,5,2.7850607431,0,0,0
11832,5,3,55,150,28,55,6,24,17,20,17,8,7,5,7,10,10,2,0,1,9,2,2,7,4,7,0,2.87564159387,3,1,2
11833,5,3,66,170,36,72,9,29,24,22,5,15,12,5,7,13,9,1,1,5,3,1,13,7,6,5,16,2.1901500864,1,2,4
11834,5,4,92,212,37,98,9,44,27,27,11,15,14,5,14,15,13,2,5,4,3,2,5,8,14,11,1,3.0864153827,4,1,2
11835,5,3,66,158,32,49,8,27,21,13,17,17,11,2,8,9,6,6,3,5,7,4,15,2,5,11,17,4.0608936485,1,1,1
11836,5,3,48,146,19,56,6,26,14,17,4,8,11,5,8,3,7,5,3,0,6,3,6,12,9,4,4,2.60081102922,1,7,2
11837,5,1,11,38,3,8,1,5,3,7,5,0,2,1,1,1,2,0,0,0,4,1,6,2,0,1,11,0.954227030823,1,1,0
11838,5,1,74,199,23,96,8,26,27,24,13,6,12,3,8,14,8,1,2,2,10,4,2,26,0,5,0,3.32770286447,2,10,6
