id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18,pos_4,pos_2,pos_15,char_8,sentence_count,word_18,pos_24,pos_19,pos_1,pos_6,pos_29,char_10,pos_31,pos_28,misspell_words,pos_22,pos_27,pos_23,pos_20,beauty_score,word_25,pos_30,pos_5,char_12
8863,4,0,20,57,10,21,3,9,8,7,3,3,4,1,3,2,0,2,1,1,2,0,3,7,2,0,0,0.803355331221,0,2,2,0
8864,4,0,14,39,6,10,2,6,8,5,1,1,2,1,1,1,2,0,1,0,7,1,9,3,0,0,1,0.501249903766,0,0,0,0
8865,4,3,61,136,32,43,5,37,19,22,8,12,6,4,4,2,8,4,2,3,8,2,5,3,3,5,5,1.69966070868,2,0,1,1
8866,4,2,28,65,14,26,3,13,8,9,4,8,7,0,3,2,2,3,0,0,7,5,2,1,1,0,0,1.10629650669,0,0,1,0
8867,4,2,50,128,20,55,6,17,17,16,11,6,10,3,8,4,2,5,0,3,3,3,9,4,7,8,7,1.57383096844,0,0,7,1
8868,4,1,29,71,9,29,4,19,7,18,1,5,6,1,2,1,3,2,1,0,4,0,3,0,4,0,0,0.456113284195,1,1,1,0
8869,4,0,36,92,11,39,3,19,12,15,3,3,4,3,6,1,3,2,3,0,5,5,4,5,3,0,3,1.28247629014,2,1,1,0
8870,4,2,35,82,15,30,4,14,8,13,5,7,5,3,3,1,4,4,4,1,5,3,0,7,0,3,0,1.45729560254,0,1,4,0
8871,4,1,11,32,3,13,2,4,4,4,0,1,3,1,1,0,2,1,0,0,2,0,0,7,1,0,0,0.263036707654,0,0,2,0
8872,4,2,33,115,16,37,7,16,15,12,6,1,9,1,4,1,5,4,4,0,9,3,4,13,8,3,7,2.04201798946,0,0,0,0
8873,4,2,55,179,24,62,7,26,12,21,8,7,9,5,8,3,11,9,1,1,8,6,4,20,17,9,1,3.39544581163,2,1,1,1
8874,4,0,14,42,2,20,1,7,3,5,1,2,2,1,6,1,2,0,0,0,0,0,0,6,2,0,0,0.734114168799,1,5,1,0
8875,4,1,13,31,5,14,2,8,3,9,0,4,2,1,0,0,0,0,0,0,4,1,1,1,0,0,0,0.170913600882,0,0,1,0
8876,4,2,75,175,31,67,7,31,25,20,10,13,8,6,7,7,3,7,5,6,15,5,13,7,4,8,8,1.89097418655,2,1,2,4
8877,4,0,26,71,14,27,2,11,10,12,5,6,4,2,0,10,5,0,0,2,6,0,3,2,1,2,1,0.999081084136,2,1,0,0
8878,4,1,14,48,4,16,2,7,9,5,2,2,3,2,0,1,2,1,0,0,6,0,0,7,0,2,0,0.80170961522,1,0,2,0
8879,4,2,31,87,16,35,6,18,9,12,0,3,7,1,2,0,2,2,2,0,6,1,4,11,6,2,2,1.17611092334,0,3,2,0
8880,4,1,14,34,7,10,2,7,3,4,1,2,3,1,3,0,2,1,0,0,2,1,4,1,3,0,1,0.22251824448,0,0,0,0
8881,4,3,72,164,32,53,7,36,11,27,11,7,10,6,7,2,8,11,2,1,15,3,17,6,4,5,7,2.14316724279,1,0,1,0
8882,4,1,15,50,8,20,3,9,6,8,1,2,3,1,2,1,2,1,1,0,3,3,0,4,0,1,0,1.0521490808,0,3,2,0
8883,4,1,28,81,8,35,2,16,12,12,4,3,3,1,2,1,1,2,1,0,3,1,3,6,5,2,3,1.0238777157,1,1,1,0
8884,4,1,18,40,5,14,1,6,5,3,1,0,3,1,1,1,1,2,0,0,0,1,4,4,1,1,5,0.358226223209,1,5,0,0
8885,4,3,54,136,25,50,5,29,13,17,10,10,6,4,9,2,2,9,2,2,8,2,11,5,3,4,7,2.01723825253,3,1,1,0
8886,4,1,13,46,8,18,2,6,5,6,1,5,3,2,2,0,1,3,2,1,1,0,2,5,2,0,1,1.15031740324,1,2,1,0
8887,4,2,27,88,10,28,4,15,11,18,3,2,5,2,2,4,2,6,1,0,5,1,6,3,1,1,3,0.747864552681,1,4,1,0
8888,4,2,69,176,34,70,9,38,12,30,13,21,14,3,10,4,4,5,2,5,8,1,16,9,4,1,5,1.8966202689,1,6,8,2
8889,4,1,32,115,9,47,5,15,12,15,2,2,6,4,10,3,5,3,3,0,5,3,3,15,2,2,0,1.79729925841,2,5,5,0
8890,4,2,43,105,25,38,5,13,10,9,3,7,7,2,5,3,3,9,1,0,9,8,7,3,0,5,4,1.53870948619,0,2,3,0
8891,4,3,54,133,23,50,6,30,17,24,7,7,7,3,4,1,6,4,0,4,12,15,10,1,0,1,1,3.45067782118,1,1,0,0
8892,4,1,35,79,13,44,3,10,6,10,4,5,6,2,4,2,1,0,0,2,7,3,4,10,5,0,3,0.365108589169,1,0,1,0
8893,4,2,12,54,8,23,1,10,6,5,5,3,6,1,1,1,1,3,1,0,1,1,0,6,4,4,0,0.50664366879,0,0,2,0
8894,4,1,14,55,8,23,2,14,5,8,1,5,8,0,1,0,1,0,0,0,1,2,5,5,3,3,2,0.722526128485,0,0,3,0
8895,4,3,62,175,28,65,9,42,19,24,7,13,10,4,7,2,7,9,1,2,9,11,6,8,4,6,3,2.34098784785,2,0,2,0
8896,4,2,44,89,26,30,4,19,15,11,4,8,7,1,3,2,4,2,0,0,10,0,6,5,1,3,4,0.777394354806,1,0,1,0
8897,4,1,42,92,12,46,3,19,11,10,7,3,4,2,4,6,2,5,0,0,4,1,6,3,4,3,0,0.645131853844,2,2,1,0
8898,4,2,35,140,7,58,5,19,8,15,5,2,7,5,9,3,9,5,2,0,6,4,2,19,5,0,0,2.18065025366,3,1,5,0
8899,4,0,15,34,8,11,2,5,3,7,5,1,3,0,4,0,2,1,0,0,1,2,3,0,1,0,0,0.327647207202,0,0,0,0
8900,4,2,38,149,18,64,7,28,15,16,5,4,9,3,10,0,4,1,1,2,6,6,5,22,1,2,1,4.74148807641,1,10,5,0
8901,4,0,14,36,3,18,2,6,3,4,2,1,4,1,3,2,1,2,0,0,2,2,1,3,2,0,1,0.222586232244,0,1,0,0
8902,4,3,59,155,26,55,6,26,25,19,6,9,7,5,12,3,1,5,2,2,17,5,7,12,3,1,2,4.26659601671,3,1,2,1
8903,4,3,57,177,22,69,8,30,24,17,11,5,9,6,18,2,11,3,3,2,14,7,3,15,3,7,1,2.63818417459,2,0,5,0
8904,4,2,50,109,21,41,4,18,11,11,8,10,5,4,4,3,4,3,3,3,13,0,14,7,2,4,15,1.63558735334,3,1,1,1
8905,4,2,50,139,26,54,7,20,18,15,2,10,11,3,10,3,4,8,1,1,9,7,11,9,1,5,0,2.58870558138,0,1,6,0
8906,4,2,43,111,19,40,6,17,12,16,8,6,10,1,4,4,3,4,4,2,6,2,3,10,8,2,2,2.72922094918,1,2,0,1
8907,4,0,16,40,6,14,1,7,5,7,1,3,2,1,1,3,4,1,0,0,1,0,0,4,4,1,0,0.346803632432,1,0,0,0
8908,4,1,35,101,22,38,6,22,9,15,3,7,9,1,3,2,2,4,0,0,6,0,5,8,1,6,1,0.822410164808,0,6,1,0
8909,4,2,38,117,13,50,4,19,22,16,6,4,8,2,1,1,2,3,3,0,12,1,2,17,4,0,1,1.86599053151,1,2,1,0
8910,4,1,23,68,10,29,2,12,7,8,2,3,5,2,4,0,1,2,1,0,8,4,1,8,1,2,0,0.889990758184,1,0,1,0
8911,4,3,76,180,31,73,8,26,24,23,15,13,9,6,9,4,7,7,4,0,14,8,6,12,3,5,6,2.53377241243,3,0,0,0
8912,4,1,24,66,6,30,4,14,7,9,3,1,6,0,2,2,0,3,1,0,5,1,3,6,1,0,0,0.707654055124,0,1,3,0
8913,4,1,24,74,8,28,2,15,12,12,4,4,3,2,2,1,0,2,1,0,3,1,4,6,4,0,5,0.823976801686,2,2,1,0
8914,4,2,71,191,32,61,9,37,23,19,14,11,17,1,5,8,6,7,4,2,14,0,19,18,6,7,7,2.5399982496,1,1,4,2
8915,4,2,26,68,9,27,4,11,10,6,2,2,6,1,4,1,1,3,2,0,3,2,7,6,3,1,1,1.41696694192,0,2,1,0
8916,4,0,36,107,15,35,6,16,18,21,7,3,8,1,5,0,1,1,2,0,5,0,6,13,9,0,4,1.63194134623,0,0,0,0
8917,4,0,26,66,12,25,2,9,6,7,3,4,3,1,1,1,3,6,0,0,7,2,3,3,0,1,2,0.538665946929,1,0,2,0
8918,4,1,43,125,9,59,6,22,20,20,4,6,7,4,4,2,4,6,0,0,12,2,7,8,2,0,6,1.09898672613,0,0,2,0
8919,4,3,39,90,20,34,4,23,13,12,8,11,8,1,2,2,3,4,1,3,5,3,6,3,0,3,4,1.04453931863,0,2,0,2
8920,4,0,13,43,6,20,2,5,2,4,0,2,3,2,2,1,2,4,1,0,0,0,1,6,5,0,1,0.785085945512,0,2,0,0
8921,4,2,50,159,28,65,5,23,17,13,9,13,6,4,12,6,4,5,0,1,11,9,8,21,5,0,1,2.46820867986,3,6,2,0
8922,4,2,40,141,20,47,5,19,20,12,4,10,7,4,14,4,6,7,1,1,12,3,7,10,1,6,2,2.06838914603,2,1,2,0
8923,4,3,69,173,41,58,8,29,18,14,11,10,8,5,11,8,6,8,2,0,12,6,15,9,2,7,15,2.24475697868,3,2,4,0
8924,4,2,30,88,10,34,4,17,11,9,4,2,7,2,3,0,1,5,1,1,3,2,5,9,8,4,4,0.875758094744,1,0,1,0
8925,4,1,26,81,9,33,4,19,10,13,2,2,5,2,4,2,3,0,0,0,5,1,3,5,2,1,1,0.901999131561,0,4,2,0
8926,4,1,18,50,4,18,2,7,3,5,6,0,2,1,4,0,3,1,1,0,3,1,5,6,2,0,4,0.721091496666,1,1,1,0
8927,4,0,20,57,5,21,3,8,9,12,3,4,4,2,0,0,0,3,0,0,1,0,2,5,4,0,1,0.831252997096,0,3,2,0
8928,4,1,30,91,13,35,5,15,10,10,5,7,8,1,3,1,2,2,1,1,7,4,4,12,4,0,2,2.0292254064,0,2,2,0
8929,4,1,25,67,9,27,3,11,6,10,3,1,4,1,4,2,2,1,0,0,4,3,0,9,1,0,0,0.986525067809,1,1,3,0
8930,4,0,33,84,14,29,3,16,14,7,1,4,4,2,4,1,2,0,0,0,11,4,7,10,0,2,2,0.988339393029,1,0,3,0
8931,4,3,18,55,11,21,3,7,9,5,2,5,5,1,1,1,2,1,0,0,2,0,3,10,4,1,1,0.622820997607,0,2,2,0
8932,4,1,6,19,2,7,1,3,3,3,0,2,2,1,1,1,0,1,1,0,2,0,0,2,0,0,0,0.27188554077,0,0,0,0
8933,4,2,44,126,24,58,2,25,13,11,8,8,3,2,10,5,7,3,0,3,5,3,7,7,1,4,2,2.25535987749,2,5,5,1
8934,4,1,10,55,5,19,3,7,9,3,2,0,4,1,8,1,2,1,0,0,3,2,2,7,1,2,0,0.757853149108,0,1,2,0
8935,4,2,70,186,27,80,5,27,26,14,10,7,7,5,8,2,4,9,1,1,14,8,15,15,5,6,15,2.38149048446,3,0,4,1
8936,4,1,14,49,3,17,3,7,5,6,1,1,4,1,4,1,3,4,1,0,3,2,2,4,1,0,0,0.652101227164,0,1,1,0
8937,4,1,35,104,11,54,4,26,12,9,4,5,8,2,5,4,4,3,2,0,4,3,6,3,2,5,2,1.29001006289,1,1,4,0
8938,4,1,18,53,7,22,1,7,8,6,1,3,2,1,2,2,1,2,0,0,4,5,0,2,0,3,0,1.15388399787,1,1,0,0
8939,4,3,59,132,25,51,6,29,12,20,3,12,11,3,4,2,5,3,2,3,6,7,10,6,3,4,7,1.74657105226,0,0,6,0
