id,set,human_score,char_4,word_count,char_6
14834,6,2,48,122,25
14835,6,3,81,180,38
14836,6,4,70,166,34
14837,6,1,89,193,35
14838,6,3,74,162,37
14839,6,4,88,168,45
14840,6,3,67,148,34
14841,6,3,62,128,36
14842,6,3,51,114,24
14843,6,3,54,130,27
14844,6,3,100,233,60
14845,6,4,137,312,74
14846,6,4,88,213,44
14847,6,3,88,195,46
14848,6,2,55,135,29
14849,6,3,72,152,39
14850,6,1,54,141,34
14851,6,3,52,126,26
14852,6,3,36,87,17
14853,6,2,42,88,22
14854,6,3,53,114,33
14855,6,4,103,244,51
14856,6,2,65,177,28
14857,6,4,108,233,57
14858,6,3,49,116,23
14859,6,2,59,167,33
14860,6,3,97,210,52
14861,6,3,83,198,42
14862,6,3,64,159,29
14863,6,3,46,109,28
14864,6,4,70,169,44
14865,6,3,80,175,37
14866,6,2,25,63,13
14867,6,2,40,102,22
14868,6,3,86,204,53
14869,6,2,68,146,24
14870,6,2,59,130,26
14871,6,3,65,134,38
14872,6,3,65,144,40
14873,6,2,47,112,25
14874,6,1,26,112,12
14875,6,3,47,101,16
14876,6,3,98,197,46
14877,6,2,29,100,15
14878,6,2,57,135,33
14879,6,3,55,129,33
14880,6,3,69,158,29
14881,6,4,82,194,54
14882,6,4,103,224,59
14883,6,3,109,220,55
14884,6,3,56,149,32
14885,6,2,71,185,25
14886,6,3,78,164,40
14887,6,3,82,179,44
14888,6,2,61,174,34
14889,6,3,71,169,43
14890,6,3,62,166,29
14891,6,1,42,130,25
14892,6,3,100,200,52
14893,6,2,34,84,20
14894,6,4,74,186,37
14895,6,2,67,161,29
14896,6,4,119,260,60
14897,6,3,80,177,50
14898,6,4,87,191,45
14899,6,1,43,104,19
14900,6,3,63,136,35
14901,6,1,15,32,11
14902,6,4,92,212,46
14903,6,3,79,163,51
14904,6,3,92,197,48
14905,6,1,29,74,13
14906,6,3,46,112,22
14907,6,3,54,116,27
14908,6,2,67,146,36
14909,6,3,60,142,36
14910,6,3,45,86,22
14911,6,1,26,65,16
14912,6,3,43,104,24
14913,6,3,68,152,42
14914,6,3,77,177,41
14915,6,3,44,111,22
14916,6,3,73,162,42
14917,6,3,68,164,35
14918,6,3,74,168,41
14919,6,2,56,120,21
14920,6,3,84,177,50
14921,6,3,77,177,40
14922,6,3,100,198,54
14923,6,3,72,168,35
14924,6,3,75,156,41
14925,6,3,60,144,31
14926,6,3,111,246,63
14927,6,2,40,80,21
14928,6,2,74,182,36
14929,6,2,36,102,17
14930,6,4,70,154,37
14931,6,2,38,85,15
14932,6,3,76,177,39
14933,6,4,63,170,35
14934,6,4,93,215,53
14935,6,3,54,109,27
14936,6,3,58,117,30
14937,6,1,54,140,30
14938,6,3,72,177,38
14939,6,0,20,55,11
14940,6,3,72,187,36
14941,6,3,95,243,47
14942,6,3,83,208,47
14943,6,3,96,204,54
14944,6,4,80,204,46
14945,6,2,37,75,17
14946,6,3,65,144,33
14947,6,3,103,215,56
14948,6,2,53,137,32
14949,6,1,22,63,12
14950,6,3,85,200,41
14951,6,0,60,134,27
14952,6,2,28,67,13
14953,6,3,71,186,36
14954,6,2,62,116,37
14955,6,3,52,118,31
14956,6,4,155,314,93
14957,6,0,11,38,5
14958,6,2,30,65,17
14959,6,3,78,157,34
14960,6,3,67,170,26
14961,6,3,60,141,31
14962,6,2,74,172,35
14963,6,4,80,177,45
14964,6,2,58,132,28
14965,6,2,41,91,22
14966,6,3,61,155,33
14967,6,4,94,222,51
14968,6,3,65,168,36
14969,6,2,35,85,18
14970,6,3,70,155,40
14971,6,3,73,177,38
14972,6,4,80,201,40
14973,6,1,46,106,24
14974,6,3,57,115,29
14975,6,3,67,130,35
14976,6,3,70,153,37
14977,6,3,66,149,37
14978,6,4,89,231,51
14979,6,1,25,57,15
14980,6,3,55,131,28
14981,6,3,54,144,31
14982,6,4,73,150,41
14983,6,2,35,87,19
14984,6,3,48,121,29
14985,6,0,67,176,34
14986,6,3,66,141,33
14987,6,4,90,199,52
14988,6,3,83,199,46
14989,6,3,59,129,32
14990,6,4,91,198,45
14991,6,3,71,177,31
14992,6,3,45,95,19
14993,6,2,52,107,29
14994,6,3,120,267,67
14995,6,4,93,253,48
14996,6,2,52,123,24
14997,6,1,27,77,11
14998,6,3,82,164,51
14999,6,4,85,184,50
15000,6,4,127,264,60
15001,6,3,74,175,48
15002,6,3,49,129,22
15003,6,1,45,119,25
15004,6,4,116,268,58
15005,6,3,54,119,28
15006,6,3,70,175,30
15007,6,3,80,176,39
15008,6,3,89,193,41
15009,6,4,102,237,61
15010,6,1,18,30,12
15011,6,3,94,215,46
15012,6,3,62,138,31
15013,6,2,19,54,10
15014,6,2,45,112,27
15015,6,3,53,124,29
15016,6,2,18,45,7
15017,6,0,2,6,2
15018,6,2,34,90,20
15019,6,3,118,248,67
15020,6,2,42,93,19
15021,6,3,70,176,44
15022,6,3,84,187,39
15023,6,3,66,126,35
15024,6,3,49,123,28
15025,6,1,28,78,14
15026,6,3,78,188,33
15027,6,3,64,141,34
15028,6,2,34,89,18
15029,6,4,86,195,44
15030,6,4,71,174,36
15031,6,3,94,222,48
15032,6,4,84,168,37
15033,6,4,87,186,48
15034,6,4,106,254,54
15035,6,2,61,151,31
15036,6,3,65,163,38
15037,6,2,51,122,29
15038,6,3,60,134,31
15039,6,2,55,142,32
15040,6,2,62,157,23
15041,6,2,39,98,16
15042,6,4,90,227,53
15043,6,3,70,134,35
15044,6,3,72,160,40
15045,6,3,55,116,29
15046,6,4,99,214,48
15047,6,3,76,186,38
15048,6,2,57,137,31
15049,6,3,80,175,37
15050,6,3,68,187,37
15051,6,3,61,150,32
15052,6,3,86,184,45
15053,6,3,90,212,50
15054,6,2,32,83,14
15055,6,3,60,118,32
15056,6,2,44,107,22
15057,6,1,19,59,9
15058,6,4,83,179,50
15059,6,3,58,144,35
15060,6,3,78,179,45
15061,6,3,51,123,26
15062,6,4,84,195,52
15063,6,4,105,242,54
15064,6,2,56,132,29
15065,6,3,46,119,29
15066,6,3,59,134,33
15067,6,2,35,76,20
15068,6,4,113,243,69
15069,6,4,111,241,60
15070,6,3,56,134,25
15071,6,3,43,128,26
15072,6,3,55,112,26
15073,6,4,97,214,58
15074,6,3,92,223,50
