id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18,pos_4,pos_2,pos_15,char_8,sentence_count,word_18,pos_24,pos_19,pos_1,pos_6,pos_29,char_10,pos_31,pos_28,misspell_words,pos_22,pos_27,pos_23,pos_20,beauty_score,word_25,pos_30,pos_5,char_12,std_char
14834,6,2,48,122,25,46,6,17,18,17,11,12,7,4,6,12,3,2,2,1,2,2,3,4,7,0,6,1.43215102121,1,1,3,0,2.29861559509
14835,6,3,81,180,38,80,9,28,25,28,15,18,10,6,9,15,5,3,3,2,2,4,4,4,10,0,9,1.9016266063,1,1,6,0,2.34842155476
14836,6,4,70,166,34,69,8,31,16,24,10,13,9,3,9,13,2,10,2,2,1,3,1,1,10,0,5,2.5970044576,2,0,5,1,2.36724175273
14837,6,1,89,193,35,70,7,22,28,24,5,12,13,5,3,10,4,5,6,1,2,3,17,4,16,1,38,6.84845358609,2,0,3,0,2.23802223477
14838,6,3,74,162,37,67,7,23,20,23,18,14,11,3,5,12,0,8,5,0,0,5,1,4,10,0,10,2.60463735574,0,0,4,0,2.38869227367
14839,6,4,88,168,45,65,9,39,22,28,15,20,11,4,8,8,3,5,5,5,2,4,4,3,10,0,8,2.74590414805,0,0,2,2,2.64746840679
14840,6,3,67,148,34,65,6,29,20,25,7,16,7,5,4,7,5,5,4,3,3,5,5,5,5,1,10,1.33638286326,2,1,3,1,2.53211583269
14841,6,3,62,128,36,58,5,21,16,17,9,16,6,4,9,10,4,4,2,4,0,4,10,1,9,1,14,1.76685759915,1,0,2,3,2.69257098036
14842,6,3,51,114,24,56,5,18,13,16,5,10,10,2,2,8,1,1,4,0,1,3,5,5,12,0,6,2.41287507287,0,2,4,0,2.18932002823
14843,6,3,54,130,27,59,4,20,11,19,13,10,12,0,10,10,2,7,1,0,1,1,1,2,7,1,5,1.65508106422,0,2,4,0,2.2495079963
14844,6,3,100,233,60,95,13,36,16,29,19,29,16,3,21,7,9,12,10,9,2,5,7,7,22,0,17,2.76048852839,1,0,5,0,2.59781986442
14845,6,4,137,312,74,135,13,39,37,40,28,35,19,8,22,24,4,13,7,7,4,5,15,9,11,1,28,7.98147804181,2,6,8,4,2.5556849732
14846,6,4,88,213,44,76,9,32,22,33,14,19,10,5,10,12,7,16,4,6,1,7,3,4,12,0,13,2.34215146242,3,0,5,2,2.49043702036
14847,6,3,88,195,46,81,9,38,23,27,7,14,14,3,7,14,3,8,3,2,1,6,10,3,13,3,18,2.80930182192,1,0,4,2,2.40480398575
14848,6,2,55,135,29,51,4,25,20,22,5,14,7,4,3,9,7,7,0,1,0,5,2,2,6,0,11,2.26396927033,3,0,3,0,2.48226434191
14849,6,3,72,152,39,66,7,26,14,25,10,11,8,4,7,12,5,4,3,2,2,4,9,2,5,1,14,1.6098009612,2,2,6,0,2.28745308526
14850,6,1,54,141,34,42,7,23,13,21,8,13,9,3,4,13,5,8,4,2,1,2,4,2,9,0,10,3.75652254389,2,0,3,0,2.49564971044
14851,6,3,52,126,26,56,7,18,13,22,15,10,8,2,13,8,2,3,0,2,0,5,3,2,6,0,3,1.74083058916,1,0,5,0,2.29147488375
14852,6,3,36,87,17,42,3,18,14,13,11,6,4,3,4,5,1,2,1,1,3,2,3,3,3,0,0,0.82628935829,2,0,2,0,2.24036742318
14853,6,2,42,88,22,36,4,16,8,13,3,14,5,3,2,6,2,9,4,4,0,1,0,0,3,0,6,0.73112593579,1,1,2,1,2.81822605891
14854,6,3,53,114,33,46,5,14,12,18,7,14,10,1,2,11,1,7,3,3,0,2,1,2,7,0,12,1.15288981857,0,0,3,1,2.69146500134
