id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18,pos_4,pos_2,pos_15,char_8,sentence_count,word_18,pos_24,pos_19,pos_1,pos_6,pos_29,char_10,pos_31,pos_28,misspell_words,pos_22,pos_27,pos_23,pos_20,beauty_score,word_25,pos_30,pos_5,char_12,std_char,mean_char,avg_word_length,pos_32,pos_35,maturity_score,pos_11,pos_33,pos_9
17834,7,15,30,90,22,30,2,13,11,5,3,1,12,0,4,8,2,1,1,0,2,4,5,9,3,3,0,2.51187866989,0,12,2,0,2.20610887187,4.37777777778,43.7777777778,0,2,4.62466666667,1,1,0
17836,7,13,29,94,16,35,3,17,10,6,3,0,4,3,7,4,5,3,0,0,0,4,10,7,7,2,3,3.78978747167,2,5,0,0,2.02647767304,3.85106382979,38.5106382979,0,4,4.92714285714,4,0,0
17837,7,15,53,154,19,48,3,30,11,14,10,5,4,3,6,6,10,2,2,2,2,3,16,18,16,2,5,5.44767366863,3,10,3,0,2.18871370952,3.98051948052,39.8051948052,0,2,4.94520833333,3,0,0
17838,7,17,72,217,33,82,7,39,30,20,6,5,16,5,12,7,6,5,2,2,4,10,13,25,21,6,4,5.42577417831,4,7,1,1,2.02492364141,4.07834101382,40.7834101382,0,2,5.15585365854,0,0,0
17839,7,13,53,151,34,60,7,15,16,8,9,5,13,2,23,8,2,9,1,1,0,4,6,16,6,4,2,2.40767945572,0,13,1,1,2.106921213,4.27152317881,42.7152317881,0,4,5.33933333333,0,1,0
17840,7,23,144,336,52,139,12,65,25,22,26,16,35,2,27,4,19,0,9,8,3,5,53,23,43,17,59,4.18059147722,0,12,3,1,2.01349171798,4.5744047619,45.744047619,0,1,5.01230215827,2,1,0
17841,7,16,51,170,15,55,7,23,10,11,11,2,12,3,18,1,8,8,3,0,10,4,10,22,0,3,9,4.42405254865,2,8,3,0,1.86098866269,3.70588235294,37.0588235294,0,5,5.25945454545,0,2,0
17842,7,18,43,126,21,43,4,15,11,13,3,8,8,4,6,6,3,1,1,3,6,2,16,17,12,3,17,3.35509476772,2,2,1,3,2.5429516658,4.23015873016,42.3015873016,2,3,5.14465116279,4,0,0
17843,7,12,101,359,54,119,19,61,26,24,22,6,23,7,21,7,17,13,1,0,2,6,13,51,21,10,5,11.5782041479,2,17,16,0,2.10410493801,3.80222841226,38.0222841226,0,4,5.16915966387,3,1,0
17844,7,10,29,88,14,24,3,11,10,6,13,2,9,0,4,4,3,3,0,0,6,3,4,10,0,0,1,2.70084722087,0,7,2,0,2.15949097102,3.80681818182,38.0681818182,0,1,5.38041666667,0,0,0
