id,set,human_score,char_4,word_count,char_6,vocabulory_score
17834,7,15,30,90,22,30
17836,7,13,29,94,16,35
17837,7,15,53,154,19,48
17838,7,17,72,217,33,82
17839,7,13,53,151,34,60
17840,7,23,144,336,52,139
17841,7,16,51,170,15,55
17842,7,18,43,126,21,43
17843,7,12,101,359,54,119
17844,7,10,29,88,14,24
17845,7,16,45,176,24,50
17846,7,19,38,116,18,35
17847,7,17,54,187,22,61
17849,7,14,41,165,12,58
17850,7,12,52,165,25,58
17851,7,16,51,168,16,52
17852,7,17,68,226,31,66
17853,7,16,40,92,22,28
17854,7,21,56,182,20,44
17856,7,14,33,139,18,35
17857,7,18,48,153,27,45
17858,7,24,57,196,22,81
17859,7,17,51,185,23,67
17860,7,16,64,188,35,60
17861,7,16,34,140,18,42
17862,7,9,35,103,17,35
17863,7,6,14,51,8,24
17864,7,10,26,105,7,34
17865,7,17,113,269,23,75
17867,7,16,48,175,18,63
17868,7,15,102,331,49,108
17869,7,11,42,112,19,41
17870,7,19,54,128,21,41
17871,7,24,154,381,79,135
17872,7,18,42,157,21,59
17873,7,16,61,201,23,71
17874,7,20,49,169,16,48
17875,7,12,42,177,12,67
17876,7,19,77,222,35,77
17878,7,10,49,122,25,43
17879,7,7,12,44,3,8
17880,7,16,36,110,22,44
17881,7,12,51,185,22,69
17882,7,12,17,73,6,25
17883,7,20,73,216,19,59
17884,7,24,91,222,23,80
17885,7,9,30,132,18,42
17886,7,9,14,66,7,17
17887,7,20,76,250,32,74
17888,7,16,56,195,22,66
17889,7,8,20,130,9,35
17890,7,15,39,125,21,45
17891,7,20,20,64,5,16
17892,7,17,50,166,20,58
17893,7,18,24,91,8,21
17894,7,13,14,44,8,18
17896,7,12,108,306,30,97
17897,7,20,51,174,20,62
17898,7,16,67,194,25,71
17899,7,24,227,592,111,204
17900,7,16,43,157,16,56
17901,7,10,14,90,3,27
17902,7,17,55,237,22,79
17903,7,12,13,83,2,22
17904,7,17,39,112,14,36
17905,7,8,9,77,5,12
17906,7,22,68,164,18,41
17908,7,24,61,190,32,62
