id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18,pos_4,pos_2,pos_15,char_8,sentence_count,word_18,pos_24,pos_19,pos_1,pos_6,pos_29,char_10,pos_31,pos_28,misspell_words,pos_22,pos_27,pos_23,pos_20,beauty_score,word_25,pos_30,pos_5,char_12,std_char,mean_char,avg_word_length,pos_32,pos_35,maturity_score,pos_11,pos_33,pos_9,pos_16,pos_13,pos_25,pos_3,pos_26,pos_8,bag_of_words_score,mean_word
2,1,9,138,419,82,156,13,56,58,35,19,29,19,7,17,41,18,8,5,9,6,20,31,34,8,8,17,14.9649708187,7,17,16,1,2.34149338432,4.35322195704,43.5322195704,1,9,5.45692307692,4,0,0,1,2,0,0,1,0,13.6558932333,22.0526315789
3,1,7,102,279,53,97,10,39,32,27,15,19,15,5,12,35,16,8,0,4,6,9,11,14,1,2,12,5.38391442743,4,24,4,2,2.359149474,4.40501792115,44.0501792115,0,3,5.80164948454,2,5,0,3,3,1,0,2,1,11.0763075068,18.6
4,1,10,238,524,132,195,20,74,64,43,42,56,25,8,26,53,17,15,8,13,12,5,72,16,17,7,71,9.05292028567,6,26,14,9,2.53537651578,4.86832061069,48.6832061069,2,4,5.94194871795,0,3,2,4,1,1,0,1,0,14.6636193697,20.96
5,1,8,171,465,88,170,24,66,44,54,22,37,31,7,34,41,15,21,2,6,16,6,23,24,2,4,8,9.49002594148,3,19,26,3,2.33709109986,4.40860215054,44.0860215054,3,5,5.69117647059,5,1,0,9,2,1,1,0,0,12.6804722881,15.0
6,1,8,68,246,36,83,11,38,28,23,12,13,15,6,15,8,9,10,5,2,5,4,20,21,6,6,15,4.39099463926,3,15,5,0,2.10327752325,4.06910569106,40.6910569106,1,6,5.13975903614,0,2,0,0,2,0,0,0,4,4.87710472617,16.4
7,1,10,210,499,90,198,20,94,65,43,27,23,27,13,40,30,16,13,3,7,16,12,18,31,7,23,12,6.77726067719,2,13,18,0,2.15286130354,4.46492985972,44.6492985972,2,3,5.65626262626,3,5,3,2,0,1,2,0,0,16.582156069,18.4814814815
8,1,10,188,482,85,178,24,62,56,39,41,35,36,6,29,34,20,24,6,16,15,10,28,42,7,7,14,7.48403383918,2,38,8,2,2.38937937688,4.47095435685,44.7095435685,0,5,5.41297752809,2,1,0,4,1,3,0,2,0,12.1780558854,13.3888888889
9,1,9,140,442,69,153,19,80,40,57,28,20,29,8,31,23,22,14,3,12,19,7,18,24,1,8,9,7.66883448374,3,17,13,7,2.3056303912,4.27601809955,42.7601809955,3,1,5.37058823529,1,6,1,3,0,1,1,2,2,9.75420945235,15.2413793103
10,1,9,153,502,62,182,21,67,51,54,38,20,25,10,35,33,26,27,7,8,23,8,30,34,7,5,11,8.07260889341,7,34,6,4,2.1088473155,4.11752988048,41.1752988048,6,5,5.5193956044,0,0,0,2,6,0,2,0,0,10.7296303976,20.08
11,1,8,167,324,76,121,14,46,29,28,27,28,21,6,20,29,11,14,8,4,9,10,21,18,3,6,18,4.79177227743,2,22,8,1,2.37690090535,4.9012345679,49.012345679,2,1,5.84743801653,1,3,1,1,1,1,0,0,0,5.85252567141,15.4285714286
12,1,8,140,392,81,143,20,57,44,45,30,30,26,8,32,29,13,5,2,1,15,11,46,20,2,1,19,5.86783065465,1,34,8,0,2.17026678918,4.4693877551,44.693877551,0,8,5.63468531469,0,0,0,3,3,0,3,0,2,15.6067351238,15.0769230769
13,1,7,62,204,20,70,6,30,20,19,17,6,7,5,5,10,12,1,2,0,5,4,25,28,5,1,4,4.60362507877,4,15,7,0,1.84795239121,3.9068627451,39.068627451,0,5,5.40457142857,0,1,0,0,2,0,0,0,0,7.80336756188,29.1428571429
14,1,6,106,307,48,93,14,50,33,20,34,10,26,1,10,30,18,14,5,0,6,3,35,13,1,14,1,6.39878163797,0,20,4,0,2.01225197008,4.18892508143,41.8892508143,2,1,6.02053763441,3,0,0,1,2,0,0,0,0,11.7050513428,11.8076923077
15,1,6,74,176,34,66,8,25,22,10,15,10,14,3,8,27,8,8,0,1,3,2,9,10,0,0,3,3.51274101471,0,12,4,0,2.23220233687,4.51136363636,45.1136363636,0,0,5.46712121212,1,1,0,0,2,0,2,0,0,6.41955245633,12.5714285714
