id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18,pos_4,pos_2,pos_15,char_8,sentence_count,word_18,pos_24,pos_19,pos_1,pos_6,pos_29,char_10,pos_31,pos_28,misspell_words,pos_22,pos_27,pos_23,pos_20,beauty_score,word_25,pos_30,pos_5,char_12,std_char,mean_char,avg_word_length,pos_32,pos_35,maturity_score,pos_11,pos_33,pos_9,pos_16,pos_13,pos_25,pos_3,pos_26,pos_8,bag_of_words_score,mean_word,pos_7,pos_10
11827,5,2,48,132,24,57,6,17,14,12,4,6,9,4,3,7,7,3,5,2,0,6,13,11,13,9,13,4.38720062504,2,0,2,0,2.07219902282,4.43939393939,44.3939393939,0,3,5.51438596491,2,0,2,0,0,0,0,0,0,7.95895163429,14.6666666667,0,0
11828,5,2,65,167,29,65,7,15,18,10,12,10,8,5,11,14,6,8,1,0,6,3,6,13,8,11,8,2.93197178002,3,1,2,0,2.19227612262,4.31137724551,43.1137724551,0,6,6.12692307692,0,0,1,1,0,1,0,0,0,5.96921372572,20.875,0,0
11829,5,3,47,109,26,43,5,22,14,18,5,7,7,3,4,7,4,4,2,1,5,1,9,2,6,2,10,1.46296429624,1,1,0,0,2.29452953418,4.70642201835,47.0642201835,0,0,5.48627906977,0,0,2,2,1,0,0,0,0,0,15.5714285714,0,0
11830,5,1,35,71,9,30,2,9,7,8,4,1,4,1,2,5,7,2,2,0,3,2,12,1,2,3,3,1.01878949287,1,2,2,0,1.73065624148,4.46478873239,44.6478873239,0,2,5.63366666667,0,1,3,0,0,0,0,0,0,0,17.75,0,0
11831,5,3,45,127,24,46,7,16,16,8,11,7,9,3,7,8,8,5,1,1,7,1,7,9,10,9,5,2.7850607431,0,0,0,0,2.21071574201,4.28346456693,42.8346456693,0,0,5.57,0,0,0,0,2,0,0,0,1,0,14.1111111111,0,0
11832,5,3,55,150,28,55,6,24,17,20,17,8,7,5,7,10,10,2,0,1,9,2,2,7,4,7,0,2.87564159387,3,1,2,0,2.14612704599,4.35333333333,43.5333333333,0,1,5.53581818182,0,0,0,0,1,1,0,0,1,0.3035158549,21.4285714286,0,0
11833,5,3,66,170,36,72,9,29,24,22,5,15,12,5,7,13,9,1,1,5,3,1,13,7,6,5,16,2.1901500864,1,2,4,0,2.41891835921,4.68235294118,46.8235294118,1,4,6.01125,3,0,6,0,0,1,0,2,0,0,14.1666666667,0,0
11834,5,4,92,212,37,98,9,44,27,27,11,15,14,5,14,15,13,2,5,4,3,2,5,8,14,11,1,3.0864153827,4,1,2,1,2.25037380026,4.67452830189,46.7452830189,1,1,5.58357142857,0,1,1,1,0,1,0,0,1,4.97434477143,15.1428571429,0,0
11835,5,3,66,158,32,49,8,27,21,13,17,17,11,2,8,9,6,6,3,5,7,4,15,2,5,11,17,4.0608936485,1,1,1,1,2.51440259914,4.57594936709,45.7594936709,2,1,6.28081632653,1,0,0,0,1,0,0,0,0,8.36363944082,14.5454545455,0,0
11836,5,3,48,146,19,56,6,26,14,17,4,8,11,5,8,3,7,5,3,0,6,3,6,12,9,4,4,2.60081102922,1,7,2,0,2.01726136395,4.16438356164,41.6438356164,2,4,5.85196428571,1,1,0,1,1,0,0,0,0,2.98460686286,13.2727272727,0,0
11837,5,1,11,38,3,8,1,5,3,7,5,0,2,1,1,1,2,0,0,0,4,1,6,2,0,1,11,0.954227030823,1,1,0,0,1.61980101688,3.60526315789,36.0526315789,0,0,5.80125,0,0,0,0,0,0,0,0,0,0.202343903266,19.0,0,0
11838,5,1,74,199,23,96,8,26,27,24,13,6,12,3,8,14,8,1,2,2,10,4,2,26,0,5,0,3.32770286447,2,10,6,0,1.90087325218,4.25125628141,42.5125628141,0,1,5.2634375,0,4,0,0,0,0,0,0,2,0,16.5833333333,0,0
11839,5,1,27,79,9,28,4,14,12,10,4,3,5,2,4,2,5,1,0,0,6,0,5,3,2,3,7,1.65393226667,1,2,0,0,1.94270412529,4.08860759494,40.8860759494,0,2,6.11535714286,0,0,0,1,1,0,1,0,0,3.18695076613,15.8,0,0
11840,5,1,25,92,13,34,3,19,11,11,3,3,6,2,2,0,2,2,0,0,2,5,7,6,8,4,3,2.37428319741,2,1,0,0,1.93006613345,4.01086956522,40.1086956522,0,4,5.47352941176,3,0,1,0,3,0,0,0,0,0.202343903266,15.3333333333,0,0
11841,5,2,45,103,17,46,6,21,16,9,12,6,8,1,2,3,6,2,1,0,1,1,0,10,7,3,0,2.26346291007,0,3,1,0,2.12931458045,4.38834951456,43.8834951456,0,2,5.50456521739,0,0,0,0,0,0,0,0,0,0,12.875,0,0
11842,5,2,43,143,17,54,3,21,21,13,10,2,4,3,9,3,9,1,4,1,12,3,5,14,4,6,2,1.86861866078,3,1,3,0,1.75669702513,4.11188811189,41.1188811189,0,2,5.20907407407,0,2,0,0,1,0,0,0,1,0.3035158549,35.75,0,0
11843,5,4,65,156,23,61,7,29,12,22,8,9,17,1,7,9,7,5,2,2,14,2,9,14,6,10,4,1.70599357913,1,2,1,0,2.04938006322,4.50641025641,45.0641025641,0,2,5.52114754098,0,2,0,0,1,0,0,0,1,0.404687806533,9.35294117647,0,0
11844,5,3,65,158,21,77,4,29,17,26,4,5,7,3,9,11,4,3,4,1,8,1,3,7,8,5,2,3.19283796723,3,4,1,1,2.03896573751,4.36708860759,43.6708860759,1,4,5.49922077922,2,1,0,3,0,0,1,0,0,0.3035158549,22.5714285714,0,0
11845,5,2,48,131,24,46,6,15,17,14,11,6,11,4,7,6,3,4,1,1,8,5,12,14,5,4,3,2.98016427146,0,3,2,1,2.16123428774,4.3358778626,43.358778626,0,2,5.05152173913,0,1,1,0,0,0,0,0,0,0.404687806533,11.9090909091,0,0
11846,5,2,42,113,16,41,5,25,14,12,7,6,6,4,2,10,8,3,4,2,8,1,3,9,2,4,0,2.25372458468,1,1,0,1,2.87909549991,4.37168141593,43.7168141593,0,2,5.51902439024,0,0,0,0,0,0,0,0,0,3.97947581715,18.8333333333,0,0
11847,5,4,73,186,31,76,9,33,22,26,14,8,10,6,12,8,7,4,2,1,8,4,1,8,12,8,2,5.29974347354,2,3,2,0,2.07096561439,4.4247311828,44.247311828,1,1,5.90513157895,0,1,1,0,1,0,1,0,1,0.505859758166,18.6,0,0
11848,5,2,58,177,24,71,7,24,21,20,14,10,9,5,11,6,11,5,3,0,1,4,5,16,16,4,2,4.58232919691,2,1,2,0,2.02832092455,4.19774011299,41.9774011299,1,3,6.12366197183,0,1,1,0,4,0,0,0,0,3.97947581715,19.6666666667,0,0
11849,5,2,45,130,24,42,7,32,16,24,5,9,8,3,5,6,4,3,3,3,8,0,3,2,6,4,5,3.13228305669,1,1,0,0,2.3294669389,4.36153846154,43.6153846154,1,0,5.60238095238,1,0,1,2,0,1,0,0,0,0,16.25,0,0
11850,5,4,76,190,37,69,9,32,23,25,16,13,14,2,10,12,8,3,1,3,13,2,9,12,11,6,10,2.68192492397,2,1,1,0,2.30155590103,4.54210526316,45.4210526316,1,1,5.97289855072,1,0,2,1,0,0,0,0,0,0,13.5714285714,0,0
11851,5,2,34,106,14,42,5,16,12,12,9,6,7,4,10,3,5,1,6,1,4,0,3,6,7,4,4,2.29651119014,0,0,2,1,2.15015827161,4.20754716981,42.0754716981,0,4,5.58,0,1,0,0,0,1,0,0,0,3.28812271776,15.1428571429,0,0
11852,5,2,50,122,21,57,7,17,14,7,8,4,9,2,8,13,6,5,1,0,0,2,6,5,9,10,5,2.12834931706,0,0,3,0,1.95334070242,4.41803278689,44.1803278689,1,0,4.85087719298,0,0,2,0,2,0,0,0,0,0,13.5555555556,0,0
