id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10
8863,4,0,20,57,10,21,3
8864,4,0,14,39,6,10,2
8865,4,3,61,136,32,43,5
8866,4,2,28,65,14,26,3
8867,4,2,50,128,20,55,6
8868,4,1,29,71,9,29,4
8869,4,0,36,92,11,39,3
8870,4,2,35,82,15,30,4
8871,4,1,11,32,3,13,2
8872,4,2,33,115,16,37,7
8873,4,2,55,179,24,62,7
8874,4,0,14,42,2,20,1
8875,4,1,13,31,5,14,2
8876,4,2,75,175,31,67,7
8877,4,0,26,71,14,27,2
8878,4,1,14,48,4,16,2
8879,4,2,31,87,16,35,6
8880,4,1,14,34,7,10,2
8881,4,3,72,164,32,53,7
8882,4,1,15,50,8,20,3
8883,4,1,28,81,8,35,2
8884,4,1,18,40,5,14,1
8885,4,3,54,136,25,50,5
8886,4,1,13,46,8,18,2
8887,4,2,27,88,10,28,4
8888,4,2,69,176,34,70,9
8889,4,1,32,115,9,47,5
8890,4,2,43,105,25,38,5
8891,4,3,54,133,23,50,6
8892,4,1,35,79,13,44,3
8893,4,2,12,54,8,23,1
8894,4,1,14,55,8,23,2
8895,4,3,62,175,28,65,9
8896,4,2,44,89,26,30,4
8897,4,1,42,92,12,46,3
8898,4,2,35,140,7,58,5
8899,4,0,15,34,8,11,2
8900,4,2,38,149,18,64,7
8901,4,0,14,36,3,18,2
8902,4,3,59,155,26,55,6
8903,4,3,57,177,22,69,8
8904,4,2,50,109,21,41,4
8905,4,2,50,139,26,54,7
8906,4,2,43,111,19,40,6
8907,4,0,16,40,6,14,1
8908,4,1,35,101,22,38,6
8909,4,2,38,117,13,50,4
8910,4,1,23,68,10,29,2
8911,4,3,76,180,31,73,8
8912,4,1,24,66,6,30,4
8913,4,1,24,74,8,28,2
8914,4,2,71,191,32,61,9
8915,4,2,26,68,9,27,4
8916,4,0,36,107,15,35,6
8917,4,0,26,66,12,25,2
8918,4,1,43,125,9,59,6
8919,4,3,39,90,20,34,4
8920,4,0,13,43,6,20,2
8921,4,2,50,159,28,65,5
8922,4,2,40,141,20,47,5
8923,4,3,69,173,41,58,8
8924,4,2,30,88,10,34,4
8925,4,1,26,81,9,33,4
8926,4,1,18,50,4,18,2
8927,4,0,20,57,5,21,3
8928,4,1,30,91,13,35,5
8929,4,1,25,67,9,27,3
8930,4,0,33,84,14,29,3
8931,4,3,18,55,11,21,3
8932,4,1,6,19,2,7,1
8933,4,2,44,126,24,58,2
8934,4,1,10,55,5,19,3
8935,4,2,70,186,27,80,5
8936,4,1,14,49,3,17,3
8937,4,1,35,104,11,54,4
8938,4,1,18,53,7,22,1
8939,4,3,59,132,25,51,6
8940,4,2,46,132,21,55,5
8941,4,3,87,225,39,85,8
8942,4,1,14,62,3,28,4
8943,4,1,19,61,5,21,4
8944,4,1,32,95,14,47,6
8945,4,2,36,107,11,40,2
8946,4,3,44,106,17,46,4
8947,4,0,33,85,9,36,4
8948,4,3,65,166,21,64,9
8949,4,0,15,46,3,22,1
8950,4,1,44,112,19,36,5
8951,4,2,30,96,16,36,4
8952,4,1,25,76,10,27,3
8953,4,1,11,69,5,25,2
8954,4,3,51,133,24,39,6
8955,4,3,54,131,22,42,6
8956,4,1,14,49,5,22,2
8957,4,2,44,114,13,42,6
8958,4,0,12,34,5,13,1
8959,4,3,55,148,25,52,7
8960,4,1,35,98,13,38,4
8961,4,1,30,73,16,22,3
8962,4,2,36,97,16,32,4
8963,4,1,22,78,7,17,3
8964,4,0,13,34,4,13,1
8965,4,2,33,93,19,34,2
8966,4,1,15,55,4,22,2
8967,4,2,26,98,9,39,4
8968,4,2,21,50,12,19,3
8969,4,2,62,172,26,72,10
8970,4,1,17,52,8,17,2
8971,4,1,32,95,14,46,4
8972,4,2,43,114,17,36,5
8973,4,3,68,168,47,51,7
8974,4,3,42,144,29,40,6
8975,4,0,12,26,3,12,1
8976,4,0,20,61,6,27,2
8977,4,2,43,120,11,47,5
8978,4,0,19,54,9,18,1
8979,4,3,84,211,40,81,8
8980,4,1,19,58,10,24,3
8981,4,3,102,248,38,101,11
8982,4,1,17,43,8,18,1
8983,4,2,44,119,18,44,4
8984,4,1,9,25,5,8,1
8985,4,1,35,82,11,33,3
8986,4,2,36,124,21,42,2
8987,4,2,28,78,16,34,5
8988,4,2,61,148,31,43,7
8989,4,1,6,24,2,8,2
8990,4,3,84,225,28,90,10
8991,4,0,15,40,4,18,1
8992,4,0,17,46,6,19,2
8993,4,0,21,47,6,20,2
8994,4,0,8,23,4,10,1
8995,4,2,34,96,19,37,5
8996,4,2,66,171,27,77,5
8997,4,1,14,38,6,15,2
8998,4,3,46,134,16,49,6
8999,4,1,22,62,6,28,3
9000,4,1,18,51,2,21,3
9001,4,2,73,217,27,84,7
9002,4,2,18,67,8,27,2
9003,4,2,70,178,41,58,8
9004,4,3,76,168,40,59,4
9005,4,3,39,120,16,39,5
9006,4,3,37,103,13,34,4
9007,4,2,52,137,28,41,6
9008,4,2,46,116,26,43,4
9009,4,2,38,95,17,37,5
9010,4,1,27,60,13,22,3
9011,4,2,42,141,14,64,6
9012,4,1,37,99,15,44,3
9013,4,1,21,55,3,20,2
9014,4,2,63,182,27,75,8
9015,4,1,27,93,9,35,3
9016,4,3,60,159,32,59,6
9017,4,2,29,92,11,36,6
9018,4,2,33,88,15,30,4
9019,4,3,69,180,38,51,9
9020,4,0,8,23,3,8,1
9021,4,2,33,92,20,36,5
9022,4,2,39,99,14,35,5
9023,4,1,19,52,8,13,2
9024,4,1,18,59,4,18,2
9025,4,1,9,27,3,9,1
9026,4,2,31,95,12,28,3
9027,4,3,93,231,45,92,10
9028,4,1,14,41,5,20,1
9029,4,2,60,154,28,55,3
9030,4,0,14,64,4,27,4
9031,4,1,32,84,10,28,3
9032,4,1,7,22,3,8,1
9033,4,1,47,131,21,43,4
9034,4,2,61,147,30,57,4
9035,4,3,92,230,36,93,10
9036,4,0,23,72,6,32,2
9037,4,3,56,131,30,45,6
9038,4,1,12,36,4,15,2
9039,4,2,46,134,16,46,8
9040,4,3,51,145,27,55,6
