id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18,pos_4,pos_2,pos_15,char_8,sentence_count,word_18,pos_24,pos_19,pos_1,pos_6,pos_29,char_10,pos_31,pos_28,misspell_words,pos_22,pos_27,pos_23,pos_20,beauty_score,word_25,pos_30,pos_5,char_12,std_char,mean_char,avg_word_length,pos_32,pos_35,maturity_score,pos_11,pos_33,pos_9,pos_16,pos_13,pos_25,pos_3,pos_26,pos_8,bag_of_words_score,mean_word,pos_7,pos_10,std_word,pos_34
8863,4,0,20,57,10,21,3,9,8,7,3,3,4,1,3,2,0,2,1,1,2,0,3,7,2,0,0,0.803355331221,0,2,2,0,2.32710410894,4.36842105263,43.6842105263,0,1,5.42666666667,0,0,0,0,0,1,0,0,1,0,14.25,0,0,8.7856416954,0
8864,4,0,14,39,6,10,2,6,8,5,1,1,2,1,1,1,2,0,1,0,7,1,9,3,0,0,1,0.501249903766,0,0,0,0,1.93239308888,4.28205128205,42.8205128205,0,1,4.948,0,0,0,0,0,1,0,0,0,0,19.5,0,0,2.5,0
8865,4,3,61,136,32,43,5,37,19,22,8,12,6,4,4,2,8,4,2,3,8,2,5,3,3,5,5,1.69966070868,2,0,1,1,2.52532920264,4.72794117647,47.2794117647,0,0,6.38372093023,0,0,0,0,0,0,0,0,0,3.0,22.6666666667,0,0,13.8283123418,0
8866,4,2,28,65,14,26,3,13,8,9,4,8,7,0,3,2,2,3,0,0,7,5,2,1,1,0,0,1.10629650669,0,0,1,0,2.42701145761,4.78461538462,47.8461538462,0,0,5.40269230769,0,0,0,1,0,2,0,0,0,0,9.28571428571,0,0,4.49489506359,0
8867,4,2,50,128,20,55,6,17,17,16,11,6,10,3,8,4,2,5,0,3,3,3,9,4,7,8,7,1.57383096844,0,0,7,1,2.22282362816,4.4375,44.375,2,0,5.71145454545,0,0,0,0,0,0,0,0,0,0,12.8,0,0,7.7045441137,0
8868,4,1,29,71,9,29,4,19,7,18,1,5,6,1,2,1,3,2,1,0,4,0,3,0,4,0,0,0.456113284195,1,1,1,0,1.97723461947,4.53521126761,45.3521126761,0,2,5.6324137931,0,0,0,0,0,0,0,0,1,2.0,11.8333333333,0,0,7.69018133004,0
8869,4,0,36,92,11,39,3,19,12,15,3,3,4,3,6,1,3,2,3,0,5,5,4,5,3,0,3,1.28247629014,2,1,1,0,1.78970886229,4.30434782609,43.0434782609,0,2,5.50743589744,1,0,0,0,0,0,0,0,0,2.0,23.0,0,0,14.3352711868,0
8870,4,2,35,82,15,30,4,14,8,13,5,7,5,3,3,1,4,4,4,1,5,3,0,7,0,3,0,1.45729560254,0,1,4,0,2.23966729796,4.4512195122,44.512195122,0,1,5.614,0,0,0,0,0,0,0,0,0,0,16.4,0,0,8.49941174435,0
8871,4,1,11,32,3,13,2,4,4,4,0,1,3,1,1,0,2,1,0,0,2,0,0,7,1,0,0,0.263036707654,0,0,2,0,1.82030438787,4.09375,40.9375,0,0,5.88,0,0,0,0,0,0,0,0,0,0,10.6666666667,0,0,8.57645355351,0
8872,4,2,33,115,16,37,7,16,15,12,6,1,9,1,4,1,5,4,4,0,9,3,4,13,8,3,7,2.04201798946,0,0,0,0,1.86611357176,4.00869565217,40.0869565217,1,0,4.87189189189,0,0,0,1,0,1,0,0,0,0,12.7777777778,0,0,6.08783445858,0
8873,4,2,55,179,24,62,7,26,12,21,8,7,9,5,8,3,11,9,1,1,8,6,4,20,17,9,1,3.39544581163,2,1,1,1,1.99443705659,4.12849162011,41.2849162011,0,4,5.29225806452,0,0,0,1,4,0,0,0,0,4.0,19.8888888889,0,0,11.0196233495,0
8874,4,0,14,42,2,20,1,7,3,5,1,2,2,1,6,1,2,0,0,0,0,0,0,6,2,0,0,0.734114168799,1,5,1,0,1.72785473859,3.88095238095,38.8095238095,0,1,5.267,0,1,0,0,0,0,0,0,0,2.0,21.0,0,0,21.0,0
8875,4,1,13,31,5,14,2,8,3,9,0,4,2,1,0,0,0,0,0,0,4,1,1,1,0,0,0,0.170913600882,0,0,1,0,1.98488915213,4.83870967742,48.3870967742,0,2,5.40285714286,0,0,0,0,1,0,0,0,0,2.0,15.5,0,0,4.5,0
8876,4,2,75,175,31,67,7,31,25,20,10,13,8,6,7,7,3,7,5,6,15,5,13,7,4,8,8,1.89097418655,2,1,2,4,2.48921483127,4.70857142857,47.0857142857,1,2,5.67507462687,0,0,0,0,0,1,0,1,0,0,22.125,0,0,10.6821989777,0
8877,4,0,26,71,14,27,2,11,10,12,5,6,4,2,0,10,5,0,0,2,6,0,3,2,1,2,1,0.999081084136,2,1,0,0,2.31633165892,4.45070422535,44.5070422535,1,2,5.39851851852,0,0,0,0,0,0,2,0,1,2.0,17.75,0,0,13.460590626,0
8878,4,1,14,48,4,16,2,7,9,5,2,2,3,2,0,1,2,1,0,0,6,0,0,7,0,2,0,0.80170961522,1,0,2,0,1.96602345534,3.91666666667,39.1666666667,0,1,5.366875,0,0,0,0,1,0,0,0,0,0,16.0,0,0,12.0277457018,0
8879,4,2,31,87,16,35,6,18,9,12,0,3,7,1,2,0,2,2,2,0,6,1,4,11,6,2,2,1.17611092334,0,3,2,0,1.99317198529,4.34482758621,43.4482758621,0,4,5.35942857143,0,0,0,0,0,0,0,0,0,0,12.5714285714,0,1,6.16110247224,0
8880,4,1,14,34,7,10,2,7,3,4,1,2,3,1,3,0,2,1,0,0,2,1,4,1,3,0,1,0.22251824448,0,0,0,0,2.23566935588,4.82352941176,48.2352941176,1,0,4.865,0,1,0,0,1,0,0,0,0,0,11.3333333333,0,0,8.17856276426,0
8881,4,3,72,164,32,53,7,36,11,27,11,7,10,6,7,2,8,11,2,1,15,3,17,6,4,5,7,2.14316724279,1,0,1,0,2.07335006398,4.54268292683,45.4268292683,1,3,5.86301886792,1,0,0,0,1,0,0,0,0,0,16.8,0,0,9.37869927015,0
8882,4,1,15,50,8,20,3,9,6,8,1,2,3,1,2,1,2,1,1,0,3,3,0,4,0,1,0,1.0521490808,0,3,2,0,1.97628800677,4.18,41.8,0,0,5.9705,0,0,0,0,1,0,0,0,0,0,16.6666666667,0,0,3.29983164554,0
8883,4,1,28,81,8,35,2,16,12,12,4,3,3,1,2,1,1,2,1,0,3,1,3,6,5,2,3,1.0238777157,1,1,1,0,1.76855245265,4.18518518519,41.8518518519,0,3,5.25542857143,0,0,0,1,1,0,0,0,0,0,27.0,0,0,27.0678160675,0
8884,4,1,18,40,5,14,1,6,5,3,1,0,3,1,1,1,1,2,0,0,0,1,4,4,1,1,5,0.358226223209,1,5,0,0,1.76413703753,4.375,43.75,0,0,4.77785714286,0,0,0,2,0,0,0,0,0,0,13.3333333333,0,0,15.4560308258,0
8885,4,3,54,136,25,50,5,29,13,17,10,10,6,4,9,2,2,9,2,2,8,2,11,5,3,4,7,2.01723825253,3,1,1,0,2.18061123529,4.52205882353,45.2205882353,3,2,5.8034,0,0,0,0,0,0,0,0,0,0,23.0,0,1,12.4632793972,0
8886,4,1,13,46,8,18,2,6,5,6,1,5,3,2,2,0,1,3,2,1,1,0,2,5,2,0,1,1.15031740324,1,2,1,0,2.28500679182,4.39130434783,43.9130434783,0,0,5.80333333333,0,1,0,1,1,0,0,0,0,0,15.3333333333,0,0,11.115554667,0
8887,4,2,27,88,10,28,4,15,11,18,3,2,5,2,2,4,2,6,1,0,5,1,6,3,1,1,3,0.747864552681,1,4,1,0,1.71686422862,4.07954545455,40.7954545455,0,2,5.1675,0,0,0,0,0,0,0,0,0,2.0,17.6,0,0,12.3060960503,0
8888,4,2,69,176,34,70,9,38,12,30,13,21,14,3,10,4,4,5,2,5,8,1,16,9,4,1,5,1.8966202689,1,6,8,2,2.53022636429,4.77840909091,47.7840909091,0,1,5.68114285714,0,2,0,0,0,0,0,1,0,0,12.8571428571,0,0,9.02264724265,0
8889,4,1,32,115,9,47,5,15,12,15,2,2,6,4,10,3,5,3,3,0,5,3,3,15,2,2,0,1.79729925841,2,5,5,0,1.57681523982,3.93043478261,39.3043478261,1,3,5.36340425532,0,0,0,0,0,0,0,0,1,0,19.3333333333,0,0,9.60324019393,0
8890,4,2,43,105,25,38,5,13,10,9,3,7,7,2,5,3,3,9,1,0,9,8,7,3,0,5,4,1.53870948619,0,2,3,0,2.20306147292,4.61904761905,46.1904761905,0,5,6.07763157895,0,0,0,0,0,0,1,0,1,0,15.0,0,0,7.19126454209,0
8891,4,3,54,133,23,50,6,30,17,24,7,7,7,3,4,1,6,4,0,4,12,15,10,1,0,1,1,3.45067782118,1,1,0,0,2.35674064659,4.47368421053,44.7368421053,0,4,5.5254,0,0,0,0,1,0,0,0,0,0,19.0,0,0,13.1366444944,0
8892,4,1,35,79,13,44,3,10,6,10,4,5,6,2,4,2,1,0,0,2,7,3,4,10,5,0,3,0.365108589169,1,0,1,0,1.93072157918,4.79746835443,47.9746835443,1,5,5.41681818182,0,1,0,0,0,0,0,1,0,0,13.1666666667,0,0,8.97063109387,0
