id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18
20716,8,34,204,664,80,221,29,130
20717,8,46,242,780,93,348,29,97
20718,8,40,291,848,110,322,34,121
20719,8,30,214,705,61,265,17,106
20721,8,26,130,646,24,248,22,111
20722,8,40,315,695,92,205,31,105
20723,8,40,308,825,96,304,44,121
20724,8,34,84,291,21,117,14,44
20725,8,41,273,733,124,305,35,107
20726,8,40,226,537,87,219,23,70
20727,8,31,143,439,52,169,17,73
20728,8,44,321,816,164,286,30,118
20732,8,31,182,818,53,318,17,137
20733,8,36,183,559,71,227,27,79
20734,8,43,317,763,135,284,37,97
20735,8,20,43,131,19,57,6,22
20736,8,45,256,711,101,292,30,92
20737,8,40,168,528,70,228,23,59
20739,8,30,209,735,55,270,36,93
20741,8,35,116,280,37,112,9,50
20742,8,40,198,630,88,221,26,93
20743,8,42,312,848,122,320,33,142
20745,8,34,201,478,88,154,16,85
20746,8,33,253,844,67,294,27,86
20747,8,38,125,356,53,136,18,48
20748,8,36,220,688,78,264,33,98
20751,8,45,198,614,70,228,31,70
20754,8,31,260,829,101,308,35,111
20755,8,30,78,226,33,101,9,36
20756,8,34,220,737,89,302,19,101
20757,8,33,230,727,98,319,26,71
20758,8,40,293,849,116,307,39,71
20759,8,47,251,734,109,252,31,97
20760,8,30,326,835,131,321,42,112
20761,8,40,295,847,109,343,38,108
20762,8,32,141,455,61,159,16,73
20763,8,40,273,844,90,299,32,126
20764,8,30,85,305,31,101,7,49
20766,8,45,336,832,145,322,39,97
20767,8,45,252,653,80,265,35,101
20768,8,45,339,844,104,338,38,122
20769,8,50,322,832,146,323,28,109
20770,8,39,156,442,60,168,17,61
20771,8,33,130,359,65,133,19,43
20772,8,33,197,545,65,184,20,91
20773,8,34,158,477,44,185,21,65
20774,8,40,131,550,54,186,25,67
20775,8,33,97,319,42,119,12,49
20776,8,33,210,657,77,216,27,71
20777,8,40,199,487,77,189,24,70
20778,8,36,214,601,81,247,24,88
20779,8,37,199,650,74,262,32,85
20781,8,40,234,751,98,257,32,113
20783,8,33,215,579,90,231,32,93
20784,8,37,192,622,67,265,28,78
20785,8,42,162,491,52,197,24,81
20787,8,40,146,368,55,152,18,43
20790,8,40,207,565,85,206,29,69
20791,8,38,116,325,55,131,13,57
20792,8,31,105,285,38,113,11,60
20793,8,42,280,792,111,328,38,118
20794,8,40,211,637,81,284,26,73
20795,8,35,203,607,89,231,32,70
20796,8,35,345,846,110,303,36,139
20797,8,33,86,234,47,86,12,29
20800,8,33,247,564,132,206,23,74
20802,8,30,233,830,86,310,27,97
20803,8,37,141,405,49,150,15,50
20804,8,40,125,424,71,156,18,69
20805,8,40,309,844,113,310,38,76
20806,8,35,199,573,95,229,27,80
20807,8,35,155,466,68,154,19,74
20808,8,31,185,589,66,247,22,73
20809,8,40,266,836,99,320,42,128
20812,8,40,298,848,106,296,45,97
20813,8,36,170,460,61,185,23,52
20814,8,32,331,835,125,311,35,120
20815,8,31,273,752,112,303,29,85
20817,8,30,80,259,21,92,11,26
20818,8,32,272,840,115,370,21,142
20819,8,30,104,333,39,124,14,39
20821,8,55,375,833,167,343,44,151
20822,8,45,251,742,103,283,37,82
